Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.219819,7.269202,6.884013,7.219819,6.848939,29100
2010-01-05,7.180312,7.348215,7.032162,7.298831,6.923895,57000
2010-01-06,7.209942,7.753157,7.170435,7.446981,7.064434,78500
2010-01-07,7.545747,7.733403,7.437104,7.693897,7.298665,12400
2010-01-08,7.664267,7.74328,7.516118,7.723526,7.326774,10500
2010-01-11,7.77291,7.792663,7.525994,7.664267,7.270557,13100
2010-01-12,7.634637,7.763033,7.634637,7.65439,7.261188,15100
2010-01-13,7.693897,7.80254,7.65439,7.733403,7.336143,14400
2010-01-14,7.693897,8.138345,7.693897,7.901306,7.49542,28400
2010-01-15,7.960566,8.029702,7.901306,8.000072,7.589114,44800
2010-01-19,7.990196,8.543287,7.990196,8.523534,8.085685,84900
2010-01-20,8.414891,8.790203,8.414891,8.760573,8.310548,68900
2010-01-21,8.780326,9.037119,8.424767,8.888969,8.432349,61700
2010-01-22,8.888969,9.096378,8.50378,8.948229,8.488564,53100
2010-01-25,9.046995,9.313664,9.027242,9.056872,8.591625,44000
2010-01-26,9.086502,9.175391,9.076625,9.086502,8.619735,43400
2010-01-27,9.086502,9.333418,9.086502,9.293911,8.816487,22800
2010-01-28,9.333418,9.363048,8.780326,9.096378,8.629102,91600
2010-01-29,9.135885,9.363048,9.086502,9.224774,8.750905,44500
2010-02-01,9.224774,9.284035,9.155639,9.234652,8.760271,23400
2010-02-02,9.274158,9.274158,9.096378,9.135885,8.666578,110800
2010-02-03,9.096378,9.155639,9.046995,9.135885,8.666578,37500
2010-02-04,9.096378,9.254405,9.017365,9.135885,8.666578,80400
2010-02-05,9.274158,9.313664,9.086502,9.244528,8.769643,44700
2010-02-08,9.254405,9.254405,9.135885,9.135885,8.666578,32700
2010-02-09,9.313664,9.313664,9.135885,9.185268,8.713426,22500
2010-02-10,9.126008,9.175391,9.066749,9.155639,8.68532,37800
2010-02-11,9.086502,9.422307,9.086502,9.422307,8.938288,55300
2010-02-12,9.274158,9.56058,9.274158,9.550704,9.060089,38200
2010-02-16,9.550704,9.550704,9.402555,9.491444,9.003872,20600
2010-02-17,9.501321,9.530951,9.382801,9.530951,9.041351,49700
2010-02-18,9.481567,9.501321,9.392677,9.491444,9.003872,14900
2010-02-19,9.481567,9.6791,9.432184,9.609963,9.116304,40400
2010-02-22,9.688976,9.728483,9.145761,9.698853,9.200626,33100
2010-02-23,9.669223,9.6791,9.382801,9.511197,9.022612,26800
2010-02-24,9.540827,9.540827,9.382801,9.501321,9.013242,25700
2010-02-25,9.293911,9.629717,9.293911,9.580334,9.088196,51200
2010-02-26,9.609963,9.609963,9.382801,9.382801,8.900813,30600
2010-03-01,9.451938,9.59021,9.412431,9.56058,9.069458,21300
2010-03-02,9.609963,9.965522,9.580334,9.945769,9.43486,47900
2010-03-03,9.985275,10.074165,9.837126,10.054412,9.537921,15200
2010-03-04,10.123549,10.153178,9.856879,9.876633,9.369275,15400
2010-03-05,9.955646,10.192685,9.787743,9.82725,9.322429,36700
2010-03-08,9.787743,9.876633,9.787743,9.82725,9.322429,17700
2010-03-09,9.79762,9.847003,9.767989,9.82725,9.322429,15400
2010-03-10,9.79762,9.876633,9.79762,9.817372,9.313062,27500
2010-03-11,9.787743,9.926016,9.777866,9.866755,9.359905,26300
2010-03-12,9.906262,9.906262,9.629717,9.6791,9.18189,17100
2010-03-15,9.669223,9.758113,9.382801,9.402555,8.919549,22400
2010-03-16,9.451938,9.491444,9.333418,9.491444,9.003872,12200
2010-03-17,9.501321,9.61984,9.284035,9.432184,8.947659,31100
2010-03-18,9.284035,9.501321,9.284035,9.392677,8.910182,12500
2010-03-19,9.402555,9.511197,9.284035,9.44206,8.957028,80000
2010-03-22,9.372924,9.540827,9.363048,9.530951,9.041351,21700
2010-03-23,9.511197,9.758113,9.402555,9.64947,9.153781,28100
2010-03-24,9.609963,9.639593,9.293911,9.392677,8.910182,54700
2010-03-25,9.481567,9.669223,9.382801,9.511197,9.022612,16300
2010-03-26,9.550704,9.580334,8.958106,9.027242,8.563516,34300
2010-03-29,9.116588,9.405213,8.101421,8.599052,8.157324,89400
2010-03-30,8.599052,8.947393,8.599052,8.738389,8.289501,29300
2010-03-31,8.688625,9.186255,8.688625,8.987204,8.525536,55400
2010-04-01,9.04692,9.345498,8.897631,8.957346,8.497212,24400
2010-04-05,9.036967,9.554502,8.987204,9.554502,9.063692,45100
2010-04-06,9.454976,9.813271,9.355451,9.50474,9.016488,17900
2010-04-07,9.454976,9.614218,9.365403,9.614218,9.120344,32300
2010-04-08,9.524645,9.863033,9.524645,9.683887,9.186428,13800
2010-04-09,9.683887,9.833176,9.365403,9.703792,9.205312,36400
2010-04-12,9.703792,9.703792,9.365403,9.454976,8.969279,51000
2010-04-13,9.484834,9.594313,9.265877,9.594313,9.101458,27500
2010-04-14,9.594313,10.141706,9.255924,10.062085,9.545201,64700
2010-04-15,10.420379,10.679147,10.201422,10.370616,9.837882,2749700
2010-04-16,10.310901,10.450237,10.290996,10.440285,9.903972,134600
2010-04-19,10.330806,10.669194,10.251184,10.519905,9.979504,139900
2010-04-20,10.589574,10.699052,10.480095,10.669194,10.121121,182800
2010-04-21,10.709004,10.898105,10.599526,10.679147,10.130564,153300
2010-04-22,10.649289,11.077251,10.649289,10.947867,10.385482,169900
2010-04-23,10.947867,11.136967,10.828436,10.95782,10.394922,217200
2010-04-26,10.95782,11.196683,10.947867,11.027488,10.461011,314600
2010-04-27,10.987678,11.166824,10.798578,10.977725,10.413803,161500
2010-04-28,10.95782,11.156872,10.798578,11.067299,10.498777,108100
2010-04-29,11.087204,11.196683,10.649289,11.027488,10.461011,258900
2010-04-30,10.99763,11.296208,10.888152,11.077251,10.508219,265700
2010-05-03,11.136967,11.196683,10.619431,10.888152,10.328834,110400
2010-05-04,10.768721,10.878199,10.559715,10.709004,10.158889,401300
2010-05-05,10.619431,10.659242,10.46019,10.629384,10.083358,156600
2010-05-06,10.579621,10.937915,9.952606,10.529858,9.988945,163100
2010-05-07,10.480095,10.689099,10.201422,10.450237,9.913413,231800
2010-05-10,10.689099,10.947867,10.689099,10.937915,10.37604,52800
2010-05-11,10.798578,11.286256,10.798578,11.077251,10.508219,56100
2010-05-12,11.067299,11.385782,11.067299,11.236493,10.659282,68900
2010-05-13,11.166824,11.246446,10.947867,11.166824,10.593191,101500
2010-05-14,11.067299,11.186729,10.699052,10.838388,10.281627,97300
2010-05-17,10.91801,10.927962,10.639337,10.798578,10.243864,100500
2010-05-18,10.927962,11.017535,10.808531,10.828436,10.272186,217500
2010-05-19,10.748816,10.908057,10.629384,10.709004,10.158889,78200
2010-05-20,10.699052,10.699052,10.181517,10.290996,9.762352,418900
2010-05-21,10.171564,10.699052,9.96256,10.579621,10.036153,164800
2010-05-24,10.599526,10.748816,10.350711,10.480095,9.941738,100800
2010-05-25,10.450237,10.649289,10.271091,10.490047,9.951177,181300
2010-05-26,10.519905,10.748816,10.410426,10.46019,9.922855,102600
2010-05-27,10.689099,11.405687,10.470142,11.326066,10.744251,248800
2010-05-28,11.306161,11.644549,11.156872,11.216588,10.640395,1163300
2010-06-01,11.206635,11.316113,10.450237,10.649289,10.10224,176000
2010-06-02,10.679147,10.927962,10.480095,10.908057,10.347718,122400
2010-06-03,10.947867,10.947867,10.619431,10.858294,10.30051,51600
2010-06-04,10.689099,10.718957,10.350711,10.400474,9.866204,154100
2010-06-07,10.400474,10.609479,10.350711,10.350711,9.818999,85000
2010-06-08,10.430332,10.490047,10.072038,10.320853,9.790675,94000
2010-06-09,10.410426,10.619431,10.032228,10.131754,9.611291,79700
2010-06-10,10.241232,10.529858,10.121801,10.450237,9.913413,93000
2010-06-11,10.340758,10.758768,10.340758,10.709004,10.158889,112800
2010-06-14,10.818483,10.91801,10.261137,10.350711,9.818999,85100
2010-06-15,10.440285,10.529858,10.251184,10.410426,9.875647,104100
2010-06-16,10.330806,10.599526,10.330806,10.400474,9.866204,71200
2010-06-17,10.400474,10.490047,10.380569,10.420379,9.885089,87100
2010-06-18,10.430332,10.46019,10.201422,10.440285,9.903972,171500
2010-06-21,10.480095,10.5,10.08199,10.101895,9.582965,71500
2010-06-22,10.171564,10.251184,9.912796,9.912796,9.403582,85100
2010-06-23,9.912796,10.072038,9.902843,9.912796,9.403582,61100
2010-06-24,9.823223,10.052133,9.723697,9.853081,9.346935,53500
2010-06-25,9.942654,11.49526,9.922749,11.49526,10.904754,1009600
2010-06-28,10.88,10.88,10.08,10.09,9.571682,172000
2010-06-29,10.0,10.02,9.53,9.6,9.106854,230100
2010-06-30,9.63,9.79,9.54,9.66,9.163772,437900
2010-07-01,9.6,9.8,9.6,9.76,9.258635,120700
2010-07-02,9.83,9.9,9.61,9.71,9.211202,86200
2010-07-06,9.88,9.88,9.69,9.78,9.277606,107700
2010-07-07,9.83,10.08,9.7,10.03,9.514764,104500
2010-07-08,10.12,10.24,9.84,9.98,9.467331,56000
2010-07-09,9.99,10.35,9.99,10.3,9.770894,34600
2010-07-12,10.42,10.58,10.09,10.15,9.628597,48200
2010-07-13,10.31,10.59,10.19,10.49,9.951134,84900
2010-07-14,10.48,10.55,10.36,10.47,9.93216,29800
2010-07-15,10.47,10.49,10.07,10.24,9.713977,37400
2010-07-16,10.06,10.21,9.74,9.75,9.249144,97700
2010-07-19,9.95,10.05,9.74,10.04,9.524251,77500
2010-07-20,9.84,9.99,9.71,9.96,9.448361,59600
2010-07-21,10.06,10.12,9.63,9.75,9.249144,97400
2010-07-22,9.88,10.42,9.84,10.3,9.770894,83900
