Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,10.2,10.2,10.2,10.2,10.2,0
2019-11-15,10.2,10.2,10.2,10.2,10.2,0
2019-11-18,10.18,10.18,10.18,10.18,10.18,1000
2019-11-19,10.18,10.18,10.18,10.18,10.18,0
2019-11-20,10.19,10.19,10.08,10.08,10.08,6100
2019-11-21,10.145,10.18,10.145,10.18,10.18,200
2019-11-22,10.15,10.15,10.15,10.15,10.15,100
2019-11-25,10.2,10.2,10.2,10.2,10.2,1100
2019-11-27,10.23,10.23,10.23,10.23,10.23,200
2019-11-29,10.15,10.22,10.15,10.17,10.17,27200
2019-12-02,10.17,10.18,10.16,10.16,10.16,17291
2019-12-03,10.16,10.16,10.16,10.16,10.16,5600
2019-12-04,10.16,10.16,10.16,10.16,10.16,0
2019-12-05,10.16,10.16,10.16,10.16,10.16,0
2019-12-06,10.16,10.16,10.16,10.16,10.16,0
2019-12-09,10.16,10.16,10.16,10.16,10.16,0
2019-12-10,10.16,10.16,10.16,10.16,10.16,0
2019-12-11,10.16,10.16,10.16,10.16,10.16,0
2019-12-12,10.16,10.16,10.16,10.16,10.16,0
2019-12-13,10.16,10.16,10.16,10.16,10.16,0
2019-12-16,10.16,10.16,10.16,10.16,10.16,0
2019-12-17,10.16,10.16,10.16,10.16,10.16,0
2019-12-18,10.16,10.16,10.16,10.16,10.16,0
2019-12-19,10.16,10.16,10.16,10.16,10.16,0
2019-12-20,10.25,10.26,10.25,10.26,10.26,600
2019-12-23,10.26,10.26,10.26,10.26,10.26,0
2019-12-24,10.26,10.26,10.26,10.26,10.26,0
2019-12-26,10.26,10.26,10.26,10.26,10.26,0
2019-12-27,10.26,10.26,10.26,10.26,10.26,0
2019-12-30,10.26,10.26,10.26,10.26,10.26,0
