Date,Open,High,Low,Close,Adj Close,Volume
2019-03-06,24.75,24.889999,24.75,24.799999,23.404833,69200
2019-03-07,24.809999,24.9,24.77,24.830999,23.43409,327400
2019-03-08,24.83,24.85,24.799999,24.849001,23.451078,174200
2019-03-11,24.950001,24.950001,24.83,24.860001,23.461458,170200
2019-03-12,24.860001,24.92,24.83,24.860001,23.461458,242900
2019-03-13,24.93,24.93,24.870001,24.92,23.518084,104300
2019-03-14,24.950001,24.99,24.860001,24.9,23.499207,104800
2019-03-15,24.9,25.040001,24.879999,24.93,23.527521,313800
2019-03-18,24.98,25.18,24.950001,25.049999,23.64077,299500
2019-03-19,25.059999,25.07,24.950001,24.950001,23.546396,159500
2019-03-20,25.0,25.049999,24.9,25.02,23.612457,215900
2019-03-21,25.02,25.08,25.0,25.040001,23.631334,272200
2019-03-22,25.1,25.110001,24.959999,24.98,23.574707,99800
2019-03-25,25.030001,25.049999,24.98,25.02,23.612457,86400
2019-03-26,25.049999,25.07,25.01,25.030001,23.621895,145800
2019-03-27,25.040001,25.08,25.01,25.040001,23.631334,291700
2019-03-28,25.07,25.136999,25.040001,25.129999,23.716269,213300
2019-03-29,25.02,25.08,24.84,24.84,23.617388,408000
2019-04-01,24.91,24.950001,24.85,24.940001,23.712469,121500
2019-04-02,24.950001,25.0,24.9,24.99,23.760006,130100
2019-04-03,25.0,25.040001,24.959999,25.0,23.769514,143100
2019-04-04,25.048,25.1,25.0,25.07,23.836067,106400
2019-04-05,25.098,25.18,25.049999,25.16,23.921638,63200
2019-04-08,25.18,25.24,25.122999,25.15,23.91213,85000
2019-04-09,25.16,25.200001,25.1,25.139999,23.902622,128900
2019-04-10,25.087999,25.15,25.087999,25.139999,23.902622,25200
2019-04-11,25.16,25.209999,25.120001,25.120001,23.883606,42500
2019-04-12,25.1,25.16,25.1,25.120001,23.883606,30300
2019-04-15,25.17,25.186001,25.110001,25.17,23.931145,24600
2019-04-16,25.17,25.235001,25.110001,25.17,23.931145,63100
2019-04-17,25.16,25.16,25.049999,25.09,23.855083,34600
2019-04-18,25.059999,25.17,25.0,25.02,23.788528,104200
2019-04-22,25.049999,25.077,25.021,25.049999,23.817051,92400
2019-04-23,25.049999,25.200001,25.040001,25.1,23.864592,170600
2019-04-24,25.120001,25.165001,25.07,25.139999,23.902622,70400
2019-04-25,25.18,25.18,25.1,25.15,23.91213,850300
2019-04-26,25.158001,25.209999,25.1,25.1,23.864592,145500
2019-04-29,25.110001,25.249001,25.110001,25.209999,23.969175,36000
2019-04-30,25.23,25.25,25.129999,25.17,23.931145,107800
2019-05-01,25.139999,25.15,25.08,25.15,23.91213,81400
2019-05-02,25.18,25.191,25.09,25.09,23.855083,81200
2019-05-03,25.145,25.198,25.049999,25.139999,23.902622,61400
2019-05-06,25.1,25.190001,25.049999,25.120001,23.883606,129700
2019-05-07,25.200001,25.200001,25.040001,25.059999,23.826559,49500
2019-05-08,25.059999,25.17,25.040001,25.07,23.836067,37600
2019-05-09,25.08,25.1,25.013,25.049999,23.817051,86100
2019-05-10,25.087999,25.09,25.049999,25.059999,23.826559,18900
2019-05-13,25.1,25.18,25.059999,25.18,23.940653,159500
