Date,Open,High,Low,Close,Adj Close,Volume
2019-06-11,2.08,2.08,2.08,2.08,2.000135,181
2019-06-12,3.16,3.16,2.94,2.94,2.827114,517
2019-06-13,28.969999,29.09,23.42,27.440001,26.386398,1100
2019-06-14,23.700001,23.9,23.6,23.799999,22.886162,300
2019-06-17,24.6,26.9,24.5,26.9,25.867132,100
2019-06-18,26.77,26.77,23.33,23.43,22.530367,5300
2019-06-19,23.5,24.5,23.5,24.200001,23.270803,2600
2019-06-20,23.6,25.0,23.6,24.1,23.174643,100
2019-06-21,23.93,24.0,23.5,23.950001,23.030401,1100
2019-06-24,24.0,24.83,23.9,24.5,23.559282,3400
2019-06-25,24.1,24.299999,23.799999,23.9,22.982319,7500
2019-06-26,23.700001,24.5,23.700001,24.5,23.559282,100
2019-06-27,24.9,25.0,23.799999,23.9,22.982319,1300
2019-06-28,24.9,24.9,23.9,23.9,22.982319,700
2019-07-01,24.540001,24.540001,23.9,24.450001,23.511204,100
2019-07-02,24.0,24.200001,24.0,24.0,23.078482,0
2019-07-03,24.82,24.82,24.200001,24.299999,23.366962,0
2019-07-05,25.0,26.5,23.9,24.75,23.799685,2900
2019-07-08,24.6,24.6,24.200001,24.200001,23.270803,5500
2019-07-09,24.639999,24.77,24.299999,24.4,23.463121,2900
2019-07-10,24.4,24.4,24.4,24.4,23.463121,0
2019-07-11,24.5,24.5,24.1,24.1,23.174643,400
2019-07-12,24.1,24.1,24.1,24.1,23.174643,0
2019-07-15,25.5,25.5,24.1,24.200001,23.270803,2800
2019-07-16,24.5,24.5,24.0,24.200001,23.270803,20600
2019-07-17,24.200001,24.5,24.0,24.0,23.078482,59000
2019-07-18,24.32,24.35,23.85,24.0,23.078482,47700
2019-07-19,23.700001,24.1,23.700001,24.0,23.078482,83200
2019-07-22,23.84,24.25,23.1,23.299999,22.405357,26700
2019-07-23,24.450001,24.5,23.5,24.0,23.078482,11200
2019-07-24,24.5,24.5,23.799999,24.0,23.078482,15700
2019-07-25,24.0,24.0,24.0,24.0,23.078482,0
2019-07-26,24.5,24.5,23.700001,24.0,23.078482,7000
2019-07-29,24.5,24.5,24.0,24.299999,23.366962,25100
2019-07-30,24.4,24.4,23.9,23.9,22.982319,66600
2019-07-31,23.950001,24.0,23.9,23.9,22.982319,2000
2019-08-01,24.17,24.469999,23.799999,23.799999,22.886162,12000
2019-08-02,24.0,24.1,23.700001,24.1,23.174643,2000
2019-08-05,23.700001,25.4,23.700001,23.9,22.982319,23800
2019-08-06,23.9,23.9,23.9,23.9,22.982319,600
2019-08-07,24.5,24.65,23.799999,23.9,22.982319,7700
2019-08-08,24.0,24.0,24.0,24.0,23.078482,3600
2019-08-09,24.0,24.0,24.0,24.0,23.078482,3600
2019-08-12,24.0,24.0,23.9,23.969999,23.049633,3000
2019-08-13,24.0,24.0,23.9,23.9,22.982319,3900
2019-08-14,23.799999,23.799999,23.799999,23.799999,22.886162,300
2019-08-15,23.9,23.9,23.799999,23.799999,22.886162,300
2019-08-16,23.799999,23.799999,23.799999,23.799999,22.886162,0
2019-08-19,24.0,24.0,23.9,24.0,23.078482,500
2019-08-20,24.200001,24.200001,23.85,24.0,23.078482,2000
2019-08-21,24.200001,24.200001,24.0,24.110001,23.184259,1900
2019-08-22,24.200001,24.200001,24.1,24.200001,23.270803,3100
2019-08-23,24.0,24.200001,23.9,23.9,23.023516,2000
2019-08-26,24.0,24.0,23.9,23.9,23.023516,300
2019-08-27,23.9,23.9,23.9,23.9,23.023516,0
2019-08-28,24.0,24.0,23.700001,23.9,23.023516,100
2019-08-29,23.9,24.0,23.9,23.9,23.023516,300
2019-08-30,24.0,24.0,23.700001,23.799999,22.927183,600
2019-09-03,23.91,24.120001,23.9,23.9,23.023516,300
2019-09-04,23.9,24.549999,23.9,24.299999,23.408848,200
2019-09-05,24.299999,24.299999,24.0,24.0,23.119848,100
2019-09-06,24.07,24.1,24.07,24.1,23.216183,200
2019-09-09,24.1,24.1,24.1,24.1,23.216183,0
2019-09-10,24.26,24.26,24.25,24.25,23.360682,100
2019-09-11,24.200001,24.5,24.200001,24.440001,23.543713,1100
2019-09-12,24.5,24.5,24.299999,24.299999,23.408848,100
2019-09-13,24.5,24.5,23.9,24.1,23.216183,100
2019-09-16,24.17,24.17,23.9,23.9,23.023516,700
2019-09-17,23.91,24.1,23.9,23.9,23.023516,700
2019-09-18,23.9,24.0,23.9,24.0,23.119848,0
2019-09-19,24.040001,24.040001,24.0,24.0,23.119848,100
2019-09-20,23.969999,23.969999,23.9,23.9,23.023516,100
2019-09-23,24.0,24.040001,24.0,24.0,23.119848,200
2019-09-24,24.059999,24.200001,24.059999,24.1,23.216183,1400
2019-09-25,24.200001,24.200001,24.1,24.200001,23.312515,400
2019-09-26,24.25,24.530001,24.1,24.530001,23.630413,2000
2019-09-27,24.5,24.5,24.1,24.1,23.216183,400
