Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.65,28.940001,28.389999,28.84,26.791651,16700
2010-01-05,28.879999,29.0,28.23,28.9,26.84738,29800
2010-01-06,28.940001,29.309999,28.799999,29.120001,27.05176,18600
2010-01-07,29.0,29.74,28.82,29.690001,27.581272,12500
2010-01-08,29.5,29.9,29.24,29.75,27.637009,10300
2010-01-11,29.75,29.809999,28.559999,28.629999,26.59656,27000
2010-01-12,28.190001,28.23,27.24,27.4,25.453924,12500
2010-01-13,27.26,27.889999,27.24,27.540001,25.583982,7100
2010-01-14,27.299999,27.66,27.030001,27.09,25.165939,7100
2010-01-15,27.25,27.25,26.0,26.0,24.153358,17700
2010-01-19,26.01,26.559999,25.77,26.18,24.320568,24700
2010-01-20,25.809999,25.91,25.5,25.620001,23.80035,19700
2010-01-21,25.540001,25.969999,25.01,25.08,23.298697,12800
2010-01-22,25.07,25.74,25.07,25.129999,23.345142,17000
2010-01-25,25.370001,25.83,24.809999,25.309999,23.512363,4800
2010-01-26,25.200001,26.09,25.200001,25.610001,23.791058,11100
2010-01-27,25.450001,26.450001,25.450001,26.370001,24.497078,12100
2010-01-28,26.51,26.51,25.77,25.879999,24.041882,8600
2010-01-29,25.85,25.85,25.4,25.639999,23.81892,12600
2010-02-01,25.83,25.9,25.25,25.559999,23.744608,15600
2010-02-02,25.49,26.1,25.469999,25.860001,24.023302,6000
2010-02-03,25.85,25.85,25.379999,25.41,23.605257,3100
2010-02-04,25.75,25.75,24.01,24.01,22.304699,20300
2010-02-05,24.32,25.42,24.32,24.639999,22.889948,6300
2010-02-08,24.690001,24.690001,24.059999,24.280001,22.555521,9900
2010-02-09,24.450001,25.219999,24.23,24.860001,23.094326,8600
2010-02-10,24.860001,25.68,24.67,25.5,23.688873,8300
2010-02-11,25.33,25.98,24.709999,25.74,23.911825,22400
2010-02-12,25.51,26.4,25.26,26.17,24.311285,11600
2010-02-16,26.379999,26.629999,25.700001,26.469999,24.589973,14300
2010-02-17,26.559999,26.77,26.200001,26.719999,24.822227,7400
2010-02-18,26.58,26.9,26.059999,26.790001,24.887247,4100
2010-02-19,26.790001,26.790001,26.049999,26.139999,24.283411,8100
2010-02-22,26.129999,26.6,25.74,26.459999,24.580683,9100
2010-02-23,26.299999,26.879999,25.879999,26.129999,24.274122,8500
2010-02-24,26.030001,27.290001,25.68,26.76,24.859373,26900
2010-02-25,26.49,27.219999,26.49,26.9,24.989435,6900
2010-02-26,26.780001,26.93,25.959999,25.959999,24.116199,5500
2010-03-01,26.190001,27.200001,25.540001,27.0,25.082335,17800
2010-03-02,26.969999,26.99,26.01,26.389999,24.515657,9000
2010-03-03,26.51,26.9,26.360001,26.66,24.766479,4200
2010-03-04,26.120001,26.59,26.120001,26.59,24.701454,800
2010-03-05,26.77,27.110001,26.379999,27.059999,25.138065,8900
2010-03-08,26.549999,27.120001,26.540001,26.959999,25.045176,11000
2010-03-09,26.52,28.389999,26.52,27.799999,25.825508,45900
2010-03-10,27.75,27.76,27.34,27.559999,25.602558,12500
2010-03-11,27.5,27.620001,26.959999,27.17,25.240263,19000
2010-03-12,27.059999,27.5,26.85,27.200001,25.268131,8400
2010-03-15,27.030001,27.32,26.389999,26.66,24.766479,14800
2010-03-16,26.74,27.110001,26.41,26.68,24.785065,14900
2010-03-17,26.610001,26.9,26.35,26.620001,24.729324,3300
2010-03-18,26.67,27.5,26.66,26.91,24.998728,8800
2010-03-19,27.16,27.43,26.450001,27.26,25.323864,28700
2010-03-22,27.08,27.34,26.42,26.9,24.989435,6100
2010-03-23,26.799999,26.950001,26.190001,26.42,24.543528,37000
2010-03-24,26.299999,26.450001,25.83,26.32,24.450632,14100
2010-03-25,26.440001,26.559999,25.25,25.27,23.475214,11400
2010-03-26,25.18,26.07,25.18,25.82,23.986139,16000
2010-03-29,25.82,25.959999,25.049999,25.860001,24.023302,10500
2010-03-30,25.950001,25.950001,25.65,25.799999,23.967558,10500
2010-03-31,25.889999,26.219999,25.219999,25.25,23.456631,14600
2010-04-01,25.48,25.879999,25.41,25.879999,24.041882,6300
2010-04-05,25.93,26.219999,25.440001,25.77,23.939695,15900
2010-04-06,25.950001,26.09,25.51,25.959999,24.116199,6600
2010-04-07,25.620001,26.41,25.26,25.52,23.707449,10600
2010-04-08,25.540001,26.129999,25.309999,25.91,24.069748,16000
2010-04-09,26.219999,26.219999,25.48,26.030001,24.181223,6900
2010-04-12,26.16,26.459999,26.0,26.040001,24.190517,13300
2010-04-13,25.700001,26.01,25.610001,25.93,24.088327,5500
2010-04-14,26.08,26.15,25.83,26.1,24.246256,5100
2010-04-15,26.02,26.940001,25.82,26.889999,24.980146,13700
2010-04-16,26.879999,26.9,26.34,26.52,24.636421,8400
2010-04-19,26.459999,26.799999,26.370001,26.43,24.552822,2900
2010-04-20,26.610001,27.1,26.610001,27.030001,25.110203,3800
2010-04-21,27.219999,27.25,27.08,27.24,25.305285,3100
2010-04-22,27.1,27.6,27.1,27.6,25.639719,4100
2010-04-23,27.200001,27.389999,26.93,27.07,25.147364,9600
2010-04-26,27.219999,27.389999,26.77,27.33,25.388893,8700
2010-04-27,27.27,27.27,26.309999,26.440001,24.562115,4100
2010-04-28,26.92,27.07,26.379999,26.76,24.859373,2300
2010-04-29,26.9,27.24,26.85,27.040001,25.119486,5300
2010-04-30,27.26,27.26,26.540001,26.68,24.785065,7800
2010-05-03,26.75,27.6,26.75,27.5,25.546824,9200
2010-05-04,27.18,27.389999,26.709999,26.959999,25.045176,5300
2010-05-05,26.75,26.99,26.440001,26.48,24.599266,10500
2010-05-06,26.48,26.66,25.139999,25.35,23.549524,21800
2010-05-07,25.41,25.940001,24.16,24.33,22.601971,21800
2010-05-10,25.17,25.76,24.68,25.75,23.921112,12100
2010-05-11,25.34,26.91,25.34,26.290001,24.422762,8800
2010-05-12,26.51,27.0,26.1,26.98,25.063742,10800
2010-05-13,27.08,27.24,26.67,27.219999,25.286705,8800
2010-05-14,26.950001,26.950001,26.1,26.23,24.367022,5600
2010-05-17,26.42,26.799999,25.85,26.58,24.692162,11900
2010-05-18,26.950001,26.950001,26.459999,26.459999,24.580683,3500
2010-05-19,26.129999,26.59,25.58,26.26,24.39488,7200
2010-05-20,25.700001,26.17,25.110001,25.120001,23.335857,14900
2010-05-21,24.66,25.139999,24.469999,24.700001,22.94569,16200
2010-05-24,25.059999,25.43,24.440001,24.629999,22.880659,7100
2010-05-25,24.09,24.98,24.09,24.48,22.741316,5600
2010-05-26,24.690001,25.049999,24.110001,24.870001,23.103617,31400
2010-05-27,24.889999,25.98,24.889999,25.98,24.134775,23000
2010-05-28,26.219999,26.219999,25.4,25.4,23.595974,6500
2010-06-01,25.209999,25.209999,24.32,24.32,22.592676,13900
2010-06-02,24.870001,25.639999,24.58,25.59,23.772476,21500
2010-06-03,25.959999,25.959999,25.030001,25.24,23.447338,11700
2010-06-04,24.790001,25.23,24.24,24.24,22.518358,18400
2010-06-07,24.41,24.790001,23.76,23.99,22.286121,20400
2010-06-08,23.809999,24.01,23.639999,23.67,21.988842,5600
2010-06-09,23.84,23.84,23.27,23.49,21.821627,5300
2010-06-10,23.719999,24.1,22.809999,23.530001,21.858791,42100
2010-06-11,23.389999,23.51,22.92,23.4,21.738024,22400
2010-06-14,23.540001,23.540001,23.049999,23.23,21.580095,35000
2010-06-15,23.4,24.42,22.709999,24.18,22.462622,93000
2010-06-16,24.09,24.610001,23.799999,24.139999,22.425465,14400
2010-06-17,24.459999,24.5,23.74,24.360001,22.629839,11700
2010-06-18,24.549999,24.629999,24.02,24.280001,22.555521,29100
2010-06-21,24.620001,24.950001,24.059999,24.41,22.676287,11100
2010-06-22,24.48,24.870001,24.030001,24.07,22.360432,9200
2010-06-23,23.889999,25.0,23.889999,24.049999,22.341848,8800
2010-06-24,24.35,24.58,23.870001,24.25,22.527655,12100
2010-06-25,24.0,24.57,23.549999,24.1,22.388304,156300
2010-06-28,24.23,24.23,23.51,23.860001,22.165356,12400
2010-06-29,23.52,23.540001,23.02,23.059999,21.422169,10000
2010-06-30,23.049999,23.469999,22.9,22.98,21.347847,10600
2010-07-01,22.27,22.74,22.25,22.48,20.883362,9400
2010-07-02,22.389999,22.5,22.35,22.370001,20.781178,6700
2010-07-06,22.99,23.200001,22.360001,22.5,20.901943,10500
2010-07-07,22.549999,22.73,22.25,22.700001,21.087734,8200
2010-07-08,22.74,22.84,22.290001,22.84,21.217791,15500
2010-07-09,22.66,22.809999,22.280001,22.57,20.966972,11200
2010-07-12,22.57,22.74,22.309999,22.530001,20.92981,3400
2010-07-13,22.74,23.17,22.43,23.0,21.366425,12700
2010-07-14,22.84,23.299999,22.51,22.82,21.199221,31500
2010-07-15,23.15,23.15,22.25,22.4,20.809042,9700
2010-07-16,22.190001,22.25,21.700001,21.76,20.2145,19800
2010-07-19,21.700001,21.84,20.98,21.17,19.666401,8800
2010-07-20,20.99,22.280001,20.67,21.77,20.223787,15700
2010-07-21,21.92,21.940001,20.98,21.030001,19.536343,7300
2010-07-22,21.25,21.870001,21.139999,21.639999,20.10302,7400
2010-07-23,21.559999,22.700001,21.559999,22.66,21.050579,19900
2010-07-26,24.15,25.6,23.639999,25.469999,23.660999,82500
2010-07-27,25.690001,26.219999,25.01,25.440001,23.633133,17000
2010-07-28,25.93,25.93,24.98,24.98,23.205799,16900
2010-07-29,25.1,25.48,24.440001,24.440001,22.704153,16600
2010-07-30,24.35,25.33,24.110001,24.360001,22.629839,14900
2010-08-02,24.639999,24.99,24.549999,24.82,23.057171,7800
2010-08-03,25.0,25.110001,24.49,24.719999,22.964268,12200
2010-08-04,24.9,24.9,24.51,24.780001,23.02001,7000
2010-08-05,24.440001,24.84,24.309999,24.309999,22.583387,10400
2010-08-06,24.23,24.73,23.799999,24.52,22.778473,13200
2010-08-09,24.639999,24.860001,24.08,24.49,22.750607,9000
2010-08-10,24.25,24.59,24.01,24.129999,22.416172,5600
2010-08-11,24.0,24.08,23.299999,23.299999,21.645128,27400
2010-08-12,23.1,23.620001,22.969999,22.969999,21.338566,13200
2010-08-13,22.969999,22.969999,22.370001,22.370001,20.781178,13800
2010-08-16,22.110001,23.799999,22.09,22.309999,20.725435,14000
2010-08-17,22.5,23.059999,22.18,22.84,21.217791,16600
2010-08-18,22.959999,23.32,22.5,22.68,21.069164,11200
2010-08-19,22.66,22.66,22.030001,22.07,20.502487,12400
2010-08-20,22.030001,22.129999,21.889999,21.92,20.363136,25400
2010-08-23,21.98,22.48,21.559999,21.620001,20.08445,9800
2010-08-24,21.5,21.68,20.82,20.91,19.424881,26000
2010-08-25,20.58,21.48,20.58,21.4,19.880072,24500
2010-08-26,21.6,21.639999,20.59,20.76,19.285528,17000
2010-08-27,21.299999,21.299999,20.58,21.09,19.592091,16900
2010-08-30,21.049999,21.440001,20.549999,20.59,19.127602,8400
2010-08-31,20.5,20.790001,20.389999,20.6,19.136889,7000
2010-09-01,20.790001,21.25,20.780001,21.219999,19.712858,11800
2010-09-02,21.200001,21.200001,20.700001,20.92,19.434168,8400
2010-09-03,21.07,21.34,21.07,21.25,19.740726,5400
2010-09-07,21.07,21.280001,20.879999,20.879999,19.396999,6500
2010-09-08,21.23,21.440001,20.940001,21.110001,19.610666,6900
2010-09-09,22.110001,22.15,21.17,21.27,19.759302,4900
