Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,22.0,25.99,21.67,25.0,25.0,8110200
2018-10-12,26.9,27.4,25.530001,26.809999,26.809999,2197400
2018-10-15,27.459999,27.719999,25.549999,26.959999,26.959999,1345600
2018-10-16,27.040001,27.620001,25.6,25.870001,25.870001,939100
2018-10-17,26.0,26.110001,24.16,24.98,24.98,2139500
2018-10-18,24.66,25.23,23.700001,23.799999,23.799999,1267800
2018-10-19,23.879999,24.4,23.0,23.4,23.4,444500
2018-10-22,23.4,23.92,22.459999,23.0,23.0,514100
2018-10-23,22.879999,23.809999,22.700001,22.84,22.84,426800
2018-10-24,23.0,24.549999,22.200001,22.5,22.5,1742500
2018-10-25,22.4,23.49,22.23,22.559999,22.559999,1071400
2018-10-26,22.77,23.34,22.68,23.0,23.0,368300
2018-10-29,23.4,24.469999,22.91,23.02,23.02,364200
2018-10-30,23.870001,24.780001,23.01,23.809999,23.809999,265500
2018-10-31,24.469999,24.469999,23.58,24.01,24.01,361800
2018-11-01,24.33,27.049999,24.02,26.950001,26.950001,402200
2018-11-02,27.32,28.1,27.0,27.690001,27.690001,831400
2018-11-05,28.25,28.9,26.530001,28.35,28.35,792900
2018-11-06,28.5,33.299999,28.469999,33.299999,33.299999,1040600
2018-11-07,33.32,35.549999,31.42,32.68,32.68,1330000
2018-11-08,32.669998,34.450001,32.369999,33.240002,33.240002,596100
2018-11-09,33.07,33.529999,29.4,30.620001,30.620001,510300
2018-11-12,30.620001,31.5,27.0,27.02,27.02,426600
2018-11-13,27.23,29.200001,27.23,27.700001,27.700001,261800
2018-11-14,27.959999,29.16,24.9,25.01,25.01,1082600
2018-11-15,25.0,27.440001,24.85,26.93,26.93,375600
2018-11-16,26.66,28.5,26.66,27.98,27.98,463200
2018-11-19,27.950001,28.809999,26.129999,26.530001,26.530001,435200
2018-11-20,26.469999,26.82,24.76,25.540001,25.540001,301800
2018-11-21,26.02,26.790001,25.59,25.59,25.59,233600
2018-11-23,25.51,27.34,25.51,26.52,26.52,63500
2018-11-26,27.25,27.799999,26.530001,27.66,27.66,247000
2018-11-27,27.51,29.299999,26.84,28.389999,28.389999,241300
2018-11-28,28.690001,30.66,27.9,30.5,30.5,448800
2018-11-29,30.110001,31.879999,29.709999,31.030001,31.030001,384000
2018-11-30,31.15,33.110001,31.15,31.280001,31.280001,526900
2018-12-03,31.91,33.490002,31.540001,31.690001,31.690001,441400
2018-12-04,31.780001,33.959999,29.950001,30.450001,30.450001,671500
2018-12-06,29.940001,30.309999,25.99,27.07,27.07,1439500
2018-12-07,27.049999,28.15,26.0,26.280001,26.280001,520800
2018-12-10,26.299999,28.01,26.23,26.52,26.52,622000
2018-12-11,27.059999,27.59,25.870001,25.99,25.99,557100
2018-12-12,26.559999,27.280001,26.1,26.209999,26.209999,324200
2018-12-13,26.17,26.74,25.52,26.139999,26.139999,310200
2018-12-14,25.67,27.91,25.51,26.219999,26.219999,552000
2018-12-17,26.25,26.709999,24.5,25.42,25.42,476000
2018-12-18,25.559999,26.18,25.0,25.690001,25.690001,615300
2018-12-19,25.76,27.33,25.0,25.57,25.57,603500
2018-12-20,25.32,26.290001,24.299999,24.719999,24.719999,1008900
2018-12-21,24.969999,25.780001,23.58,24.139999,24.139999,4211600
2018-12-24,23.5,24.549999,23.5,24.120001,24.120001,167700
2018-12-26,24.68,26.16,24.34,25.33,25.33,401000
2018-12-27,25.0,25.35,23.370001,24.76,24.76,352200
2018-12-28,24.75,26.129999,24.16,25.9,25.9,217900
2018-12-31,26.290001,26.940001,24.76,26.93,26.93,403100
2019-01-02,26.620001,28.049999,25.9,27.559999,27.559999,694700
2019-01-03,27.52,27.629999,25.76,26.0,26.0,272700
2019-01-04,26.780001,27.42,26.110001,26.469999,26.469999,413500
2019-01-07,26.75,28.370001,26.75,27.389999,27.389999,581600
2019-01-08,27.93,27.950001,26.23,27.059999,27.059999,296500
2019-01-09,27.219999,27.629999,26.790001,27.33,27.33,235300
2019-01-10,27.280001,28.83,26.76,28.1,28.1,424700
2019-01-11,28.09,29.9,28.09,29.51,29.51,504700
2019-01-14,29.370001,29.5,28.43,28.459999,28.459999,451500
2019-01-15,28.59,28.950001,27.1,27.950001,27.950001,253800
2019-01-16,28.0,29.41,27.370001,28.790001,28.790001,200000
2019-01-17,28.75,29.73,27.709999,28.190001,28.190001,304400
2019-01-18,28.469999,28.780001,28.0,28.58,28.58,324000
2019-01-22,28.5,28.91,27.25,27.780001,27.780001,234100
2019-01-23,27.9,28.459999,27.040001,27.809999,27.809999,139100
2019-01-24,27.92,28.700001,27.219999,28.65,28.65,194400
2019-01-25,28.780001,29.85,28.620001,29.540001,29.540001,237000
2019-01-28,29.450001,30.620001,28.889999,29.52,29.52,272300
2019-01-29,29.540001,30.32,29.540001,29.860001,29.860001,236300
2019-01-30,30.1,30.700001,29.370001,30.299999,30.299999,337300
2019-01-31,30.25,31.4,29.969999,30.33,30.33,429800
2019-02-01,30.370001,31.219999,30.18,30.77,30.77,251900
2019-02-04,30.77,32.419998,30.719999,31.58,31.58,290700
2019-02-05,31.799999,32.32,30.049999,31.0,31.0,414600
2019-02-06,31.16,31.370001,30.16,30.84,30.84,212000
2019-02-07,30.620001,31.709999,29.780001,30.129999,30.129999,473800
2019-02-08,29.91,30.99,29.709999,30.120001,30.120001,237400
2019-02-11,30.309999,30.99,29.83,30.27,30.27,384300
2019-02-12,30.52,32.349998,30.139999,31.5,31.5,283800
2019-02-13,31.629999,32.419998,31.629999,31.940001,31.940001,308300
2019-02-14,31.860001,32.470001,31.09,31.139999,31.139999,247600
2019-02-15,31.129999,31.92,30.219999,31.24,31.24,337000
2019-02-19,31.24,31.969999,31.08,31.870001,31.870001,199200
2019-02-20,32.02,32.23,30.549999,30.690001,30.690001,291700
2019-02-21,30.68,30.780001,29.41,30.68,30.68,178600
2019-02-22,30.65,31.48,30.4,31.07,31.07,155000
2019-02-25,31.66,32.529999,31.57,31.73,31.73,370800
2019-02-26,31.709999,32.0,31.27,31.77,31.77,151600
2019-02-27,31.530001,33.48,31.530001,32.540001,32.540001,588900
2019-02-28,32.599998,32.900002,31.5,31.690001,31.690001,386000
2019-03-01,32.099998,32.34,30.6,31.34,31.34,526500
2019-03-04,31.370001,32.25,30.76,31.940001,31.940001,601500
2019-03-05,31.959999,32.41,31.299999,31.52,31.52,369300
2019-03-06,31.450001,32.029999,29.59,29.639999,29.639999,275600
2019-03-07,29.65,30.43,29.450001,29.65,29.65,202600
2019-03-08,29.540001,29.540001,27.26,28.379999,28.379999,688100
2019-03-11,28.469999,28.549999,27.68,28.26,28.26,540300
2019-03-12,28.27,28.370001,26.33,26.719999,26.719999,818100
2019-03-13,26.799999,27.1,25.709999,26.889999,26.889999,770900
2019-03-14,27.469999,28.27,26.33,26.530001,26.530001,624500
2019-03-15,26.85,27.309999,25.719999,26.74,26.74,2262900
2019-03-18,26.74,27.52,25.73,26.83,26.83,656900
2019-03-19,26.74,27.17,25.799999,26.299999,26.299999,410900
2019-03-20,26.209999,26.51,25.799999,25.959999,25.959999,271700
2019-03-21,25.83,27.5,25.83,27.280001,27.280001,359100
2019-03-22,27.139999,27.299999,25.530001,25.549999,25.549999,1027900
2019-03-25,25.690001,26.17,24.6,24.82,24.82,696800
2019-03-26,24.92,25.719999,24.799999,25.65,25.65,354700
2019-03-27,25.68,26.24,25.52,26.190001,26.190001,438300
2019-03-28,26.41,27.870001,26.120001,27.049999,27.049999,358000
2019-03-29,27.809999,29.389999,27.17,28.91,28.91,513400
2019-04-01,29.16,29.58,28.440001,28.73,28.73,300200
2019-04-02,28.76,29.09,27.959999,28.120001,28.120001,206500
2019-04-03,28.309999,28.540001,27.51,27.799999,27.799999,201100
2019-04-04,27.76,28.23,27.610001,27.93,27.93,393600
2019-04-05,28.02,28.299999,27.5,27.969999,27.969999,286800
2019-04-08,27.93,27.93,27.0,27.48,27.48,292100
2019-04-09,27.5,27.809999,26.709999,26.959999,26.959999,422800
2019-04-10,27.0,27.48,26.83,27.0,27.0,371800
2019-04-11,27.0,27.0,26.559999,26.6,26.6,534000
2019-04-12,26.6,26.790001,26.200001,26.32,26.32,602200
2019-04-15,26.09,26.92,25.719999,25.940001,25.940001,569300
2019-04-16,26.1,26.299999,25.870001,26.27,26.27,292100
2019-04-17,26.41,26.41,25.27,25.559999,25.559999,411200
2019-04-18,25.67,26.0,25.200001,25.950001,25.950001,280900
2019-04-22,25.65,26.120001,25.51,25.790001,25.790001,280200
2019-04-23,25.85,27.0,25.530001,26.93,26.93,314300
2019-04-24,26.889999,27.65,26.440001,27.559999,27.559999,430600
2019-04-25,27.48,28.17,27.24,27.940001,27.940001,242600
2019-04-26,27.91,30.4,27.690001,29.85,29.85,549500
2019-04-29,29.950001,29.950001,28.77,29.799999,29.799999,382700
2019-04-30,29.82,30.059999,29.42,29.950001,29.950001,339600
2019-05-01,29.790001,30.200001,29.25,29.469999,29.469999,480900
2019-05-02,29.469999,29.75,29.16,29.719999,29.719999,523000
2019-05-03,30.129999,30.280001,29.83,30.23,30.23,381100
2019-05-06,29.629999,31.190001,29.26,31.09,31.09,318200
2019-05-07,29.77,30.99,29.75,29.790001,29.790001,529000
2019-05-08,29.610001,30.950001,29.190001,30.440001,30.440001,409800
2019-05-09,30.139999,30.469999,29.77,30.02,30.02,519700
2019-05-10,29.809999,30.42,29.360001,30.309999,30.309999,419900
2019-05-13,29.77,30.1,28.98,29.82,29.82,392600
2019-05-14,29.879999,31.559999,29.67,31.040001,31.040001,454900
2019-05-15,30.77,31.4,27.549999,28.559999,28.559999,1357500
2019-05-16,28.65,29.77,28.65,29.76,29.76,358800
