Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,0.7125,1.125,0.7125,0.7125,0.7125,0
2010-01-05,0.7125,1.125,0.7125,0.7125,0.7125,0
2010-01-06,0.7125,1.025,0.7125,0.7125,0.7125,0
2010-01-07,0.7125,1.025,0.7125,0.7125,0.7125,0
2010-01-08,0.725,1.0,0.725,0.725,0.725,0
2010-01-11,0.75,1.025,0.75,0.75,0.75,0
2010-01-12,0.7625,0.7625,0.7625,0.7625,0.7625,116000
2010-01-13,0.825,1.05,0.825,0.825,0.825,0
2010-01-14,0.825,1.05,0.825,0.825,0.825,0
2010-01-15,0.825,1.05,0.825,0.825,0.825,0
2010-01-19,0.825,1.125,0.825,0.825,0.825,0
2010-01-20,0.825,1.0875,0.825,0.825,0.825,0
2010-01-21,0.825,1.0875,0.825,0.825,0.825,0
2010-01-22,0.85,1.0875,0.85,0.85,0.85,0
2010-01-25,0.85,1.0875,0.85,0.85,0.85,0
2010-01-26,0.8625,1.0875,0.8625,0.8625,0.8625,0
2010-01-27,0.875,1.1375,0.875,0.875,0.875,0
2010-01-28,0.8875,1.125,0.8875,0.8875,0.8875,0
2010-01-29,0.8875,1.125,0.8875,0.8875,0.8875,0
2010-02-01,0.9125,1.125,0.9125,0.9125,0.9125,0
2010-02-02,0.0349,0.0364,0.0349,0.0355,0.0355,386000
2010-02-03,0.925,1.075,0.925,0.925,0.925,0
2010-02-04,0.925,1.075,0.925,0.925,0.925,0
2010-02-05,0.9375,1.05,0.9375,0.9375,0.9375,0
2010-02-08,1.0,1.0,1.0,1.0,1.0,44000
2010-02-09,1.0,1.05,1.0,1.0,1.0,0
2010-02-10,0.9375,1.05,0.9375,0.9375,0.9375,0
2010-02-11,0.9375,1.025,0.9375,0.9375,0.9375,0
2010-02-12,1.025,1.025,1.025,1.025,1.025,4000
2010-02-16,0.825,1.05,0.825,0.825,0.825,0
2010-02-17,1.0,1.0,1.0,1.0,1.0,4000
2010-02-18,1.0,1.05,1.0,1.0,1.0,0
2010-02-19,1.05,1.05,1.0,1.0,1.0,64000
2010-02-22,1.05,1.05,1.05,1.05,1.05,4000
2010-02-23,1.0625,1.0625,1.0625,1.0625,1.0625,4000
2010-02-24,1.0125,1.1,1.0125,1.0125,1.0125,0
