Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.05,14.57,14.03,14.3,11.63747,18615100
2010-01-05,14.24,14.38,14.04,14.19,11.547951,15173200
2010-01-06,14.23,14.4,14.1,14.16,11.523536,13704800
2010-01-07,14.14,14.21,13.96,14.01,11.401463,21543200
2010-01-08,14.24,14.59,14.11,14.55,11.840925,41212100
2010-01-11,14.84,14.94,14.45,14.87,12.101341,33667800
2010-01-12,14.76,14.77,14.03,14.2,11.556092,40350900
2010-01-13,14.29,14.42,13.92,14.27,11.613054,25137300
2010-01-14,14.22,14.38,14.02,14.35,11.678161,26920500
2010-01-15,14.16,14.34,13.67,13.73,11.173597,36020100
2010-01-19,13.77,14.02,13.75,13.97,11.368915,14620900
2010-01-20,13.83,13.89,13.65,13.8,11.230567,19220200
2010-01-21,13.86,14.09,13.52,13.58,11.051528,25265000
2010-01-22,13.35,13.39,12.61,12.63,10.278406,48104300
2010-01-25,12.66,12.94,12.59,12.64,10.286549,39765000
2010-01-26,12.72,13.01,12.64,12.65,10.294683,36897100
2010-01-27,12.75,13.07,12.69,13.04,10.612073,30448800
2010-01-28,13.08,13.09,12.35,12.61,10.262136,35016600
2010-01-29,12.78,12.85,12.15,12.18,9.912192,25601600
2010-02-01,12.34,12.56,12.23,12.52,10.188891,20227300
2010-02-02,12.59,12.59,12.35,12.51,10.180753,21525000
2010-02-03,12.35,12.48,12.12,12.28,9.993577,36170300
2010-02-04,12.22,12.22,11.66,11.8,9.602947,40737400
2010-02-05,11.8,12.27,11.68,12.23,9.952887,43781500
2010-02-08,12.25,12.33,12.03,12.07,9.82268,17976400
2010-02-09,12.24,12.4,12.04,12.15,9.88778,21123700
2010-02-10,12.2,12.32,12.1,12.23,9.952887,17213400
2010-02-11,12.22,12.53,12.06,12.47,10.148202,18388100
2010-02-12,12.3,12.72,12.15,12.47,10.148202,23748600
2010-02-16,12.67,12.97,12.56,12.95,10.538829,21663600
2010-02-17,13.09,13.15,12.75,12.99,10.571382,25202600
2010-02-18,12.78,12.79,12.31,12.68,10.319101,45212200
2010-02-19,12.62,12.64,12.35,12.5,10.172613,29090400
