Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.95,8.0,7.65,7.65,7.284894,20000
2010-01-05,7.73,8.14,7.73,7.91,7.532485,137700
2010-01-06,7.99,7.99,7.73,7.95,7.570576,14100
2010-01-07,7.94,7.98,7.78,7.85,7.475348,3200
2010-01-08,7.75,7.9,7.75,7.85,7.475348,3200
2010-01-11,7.76,8.0,7.76,8.0,7.618189,6400
2010-01-12,7.81,8.0,7.8,8.0,7.618189,2800
2010-01-13,8.05,8.05,7.85,8.0,7.618189,12800
2010-01-14,7.91,8.03,7.9,8.03,7.646757,1400
2010-01-15,8.12,8.22,8.05,8.15,7.761029,3400
2010-01-19,8.25,8.5,8.1,8.24,7.846736,271800
2010-01-20,8.06,8.25,8.06,8.25,7.856258,6000
2010-01-21,8.25,8.5,8.25,8.34,7.941964,14100
2010-01-22,8.38,8.38,8.05,8.08,7.694371,3400
2010-01-25,8.04,8.23,7.9,7.9,7.522962,4100
2010-01-26,7.92,8.0,7.86,7.96,7.580098,20100
2010-01-27,7.9,7.9,7.83,7.83,7.456303,13000
2010-01-28,7.89,8.04,7.89,8.0,7.618189,7200
2010-01-29,7.9,8.01,7.9,8.0,7.618189,67800
2010-02-01,8.0,8.05,7.76,7.9,7.522962,13100
2010-02-02,7.86,8.05,7.77,8.05,7.665803,15600
2010-02-03,7.86,8.05,7.85,8.0,7.618189,26300
2010-02-04,7.82,8.22,7.8,8.0,7.618189,5800
2010-02-05,8.14,8.15,7.85,8.0,7.618189,4400
2010-02-08,8.0,8.0,8.0,8.0,7.618189,1000
2010-02-09,7.95,8.0,7.85,7.95,7.570576,11300
2010-02-10,7.99,7.99,7.9,7.9,7.522962,12400
2010-02-11,7.9,7.9,7.8,7.8,7.427734,300000
2010-02-12,7.83,8.0,7.8,8.0,7.618189,10200
2010-02-16,7.81,7.92,7.81,7.9,7.522962,2700
2010-02-17,8.0,8.0,7.85,7.85,7.475348,1800
2010-02-18,7.85,7.85,7.85,7.85,7.475348,0
2010-02-19,7.8,7.83,7.75,7.76,7.389644,2900
2010-02-22,7.75,7.81,7.75,7.8,7.427734,3000
2010-02-23,7.8,7.8,7.7,7.7,7.332507,3300
2010-02-24,7.75,7.75,7.7,7.7,7.332507,1000
2010-02-25,7.86,7.89,7.65,7.65,7.284894,4100
2010-02-26,7.68,7.87,7.66,7.79,7.418212,600
2010-03-01,7.66,7.66,7.65,7.65,7.284894,2100
2010-03-02,7.65,7.65,7.65,7.65,7.284894,0
2010-03-03,7.65,7.8,7.65,7.75,7.380121,6700
2010-03-04,7.69,7.99,7.65,7.72,7.351553,2700
2010-03-05,7.75,7.75,7.75,7.75,7.380121,600
2010-03-08,7.75,8.0,7.5,7.55,7.189666,4000
2010-03-09,7.55,7.71,7.5,7.69,7.322985,8700
2010-03-10,7.51,7.51,7.5,7.5,7.142053,1700
2010-03-11,7.5,7.75,7.5,7.75,7.380121,7600
2010-03-12,7.67,7.8,7.65,7.75,7.380121,3300
2010-03-15,7.6,8.0,7.6,7.99,7.608666,14700
2010-03-16,7.96,7.99,7.71,7.73,7.361076,5400
2010-03-17,7.95,7.95,7.75,7.75,7.380121,2200
2010-03-18,7.86,7.95,7.75,7.85,7.475348,1400
2010-03-19,7.9,7.95,7.76,7.95,7.570576,9600
2010-03-22,7.88,7.9,7.8,7.83,7.456303,3600
