Date,Open,High,Low,Close,Adj Close,Volume
2019-11-05,9.78,9.78,9.78,9.78,9.78,150000
2019-11-06,9.78,9.78,9.78,9.78,9.78,250000
2019-11-07,9.78,9.78,9.78,9.78,9.78,0
2019-11-08,9.78,9.78,9.78,9.78,9.78,0
2019-11-11,9.78,9.78,9.78,9.78,9.78,0
2019-11-12,9.78,9.78,9.78,9.78,9.78,0
2019-11-13,9.78,9.78,9.78,9.78,9.78,0
2019-11-14,9.78,9.78,9.78,9.78,9.78,0
2019-11-15,9.78,9.78,9.78,9.78,9.78,0
2019-11-18,9.961,9.961,9.961,9.961,9.961,100
2019-11-19,10.059,10.059,10.059,10.059,10.059,100
2019-11-20,10.059,10.059,10.059,10.059,10.059,0
2019-11-21,10.059,10.059,10.059,10.059,10.059,100
2019-11-22,10.059,10.059,10.059,10.059,10.059,0
2019-11-25,10.25,10.25,10.25,10.25,10.25,100
2019-11-26,10.25,10.25,10.25,10.25,10.25,0
2019-11-27,10.25,10.25,10.25,10.25,10.25,0
2019-11-29,10.25,10.25,10.25,10.25,10.25,0
2019-12-02,10.25,10.25,10.25,10.25,10.25,0
2019-12-03,10.25,10.25,10.25,10.25,10.25,0
2019-12-04,10.183,10.183,9.82,9.89,9.89,252000
2019-12-05,9.89,9.89,9.89,9.89,9.89,0
2019-12-06,9.89,9.89,9.89,9.89,9.89,0
2019-12-09,9.85,9.9,9.82,9.85,9.85,712700
2019-12-10,9.85,9.85,9.85,9.85,9.85,0
2019-12-11,9.85,9.85,9.85,9.85,9.85,0
2019-12-12,9.85,9.85,9.85,9.85,9.85,0
2019-12-13,9.85,9.85,9.85,9.85,9.85,0
2019-12-16,9.85,9.85,9.85,9.85,9.85,0
2019-12-17,9.97,10.43,9.85,10.43,10.43,157500
2019-12-18,9.915,9.975,9.915,9.915,9.915,400
2019-12-19,9.915,9.915,9.915,9.915,9.915,0
2019-12-20,9.915,9.915,9.915,9.915,9.915,0
2019-12-23,9.915,9.915,9.915,9.915,9.915,0
2019-12-24,9.915,9.915,9.915,9.915,9.915,0
2019-12-26,9.85,9.9,9.85,9.9,9.9,1100
2019-12-27,9.9,9.9,9.9,9.9,9.9,0
2019-12-30,9.88,9.88,9.87,9.87,9.87,102100
