Date,Open,High,Low,Close,Adj Close,Volume
2019-09-17,10.11,10.15,10.08,10.15,10.15,4155200
2019-09-18,10.13,10.15,10.12,10.14,10.14,901700
2019-09-19,10.16,10.16,10.13,10.13,10.13,184000
2019-09-20,10.15,10.15,10.13,10.15,10.15,108800
2019-09-23,10.15,10.17,10.15,10.15,10.15,172900
2019-09-24,10.17,10.17,10.14,10.149,10.149,13100
2019-09-25,10.14,10.25,10.14,10.15,10.15,23000
2019-09-26,10.15,10.15,10.15,10.15,10.15,0
2019-09-27,10.17,10.19,10.17,10.19,10.19,204100
2019-09-30,10.17,10.19,10.16,10.19,10.19,60000
2019-10-01,10.19,10.197,10.19,10.19,10.19,1500
2019-10-02,10.184,10.184,10.18,10.18,10.18,29600
2019-10-03,10.18,10.18,10.175,10.18,10.18,3400
2019-10-04,10.186,10.186,10.186,10.186,10.186,200
2019-10-07,10.187,10.19,10.18,10.18,10.18,3400
2019-10-08,10.18,10.186,10.17,10.183,10.183,501300
2019-10-09,10.2,10.2,10.2,10.2,10.2,100
2019-10-10,10.2,10.207,10.18,10.207,10.207,6000
2019-10-11,10.0,10.25,10.0,10.2,10.2,61400
2019-10-14,10.25,10.25,10.2,10.2,10.2,6200
2019-10-15,10.2,10.24,10.2,10.24,10.24,12000
2019-10-16,10.22,10.24,10.2,10.24,10.24,19100
2019-10-17,10.19,10.28,10.18,10.25,10.25,90700
2019-10-18,10.22,10.24,10.22,10.24,10.24,109700
2019-10-21,10.18,10.24,10.18,10.24,10.24,36100
2019-10-22,10.25,10.25,10.22,10.24,10.24,26200
2019-10-23,10.24,10.24,10.225,10.225,10.225,10500
2019-10-24,10.201,10.25,10.201,10.25,10.25,9800
2019-10-25,10.21,10.255,10.21,10.247,10.247,12800
2019-10-28,10.24,10.28,10.216,10.28,10.28,29100
2019-10-29,10.28,10.28,10.28,10.28,10.28,0
2019-10-30,10.18,10.3,10.18,10.285,10.285,25700
2019-10-31,10.25,10.28,10.25,10.25,10.25,689700
2019-11-01,10.3,10.3,10.27,10.27,10.27,1500
2019-11-04,10.25,10.27,10.25,10.27,10.27,800
2019-11-05,10.3,10.3,10.3,10.3,10.3,319000
2019-11-06,10.29,10.32,10.27,10.32,10.32,27200
2019-11-07,10.1,10.35,10.1,10.35,10.35,8900
2019-11-08,10.29,10.35,10.27,10.35,10.35,4000
2019-11-11,10.296,10.34,10.27,10.34,10.34,400
2019-11-12,10.27,10.33,10.27,10.33,10.33,600
2019-11-13,10.31,10.33,10.31,10.33,10.33,200
2019-11-14,10.33,10.33,10.33,10.33,10.33,0
2019-11-15,10.34,10.34,10.34,10.34,10.34,400
2019-11-18,10.297,10.297,10.297,10.297,10.297,500
2019-11-19,10.27,10.3,10.27,10.29,10.29,100800
2019-11-20,10.286,10.32,10.27,10.32,10.32,21800
2019-11-21,10.294,10.32,10.294,10.32,10.32,15000
2019-11-22,10.295,10.295,10.295,10.295,10.295,100
2019-11-25,10.28,10.32,10.28,10.32,10.32,700
2019-11-26,10.289,10.32,10.289,10.32,10.32,600
2019-11-27,10.32,10.32,10.27,10.27,10.27,3300
2019-11-29,10.31,10.31,10.31,10.31,10.31,5700
2019-12-02,10.35,10.35,10.35,10.35,10.35,1100
2019-12-03,10.33,10.35,10.294,10.35,10.35,5500
2019-12-04,10.32,10.32,10.292,10.32,10.32,101300
2019-12-05,10.32,10.32,10.291,10.32,10.32,6100
2019-12-06,10.32,10.4,10.28,10.32,10.32,14900
2019-12-09,10.35,10.35,10.3,10.325,10.325,11900
2019-12-10,10.29,10.4,10.273,10.35,10.35,5700
2019-12-11,10.35,10.35,10.35,10.35,10.35,0
2019-12-12,10.32,10.4,10.25,10.35,10.35,32900
2019-12-13,10.32,10.39,10.32,10.39,10.39,97100
2019-12-16,10.39,10.39,10.39,10.39,10.39,0
2019-12-17,10.33,10.4,10.33,10.4,10.4,192200
2019-12-18,10.385,10.4,10.385,10.39,10.39,3300
2019-12-19,10.39,10.39,10.39,10.39,10.39,0
2019-12-20,10.39,10.39,10.39,10.39,10.39,0
2019-12-23,10.39,10.39,10.39,10.39,10.39,0
2019-12-24,11.2,11.2,10.32,10.55,10.55,500
2019-12-26,10.55,10.55,10.55,10.55,10.55,0
2019-12-27,10.47,10.5,10.47,10.5,10.5,5100
2019-12-30,10.5,10.5,10.5,10.5,10.5,500
