Date,Open,High,Low,Close,Adj Close,Volume
2017-11-14,0.5,0.5,0.5,0.5,0.5,2000
2017-11-15,1.0,1.0,1.0,1.0,1.0,2000
2017-11-16,1.0,1.0,1.0,1.0,1.0,0
2017-11-17,1.0,1.0,1.0,1.0,1.0,0
2017-11-20,1.0,1.0,1.0,1.0,1.0,0
2017-11-21,1.0,1.0,1.0,1.0,1.0,0
2017-11-22,1.0,1.0,1.0,1.0,1.0,0
2017-11-24,1.0,1.0,1.0,1.0,1.0,0
2017-11-27,1.0,1.0,1.0,1.0,1.0,0
2017-11-28,1.0,1.0,1.0,1.0,1.0,0
2017-11-29,1.0,1.0,1.0,1.0,1.0,0
2017-11-30,1.0,1.0,1.0,1.0,1.0,0
2017-12-01,1.0,1.0,1.0,1.0,1.0,0
2017-12-04,1.0,1.0,1.0,1.0,1.0,0
2017-12-05,1.0,1.0,1.0,1.0,1.0,0
2017-12-06,1.0,1.0,1.0,1.0,1.0,0
2017-12-07,1.0,1.0,1.0,1.0,1.0,0
2017-12-08,1.41,1.41,1.25,1.25,1.25,1200
2017-12-11,1.06,1.06,1.05,1.05,1.05,600
2017-12-12,1.05,1.05,1.05,1.05,1.05,0
2017-12-13,1.05,1.05,1.05,1.05,1.05,0
2017-12-14,1.05,1.05,1.05,1.05,1.05,0
2017-12-15,1.05,1.05,1.05,1.05,1.05,0
2017-12-18,1.05,1.05,1.05,1.05,1.05,0
2017-12-19,1.05,1.05,1.05,1.05,1.05,0
2017-12-20,1.05,1.05,1.05,1.05,1.05,0
2017-12-21,1.0,1.0,1.0,1.0,1.0,100
2017-12-22,1.0,1.0,1.0,1.0,1.0,0
2017-12-26,1.0,1.0,1.0,1.0,1.0,0
2017-12-27,1.0,1.0,1.0,1.0,1.0,0
2017-12-28,1.0,1.0,1.0,1.0,1.0,0
2017-12-29,1.0,1.0,1.0,1.0,1.0,0
2018-01-02,1.3,1.35,1.3,1.35,1.35,200
2018-01-03,1.6,1.6,1.6,1.6,1.6,200
2018-01-04,1.6,1.6,1.6,1.6,1.6,100
2018-01-05,1.6,1.6,1.6,1.6,1.6,0
2018-01-08,2.0,2.2,2.0,2.2,2.2,2800
2018-01-09,2.25,2.5,2.25,2.5,2.5,1600
2018-01-10,2.7,2.7,2.7,2.7,2.7,100
2018-01-11,2.7,2.7,2.7,2.7,2.7,0
2018-01-12,2.7,2.7,2.7,2.7,2.7,0
2018-01-16,2.7,2.7,2.7,2.7,2.7,0
2018-01-17,2.7,2.7,2.7,2.7,2.7,0
2018-01-18,2.7,2.7,2.7,2.7,2.7,0
2018-01-19,2.2,2.2,2.2,2.2,2.2,100
2018-01-22,2.2,2.2,2.2,2.2,2.2,0
2018-01-23,2.2,2.2,2.2,2.2,2.2,0
2018-01-24,2.2,2.2,2.2,2.2,2.2,0
2018-01-25,2.2,2.2,2.2,2.2,2.2,0
2018-01-26,2.2,2.2,2.2,2.2,2.2,0
2018-01-29,1.86,1.86,1.35,1.35,1.35,1000
2018-01-30,1.35,1.35,1.35,1.35,1.35,0
2018-01-31,1.35,1.35,1.35,1.35,1.35,0
2018-02-01,1.35,1.35,1.35,1.35,1.35,0
2018-02-02,1.35,1.35,1.35,1.35,1.35,0
2018-02-05,2.35,2.35,2.35,2.35,2.35,5200
2018-02-06,2.35,2.35,2.35,2.35,2.35,0
2018-02-07,2.35,2.35,2.35,2.35,2.35,0
2018-02-08,2.35,2.35,2.35,2.35,2.35,0
2018-02-09,2.35,2.35,2.35,2.35,2.35,0
2018-02-12,2.5,2.5,2.5,2.5,2.5,1000
2018-02-13,2.5,2.5,2.5,2.5,2.5,0
2018-02-14,2.5,2.5,2.5,2.5,2.5,0
2018-02-15,2.5,2.5,2.5,2.5,2.5,0
2018-02-16,1.5,1.5,1.38,1.38,1.38,1100
2018-02-20,1.38,1.38,1.38,1.38,1.38,0
2018-02-21,1.38,1.38,1.38,1.38,1.38,0
2018-02-22,1.38,1.38,1.38,1.38,1.38,0
2018-02-23,1.38,1.38,1.38,1.38,1.38,0
2018-02-26,1.38,1.38,1.38,1.38,1.38,0
2018-02-27,1.38,1.38,1.38,1.38,1.38,0
2018-02-28,1.38,1.38,1.38,1.38,1.38,0
2018-03-01,1.38,1.38,1.38,1.38,1.38,0
2018-03-02,1.38,1.38,1.38,1.38,1.38,0
2018-03-05,1.38,1.38,1.38,1.38,1.38,0
2018-03-06,1.38,1.38,1.38,1.38,1.38,0
2018-03-07,1.38,1.38,1.38,1.38,1.38,0
2018-03-08,1.38,1.38,1.38,1.38,1.38,0
2018-03-09,1.5,1.5,1.35,1.35,1.35,200
2018-03-12,1.49,1.49,1.49,1.49,1.49,350
2018-03-13,1.49,1.49,1.49,1.49,1.49,0
2018-03-14,1.3,1.3,1.0,1.0,1.0,300
2018-03-15,1.0,1.0,1.0,1.0,1.0,0
2018-03-16,1.0,1.0,1.0,1.0,1.0,0
2018-03-19,1.0,1.0,1.0,1.0,1.0,100
2018-03-20,1.0,1.0,1.0,1.0,1.0,0
2018-03-21,1.0,1.0,1.0,1.0,1.0,0
2018-03-22,1.0,1.0,1.0,1.0,1.0,0
2018-03-23,1.0,1.0,1.0,1.0,1.0,0
2018-03-26,1.0,1.0,1.0,1.0,1.0,0
2018-03-27,1.0,1.0,1.0,1.0,1.0,100
2018-03-28,1.0,1.0,1.0,1.0,1.0,0
2018-03-29,1.0,1.0,1.0,1.0,1.0,0
2018-04-02,1.0,1.0,1.0,1.0,1.0,0
2018-04-03,1.0,1.0,1.0,1.0,1.0,0
2018-04-04,1.0,1.0,1.0,1.0,1.0,0
2018-04-05,1.0,1.0,1.0,1.0,1.0,0
2018-04-06,1.0,1.0,1.0,1.0,1.0,0
2018-04-09,1.05,1.05,1.05,1.05,1.05,150
2018-04-10,1.05,1.05,1.05,1.05,1.05,0
2018-04-11,1.05,1.05,1.05,1.05,1.05,0
2018-04-12,1.05,1.05,1.05,1.05,1.05,0
2018-04-13,1.25,1.26,1.25,1.26,1.26,5800
2018-04-16,1.26,1.26,1.26,1.26,1.26,0
2018-04-17,1.26,1.26,1.26,1.26,1.26,575
2018-04-18,1.01,1.26,1.01,1.2,1.2,2075
2018-04-19,1.1,1.1,1.1,1.1,1.1,100
2018-04-20,1.15,1.15,1.15,1.15,1.15,100
2018-04-23,1.15,1.15,1.15,1.15,1.15,0
2018-04-24,1.15,1.15,1.15,1.15,1.15,0
2018-04-25,1.15,1.15,1.15,1.15,1.15,0
2018-04-26,0.89,0.89,0.888,0.888,0.888,2700
2018-04-27,1.05,1.05,1.05,1.05,1.05,100
2018-04-30,1.05,1.05,1.05,1.05,1.05,0
2018-05-01,1.05,1.05,1.05,1.05,1.05,0
2018-05-02,1.05,1.05,1.05,1.05,1.05,0
2018-05-03,1.05,1.05,1.05,1.05,1.05,0
2018-05-04,1.05,1.05,1.05,1.05,1.05,0
2018-05-07,1.05,1.05,1.05,1.05,1.05,0
2018-05-08,1.05,1.05,1.05,1.05,1.05,0
2018-05-09,1.05,1.05,1.05,1.05,1.05,0
2018-05-10,1.05,1.05,1.05,1.05,1.05,0
2018-05-11,1.12,1.12,1.12,1.12,1.12,100
2018-05-14,1.02,1.02,1.02,1.02,1.02,100
2018-05-15,1.02,1.02,1.02,1.02,1.02,0
2018-05-16,1.02,1.02,1.02,1.02,1.02,0
2018-05-17,1.02,1.02,1.02,1.02,1.02,0
2018-05-18,1.05,1.05,1.05,1.05,1.05,474
2018-05-21,1.05,1.05,1.05,1.05,1.05,0
2018-05-22,1.05,1.05,1.05,1.05,1.05,0
2018-05-23,1.05,1.13,1.05,1.13,1.13,3150
2018-05-24,1.13,1.25,1.13,1.25,1.25,2000
2018-05-25,1.25,1.25,1.25,1.25,1.25,0
2018-05-29,1.25,1.25,1.25,1.25,1.25,0
2018-05-30,1.25,1.25,1.25,1.25,1.25,1474
2018-05-31,1.25,1.25,1.25,1.25,1.25,0
2018-06-01,1.25,1.25,1.25,1.25,1.25,0
2018-06-04,1.25,1.25,1.25,1.25,1.25,0
2018-06-05,1.25,1.25,1.25,1.25,1.25,0
2018-06-06,1.25,1.25,1.25,1.25,1.25,0
2018-06-07,1.25,1.25,1.25,1.25,1.25,0
2018-06-08,1.25,1.25,1.25,1.25,1.25,0
2018-06-11,1.25,1.25,1.25,1.25,1.25,0
2018-06-12,1.25,1.25,1.25,1.25,1.25,0
2018-06-13,1.25,1.25,1.25,1.25,1.25,0
2018-06-14,1.25,1.25,1.25,1.25,1.25,0
2018-06-15,1.25,1.25,1.25,1.25,1.25,0
2018-06-18,1.25,1.25,1.25,1.25,1.25,0
2018-06-19,1.0,1.2,0.9,1.2,1.2,2200
2018-06-20,1.2,1.2,1.2,1.2,1.2,500
2018-06-21,1.2,1.2,1.2,1.2,1.2,0
2018-06-22,1.27,1.27,1.27,1.27,1.27,100
2018-06-25,1.27,1.27,1.27,1.27,1.27,0
2018-06-26,1.27,1.27,1.27,1.27,1.27,0
2018-06-27,1.27,1.27,1.27,1.27,1.27,0
2018-06-28,1.27,1.27,1.27,1.27,1.27,0
2018-06-29,1.27,1.27,1.27,1.27,1.27,0
2018-07-02,1.27,1.27,1.27,1.27,1.27,0
2018-07-03,1.27,1.27,1.27,1.27,1.27,0
2018-07-05,1.3,1.3,1.25,1.27,1.27,4200
2018-07-06,1.27,1.27,1.27,1.27,1.27,0
2018-07-09,1.27,1.27,1.27,1.27,1.27,0
2018-07-10,1.27,1.27,1.27,1.27,1.27,0
2018-07-11,1.27,1.27,1.27,1.27,1.27,0
2018-07-12,1.27,1.27,1.27,1.27,1.27,0
2018-07-13,1.27,1.27,1.27,1.27,1.27,0
2018-07-16,1.27,1.27,1.27,1.27,1.27,0
2018-07-17,1.27,1.27,1.27,1.27,1.27,0
2018-07-18,1.27,1.27,1.27,1.27,1.27,0
2018-07-19,1.27,1.27,1.27,1.27,1.27,0
2018-07-20,1.27,1.27,1.27,1.27,1.27,0
2018-07-23,1.27,1.27,1.27,1.27,1.27,0
2018-07-24,1.27,1.27,1.27,1.27,1.27,0
2018-07-25,1.27,1.27,1.27,1.27,1.27,0
2018-07-26,1.27,1.27,1.27,1.27,1.27,0
2018-07-27,1.27,1.27,1.27,1.27,1.27,0
2018-07-30,1.27,1.27,1.27,1.27,1.27,0
2018-07-31,1.3,1.3,1.3,1.3,1.3,384
2018-08-01,1.3,1.3,1.3,1.3,1.3,0
2018-08-02,1.3,1.3,1.3,1.3,1.3,0
2018-08-03,1.3,1.3,1.3,1.3,1.3,0
2018-08-06,1.3,1.3,1.3,1.3,1.3,0
2018-08-07,1.3,1.3,1.3,1.3,1.3,0
2018-08-08,1.3,1.3,1.3,1.3,1.3,0
2018-08-09,1.3,1.3,1.3,1.3,1.3,0
2018-08-10,1.3,1.3,1.3,1.3,1.3,0
2018-08-13,1.3,1.3,1.3,1.3,1.3,0
2018-08-14,1.3,1.3,1.3,1.3,1.3,0
2018-08-15,1.3,1.3,1.3,1.3,1.3,0
2018-08-16,1.3,1.3,1.3,1.3,1.3,0
2018-08-17,1.35,1.35,1.35,1.35,1.35,100
2018-08-20,1.3,1.3,1.3,1.3,1.3,400
2018-08-21,1.3,1.3,1.3,1.3,1.3,0
2018-08-22,1.3,1.3,1.3,1.3,1.3,0
2018-08-23,1.3,1.3,1.3,1.3,1.3,0
2018-08-24,1.3,1.3,1.3,1.3,1.3,0
2018-08-27,1.3,1.3,1.3,1.3,1.3,0
2018-08-28,1.3,1.3,1.3,1.3,1.3,0
2018-08-29,1.3,1.3,1.3,1.3,1.3,0
2018-08-30,1.3,1.3,1.3,1.3,1.3,0
2018-08-31,1.3,1.3,1.3,1.3,1.3,0
2018-09-04,1.3,1.3,1.3,1.3,1.3,0
2018-09-05,1.3,1.3,1.3,1.3,1.3,0
2018-09-06,1.3,1.3,1.3,1.3,1.3,0
2018-09-07,1.25,1.3,1.25,1.3,1.3,1900
2018-09-10,1.3,1.3,1.3,1.3,1.3,0
2018-09-11,1.3,1.3,1.3,1.3,1.3,0
2018-09-12,1.3,1.3,1.3,1.3,1.3,0
2018-09-13,1.3,1.3,1.3,1.3,1.3,0
2018-09-14,1.3,1.3,1.3,1.3,1.3,0
2018-09-17,1.3,1.3,1.3,1.3,1.3,0
2018-09-18,1.3,1.3,1.3,1.3,1.3,0
2018-09-19,1.43,1.75,1.35,1.52,1.52,15346
2018-09-20,1.5,1.5,0.27,1.3,1.3,3000
2018-09-21,1.3,1.3,1.3,1.3,1.3,0
2018-09-24,1.3,1.3,1.3,1.3,1.3,0
2018-09-25,1.3,1.3,1.3,1.3,1.3,0
2018-09-26,1.5,1.6,1.5,1.6,1.6,1000
2018-09-27,1.6,1.6,1.6,1.6,1.6,0
2018-09-28,1.49,1.49,1.49,1.49,1.49,100
2018-10-01,1.445,1.5,1.445,1.5,1.5,5080
2018-10-02,1.5,1.5,1.5,1.5,1.5,0
2018-10-03,1.5,1.5,1.5,1.5,1.5,1000
2018-10-04,1.5,1.5,1.5,1.5,1.5,0
2018-10-05,1.38,1.44,0.56,1.22,1.22,1500
2018-10-08,1.32,1.32,1.32,1.32,1.32,2000
2018-10-09,1.32,1.32,1.32,1.32,1.32,0
2018-10-10,1.32,1.32,1.32,1.32,1.32,0
2018-10-11,1.4,1.4,1.4,1.4,1.4,180
2018-10-12,1.4,1.4,1.4,1.4,1.4,0
2018-10-15,1.4,1.4,1.4,1.4,1.4,0
2018-10-16,1.4,1.4,1.4,1.4,1.4,0
2018-10-17,1.4,1.4,1.4,1.4,1.4,0
2018-10-18,1.4,1.4,1.4,1.4,1.4,0
2018-10-19,1.3,1.3,1.3,1.3,1.3,100
2018-10-22,1.22,1.22,1.22,1.22,1.22,1200
2018-10-23,1.22,1.22,1.22,1.22,1.22,0
2018-10-24,1.22,1.22,1.22,1.22,1.22,0
2018-10-25,1.22,1.22,1.22,1.22,1.22,0
2018-10-26,1.22,1.22,1.22,1.22,1.22,0
2018-10-29,1.25,1.25,1.2,1.2,1.2,1100
2018-10-30,1.2,1.2,1.2,1.2,1.2,300
2018-10-31,1.22,1.25,1.15,1.24,1.24,1380
2018-11-01,1.24,1.24,1.24,1.24,1.24,0
2018-11-02,1.24,1.24,1.24,1.24,1.24,0
2018-11-05,1.24,1.24,1.24,1.24,1.24,0
2018-11-06,1.24,1.24,1.24,1.24,1.24,0
2018-11-07,1.24,1.24,1.24,1.24,1.24,0
2018-11-08,1.24,1.24,1.24,1.24,1.24,0
2018-11-09,1.24,1.24,1.24,1.24,1.24,0
2018-11-12,1.15,1.15,1.15,1.15,1.15,100
2018-11-13,1.15,1.15,1.15,1.15,1.15,0
2018-11-14,1.15,1.15,1.15,1.15,1.15,0
2018-11-15,1.05,1.05,1.05,1.05,1.05,100
2018-11-16,1.05,1.05,1.05,1.05,1.05,0
2018-11-19,1.05,1.05,1.05,1.05,1.05,0
2018-11-20,1.05,1.05,1.05,1.05,1.05,0
2018-11-21,1.05,1.05,1.05,1.05,1.05,0
2018-11-23,1.05,1.05,1.05,1.05,1.05,0
2018-11-26,1.05,1.05,1.05,1.05,1.05,0
2018-11-27,1.05,1.05,1.05,1.05,1.05,0
2018-11-28,1.05,1.05,1.05,1.05,1.05,0
2018-11-29,1.05,1.05,1.05,1.05,1.05,0
2018-11-30,1.08,1.08,1.08,1.08,1.08,200
2018-12-03,1.08,1.1,1.08,1.1,1.1,500
2018-12-04,1.12,1.12,1.12,1.12,1.12,200
2018-12-06,1.12,1.12,1.12,1.12,1.12,0
2018-12-07,1.12,1.12,1.12,1.12,1.12,0
2018-12-10,1.12,1.12,1.12,1.12,1.12,0
2018-12-11,1.12,1.12,1.12,1.12,1.12,0
2018-12-12,1.12,1.12,1.12,1.12,1.12,0
2018-12-13,1.12,1.12,1.12,1.12,1.12,0
2018-12-14,1.12,1.12,1.12,1.12,1.12,250
2018-12-17,1.12,1.12,1.12,1.12,1.12,0
2018-12-18,1.12,1.12,1.12,1.12,1.12,0
2018-12-19,1.12,1.18,1.12,1.18,1.18,500
2018-12-20,1.18,1.18,1.18,1.18,1.18,0
2018-12-21,1.15,1.15,1.15,1.15,1.15,100
2018-12-24,1.15,1.15,1.15,1.15,1.15,0
2018-12-26,1.15,1.15,1.15,1.15,1.15,100
2018-12-27,1.15,1.15,1.15,1.15,1.15,0
2018-12-28,1.15,1.15,1.15,1.15,1.15,0
2018-12-31,1.1485,1.15,1.1485,1.15,1.15,500
2019-01-02,1.15,1.15,1.15,1.15,1.15,0
2019-01-03,1.13,1.13,1.13,1.13,1.13,200
2019-01-04,1.12,1.12,1.1,1.1,1.1,300
2019-01-07,1.1,1.1,1.1,1.1,1.1,0
2019-01-08,1.1,1.1,1.1,1.1,1.1,0
2019-01-09,1.12,1.14,0.85,1.12,1.12,2823
2019-01-10,1.14,1.14,1.069,1.13,1.13,2100
2019-01-11,1.13,1.15,1.13,1.15,1.15,3500
2019-01-14,1.16,1.16,1.16,1.16,1.16,1000
2019-01-15,1.15,1.15,1.15,1.15,1.15,3000
2019-01-16,1.15,1.15,1.15,1.15,1.15,0
2019-01-17,1.15,1.15,1.15,1.15,1.15,0
2019-01-18,1.0,1.0,1.0,1.0,1.0,200
2019-01-22,1.04,1.04,1.04,1.04,1.04,500
2019-01-23,1.04,1.04,1.04,1.04,1.04,0
2019-01-24,1.04,1.04,1.04,1.04,1.04,0
2019-01-25,1.04,1.04,1.04,1.04,1.04,0
2019-01-28,1.04,1.04,1.04,1.04,1.04,0
2019-01-29,0.85,0.85,0.8499,0.8499,0.8499,3000
2019-01-30,0.8499,0.8499,0.8499,0.8499,0.8499,0
2019-01-31,0.8499,1.0,0.8499,1.0,1.0,1200
2019-02-01,1.05,1.09,1.05,1.09,1.09,800
2019-02-04,1.09,1.09,1.09,1.09,1.09,0
2019-02-05,1.01,1.01,1.01,1.01,1.01,2300
2019-02-06,1.01,1.01,1.01,1.01,1.01,0
2019-02-07,1.01,1.01,1.01,1.01,1.01,0
2019-02-08,1.02,1.02,1.02,1.02,1.02,2000
2019-02-11,1.02,1.02,1.02,1.02,1.02,1200
2019-02-12,1.02,1.02,1.02,1.02,1.02,200
