Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.76,2.9,2.76,2.89,1.305804,6800
2010-01-05,2.93,2.95,2.72,2.72,1.228992,18100
2010-01-06,2.78,2.78,2.7,2.7,1.219956,6000
2010-01-07,2.72,2.82,2.72,2.79,1.260621,9300
2010-01-08,2.73,2.75,2.72,2.72,1.228992,1200
2010-01-11,2.71,2.84,2.65,2.7,1.219956,3600
2010-01-12,2.66,2.74,2.65,2.66,1.201882,4600
2010-01-13,2.71,2.72,2.65,2.71,1.224474,4900
2010-01-14,2.64,2.83,2.64,2.66,1.201882,5100
2010-01-15,2.74,2.74,2.59,2.59,1.170254,4000
2010-01-19,2.57,2.57,2.41,2.49,1.12507,21200
2010-01-20,2.48,2.62,2.48,2.62,1.183809,2200
2010-01-21,2.55,2.76,2.46,2.72,1.228992,8400
2010-01-22,2.64,2.64,2.4,2.56,1.156699,6300
2010-01-25,2.52,2.6,2.5,2.6,1.174772,3300
2010-01-26,2.6,2.6,2.6,2.6,1.174772,0
2010-01-27,2.46,2.57,2.46,2.57,1.161217,5800
2010-01-28,2.44,2.59,2.44,2.56,1.156699,600
2010-01-29,2.56,2.56,2.45,2.56,1.156699,7900
2010-02-01,2.51,2.54,2.4,2.51,1.134107,32800
2010-02-02,2.51,2.69,2.51,2.57,1.161217,37800
2010-02-03,2.66,2.73,2.55,2.7,1.219956,11100
2010-02-04,2.69,2.75,2.57,2.58,1.165735,15600
2010-02-05,2.64,2.64,2.5,2.5,1.129589,7800
2010-02-08,2.44,2.51,2.44,2.48,1.120552,5200
2010-02-09,2.42,2.47,2.41,2.41,1.088923,3600
2010-02-10,2.41,2.75,2.41,2.75,1.242548,22500
2010-02-11,2.74,2.74,2.47,2.47,1.116034,33600
2010-02-12,2.56,2.77,2.55,2.74,1.238029,32300
2010-02-16,2.69,2.79,2.42,2.42,1.093442,54100
2010-02-17,2.56,2.78,2.51,2.73,1.233511,39500
2010-02-18,2.6,2.7,2.6,2.69,1.215437,32700
2010-02-19,2.81,2.86,2.69,2.7,1.219956,10700
2010-02-22,2.7,2.76,2.61,2.66,1.201882,4000
2010-02-23,2.74,2.74,2.65,2.72,1.228992,10100
2010-02-24,2.8,2.8,2.58,2.58,1.165735,3600
2010-02-25,2.53,2.75,2.53,2.62,1.183809,6500
2010-02-26,2.62,2.69,2.62,2.64,1.192846,1600
2010-03-01,2.61,2.66,2.55,2.65,1.197364,1500
2010-03-02,2.71,2.71,2.56,2.59,1.170254,4400
2010-03-03,2.57,2.66,2.5,2.54,1.147662,10000
2010-03-04,2.52,2.55,2.5,2.51,1.134107,1800
2010-03-05,2.5,2.55,2.48,2.53,1.143144,2600
2010-03-08,2.5,2.5,2.48,2.48,1.120552,3700
2010-03-09,2.49,2.49,2.47,2.49,1.12507,3500
2010-03-10,2.45,2.51,2.41,2.51,1.134107,13500
2010-03-11,2.57,2.57,2.42,2.43,1.09796,4900
2010-03-12,2.47,2.48,2.41,2.44,1.102479,2900
2010-03-15,2.4,2.42,2.31,2.42,1.093442,3000
2010-03-16,2.42,2.5,2.42,2.5,1.129589,3100
2010-03-17,2.46,2.5,2.4,2.44,1.102479,6900
2010-03-18,2.48,2.5,2.45,2.49,1.12507,2200
2010-03-19,2.46,2.6,2.46,2.6,1.174772,400
2010-03-22,2.5,2.5,2.44,2.45,1.106997,4000
2010-03-23,2.44,2.45,2.4,2.42,1.093442,3500
2010-03-24,2.37,2.48,2.36,2.46,1.111515,2900
2010-03-25,2.45,2.45,2.38,2.41,1.088923,2900
2010-03-26,2.36,2.45,2.36,2.42,1.093442,3600
2010-03-29,2.41,2.42,2.41,2.41,1.088923,1200
2010-03-30,2.36,2.4,2.35,2.4,1.084405,3000
2010-03-31,2.43,2.43,2.4,2.4,1.084405,1600
2010-04-01,2.36,2.39,2.25,2.3,1.039222,34500
2010-04-05,2.3,2.37,2.3,2.37,1.07085,6200
2010-04-06,2.33,2.45,2.29,2.45,1.106997,21700
2010-04-07,2.42,2.45,2.3,2.41,1.088923,10400
2010-04-08,2.35,2.35,2.2,2.27,1.025666,25900
2010-04-09,2.3,2.34,2.3,2.32,1.048258,5500
2010-04-12,2.31,2.37,2.31,2.32,1.048258,7500
2010-04-13,2.35,2.37,2.35,2.36,1.066332,1500
2010-04-14,2.37,2.37,2.37,2.37,1.07085,2500
2010-04-15,2.31,2.34,2.31,2.34,1.057295,400
2010-04-16,2.35,2.36,2.25,2.28,1.030185,4200
2010-04-19,2.3,2.33,2.25,2.25,1.01663,2400
2010-04-20,2.25,2.31,2.25,2.27,1.025666,28300
2010-04-21,2.35,2.57,2.31,2.57,1.161217,63000
2010-04-22,2.52,2.59,2.44,2.54,1.147662,6100
2010-04-23,2.43,2.49,2.31,2.31,1.04374,21500
2010-04-26,2.37,2.43,2.33,2.33,1.052777,20700
2010-04-27,2.33,2.72,2.33,2.7,1.219956,50800
2010-04-28,2.7,2.7,2.35,2.5,1.129589,17200
2010-04-29,2.51,2.51,2.42,2.47,1.116034,8400
2010-04-30,2.44,2.5,2.44,2.49,1.12507,8600
2010-05-03,2.48,2.48,2.36,2.36,1.066332,25700
2010-05-04,2.36,2.63,2.36,2.63,1.188327,25500
2010-05-05,2.46,2.5,2.31,2.31,1.04374,19500
2010-05-06,2.34,2.56,2.34,2.48,1.120552,28000
2010-05-07,2.45,2.49,2.4,2.41,1.088923,4100
2010-05-10,2.45,2.45,2.36,2.36,1.066332,21500
2010-05-11,2.31,2.53,2.31,2.53,1.143144,22500
2010-05-12,2.39,2.52,2.39,2.49,1.12507,17000
2010-05-13,2.38,2.53,2.38,2.5,1.129589,8400
2010-05-14,2.44,2.45,2.36,2.45,1.106997,2200
2010-05-17,2.37,2.46,2.37,2.45,1.106997,2300
2010-05-18,2.36,2.41,2.34,2.41,1.088923,1300
2010-05-19,2.34,2.35,2.32,2.33,1.052777,1100
2010-05-20,2.36,2.4,2.31,2.4,1.084405,6900
2010-05-21,2.4,2.4,2.37,2.37,1.07085,13000
2010-05-24,2.37,2.43,2.32,2.41,1.088923,31200
2010-05-25,2.38,2.38,2.3,2.36,1.066332,11400
2010-05-26,2.35,2.44,2.27,2.44,1.102479,33100
2010-05-27,2.39,2.42,2.34,2.4,1.084405,7400
2010-05-28,2.47,2.47,2.4,2.43,1.09796,7100
2010-06-01,2.4,2.4,2.4,2.4,1.084405,500
2010-06-02,2.32,2.35,2.3,2.32,1.048258,1800
2010-06-03,2.31,2.38,2.3,2.37,1.07085,900
2010-06-04,2.32,2.37,2.3,2.37,1.07085,11800
2010-06-07,2.36,2.36,2.25,2.25,1.01663,6000
2010-06-08,2.37,2.44,2.32,2.42,1.093442,26000
2010-06-09,2.49,2.49,2.36,2.43,1.09796,4300
2010-06-10,2.4,2.4,2.31,2.35,1.061813,7700
2010-06-11,2.35,2.36,2.35,2.36,1.066332,1800
2010-06-14,2.35,2.36,2.35,2.35,1.061813,1000
2010-06-15,2.35,2.35,2.28,2.3,1.039222,10800
2010-06-16,2.3,2.36,2.28,2.35,1.061813,13100
2010-06-17,2.36,2.37,2.35,2.37,1.07085,3500
2010-06-18,2.39,2.41,2.37,2.41,1.088923,13600
2010-06-21,2.46,2.48,2.28,2.45,1.106997,34800
2010-06-22,2.42,2.42,2.3,2.3,1.039222,3100
2010-06-23,2.4,2.45,2.35,2.45,1.106997,12000
2010-06-24,2.37,2.37,2.08,2.09,0.944336,35300
2010-06-25,2.09,2.29,2.09,2.17,0.980483,10500
2010-06-28,2.2,2.26,2.14,2.24,1.012111,12200
2010-06-29,2.2,2.3,2.2,2.3,1.039222,22900
2010-06-30,2.3,2.34,2.27,2.32,1.048258,3500
2010-07-01,2.28,2.33,2.1,2.13,0.96241,14900
2010-07-02,2.19,2.24,2.19,2.22,1.003075,1900
2010-07-06,2.22,2.32,2.22,2.29,1.034703,5400
2010-07-07,2.24,2.41,2.17,2.39,1.079887,18800
2010-07-08,2.19,2.33,2.18,2.25,1.01663,11000
2010-07-09,2.28,2.39,2.27,2.31,1.04374,1400
2010-07-12,2.28,2.29,2.26,2.29,1.034703,500
2010-07-13,2.26,2.3,2.25,2.26,1.021148,11700
2010-07-14,2.28,2.36,2.19,2.32,1.048258,20700
2010-07-15,2.38,2.49,2.37,2.45,1.106997,26300
2010-07-16,2.33,2.43,2.33,2.42,1.093442,6600
2010-07-19,2.43,2.48,2.41,2.43,1.09796,32300
2010-07-20,2.44,2.47,2.44,2.45,1.106997,2600
2010-07-21,2.45,2.5,2.45,2.47,1.116034,11200
2010-07-22,2.5,2.56,2.43,2.43,1.09796,3800
2010-07-23,2.49,2.49,2.04,2.45,1.106997,18900
2010-07-26,2.36,2.56,2.36,2.53,1.143144,1400
2010-07-27,2.26,2.57,2.26,2.43,1.09796,25500
2010-07-28,2.42,2.45,2.42,2.45,1.106997,2000
2010-07-29,2.44,2.45,2.43,2.44,1.102479,3400
2010-07-30,2.3,2.5,2.3,2.5,1.129589,13900
2010-08-02,2.5,2.55,2.37,2.4,1.084405,13600
2010-08-03,2.41,2.44,2.23,2.34,1.057295,7400
2010-08-04,2.3,2.41,2.3,2.4,1.084405,7100
2010-08-05,2.32,2.32,2.32,2.32,1.048258,300
2010-08-06,2.24,2.36,2.24,2.36,1.066332,6800
2010-08-09,2.34,2.38,2.3,2.3,1.039222,5400
2010-08-10,2.34,2.37,2.34,2.35,1.061813,300
2010-08-11,2.35,2.35,2.35,2.35,1.061813,0
2010-08-12,2.35,2.37,2.35,2.37,1.07085,700
2010-08-13,2.38,2.4,2.36,2.4,1.084405,900
2010-08-16,2.4,2.4,2.4,2.4,1.084405,0
2010-08-17,2.33,2.34,2.26,2.34,1.057295,2100
2010-08-18,2.31,2.34,2.3,2.34,1.057295,800
2010-08-19,2.31,2.31,2.3,2.3,1.039222,900
2010-08-20,2.3,2.36,2.29,2.36,1.066332,1900
2010-08-23,2.33,2.33,2.29,2.32,1.048258,1400
2010-08-24,2.22,2.28,2.08,2.25,1.01663,11500
2010-08-25,2.21,2.21,2.1,2.2,0.994038,5100
2010-08-26,2.19,2.23,2.17,2.21,0.998556,3900
2010-08-27,2.22,2.4,2.2,2.4,1.084405,37500
2010-08-30,2.27,2.31,2.2,2.24,1.012111,38000
2010-08-31,2.24,2.3,2.22,2.3,1.039222,18400
2010-09-01,2.27,2.35,2.26,2.31,1.04374,22600
2010-09-02,2.29,2.37,2.29,2.34,1.057295,13500
2010-09-03,2.27,2.33,2.26,2.28,1.030185,700
2010-09-07,2.33,2.36,2.29,2.31,1.04374,13600
2010-09-08,2.3,2.3,2.28,2.29,1.034703,3500
2010-09-09,2.22,2.22,2.22,2.22,1.003075,700
2010-09-10,2.25,2.37,2.25,2.37,1.07085,8100
2010-09-13,2.36,2.36,2.31,2.35,1.061813,1700
2010-09-14,2.31,2.5,2.27,2.27,1.025666,57400
2010-09-15,2.31,2.39,2.31,2.33,1.052777,4900
2010-09-16,2.33,2.42,2.33,2.37,1.07085,8700
2010-09-17,2.39,2.41,2.35,2.36,1.066332,8900
2010-09-20,2.43,2.43,2.39,2.4,1.084405,5700
2010-09-21,2.4,2.4,2.4,2.4,1.084405,100
2010-09-22,2.41,2.41,2.38,2.38,1.075368,3400
2010-09-23,2.38,2.38,2.38,2.38,1.075368,0
2010-09-24,2.49,2.7,2.49,2.68,1.210919,18000
2010-09-27,2.63,2.7,2.52,2.55,1.15218,9600
2010-09-28,2.56,2.62,2.56,2.62,1.183809,3200
2010-09-29,2.57,2.63,2.57,2.62,1.183809,5500
2010-09-30,2.62,2.66,2.62,2.65,1.197364,1300
2010-10-01,2.62,2.65,2.62,2.65,1.197364,4500
2010-10-04,2.6,2.64,2.57,2.62,1.183809,21500
2010-10-05,2.61,2.66,2.6,2.66,1.201882,33800
2010-10-06,2.66,2.82,2.64,2.8,1.265139,15400
2010-10-07,2.85,2.87,2.8,2.84,1.283213,5000
2010-10-08,2.83,2.84,2.7,2.84,1.283213,10100
2010-10-11,2.8,2.82,2.71,2.82,1.274176,900
2010-10-12,2.82,2.82,2.82,2.82,1.274176,0
2010-10-13,2.82,2.84,2.79,2.79,1.260621,1400
2010-10-14,2.82,2.88,2.82,2.85,1.287731,5200
2010-10-15,2.83,2.83,2.72,2.72,1.228992,600
2010-10-18,2.71,2.76,2.66,2.76,1.247066,8700
2010-10-19,2.68,2.71,2.65,2.71,1.224474,12900
2010-10-20,2.75,2.82,2.74,2.82,1.274176,1700
2010-10-21,2.79,2.79,2.71,2.75,1.242548,6200
2010-10-22,2.75,2.75,2.73,2.73,1.233511,300
2010-10-25,2.72,2.79,2.65,2.78,1.256102,20500
2010-10-26,2.79,2.86,2.75,2.86,1.292249,1400
2010-10-27,2.81,2.85,2.81,2.85,1.287731,9900
2010-10-28,2.82,2.85,2.81,2.81,1.269657,2700
2010-10-29,2.84,2.86,2.75,2.84,1.283213,20300
2010-11-01,2.84,2.9,2.65,2.71,1.224474,10500
2010-11-02,2.87,2.88,2.77,2.85,1.287731,5100
2010-11-03,2.85,2.85,2.79,2.79,1.260621,13700
2010-11-04,2.8,2.86,2.8,2.86,1.292249,13100
2010-11-05,2.73,2.86,2.73,2.85,1.287731,2300
2010-11-08,2.79,2.84,2.79,2.84,1.283213,4700
