Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.8,9.9,9.78,9.9,9.9,472500
2010-01-05,9.92,9.92,9.76,9.76,9.76,216800
2010-01-06,9.75,9.75,9.6,9.7,9.7,122300
2010-01-07,9.6,9.6,9.48,9.51,9.51,100900
2010-01-08,9.5,9.5,9.4,9.41,9.41,101500
2010-01-11,9.4,9.48,9.37,9.45,9.45,58900
2010-01-12,9.5,9.58,9.35,9.58,9.58,23400
2010-01-13,9.6,9.6,9.4,9.58,9.58,47800
2010-01-14,9.55,9.7,9.5,9.7,9.7,20300
2010-01-15,9.7,9.85,9.7,9.85,9.85,42800
2010-01-19,9.8,9.95,9.8,9.85,9.85,19000
2010-01-20,9.83,9.99,9.83,9.99,9.99,16300
2010-01-21,10.0,10.05,9.87,9.9,9.9,61500
2010-01-22,9.87,9.87,9.55,9.66,9.66,181800
2010-01-25,9.65,9.65,9.5,9.5,9.5,118800
2010-01-26,9.5,9.53,9.42,9.49,9.49,240600
2010-01-27,9.44,9.47,9.35,9.37,9.37,37800
2010-01-28,9.37,9.37,9.13,9.13,9.13,28600
2010-01-29,9.15,9.45,9.12,9.2,9.2,48600
2010-02-01,9.2,9.39,9.15,9.25,9.25,19700
2010-02-02,9.19,9.22,9.17,9.2,9.2,90700
2010-02-03,9.17,9.25,9.17,9.17,9.17,26300
2010-02-04,9.25,9.25,9.15,9.15,9.15,30300
2010-02-05,9.2,9.2,9.0,9.01,9.01,4700
2010-02-08,9.15,9.22,9.0,9.05,9.05,26700
2010-02-09,9.04,9.07,8.88,9.0,9.0,217700
2010-02-10,9.53,9.53,8.97,9.5,9.5,181200
2010-02-11,9.38,9.38,9.0,9.26,9.26,272400
2010-02-12,8.95,9.22,8.41,9.05,9.05,334600
2010-02-16,9.21,9.49,9.0,9.43,9.43,132200
2010-02-17,9.36,9.5,8.79,9.24,9.24,70800
2010-02-18,9.24,9.43,9.0,9.12,9.12,88600
2010-02-19,9.07,9.34,9.02,9.09,9.09,885500
2010-02-22,9.1,9.1,8.65,8.67,8.67,382700
2010-02-23,8.58,8.58,8.4,8.47,8.47,227000
2010-02-24,8.45,9.0,8.32,8.79,8.79,487800
2010-02-25,8.54,9.07,8.5,9.0,9.0,339400
2010-02-26,8.94,9.02,8.85,9.0,9.0,85700
2010-03-01,8.89,9.19,8.8,9.03,9.03,218200
2010-03-02,9.0,9.19,8.95,9.12,9.12,67600
2010-03-03,8.97,9.29,8.88,9.24,9.24,327400
2010-03-04,9.27,9.41,9.09,9.4,9.4,181800
2010-03-05,9.22,9.74,9.22,9.69,9.69,266100
2010-03-08,9.66,9.71,9.24,9.67,9.67,93100
2010-03-09,9.5,9.75,9.47,9.73,9.73,57800
2010-03-10,9.73,10.0,9.67,9.94,9.94,76000
2010-03-11,9.94,10.05,9.72,10.0,10.0,91200
2010-03-12,9.85,10.26,9.84,10.25,10.25,146400
2010-03-15,10.29,10.5,10.06,10.35,10.35,49600
2010-03-16,10.29,10.31,9.99,10.26,10.26,41400
2010-03-17,10.3,10.36,10.11,10.15,10.15,92900
2010-03-18,10.12,10.3,10.03,10.25,10.25,145600
2010-03-19,10.3,10.43,10.17,10.41,10.41,94100
2010-03-22,10.44,10.44,10.27,10.4,10.4,21900
2010-03-23,10.45,10.57,10.34,10.54,10.54,53900
2010-03-24,10.57,10.59,10.28,10.45,10.45,25200
2010-03-25,10.4,10.47,10.26,10.37,10.37,76600
2010-03-26,10.35,10.4,9.98,10.13,10.13,48600
2010-03-29,10.2,10.32,10.15,10.25,10.25,27400
2010-03-30,10.24,10.32,10.19,10.3,10.3,28700
2010-03-31,10.23,10.5,10.0,10.25,10.25,29400
2010-04-01,10.24,10.46,10.04,10.46,10.46,423900
2010-04-05,10.4,10.5,10.3,10.49,10.49,57000
2010-04-06,10.02,10.75,10.02,10.67,10.67,173600
2010-04-07,10.61,10.68,10.46,10.6,10.6,88800
2010-04-08,10.64,10.67,10.36,10.67,10.67,66800
2010-04-09,10.34,10.64,10.34,10.52,10.52,58400
2010-04-12,10.63,10.78,10.53,10.71,10.71,57400
2010-04-13,10.7,10.81,10.48,10.61,10.61,56300
2010-04-14,10.59,10.75,10.55,10.61,10.61,155700
2010-04-15,10.6,10.68,10.58,10.65,10.65,48600
2010-04-16,10.56,10.88,10.51,10.74,10.74,85600
2010-04-19,10.64,10.64,10.32,10.46,10.46,117100
2010-04-20,10.39,10.77,10.37,10.72,10.72,232200
2010-04-21,10.68,11.0,10.35,11.0,11.0,173200
2010-04-22,10.96,11.1,10.87,11.09,11.09,158900
2010-04-23,11.04,11.25,11.04,11.21,11.21,140600
2010-04-26,11.2,11.61,11.2,11.46,11.46,689300
2010-04-27,11.36,11.54,11.19,11.45,11.45,327600
2010-04-28,11.49,11.63,11.4,11.63,11.63,155000
2010-04-29,11.63,11.82,11.52,11.74,11.74,186500
2010-04-30,11.75,12.01,11.7,11.79,11.79,197200
2010-05-03,11.84,11.9,11.49,11.83,11.83,211500
2010-05-04,11.7,11.83,11.36,11.6,11.6,201400
2010-05-05,11.45,11.73,11.12,11.23,11.23,162800
2010-05-06,11.08,11.41,9.52,10.75,10.75,158900
2010-05-07,10.59,10.89,9.95,10.32,10.32,252300
2010-05-10,10.65,11.27,10.44,11.27,11.27,454100
2010-05-11,11.18,11.73,10.93,11.49,11.49,235200
2010-05-12,11.42,11.85,11.42,11.7,11.7,426700
2010-05-13,11.61,11.84,11.61,11.71,11.71,107900
2010-05-14,11.65,11.81,11.51,11.6,11.6,102100
2010-05-17,11.54,11.76,11.42,11.54,11.54,217800
2010-05-18,11.51,11.65,11.47,11.54,11.54,166500
2010-05-19,11.5,11.57,11.19,11.31,11.31,59700
2010-05-20,11.12,11.28,10.87,11.2,11.2,143500
2010-05-21,11.04,11.4,11.04,11.39,11.39,304500
2010-05-24,11.37,11.43,11.29,11.4,11.4,53800
2010-05-25,11.17,11.26,10.76,11.26,11.26,54400
2010-05-26,11.3,11.35,11.0,11.08,11.08,50500
2010-05-27,11.18,11.5,10.94,11.5,11.5,227300
2010-05-28,11.48,11.5,11.28,11.46,11.46,47100
2010-06-01,11.41,11.58,10.92,11.0,11.0,112900
2010-06-02,11.06,11.31,10.87,11.17,11.17,92400
2010-06-03,11.1,11.43,11.1,11.43,11.43,93800
2010-06-04,11.25,11.32,11.09,11.1,11.1,68100
2010-06-07,11.06,11.23,10.85,11.0,11.0,61100
2010-06-08,10.95,11.19,10.77,11.15,11.15,76100
2010-06-09,11.18,11.65,11.11,11.46,11.46,104600
2010-06-10,11.49,11.72,11.49,11.69,11.69,143700
2010-06-11,11.41,11.84,11.41,11.79,11.79,86500
2010-06-14,11.8,11.84,11.47,11.55,11.55,220000
2010-06-15,11.62,11.96,11.26,11.95,11.95,316600
2010-06-16,11.85,11.93,11.56,11.76,11.76,158100
2010-06-17,11.72,11.78,11.62,11.7,11.7,197500
2010-06-18,11.7,11.8,11.6,11.8,11.8,512400
2010-06-21,11.9,11.91,11.5,11.59,11.59,297300
2010-06-22,11.54,11.74,11.39,11.53,11.53,227500
2010-06-23,11.52,11.7,11.31,11.62,11.62,158200
2010-06-24,11.5,11.77,11.39,11.7,11.7,344500
2010-06-25,11.8,11.89,11.3,11.44,11.44,8373800
2010-06-28,11.44,11.53,11.13,11.21,11.21,1431000
2010-06-29,11.06,11.22,10.88,10.98,10.98,214600
2010-06-30,11.01,11.24,10.81,10.89,10.89,210100
2010-07-01,10.93,11.26,10.64,11.25,11.25,624600
2010-07-02,11.25,11.25,11.06,11.2,11.2,182700
2010-07-06,11.33,11.53,10.9,10.93,10.93,264700
2010-07-07,10.98,11.09,10.83,11.03,11.03,362900
2010-07-08,11.11,11.26,10.97,11.04,11.04,192600
2010-07-09,11.06,11.1,10.95,11.04,11.04,118000
2010-07-12,11.02,11.1,10.8,10.84,10.84,174800
2010-07-13,10.95,11.35,10.85,11.32,11.32,1545200
2010-07-14,11.26,11.31,11.13,11.24,11.24,79100
2010-07-15,11.29,11.29,10.83,11.17,11.17,132500
2010-07-16,11.07,11.1,10.92,10.93,10.93,239200
2010-07-19,10.99,11.02,10.84,10.97,10.97,65000
2010-07-20,10.85,11.02,10.68,10.88,10.88,148100
2010-07-21,10.95,11.17,10.72,10.72,10.72,142700
2010-07-22,10.84,11.3,10.83,11.28,11.28,351100
2010-07-23,11.24,11.29,10.97,11.26,11.26,243000
2010-07-26,11.24,11.24,10.91,11.12,11.12,237100
2010-07-27,11.19,11.32,11.15,11.23,11.23,150100
2010-07-28,11.19,11.26,10.87,10.91,10.91,89000
2010-07-29,10.99,11.2,10.66,10.92,10.92,76200
2010-07-30,10.79,11.12,10.61,10.93,10.93,254100
2010-08-02,11.05,11.26,10.9,11.0,11.0,119800
2010-08-03,10.95,11.05,10.85,10.92,10.92,100500
2010-08-04,10.92,11.02,10.89,11.02,11.02,52800
2010-08-05,10.94,11.0,10.84,10.85,10.85,43400
2010-08-06,10.74,10.89,10.41,10.61,10.61,86200
2010-08-09,10.68,10.88,10.62,10.87,10.87,70200
2010-08-10,10.76,10.76,10.48,10.56,10.56,96200
2010-08-11,10.4,10.4,10.0,10.14,10.14,345800
2010-08-12,10.0,10.09,9.81,10.03,10.03,118100
2010-08-13,9.96,10.1,9.93,10.0,10.0,124400
2010-08-16,9.94,10.1,9.87,10.1,10.1,80000
2010-08-17,10.14,10.44,10.12,10.33,10.33,103200
2010-08-18,10.32,10.33,10.13,10.23,10.23,63400
2010-08-19,10.18,10.19,9.93,9.97,9.97,190700
2010-08-20,9.92,10.01,9.78,9.92,9.92,80200
2010-08-23,9.94,10.13,9.58,9.6,9.6,114000
2010-08-24,9.5,9.59,9.21,9.47,9.47,446400
2010-08-25,9.42,9.68,9.14,9.5,9.5,174300
2010-08-26,9.5,9.55,9.32,9.42,9.42,126500
2010-08-27,9.48,9.63,9.35,9.6,9.6,221700
2010-08-30,9.55,9.6,9.38,9.47,9.47,213400
2010-08-31,9.43,9.61,9.38,9.58,9.58,168000
2010-09-01,9.7,10.16,9.61,10.06,10.06,206500
2010-09-02,9.72,9.75,9.4,9.6,9.6,1445200
2010-09-03,9.7,9.94,9.61,9.89,9.89,374200
2010-09-07,9.85,10.0,9.73,9.81,9.81,407400
2010-09-08,9.84,10.02,9.73,9.94,9.94,248200
2010-09-09,10.0,10.05,9.82,10.0,10.0,227600
2010-09-10,10.02,10.17,9.92,10.1,10.1,233300
2010-09-13,10.18,10.57,10.12,10.52,10.52,212500
2010-09-14,10.51,10.52,10.29,10.37,10.37,284400
2010-09-15,10.32,10.47,10.16,10.42,10.42,86900
2010-09-16,10.38,10.44,10.12,10.2,10.2,101200
2010-09-17,10.31,10.35,10.06,10.27,10.27,278700
2010-09-20,10.0,10.25,9.87,9.94,9.94,525300
2010-09-21,9.89,9.89,9.44,9.46,9.46,508300
2010-09-22,9.4,9.62,9.27,9.34,9.34,625700
2010-09-23,9.75,10.11,9.5,9.88,9.88,11688000
2010-09-24,9.95,10.08,9.87,10.05,10.05,712600
2010-09-27,10.01,10.15,9.9,10.04,10.04,234600
2010-09-28,10.08,10.34,9.91,10.33,10.33,492400
2010-09-29,10.27,10.45,10.06,10.3,10.3,458400
2010-09-30,10.37,10.67,10.17,10.37,10.37,677900
2010-10-01,10.45,10.64,10.15,10.62,10.62,931400
2010-10-04,10.69,10.78,10.45,10.63,10.63,951200
2010-10-05,10.75,11.05,10.68,10.87,10.87,1156600
2010-10-06,10.85,10.85,10.67,10.79,10.79,265600
2010-10-07,10.85,10.87,10.4,10.86,10.86,362000
2010-10-08,10.85,10.9,10.7,10.8,10.8,424400
2010-10-11,10.76,10.86,10.6,10.73,10.73,77000
2010-10-12,10.68,10.97,10.64,10.94,10.94,243100
2010-10-13,10.95,11.01,10.8,10.88,10.88,483000
2010-10-14,10.9,11.05,10.89,11.0,11.0,214500
2010-10-15,11.13,11.14,10.78,10.9,10.9,326400
2010-10-18,10.9,10.98,10.82,10.98,10.98,166700
2010-10-19,10.83,11.01,10.7,10.83,10.83,233400
2010-10-20,10.89,11.08,10.89,10.96,10.96,159800
2010-10-21,11.02,11.12,10.66,10.84,10.84,218200
2010-10-22,10.85,11.04,10.76,10.99,10.99,456600
2010-10-25,11.05,11.24,11.0,11.1,11.1,155000
2010-10-26,11.03,11.42,11.0,11.4,11.4,269000
2010-10-27,11.34,11.54,11.23,11.41,11.41,310800
2010-10-28,11.44,11.53,11.17,11.47,11.47,199800
2010-10-29,11.41,11.48,11.2,11.2,11.2,409200
2010-11-01,11.29,11.53,10.89,11.05,11.05,473900
