Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.02,9.05,9.0,9.05,5.594078,500
2010-01-05,9.04,9.04,9.0,9.0,5.563173,400
2010-01-06,9.0,9.0,9.0,9.0,5.563173,0
2010-01-07,9.0,9.0,9.0,9.0,5.563173,0
2010-01-08,9.0,9.0,9.0,9.0,5.563173,0
2010-01-11,9.89,9.89,9.5,9.5,5.872236,3200
2010-01-12,9.5,9.5,9.45,9.45,5.841329,200
2010-01-13,9.0,9.97,9.0,9.1,5.624986,800
2010-01-14,9.1,9.1,9.1,9.1,5.624986,0
2010-01-15,9.05,9.08,8.75,8.75,5.408641,1300
2010-01-19,8.75,8.75,8.75,8.75,5.408641,0
2010-01-20,8.75,8.75,8.75,8.75,5.408641,0
2010-01-21,9.25,9.25,9.25,9.25,5.717705,100
2010-01-22,9.25,9.25,9.25,9.25,5.717705,0
2010-01-25,9.25,9.25,9.25,9.25,5.717705,0
2010-01-26,8.84,9.0,8.75,8.75,5.408641,1300
2010-01-27,8.75,8.75,8.75,8.75,5.483847,0
2010-01-28,9.52,9.52,9.52,9.52,5.966427,100
2010-01-29,9.52,9.52,9.52,9.52,5.966427,0
2010-02-01,9.75,9.75,9.44,9.44,5.916287,1400
2010-02-02,8.68,9.66,8.68,9.66,6.054165,200
2010-02-03,9.01,9.01,9.01,9.01,5.646796,100
2010-02-04,9.66,9.66,9.35,9.35,5.859882,200
2010-02-05,10.54,10.54,8.87,9.47,5.935088,1800
2010-02-08,9.62,9.62,9.18,9.18,5.75334,200
2010-02-09,9.18,9.18,9.18,9.18,5.75334,0
2010-02-10,8.93,9.6,8.82,9.4,5.891219,2300
2010-02-11,9.5,9.5,8.9,8.9,5.577855,200
2010-02-12,8.9,8.9,8.9,8.9,5.577855,0
2010-02-16,9.38,9.79,9.38,9.79,6.135642,1900
2010-02-17,9.84,9.85,8.9,8.9,5.577855,1000
2010-02-18,8.9,8.9,8.9,8.9,5.577855,0
2010-02-19,8.91,8.92,8.91,8.91,5.584125,500
2010-02-22,8.8,9.5,8.7,9.29,5.822279,2600
2010-02-23,9.76,9.76,9.1,9.1,5.703201,900
2010-02-24,9.39,9.44,9.39,9.44,5.916287,200
2010-02-25,9.44,9.44,9.44,9.44,5.916287,0
2010-02-26,9.44,9.44,9.44,9.44,5.916287,0
2010-03-01,9.44,9.44,9.44,9.44,5.916287,0
2010-03-02,8.87,9.26,8.75,9.26,5.803476,2200
2010-03-03,9.26,9.26,9.26,9.26,5.803476,0
2010-03-04,9.3,9.3,9.3,9.3,5.828547,100
2010-03-05,9.29,9.29,9.29,9.29,5.822279,400
2010-03-08,9.29,9.29,9.0,9.0,5.640529,1200
2010-03-09,9.1,9.1,9.1,9.1,5.703201,100
2010-03-10,9.0,9.0,9.0,9.0,5.640529,200
2010-03-11,9.0,9.0,9.0,9.0,5.640529,1100
2010-03-12,9.2,9.2,8.95,8.95,5.609192,1300
2010-03-15,8.95,9.0,8.78,9.0,5.640529,5700
2010-03-16,9.1,9.1,8.94,9.1,5.703201,7900
2010-03-17,9.08,9.08,8.93,9.05,5.671866,1500
2010-03-18,9.05,9.05,8.87,9.05,5.671866,2600
2010-03-19,9.02,9.02,8.66,9.02,5.653063,1600
2010-03-22,9.0,9.05,8.99,9.05,5.671866,4100
2010-03-23,9.05,9.05,9.05,9.05,5.671866,0
2010-03-24,9.05,9.05,8.76,9.05,5.671866,300
2010-03-25,9.05,9.05,8.88,9.0,5.640529,1200
2010-03-26,9.05,9.05,8.93,8.93,5.596659,500
2010-03-29,8.89,9.01,8.89,9.01,5.646796,600
2010-03-30,9.05,9.05,8.9,9.03,5.659329,4300
2010-03-31,8.9,9.04,8.89,9.04,5.665597,2300
2010-04-01,9.1,9.1,9.1,9.1,5.703201,300
2010-04-05,8.86,8.9,8.8,8.8,5.515184,1100
2010-04-06,8.85,8.85,8.8,8.8,5.515184,1100
2010-04-07,8.83,8.83,8.76,8.76,5.490113,400
2010-04-08,8.76,8.76,8.75,8.75,5.483847,1000
2010-04-09,8.75,8.75,8.75,8.75,5.483847,0
2010-04-12,9.0,9.05,8.8,8.87,5.559054,6500
2010-04-13,8.87,8.87,8.87,8.87,5.559054,0
2010-04-14,8.8,9.01,8.8,8.81,5.52145,400
2010-04-15,8.81,9.05,8.81,9.05,5.671866,3000
2010-04-16,9.27,9.27,8.99,9.05,5.671866,900
2010-04-19,9.24,9.24,9.13,9.13,5.722001,600
2010-04-20,9.1,9.1,9.1,9.1,5.703201,200
2010-04-21,9.28,9.28,8.95,8.95,5.609192,1100
2010-04-22,8.97,9.05,8.95,9.0,5.640529,3000
2010-04-23,9.0,9.03,9.0,9.02,5.653063,2500
2010-04-26,9.29,9.4,9.27,9.3,5.828547,10100
2010-04-27,9.38,9.38,9.21,9.21,5.77214,1500
2010-04-28,9.13,9.13,9.13,9.13,5.79754,200
2010-04-29,9.14,9.14,9.11,9.14,5.803891,1400
2010-04-30,9.48,9.6,9.48,9.6,6.095992,1800
2010-05-03,9.58,9.58,9.58,9.58,6.083289,300
2010-05-04,9.29,9.59,9.26,9.59,6.089641,1400
2010-05-05,9.1,9.26,8.81,9.26,5.88009,300
2010-05-06,8.75,8.75,8.37,8.5,5.397491,4000
2010-05-07,8.5,8.51,8.17,8.17,5.187942,1100
2010-05-10,8.69,9.23,8.32,8.86,5.626092,1100
2010-05-11,8.99,9.25,8.85,8.85,5.619742,800
2010-05-12,9.1,9.56,9.1,9.49,6.02614,500
2010-05-13,9.6,9.6,9.3,9.43,5.988042,1600
2010-05-14,9.36,9.5,9.29,9.49,6.02614,3900
2010-05-17,9.53,9.53,9.42,9.42,5.981689,1600
2010-05-18,9.39,9.39,9.18,9.18,5.82929,200
2010-05-19,9.18,9.18,9.18,9.18,5.82929,0
2010-05-20,9.18,9.18,9.18,9.18,5.82929,0
2010-05-21,8.62,9.47,8.23,9.14,5.803891,3700
2010-05-24,9.14,9.14,9.14,9.14,5.803891,0
2010-05-25,8.32,8.84,8.1,8.75,5.556242,1700
2010-05-26,9.03,9.03,9.03,9.03,5.734041,100
2010-05-27,8.97,8.97,8.97,8.97,5.695942,100
2010-05-28,8.7,9.04,8.7,9.04,5.740391,300
2010-06-01,8.33,8.5,8.3,8.3,5.270491,2700
2010-06-02,8.21,8.54,8.1,8.54,5.422892,4600
2010-06-03,8.71,8.95,8.59,8.89,5.645141,1500
2010-06-04,8.89,8.89,8.89,8.89,5.645141,0
2010-06-07,8.87,8.88,8.24,8.7,5.524492,1600
2010-06-08,8.7,8.7,8.7,8.7,5.524492,0
2010-06-09,8.14,8.58,8.1,8.1,5.143491,600
2010-06-10,8.5,8.65,8.5,8.65,5.49274,200
2010-06-11,8.65,8.65,8.65,8.65,5.49274,0
2010-06-14,8.65,8.88,8.5,8.88,5.638791,1000
2010-06-15,8.81,8.81,8.76,8.76,5.562591,300
2010-06-16,8.76,8.89,8.31,8.32,5.283191,2300
2010-06-17,8.5,8.5,7.85,7.85,4.984743,10300
2010-06-18,8.15,8.4,7.8,7.8,4.952991,2900
2010-06-21,7.8,7.99,7.8,7.99,5.073641,400
2010-06-22,7.99,7.99,7.99,7.99,5.073641,0
2010-06-23,7.98,8.04,7.97,7.97,5.060942,700
2010-06-24,8.34,8.34,8.18,8.18,5.194292,300
2010-06-25,8.18,8.18,8.18,8.18,5.194292,0
2010-06-28,8.18,8.18,8.18,8.18,5.194292,300
2010-06-29,7.91,7.97,7.91,7.97,5.060942,900
2010-06-30,7.9,7.9,7.89,7.89,5.010143,800
2010-07-01,7.91,7.94,7.5,7.94,5.041892,4000
2010-07-02,7.8,7.87,7.69,7.87,4.997443,500
2010-07-06,7.9,7.9,7.83,7.83,4.972043,400
2010-07-07,7.9,8.3,7.9,8.3,5.270491,2200
2010-07-08,8.06,8.1,7.31,7.86,4.991092,15300
2010-07-09,7.86,7.99,7.0,7.0,4.444992,30600
2010-07-12,7.45,7.49,7.06,7.49,4.756143,5700
2010-07-13,7.52,7.75,7.49,7.71,4.895842,8200
2010-07-14,7.62,7.71,7.49,7.5,4.762493,2900
2010-07-15,7.5,7.91,7.49,7.49,4.756143,2500
2010-07-16,7.49,7.98,7.14,7.3,4.635495,34900
2010-07-19,7.2,7.2,7.05,7.06,4.483092,15400
2010-07-20,7.86,7.86,7.39,7.5,4.762493,21600
2010-07-21,7.85,7.85,7.5,7.73,4.908543,2100
2010-07-22,7.65,12.85,7.65,7.85,4.984743,90100
2010-07-23,7.94,8.25,7.91,8.2,5.206991,21500
2010-07-26,7.91,8.4,7.91,8.2,5.206991,8100
2010-07-27,8.49,9.35,8.32,8.97,5.695942,5700
2010-07-28,8.52,8.52,8.4,8.43,5.425626,7500
2010-07-29,8.4,8.45,7.95,8.22,5.290468,7900
2010-07-30,8.39,8.39,8.22,8.3,5.341956,4700
2010-08-02,8.3,8.43,8.0,8.14,5.238978,12600
2010-08-03,8.61,8.61,8.35,8.35,5.374136,600
2010-08-04,8.5,8.84,8.36,8.51,5.477114,6100
2010-08-05,8.75,8.75,8.59,8.74,5.625143,2600
2010-08-06,8.57,8.81,8.57,8.79,5.657325,4000
2010-08-09,8.58,8.84,8.56,8.56,5.509295,8000
2010-08-10,8.56,8.64,8.56,8.6,5.535038,3900
2010-08-11,8.56,8.64,8.56,8.64,5.560784,2800
2010-08-12,8.55,8.64,8.54,8.6,5.535038,11700
2010-08-13,8.57,8.6,8.56,8.6,5.535038,4200
2010-08-16,8.72,8.95,8.56,8.73,5.618706,5000
2010-08-17,8.7,8.9,8.65,8.9,5.728119,6900
2010-08-18,8.58,8.62,8.58,8.61,5.541476,400
2010-08-19,8.61,8.61,8.61,8.61,5.541476,0
2010-08-20,8.62,8.99,8.62,8.93,5.74743,5000
2010-08-23,9.0,9.0,8.76,8.87,5.708812,2000
2010-08-24,8.75,8.76,8.61,8.72,5.61227,4500
2010-08-25,8.62,8.72,8.61,8.65,5.567217,5100
2010-08-26,8.62,8.75,8.61,8.7,5.5994,14200
2010-08-27,8.92,8.92,8.92,8.92,5.740993,200
2010-08-30,8.7,8.7,8.7,8.7,5.5994,300
