Date,Open,High,Low,Close,Adj Close,Volume
2018-09-14,24.92,25.049999,24.879999,25.0,23.546812,412200
2018-09-17,25.0,25.049999,24.950001,25.0,23.546812,555800
2018-09-18,24.950001,25.040001,24.9,24.93,23.480883,254900
2018-09-19,24.99,24.99,24.65,24.799999,23.358438,144800
2018-09-20,24.84,25.0,24.799999,24.85,23.405533,157500
2018-09-21,24.969999,25.049999,24.83,25.040001,23.584486,105200
2018-09-24,25.049999,25.049999,24.92,25.01,23.556231,95200
2018-09-25,25.0,25.049999,24.950001,25.049999,23.593906,183100
2018-09-26,25.09,25.09,24.950001,25.07,23.612743,122300
2018-09-27,25.09,25.09,25.02,25.08,23.622162,119800
2018-09-28,25.1,25.16,25.08,25.139999,23.678675,323500
2018-10-01,25.1,25.1,24.91,24.950001,23.499722,98300
2018-10-02,25.0,25.059999,24.98,25.030001,23.575069,99100
2018-10-03,25.049999,25.049999,24.85,24.889999,23.443207,166200
2018-10-04,25.040001,25.040001,23.52,24.5,23.075876,97300
2018-10-05,24.59,24.74,24.15,24.4,22.981688,57900
2018-10-08,23.799999,24.459999,23.799999,24.280001,22.868666,50400
2018-10-09,24.290001,24.49,23.950001,23.969999,22.576683,75200
2018-10-10,24.26,24.26,23.799999,24.16,22.75564,100500
2018-10-11,24.24,24.799999,24.24,24.540001,23.113552,49300
2018-10-12,24.33,24.76,24.139999,24.6,23.170065,46500
2018-10-15,24.75,24.75,24.360001,24.370001,22.953434,188400
2018-10-16,24.549999,24.9,24.35,24.51,23.085297,78500
2018-10-17,24.6,24.65,24.4,24.5,23.075876,51900
2018-10-18,24.99,24.99,24.5,24.59,23.160646,32600
2018-10-19,24.5,24.65,24.5,24.59,23.160646,36900
2018-10-22,24.43,24.889999,24.209999,24.42,23.000526,49200
2018-10-23,24.629999,24.77,24.049999,24.65,23.217157,30700
2018-10-24,24.82,24.82,24.450001,24.700001,23.264252,47500
2018-10-25,24.700001,24.82,24.6,24.75,23.311346,22200
2018-10-26,24.82,24.82,24.42,24.5,23.075876,43200
2018-10-29,24.700001,24.870001,24.360001,24.709999,23.273668,27000
2018-10-30,24.870001,24.870001,24.51,24.83,23.386694,56900
2018-10-31,24.84,24.85,24.66,24.68,23.245415,28800
2018-11-01,24.82,24.85,24.66,24.85,23.405533,14300
2018-11-02,24.85,24.85,24.299999,24.52,23.094715,47800
2018-11-05,24.74,24.84,24.52,24.59,23.160646,22700
2018-11-06,24.799999,24.99,24.66,24.98,23.527975,66600
2018-11-07,24.99,24.99,24.68,24.68,23.245415,33200
2018-11-08,24.799999,24.879999,24.59,24.83,23.386694,38300
2018-11-09,24.719999,24.889999,24.65,24.879999,23.433788,19800
2018-11-12,24.9,24.9,24.860001,24.9,23.452625,16700
2018-11-13,24.75,24.9,24.690001,24.809999,23.367857,18800
2018-11-14,24.84,24.9,24.6,24.76,23.320765,36200
2018-11-15,24.76,24.76,24.389999,24.57,23.141808,34100
2018-11-16,24.700001,24.74,24.4,24.43,23.009947,24100
2018-11-19,24.629999,24.629999,24.26,24.26,22.849829,37400
2018-11-20,24.690001,24.690001,24.25,24.49,23.06646,21800
2018-11-21,24.5,24.5,24.309999,24.42,23.000526,22100
2018-11-23,24.4,24.73,24.370001,24.4,22.981688,5600
2018-11-26,24.4,24.74,24.370001,24.4,22.981688,18200
2018-11-27,24.48,24.48,23.299999,24.08,22.68029,36400
2018-11-28,24.719999,24.719999,23.950001,24.219999,22.812151,59000
2018-11-29,24.059999,24.34,23.969999,24.08,22.68029,46600
2018-11-30,24.08,24.190001,23.110001,23.5,22.134007,66500
2018-12-03,23.6,23.82,22.549999,23.15,21.804348,115000
2018-12-04,23.23,23.23,22.43,22.809999,21.48411,52700
2018-12-06,22.85,22.85,22.01,22.4,21.097944,132800
2018-12-07,22.52,22.969999,21.6,22.01,20.730616,67900
2018-12-10,22.16,22.549999,21.66,22.08,20.796547,57000
2018-12-11,22.5,22.76,21.950001,22.1,20.815382,103500
2018-12-12,22.1,22.780001,22.1,22.450001,21.145041,57400
2018-12-13,22.450001,22.629999,22.0,22.1,20.815382,78200
2018-12-14,22.219999,22.889999,22.200001,22.5,21.192131,80200
2018-12-17,23.459999,23.6,22.120001,22.16,20.871895,115400
2018-12-18,22.25,22.690001,22.01,22.1,20.815382,107400
2018-12-19,22.1,22.549999,22.059999,22.5,21.192131,60200
2018-12-20,22.5,22.5,21.75,22.190001,20.90015,195300
2018-12-21,22.48,22.48,21.4,22.02,20.740034,102600
