Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.940001,19.030001,18.610001,18.75,18.324358,123200
2010-01-05,18.780001,19.43,18.42,18.959999,18.529591,383600
2010-01-06,18.9,19.129999,18.77,18.950001,18.519819,253300
2010-01-07,18.91,19.02,18.709999,18.799999,18.373222,145200
2010-01-08,19.049999,21.139999,19.040001,20.65,20.181225,1194700
2010-01-11,20.790001,21.030001,20.110001,20.77,20.298502,483200
2010-01-12,20.709999,21.299999,20.24,20.950001,20.474415,334700
2010-01-13,20.969999,22.27,20.82,21.82,21.324663,511700
2010-01-14,21.809999,22.91,21.719999,22.48,21.969683,511600
2010-01-15,22.59,22.799999,21.98,22.139999,21.637402,445300
2010-01-19,22.139999,22.83,22.129999,22.35,21.842634,339400
2010-01-20,22.280001,22.780001,22.280001,22.5,21.989229,345100
2010-01-21,22.6,22.879999,22.09,22.18,21.676493,330300
2010-01-22,22.23,22.32,21.75,21.950001,21.451715,311500
2010-01-25,22.16,22.18,21.18,21.27,20.787151,303700
2010-01-26,21.280001,21.52,21.23,21.33,20.845787,172100
2010-01-27,21.290001,21.6,21.280001,21.48,20.992382,241700
2010-01-28,21.530001,21.530001,20.879999,21.110001,20.630783,190200
2010-01-29,21.209999,21.67,21.139999,21.139999,20.660101,320700
2010-02-01,21.15,21.450001,21.1,21.450001,20.963066,190000
2010-02-02,21.35,21.85,21.32,21.700001,21.207392,344800
2010-02-03,21.59,22.01,21.459999,21.559999,21.070566,189700
2010-02-04,21.52,21.57,20.85,20.9,20.42555,204200
2010-02-05,20.889999,21.01,20.370001,20.4,19.936901,477000
2010-02-08,20.4,20.620001,20.15,20.379999,19.917355,403200
2010-02-09,20.58,20.98,20.360001,20.91,20.435324,400100
2010-02-10,20.91,21.08,20.76,20.950001,20.474415,258700
2010-02-11,20.84,21.18,20.59,21.16,20.679646,451300
2010-02-12,20.610001,20.84,19.99,20.76,20.288727,1073400
2010-02-16,20.84,21.190001,20.780001,21.110001,20.630783,301700
2010-02-17,21.190001,21.42,21.139999,21.370001,20.884884,179400
2010-02-18,21.42,21.42,20.799999,20.940001,20.464643,276900
2010-02-19,20.959999,21.48,20.75,21.469999,20.982607,174700
2010-02-22,21.5,21.59,21.08,21.34,20.85556,172100
2010-02-23,21.34,21.68,21.139999,21.549999,21.060795,212300
2010-02-24,21.559999,21.82,21.52,21.690001,21.197617,97600
2010-02-25,21.49,21.77,21.370001,21.540001,21.051023,95900
2010-02-26,21.620001,21.620001,21.4,21.4,20.9142,121200
2010-03-01,21.43,21.969999,21.43,21.809999,21.314888,127200
2010-03-02,21.809999,22.040001,21.76,22.02,21.520124,97800
2010-03-03,22.0,22.34,21.85,22.1,21.59831,118000
2010-03-04,22.15,22.17,22.0,22.08,21.578762,45400
2010-03-05,22.200001,22.48,21.93,22.0,21.50058,243100
2010-03-08,22.059999,22.629999,21.91,22.57,22.05764,176000
2010-03-09,22.549999,23.139999,22.43,23.040001,22.516972,163400
2010-03-10,22.940001,23.49,22.91,23.450001,22.917664,167600
2010-03-11,23.41,24.02,22.42,23.639999,23.103352,385300
2010-03-12,23.6,24.18,23.6,24.120001,23.572454,287900
2010-03-15,24.120001,24.540001,23.969999,24.290001,23.738598,454700
2010-03-16,24.4,24.530001,24.0,24.110001,23.562683,122200
2010-03-17,24.07,24.370001,24.059999,24.09,23.543137,108900
2010-03-18,24.01,24.700001,24.01,24.309999,23.758137,171600
2010-03-19,24.43,24.43,23.639999,23.690001,23.152214,174100
2010-03-22,23.610001,24.129999,23.549999,24.09,23.543137,82800
2010-03-23,24.15,24.450001,23.860001,24.290001,23.738598,138900
2010-03-24,24.27,24.639999,24.16,24.23,23.679953,90400
2010-03-25,24.25,24.52,23.889999,23.889999,23.347673,115100
2010-03-26,24.02,24.379999,23.799999,23.9,23.357449,89700
2010-03-29,24.0,24.0,23.620001,23.83,23.289036,125100
2010-03-30,23.85,23.950001,23.370001,23.41,22.878572,89500
2010-03-31,23.41,23.780001,23.299999,23.299999,22.771069,134200
2010-04-01,23.41,23.6,22.799999,23.049999,22.526745,147900
2010-04-05,23.18,23.219999,22.9,22.99,22.468105,262700
2010-04-06,22.969999,23.48,22.73,23.450001,22.917664,120500
2010-04-07,23.49,24.379999,23.469999,23.85,23.308584,238900
2010-04-08,23.85,24.77,23.719999,24.57,24.012236,233600
2010-04-09,24.68,24.68,24.23,24.4,23.846094,128200
2010-04-12,24.459999,24.780001,24.4,24.76,24.197926,158300
2010-04-13,24.77,25.17,24.6,25.08,24.51066,242800
2010-04-14,25.309999,26.33,25.25,25.57,24.989536,385500
2010-04-15,25.629999,26.08,25.48,25.82,25.23386,135700
2010-04-16,25.84,26.280001,25.530001,26.02,25.429319,286000
2010-04-19,25.83,26.530001,25.559999,26.17,25.575918,568700
2010-04-20,26.33,27.030001,26.299999,27.02,26.40662,296600
2010-04-21,26.93,27.030001,26.52,26.75,26.142746,373100
2010-04-22,26.639999,27.370001,26.610001,27.120001,26.504351,342300
2010-04-23,26.99,27.639999,26.57,27.530001,26.905046,370100
2010-04-26,27.25,27.549999,26.360001,26.379999,25.781147,446800
2010-04-27,26.34,26.75,25.719999,26.02,25.429319,284600
2010-04-28,25.93,25.940001,24.32,24.4,23.846094,778700
2010-04-29,24.41,25.0,23.889999,24.879999,24.315199,355600
2010-04-30,24.959999,25.049999,24.110001,24.129999,23.582224,232600
2010-05-03,24.09,25.059999,24.059999,25.0,24.432476,243600
2010-05-04,24.82,24.82,23.76,23.85,23.308584,304500
2010-05-05,23.75,23.879999,23.26,23.389999,22.859026,197700
2010-05-06,23.309999,23.610001,21.65,22.889999,22.370377,371000
2010-05-07,22.799999,23.299999,22.25,22.559999,22.047867,381300
2010-05-10,23.09,23.82,22.57,23.790001,23.249945,279900
2010-05-11,23.559999,24.17,23.559999,23.76,23.220627,248200
2010-05-12,24.0,24.5,23.99,24.02,23.474724,481300
2010-05-13,24.0,24.6,23.58,23.82,23.279263,197300
2010-05-14,23.690001,23.809999,23.129999,23.360001,22.829706,164000
2010-05-17,23.469999,23.65,22.809999,23.559999,23.025164,225500
2010-05-18,23.76,24.299999,23.129999,23.190001,22.663563,205700
2010-05-19,23.07,23.23,22.629999,23.049999,22.526745,190700
2010-05-20,22.719999,22.950001,22.129999,22.18,21.676493,254600
2010-05-21,22.030001,23.129999,21.65,23.08,22.556065,425500
2010-05-24,23.059999,23.610001,23.049999,23.33,22.800388,339300
2010-05-25,23.0,23.290001,22.629999,23.0,22.47788,285000
2010-05-26,23.01,23.559999,22.940001,23.049999,22.526745,206500
2010-05-27,23.360001,23.48,23.110001,23.440001,22.907892,212400
2010-05-28,23.290001,23.530001,23.110001,23.190001,22.663563,119600
2010-06-01,23.209999,23.83,23.209999,23.34,22.810162,215700
2010-06-02,23.559999,24.950001,23.24,24.9,24.334743,714700
2010-06-03,24.790001,25.209999,24.33,24.620001,24.061104,140600
2010-06-04,24.040001,24.17,23.52,23.559999,23.025164,199500
2010-06-07,23.629999,23.629999,22.5,22.52,22.008774,190300
2010-06-08,22.559999,22.719999,21.74,22.110001,21.60808,232100
2010-06-09,22.16,23.07,22.049999,22.49,21.979454,228800
2010-06-10,22.74,23.299999,22.49,23.299999,22.771069,269000
2010-06-11,23.18,24.049999,23.030001,24.02,23.474724,280000
2010-06-14,24.26,24.950001,24.26,24.440001,23.885189,244100
2010-06-15,24.690001,24.889999,24.280001,24.559999,24.002462,139100
2010-06-16,24.469999,24.620001,24.200001,24.48,23.924284,110200
2010-06-17,24.65,25.42,24.459999,25.23,24.657255,304900
2010-06-18,25.4,25.719999,24.9,25.629999,25.048174,219700
2010-06-21,25.870001,25.870001,24.9,25.09,24.520435,260000
2010-06-22,25.23,25.85,24.4,24.48,23.924284,337500
2010-06-23,24.5,24.6,24.01,24.52,23.963371,189000
2010-06-24,24.33,24.59,24.049999,24.120001,23.572454,168500
2010-06-25,24.219999,24.59,23.84,24.389999,23.836323,370500
2010-06-28,24.49,24.66,24.309999,24.41,23.855869,107900
2010-06-29,24.120001,24.33,23.74,23.950001,23.406313,161800
2010-06-30,24.01,24.370001,23.5,23.6,23.064259,199200
2010-07-01,23.719999,23.74,22.83,23.02,22.497425,612500
2010-07-02,23.120001,23.27,22.65,22.700001,22.18469,133500
2010-07-06,23.059999,23.190001,21.280001,21.440001,20.953293,383100
2010-07-07,21.5,22.200001,21.110001,22.110001,21.60808,275200
2010-07-08,22.25,22.690001,21.879999,22.610001,22.096731,181900
2010-07-09,22.52,23.209999,22.450001,23.190001,22.663563,211300
2010-07-12,23.059999,23.42,22.75,23.1,22.575609,176100
2010-07-13,23.280001,24.379999,23.18,24.25,23.699499,238800
2010-07-14,24.1,24.32,23.83,24.209999,23.66041,103500
2010-07-15,24.18,24.35,23.690001,24.24,23.68973,143800
2010-07-16,24.110001,24.370001,23.379999,23.790001,23.249945,204500
2010-07-19,23.790001,23.83,22.969999,23.07,22.546291,249400
2010-07-20,22.809999,23.59,22.549999,23.48,22.946981,191100
2010-07-21,23.620001,23.620001,23.0,23.120001,22.595154,157400
2010-07-22,23.280001,24.74,23.280001,24.700001,24.139286,367500
2010-07-23,24.49,25.940001,23.73,25.49,24.911354,442000
2010-07-26,25.790001,26.43,25.620001,26.41,25.810467,290900
2010-07-27,26.469999,26.77,25.98,26.030001,25.439095,216200
2010-07-28,25.809999,26.08,25.620001,25.84,25.253408,291600
2010-07-29,26.09,26.209999,25.08,25.620001,25.038403,145000
2010-07-30,25.17,25.58,25.09,25.5,24.921125,170900
2010-08-02,25.780001,25.99,25.110001,25.57,24.989536,126700
2010-08-03,25.559999,25.73,25.0,25.6,25.018858,243300
2010-08-04,25.629999,26.059999,25.440001,25.950001,25.36091,264100
2010-08-05,25.870001,26.08,25.5,25.52,24.940672,102100
2010-08-06,25.32,25.629999,24.809999,25.559999,24.979763,93300
2010-08-09,25.73,25.98,25.549999,25.969999,25.380455,159500
2010-08-10,25.74,26.07,25.51,25.719999,25.136133,164600
2010-08-11,25.309999,25.35,24.719999,24.809999,24.24679,133900
2010-08-12,24.41,24.98,24.190001,24.309999,23.758137,174500
2010-08-13,24.17,24.209999,23.620001,23.639999,23.103352,193100
2010-08-16,23.52,24.200001,23.27,23.950001,23.406313,133800
2010-08-17,24.219999,24.75,23.91,24.6,24.041557,214400
2010-08-18,24.65,25.309999,24.25,25.0,24.432476,141100
2010-08-19,25.0,25.0,24.059999,24.32,23.767914,139900
2010-08-20,24.290001,24.389999,23.6,24.280001,23.728823,157900
2010-08-23,24.440001,24.65,24.25,24.280001,23.728823,77000
2010-08-24,24.139999,24.139999,23.4,23.74,23.201082,160700
2010-08-25,23.65,24.59,23.65,24.49,23.934053,94200
2010-08-26,24.58,24.74,24.34,24.51,23.9536,88800
2010-08-27,24.620001,25.07,24.18,25.049999,24.481339,172000
2010-08-30,24.92,25.07,24.34,24.360001,23.807005,112600
2010-08-31,24.27,24.450001,23.690001,23.940001,23.39654,174200
2010-09-01,24.34,25.799999,24.17,25.799999,25.214315,254500
2010-09-02,25.84,27.07,25.799999,26.959999,26.347984,201000
2010-09-03,27.110001,27.74,27.110001,27.48,26.856178,136300
2010-09-07,27.48,27.690001,27.110001,27.27,26.650946,83200
2010-09-08,27.41,27.65,27.09,27.32,26.69981,86300
2010-09-09,27.549999,27.629999,26.860001,27.16,26.543442,53100
2010-09-10,27.309999,27.450001,26.549999,26.780001,26.17207,123900
