Date,Open,High,Low,Close,Adj Close,Volume
2013-06-04,50.599998,50.599998,50.240002,50.299999,43.466587,44300
2013-06-05,50.400002,50.400002,50.299999,50.360001,43.518425,62500
2013-06-06,50.34,50.349998,50.27,50.290001,43.457943,106800
2013-06-07,50.330002,50.330002,50.189999,50.189999,43.371506,70800
2013-06-10,50.259998,50.259998,49.799999,49.830002,43.060432,128800
2013-06-11,50.099998,50.099998,49.799999,49.82,43.051773,50800
2013-06-12,50.0,50.200001,49.880001,50.02,43.224621,196200
2013-06-13,50.009998,50.040001,49.849998,49.849998,43.077709,105400
2013-06-14,50.130001,50.130001,49.970001,49.970001,43.1814,99900
2013-06-17,50.099998,50.099998,49.900002,50.009998,43.215969,99400
2013-06-18,50.049999,50.049999,49.84,49.93,43.146847,138400
2013-06-19,50.110001,50.110001,49.700001,49.810001,43.04314,86100
2013-06-20,49.700001,49.700001,49.450001,49.650002,42.904881,125300
2013-06-21,50.0,50.0,49.41,49.549999,42.818478,217900
2013-06-24,49.490002,49.549999,49.119999,49.529999,42.801178,312900
2013-06-25,49.59,49.59,49.34,49.369999,42.662922,262900
2013-06-26,49.459999,49.52,49.34,49.349998,42.645641,1223000
2013-06-27,49.630001,49.630001,49.299999,49.470001,42.749329,2004500
2013-06-28,49.450001,49.450001,49.299999,49.41,42.697491,2443200
2013-07-01,49.529999,49.529999,49.450001,49.459999,42.787449,2231000
2013-07-02,49.310001,49.509998,49.310001,49.419998,42.75285,90000
2013-07-03,49.619999,49.630001,49.400002,49.580002,42.891273,37200
2013-07-05,49.419998,49.419998,49.07,49.34,42.683651,139400
2013-07-08,49.59,49.59,49.450001,49.490002,42.813416,202800
2013-07-09,49.630001,49.630001,49.450001,49.529999,42.848011,62400
2013-07-10,49.799999,49.799999,49.48,49.549999,42.865299,57000
2013-07-11,49.700001,49.75,49.52,49.619999,42.925858,89000
2013-07-12,49.650002,49.700001,49.540001,49.57,42.882618,423300
2013-07-15,49.68,49.790001,49.5,49.549999,42.865299,1037900
2013-07-16,49.700001,49.759998,49.529999,49.650002,42.95182,586200
