Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.0,10.1,9.9,9.99,7.211219,223900
2010-01-05,10.01,10.06,9.45,9.61,6.936918,696300
2010-01-06,9.63,9.63,9.25,9.3,6.713149,831300
2010-01-07,9.3,9.65,9.28,9.64,6.958573,272100
2010-01-08,9.6,9.81,9.59,9.68,6.987449,492300
2010-01-11,9.75,9.78,9.49,9.54,6.886388,282000
2010-01-12,9.49,9.58,9.44,9.54,6.886388,279200
2010-01-13,9.59,9.69,9.42,9.66,6.97301,250700
2010-01-14,9.58,9.76,9.53,9.64,6.958573,378500
2010-01-15,9.69,9.69,9.36,9.62,6.944136,552600
2010-01-19,9.61,9.83,9.54,9.81,7.081289,408900
2010-01-20,9.69,9.95,9.5,9.83,7.095726,560600
2010-01-21,9.82,10.23,9.74,10.13,7.312277,743300
2010-01-22,10.12,10.77,10.07,10.17,7.34115,577400
2010-01-25,10.29,10.39,9.96,10.34,7.463865,346600
2010-01-26,10.34,10.57,10.3,10.36,7.478302,392100
2010-01-27,10.29,10.69,10.18,10.66,7.694853,451000
2010-01-28,10.71,10.74,10.27,10.3,7.494751,379900
2010-01-29,10.31,10.52,9.98,10.01,7.283733,976000
2010-02-01,10.01,10.06,9.8,10.01,7.283733,259300
2010-02-02,9.99,10.04,9.81,9.91,7.210967,296700
2010-02-03,9.84,9.93,9.59,9.69,7.050889,331700
2010-02-04,9.65,9.76,9.43,9.57,6.963571,536000
2010-02-05,9.56,9.82,9.43,9.63,7.007231,600300
2010-02-08,9.59,9.63,9.47,9.48,6.898081,240600
2010-02-09,9.63,9.69,9.45,9.49,6.905359,487600
2010-02-10,9.44,9.5,9.37,9.42,6.854424,487000
2010-02-11,9.42,9.55,9.36,9.4,6.839869,655300
2010-02-12,9.36,9.42,9.32,9.39,6.832594,946000
2010-02-16,9.47,9.63,9.35,9.6,6.9854,737800
2010-02-17,9.64,9.64,9.49,9.51,6.919912,419100
2010-02-18,9.56,9.77,9.48,9.77,7.109099,313900
2010-02-19,9.77,9.87,9.67,9.76,7.101824,231700
2010-02-22,9.76,9.86,9.68,9.86,7.174587,178300
2010-02-23,9.89,10.64,9.89,10.45,7.603898,1508400
2010-02-24,10.47,10.51,10.32,10.5,7.640279,481200
2010-02-25,10.37,10.49,10.34,10.48,7.62573,368100
2010-02-26,10.46,10.46,10.24,10.28,7.480198,485100
2010-03-01,10.31,10.4,10.18,10.31,7.50203,369000
2010-03-02,10.35,10.4,10.25,10.31,7.50203,449000
2010-03-03,10.36,10.44,10.22,10.3,7.494751,314300
2010-03-04,10.3,10.44,10.23,10.29,7.487474,266900
2010-03-05,10.32,10.49,10.28,10.46,7.611174,340600
2010-03-08,10.46,10.5,10.32,10.33,7.516578,385400
2010-03-09,10.27,10.44,10.27,10.38,7.552963,206600
2010-03-10,10.35,10.56,10.35,10.5,7.640279,343100
2010-03-11,10.44,10.58,10.44,10.53,7.662108,273700
2010-03-12,10.58,10.68,10.49,10.6,7.713047,292800
