Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.15,12.31,12.08,12.16,11.90858,488900
2010-01-05,12.18,12.49,12.08,12.48,12.221966,411300
2010-01-06,12.46,13.13,12.42,13.07,12.799764,716400
2010-01-07,13.08,13.62,12.84,13.44,13.162115,1684200
2010-01-08,13.39,13.53,13.34,13.46,13.181701,646500
2010-01-11,13.66,13.87,13.45,13.87,13.583225,506500
2010-01-12,13.7,13.75,13.11,13.19,12.917283,752400
2010-01-13,13.29,13.51,12.84,13.44,13.162115,1412100
2010-01-14,13.36,13.9,13.36,13.79,13.504881,1053300
2010-01-15,13.82,13.89,13.62,13.7,13.416739,865800
2010-01-19,13.65,13.85,13.31,13.66,13.377565,465500
2010-01-20,13.41,13.5,13.15,13.29,13.015218,745800
2010-01-21,13.25,13.43,13.08,13.25,12.976045,865200
2010-01-22,13.2,13.35,12.86,13.01,12.741007,700200
2010-01-25,13.15,13.35,12.88,13.14,12.868318,590800
2010-01-26,13.07,13.16,12.62,12.62,12.359069,619600
2010-01-27,12.6,12.67,12.39,12.58,12.319899,701300
2010-01-28,12.62,12.62,12.18,12.29,12.035895,673400
2010-01-29,12.32,12.44,12.18,12.27,12.016308,437900
2010-02-01,12.33,12.81,12.24,12.74,12.476589,664300
2010-02-02,12.71,13.16,12.6,12.84,12.574523,460100
2010-02-03,12.76,12.94,12.47,12.71,12.447209,296000
2010-02-04,12.65,12.71,12.1,12.27,12.016308,616600
2010-02-05,12.6,13.15,12.53,12.83,12.56473,959200
2010-02-08,12.89,13.18,12.67,12.77,12.505969,434700
2010-02-09,12.96,13.02,12.7,12.84,12.574523,341000
2010-02-10,12.84,12.88,12.49,12.54,12.280725,313900
2010-02-11,12.52,12.81,12.45,12.79,12.525554,227600
2010-02-12,12.66,13.07,12.58,13.07,12.799764,486600
2010-02-16,13.11,13.11,12.85,12.94,12.672452,335800
2010-02-17,12.99,13.08,12.94,13.04,12.770388,241600
2010-02-18,13.07,13.52,13.07,13.47,13.191497,596600
2010-02-19,13.48,13.5,13.28,13.38,13.103357,634000
2010-02-22,13.39,13.56,13.23,13.48,13.201288,315000
2010-02-23,13.48,13.53,13.2,13.3,13.025011,425200
2010-02-24,13.29,13.67,13.22,13.59,13.309015,412700
2010-02-25,13.41,13.69,12.87,12.87,12.603902,1140800
2010-02-26,12.97,13.0,12.48,12.5,12.241549,1119500
2010-03-01,12.59,12.95,12.5,12.86,12.594107,1060000
2010-03-02,12.84,13.39,12.84,13.33,13.054392,981200
2010-03-03,13.18,13.62,13.18,13.42,13.142529,554400
2010-03-04,13.2,13.44,12.96,13.19,12.917283,1460800
2010-03-05,13.26,13.84,13.15,13.76,13.475501,1285400
2010-03-08,13.77,14.37,13.77,14.31,14.014127,1204100
2010-03-09,14.27,14.28,13.93,13.95,13.661572,1260600
2010-03-10,14.02,14.37,13.87,13.99,13.700745,757000
2010-03-11,13.88,14.06,13.7,13.91,13.622396,480300
2010-03-12,13.97,14.2,13.77,13.86,13.573432,753300
2010-03-15,13.77,14.09,13.76,14.0,13.710537,673100
2010-03-16,14.11,14.68,14.03,14.63,14.327512,1249300
2010-03-17,14.55,14.7,14.41,14.61,14.307922,657200
2010-03-18,14.24,14.3,13.75,13.86,13.573432,2277500
2010-03-19,13.94,14.03,13.11,13.11,12.838941,2056300
2010-03-22,13.09,13.58,12.86,13.49,13.211082,1989000
2010-03-23,13.49,13.83,13.46,13.79,13.504881,807100
2010-03-24,13.79,14.62,13.79,14.56,14.25896,2033000
2010-03-25,14.68,14.82,14.53,14.68,14.376478,1323300
2010-03-26,14.76,14.89,14.6,14.7,14.396063,1132300
2010-03-29,14.71,14.98,14.6,14.66,14.356891,693100
2010-03-30,14.61,14.75,14.5,14.66,14.356891,514000
2010-03-31,14.62,14.75,14.55,14.65,14.3471,970100
2010-04-01,14.73,14.88,14.4,14.63,14.327512,638500
2010-04-05,14.63,14.89,14.48,14.79,14.484205,657300
2010-04-06,14.9,14.93,14.58,14.71,14.405859,472900
2010-04-07,14.65,14.73,14.4,14.53,14.22958,661000
2010-04-08,14.53,14.61,14.4,14.49,14.190406,549700
2010-04-09,14.5,14.62,14.4,14.48,14.180613,603700
2010-04-12,15.23,15.31,14.85,14.92,14.611518,1795500
2010-04-13,14.96,15.01,14.6,14.76,14.454823,667500
2010-04-14,14.88,15.35,14.87,15.33,15.013038,630300
2010-04-15,15.32,15.41,15.15,15.31,14.993455,768500
2010-04-16,15.32,15.44,15.0,15.2,14.885726,622900
2010-04-19,15.2,15.3,15.01,15.15,14.83676,415100
2010-04-20,15.28,15.59,15.15,15.56,15.238285,496500
2010-04-21,15.63,15.83,15.26,15.36,15.042418,354500
2010-04-22,15.25,15.3,14.85,14.99,14.680068,720900
2010-04-23,15.1,15.37,14.97,15.22,14.905313,449300
2010-04-26,15.23,15.5,15.23,15.36,15.042418,366500
2010-04-27,15.3,15.31,14.85,14.87,14.562549,446700
2010-04-28,15.0,15.27,14.96,15.16,14.846553,902100
2010-04-29,15.31,15.85,15.15,15.25,14.934693,1164300
2010-04-30,15.33,15.51,15.16,15.29,14.973866,946000
2010-05-03,15.4,15.58,15.17,15.31,14.993455,452500
2010-05-04,15.15,15.22,14.51,14.64,14.337306,673800
2010-05-05,14.48,15.24,13.63,15.06,14.748622,1552700
2010-05-06,15.02,15.27,13.25,13.99,13.700745,1249800
2010-05-07,13.9,13.9,13.15,13.21,12.936871,1639400
2010-05-10,13.93,14.57,13.8,14.05,13.759504,1154700
2010-05-11,13.91,14.58,13.78,14.3,14.004334,444300
2010-05-12,14.26,14.4,14.05,14.31,14.014127,580600
2010-05-13,14.23,14.62,14.23,14.51,14.209993,661600
2010-05-14,14.38,14.4,13.64,14.06,13.769297,691000
2010-05-17,14.09,14.27,13.41,13.72,13.436328,933300
2010-05-18,14.02,14.06,13.23,13.3,13.025011,744400
2010-05-19,13.2,13.2,12.7,12.71,12.447209,1617100
2010-05-20,12.59,12.7,11.84,12.31,12.055478,1273500
2010-05-21,12.08,12.66,12.02,12.63,12.368863,1881900
2010-05-24,12.54,12.79,12.39,12.43,12.172999,1108000
2010-05-25,12.11,12.46,11.81,12.41,12.153411,786100
2010-05-26,12.5,12.9,12.21,12.25,11.99672,623600
