Date,Open,High,Low,Close,Adj Close,Volume
2013-09-24,25.01,25.01,25.01,25.01,18.516016,15000
2013-09-25,25.049999,25.07,25.049999,25.049999,18.545631,5600
2013-09-26,25.01,25.049999,25.01,25.049999,18.545631,3200
2013-09-27,25.049999,25.059999,25.049999,25.059999,18.553036,5600
2013-09-30,25.030001,25.049999,24.98,24.99,18.501204,6800
2013-10-01,24.99,25.040001,24.98,25.030001,18.530821,8800
2013-10-02,24.969999,25.01,24.969999,25.0,18.508617,4400
2013-10-03,25.1,25.1,25.02,25.049999,18.545631,2900
2013-10-04,25.09,25.120001,25.040001,25.120001,18.597452,8900
2013-10-07,25.1,25.1,25.09,25.1,18.582642,3000
2013-10-08,25.110001,25.110001,25.1,25.110001,18.590038,2000
2013-10-09,25.16,25.16,25.129999,25.139999,18.612253,5000
2013-10-10,25.139999,25.190001,25.120001,25.17,18.634474,7100
2013-10-11,25.15,25.190001,25.110001,25.129999,18.604856,4000
2013-10-14,25.18,25.190001,25.129999,25.129999,18.604856,25100
2013-10-15,25.129999,25.209999,25.129999,25.17,18.634474,41300
2013-10-16,25.33,25.34,25.27,25.34,18.760334,1400
2013-10-17,25.33,25.379999,25.33,25.379999,18.78994,5300
2013-10-18,25.459999,25.48,25.450001,25.48,18.863972,5200
2013-10-21,25.43,25.549999,25.43,25.530001,18.900991,6900
2013-10-22,25.629999,25.690001,25.620001,25.67,19.004641,33500
2013-10-23,25.690001,25.77,25.639999,25.66,18.997232,49700
2013-10-24,26.299999,26.299999,25.66,25.700001,19.026855,46500
2013-10-25,25.65,25.700001,25.65,25.700001,19.026855,6200
2013-10-28,25.74,25.74,25.719999,25.74,19.056469,5300
2013-10-29,25.73,25.74,25.719999,25.719999,19.041662,9800
2013-10-30,25.75,25.77,25.74,25.74,19.056469,4700
2013-10-31,25.74,25.77,25.74,25.77,19.078672,1400
2013-11-01,25.780001,25.780001,25.719999,25.75,19.105381,4800
2013-11-04,25.75,25.75,25.75,25.75,19.105381,0
2013-11-05,25.75,25.75,25.75,25.75,19.105381,700
2013-11-06,25.68,25.690001,25.68,25.690001,19.060863,1900
2013-11-07,25.75,25.75,25.700001,25.709999,19.075714,2200
2013-11-08,25.67,25.68,25.66,25.66,19.038605,18200
2013-11-11,25.58,25.58,25.58,25.58,18.979244,500
2013-11-12,25.58,25.610001,25.530001,25.540001,18.949572,10900
2013-11-13,25.51,25.540001,25.51,25.540001,18.949572,6700
2013-11-14,25.540001,25.540001,25.540001,25.540001,18.949572,1100
2013-11-15,25.58,25.620001,25.58,25.620001,19.00893,10500
2013-11-18,25.549999,25.610001,25.549999,25.6,18.994097,4600
2013-11-19,25.65,25.65,25.639999,25.65,19.031193,600
2013-11-20,25.66,25.709999,25.6,25.709999,19.075714,11700
2013-11-21,25.790001,25.790001,25.65,25.65,19.031193,7200
2013-11-22,25.629999,25.65,25.620001,25.639999,19.023771,6000
2013-11-25,25.65,25.65,25.59,25.620001,19.00893,6200
2013-11-26,25.65,25.709999,25.65,25.709999,19.075714,3200
2013-11-27,25.75,25.75,25.74,25.75,19.105381,5700
2013-11-29,25.780001,25.780001,25.75,25.75,19.105381,400
2013-12-02,25.65,25.65,25.65,25.65,19.103889,900
2013-12-03,25.68,25.690001,25.629999,25.690001,19.133678,11400
2013-12-04,25.67,25.67,25.58,25.620001,19.081553,38000
2013-12-05,25.66,25.67,25.59,25.6,19.066662,16600
2013-12-06,25.6,25.639999,25.59,25.629999,19.089003,72500
2013-12-09,25.700001,25.700001,25.690001,25.690001,19.133678,4800
2013-12-10,25.719999,25.719999,25.709999,25.719999,19.156027,900
2013-12-11,25.780001,25.780001,25.65,25.68,19.126238,8000
2013-12-12,25.73,25.76,25.66,25.66,19.111349,11400
2013-12-13,25.77,25.77,25.719999,25.74,19.170929,5400
2013-12-16,25.76,25.76,25.73,25.74,19.170929,9800
2013-12-17,25.76,25.77,25.719999,25.76,19.185825,14400
2013-12-18,25.799999,25.799999,25.73,25.780001,19.200716,15700
2013-12-19,25.77,25.77,25.700001,25.77,19.19327,4700
2013-12-20,25.77,25.77,25.73,25.77,19.19327,10100
2013-12-23,25.790001,25.860001,25.790001,25.799999,19.215609,1500
2013-12-24,25.860001,25.860001,25.76,25.82,19.230509,5500
2013-12-26,25.85,25.85,25.82,25.82,19.230509,11100
2013-12-27,25.809999,25.809999,25.620001,25.73,19.223032,8100
2013-12-30,25.75,25.75,25.75,25.75,19.237986,300
2013-12-31,25.75,25.75,25.74,25.74,19.230509,29200
2014-01-02,25.73,25.77,25.73,25.76,19.245462,5100
2014-01-03,25.84,25.84,25.74,25.780001,19.260393,21400
2014-01-06,25.809999,25.809999,25.77,25.790001,19.267862,4000
2014-01-07,25.860001,25.860001,25.82,25.83,19.297749,10100
2014-01-08,25.889999,25.889999,25.82,25.84,19.305218,26900
2014-01-09,25.91,25.91,25.85,25.879999,19.3351,6700
2014-01-10,25.889999,25.93,25.879999,25.92,19.36499,15900
2014-01-13,25.969999,25.969999,25.879999,25.92,19.36499,39800
2014-01-14,25.9,25.940001,25.9,25.940001,19.379927,700
2014-01-15,25.99,25.99,25.959999,25.98,19.409817,11300
2014-01-16,26.0,26.0,25.98,26.0,19.424751,10100
2014-01-17,26.0,26.01,25.969999,26.01,19.432228,20600
2014-01-21,26.07,26.07,25.99,26.02,19.439701,8400
2014-01-22,26.040001,26.040001,26.02,26.040001,19.454639,14900
2014-01-23,26.08,26.08,26.01,26.02,19.439701,7600
2014-01-24,25.940001,25.940001,25.85,25.889999,19.342583,21200
2014-01-27,25.93,25.940001,25.879999,25.879999,19.3351,9000
2014-01-28,25.93,25.950001,25.93,25.940001,19.379927,15900
2014-01-29,25.93,25.93,25.84,25.84,19.305218,2400
2014-01-30,25.92,25.93,25.870001,25.91,19.357517,14000
2014-01-31,25.85,25.92,25.85,25.91,19.357517,8800
2014-02-03,25.77,25.780001,25.74,25.780001,19.330526,4000
2014-02-04,25.799999,25.83,25.799999,25.799999,19.345514,4000
2014-02-05,25.799999,25.799999,25.76,25.76,19.315529,2800
2014-02-06,25.799999,25.83,25.799999,25.83,19.368021,9500
2014-02-07,25.85,25.9,25.85,25.9,19.420504,36500
2014-02-10,25.879999,25.950001,25.82,25.9,19.420504,10100
2014-02-11,25.93,25.98,25.93,25.98,19.480486,7800
2014-02-12,26.01,26.02,25.969999,26.0,19.49548,5200
2014-02-13,26.0,26.030001,25.969999,26.030001,19.517979,4500
2014-02-14,26.07,26.07,26.02,26.059999,19.540482,4000
2014-02-18,26.08,26.08,26.01,26.07,19.547979,21400
2014-02-19,26.120001,26.120001,26.07,26.1,19.570473,5500
2014-02-20,26.15,26.16,26.15,26.16,19.615456,700
2014-02-21,26.16,26.190001,26.139999,26.15,19.607956,5600
2014-02-24,26.190001,26.23,26.190001,26.23,19.667946,18300
2014-02-25,26.25,26.299999,26.18,26.26,19.690447,20400
2014-02-26,26.299999,26.33,26.299999,26.309999,19.727932,132900
2014-02-27,26.35,26.42,26.280001,26.42,19.810411,11500
2014-02-28,26.4,26.4,26.33,26.389999,19.787928,16600
2014-03-03,26.25,26.309999,26.15,26.26,19.755571,25900
2014-03-04,26.309999,26.32,26.280001,26.32,19.800701,8100
2014-03-05,26.35,26.35,26.200001,26.299999,19.785658,12700
2014-03-06,26.299999,26.299999,26.190001,26.280001,19.770618,5300
2014-03-07,26.290001,26.290001,26.24,26.25,19.748049,15900
2014-03-10,26.24,26.24,26.190001,26.209999,19.717953,18300
2014-03-11,26.26,26.27,26.219999,26.24,19.740524,7200
2014-03-12,26.24,26.24,26.219999,26.23,19.733,2200
2014-03-13,26.24,26.24,26.16,26.18,19.695389,9300
2014-03-14,26.25,26.25,26.190001,26.209999,19.717953,9500
2014-03-17,26.209999,26.209999,26.190001,26.209999,19.717953,3500
2014-03-18,26.25,26.25,26.209999,26.25,19.748049,5700
2014-03-19,26.299999,26.299999,26.09,26.120001,19.650244,21600
2014-03-20,26.18,26.26,26.16,26.26,19.755571,9900
2014-03-21,26.209999,26.27,26.200001,26.219999,19.725483,6800
2014-03-24,26.23,26.309999,26.219999,26.299999,19.785658,10500
2014-03-25,26.24,26.309999,26.23,26.24,19.740524,5300
2014-03-26,26.309999,26.34,26.190001,26.27,19.76309,8500
2014-03-27,26.23,26.299999,26.219999,26.26,19.755571,9800
2014-03-28,26.219999,26.309999,26.219999,26.280001,19.770618,9000
