Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,40.0,40.0,40.0,40.0,40.0,0
2010-01-05,40.0,40.0,40.0,40.0,40.0,0
2010-01-06,30.0,30.0,30.0,30.0,30.0,0
2010-01-07,40.0,40.0,40.0,40.0,40.0,0
2010-01-08,40.0,40.0,40.0,40.0,40.0,0
2010-01-11,40.0,40.0,40.0,40.0,40.0,0
2010-01-12,40.0,40.0,40.0,40.0,40.0,0
2010-01-13,40.0,40.0,40.0,40.0,40.0,0
2010-01-14,40.0,40.0,40.0,40.0,40.0,0
2010-01-15,40.0,40.0,40.0,40.0,40.0,0
2010-01-19,25.0,39.900002,25.0,39.900002,39.900002,100
2010-01-20,39.900002,39.900002,39.900002,39.900002,39.900002,0
2010-01-21,39.900002,39.900002,39.900002,39.900002,39.900002,0
2010-01-22,39.900002,39.900002,39.900002,39.900002,39.900002,0
2010-01-25,27.5,40.0,27.5,40.0,40.0,0
2010-01-26,39.900002,39.900002,39.900002,39.900002,39.900002,0
2010-01-27,39.900002,39.900002,39.900002,39.900002,39.900002,0
2010-01-28,39.900002,39.900002,39.900002,39.900002,39.900002,0
2010-01-29,40.0,40.0,40.0,40.0,40.0,0
2010-02-01,40.0,40.0,40.0,40.0,40.0,0
2010-02-02,40.0,40.0,40.0,40.0,40.0,0
2010-02-03,40.0,40.0,40.0,40.0,40.0,0
2010-02-04,40.0,40.0,40.0,40.0,40.0,0
2010-02-05,40.0,40.0,40.0,40.0,40.0,0
2010-02-08,40.0,40.0,40.0,40.0,40.0,0
2010-02-09,40.0,40.0,40.0,40.0,40.0,0
2010-02-10,40.0,40.0,40.0,40.0,40.0,0
2010-02-11,40.0,40.0,40.0,40.0,40.0,0
2010-02-12,40.0,40.0,40.0,40.0,40.0,0
2010-02-16,40.0,40.0,40.0,40.0,40.0,0
2010-02-17,40.0,40.0,40.0,40.0,40.0,0
2010-02-18,40.0,40.0,40.0,40.0,40.0,0
2010-02-19,40.0,40.0,40.0,40.0,40.0,0
2010-02-22,40.0,40.0,40.0,40.0,40.0,0
2010-02-23,40.0,40.0,40.0,40.0,40.0,0
2010-02-24,40.0,40.0,40.0,40.0,40.0,0
2010-02-25,40.0,40.0,40.0,40.0,40.0,0
2010-02-26,40.0,40.0,40.0,40.0,40.0,0
2010-03-01,27.6,35.0,27.6,35.0,35.0,0
2010-03-02,35.0,35.0,35.0,35.0,35.0,0
2010-03-03,35.0,35.0,35.0,35.0,35.0,0
2010-03-04,35.0,35.0,35.0,35.0,35.0,0
2010-03-05,35.0,35.0,35.0,35.0,35.0,0
2010-03-08,40.0,40.0,40.0,40.0,40.0,0
2010-03-09,40.0,40.0,40.0,40.0,40.0,0
2010-03-10,25.0,40.0,25.0,40.0,40.0,0
2010-03-11,40.0,40.0,40.0,40.0,40.0,0
2010-03-12,40.0,40.0,40.0,40.0,40.0,0
2010-03-15,39.900002,39.900002,39.900002,39.900002,39.900002,0
2010-03-16,40.0,40.0,40.0,40.0,40.0,200
2010-03-17,40.0,40.0,40.0,40.0,40.0,0
2010-03-18,40.0,40.0,40.0,40.0,40.0,0
2010-03-19,40.0,40.0,40.0,40.0,40.0,2400
2010-03-22,38.0,38.0,38.0,38.0,38.0,100
2010-03-23,38.0,38.0,38.0,38.0,38.0,0
2010-03-24,38.0,38.0,38.0,38.0,38.0,0
2010-03-25,38.0,38.0,38.0,38.0,38.0,0
2010-03-26,41.0,41.0,41.0,41.0,41.0,0
2010-03-29,41.0,41.0,41.0,41.0,41.0,0
2010-03-30,41.0,41.0,41.0,41.0,41.0,0
2010-03-31,42.5,42.5,42.5,42.5,42.5,0
2010-04-01,42.5,42.5,42.5,42.5,42.5,0
2010-04-05,42.5,42.5,42.5,42.5,42.5,0
2010-04-06,42.5,42.5,42.5,42.5,42.5,0
2010-04-07,42.5,42.5,42.5,42.5,42.5,0
2010-04-08,42.5,42.5,42.5,42.5,42.5,0
2010-04-09,42.5,42.5,42.5,42.5,42.5,100
2010-04-12,38.0,42.5,26.0,42.5,42.5,1800
2010-04-13,40.0,40.0,40.0,40.0,40.0,0
2010-04-14,40.0,40.0,40.0,40.0,40.0,0
2010-04-15,40.0,40.0,40.0,40.0,40.0,0
2010-04-16,40.0,40.0,40.0,40.0,40.0,0
2010-04-19,40.0,40.0,40.0,40.0,40.0,0
2010-04-20,40.0,40.0,40.0,40.0,40.0,0
2010-04-21,40.0,40.0,40.0,40.0,40.0,0
2010-04-22,37.5,40.0,35.0,40.0,40.0,600
2010-04-23,40.0,40.0,40.0,40.0,40.0,0
2010-04-26,35.0,42.5,35.0,42.5,42.5,100
2010-04-27,30.0,40.0,30.0,40.0,40.0,400
2010-04-28,40.0,40.0,40.0,40.0,40.0,0
2010-04-29,35.0,42.5,33.5,42.5,42.5,800
2010-04-30,42.5,42.5,42.5,42.5,42.5,0
2010-05-03,42.5,42.5,42.5,42.5,42.5,0
2010-05-04,42.5,42.5,42.5,42.5,42.5,0
2010-05-05,36.0,42.5,36.0,42.5,42.5,200
2010-05-06,42.5,42.5,42.5,42.5,42.5,0
2010-05-07,42.5,42.5,42.5,42.5,42.5,0
2010-05-10,42.5,42.5,42.5,42.5,42.5,0
2010-05-11,34.5,42.0,33.0,42.0,42.0,1400
2010-05-12,40.0,40.0,40.0,40.0,40.0,100
2010-05-13,40.0,40.0,40.0,40.0,40.0,0
2010-05-14,34.5,41.0,34.5,41.0,41.0,500
2010-05-17,41.5,41.5,41.5,41.5,41.5,0
2010-05-18,41.5,41.5,41.5,41.5,41.5,0
2010-05-19,41.5,41.5,41.5,41.5,41.5,0
2010-05-20,40.0,40.0,40.0,40.0,40.0,0
2010-05-21,34.5,41.0,34.5,41.0,41.0,300
2010-05-24,41.0,41.0,41.0,41.0,41.0,0
2010-05-25,41.0,41.0,41.0,41.0,41.0,0
2010-05-26,41.0,41.0,41.0,41.0,41.0,0
2010-05-27,41.0,41.0,41.0,41.0,41.0,0
2010-05-28,41.0,41.0,41.0,41.0,41.0,0
2010-06-01,41.0,41.0,41.0,41.0,41.0,100
2010-06-02,41.0,41.0,41.0,41.0,41.0,0
2010-06-03,40.0,40.0,40.0,40.0,40.0,100
2010-06-04,40.0,40.0,40.0,40.0,40.0,0
2010-06-07,40.0,40.0,40.0,40.0,40.0,0
2010-06-08,40.0,40.0,40.0,40.0,40.0,0
2010-06-09,40.0,40.0,40.0,40.0,40.0,0
2010-06-10,40.0,40.0,40.0,40.0,40.0,0
2010-06-11,41.0,41.0,41.0,41.0,41.0,0
2010-06-14,41.0,41.0,41.0,41.0,41.0,0
2010-06-15,40.0,40.0,40.0,40.0,40.0,0
2010-06-16,40.0,40.0,40.0,40.0,40.0,0
2010-06-17,40.0,40.0,40.0,40.0,40.0,0
2010-06-18,40.0,40.0,40.0,40.0,40.0,0
2010-06-21,32.5,40.0,32.5,40.0,40.0,1600
2010-06-22,40.0,40.0,40.0,40.0,40.0,0
2010-06-23,35.0,35.0,35.0,35.0,35.0,100
2010-06-24,37.5,40.0,37.5,40.0,40.0,300
2010-06-25,40.0,40.0,40.0,40.0,40.0,0
2010-06-28,40.0,40.0,40.0,40.0,40.0,0
2010-06-29,40.0,40.0,40.0,40.0,40.0,0
2010-06-30,40.0,40.0,40.0,40.0,40.0,100
2010-07-01,35.0,40.0,35.0,40.0,40.0,400
2010-07-02,40.0,40.0,40.0,40.0,40.0,0
2010-07-06,40.0,40.0,40.0,40.0,40.0,0
2010-07-07,40.0,40.0,40.0,40.0,40.0,0
2010-07-08,40.0,40.0,40.0,40.0,40.0,0
2010-07-09,35.0,35.0,35.0,35.0,35.0,100
2010-07-12,35.0,37.5,35.0,37.5,37.5,200
2010-07-13,37.5,37.5,37.5,37.5,37.5,0
2010-07-14,37.5,37.5,37.5,37.5,37.5,0
2010-07-15,37.5,37.5,37.5,37.5,37.5,0
2010-07-16,37.5,37.5,37.5,37.5,37.5,0
2010-07-19,37.5,37.5,37.5,37.5,37.5,0
2010-07-20,37.5,37.5,37.5,37.5,37.5,0
2010-07-21,37.5,37.5,37.5,37.5,37.5,0
2010-07-22,37.5,37.5,37.5,37.5,37.5,0
2010-07-23,37.5,37.5,37.5,37.5,37.5,0
2010-07-26,37.5,37.5,37.5,37.5,37.5,0
2010-07-27,37.5,37.5,37.5,37.5,37.5,0
2010-07-28,37.5,37.5,37.5,37.5,37.5,0
2010-07-29,37.5,37.5,37.5,37.5,37.5,0
2010-07-30,37.5,37.5,37.5,37.5,37.5,0
2010-08-02,37.5,37.5,37.5,37.5,37.5,0
2010-08-03,37.5,37.5,37.5,37.5,37.5,0
2010-08-04,37.5,37.5,37.5,37.5,37.5,0
2010-08-05,37.5,37.5,37.5,37.5,37.5,0
2010-08-06,37.5,37.5,37.5,37.5,37.5,0
2010-08-09,37.5,37.5,37.5,37.5,37.5,0
2010-08-10,37.400002,37.5,37.400002,37.5,37.5,0
2010-08-11,40.0,42.5,37.5,42.5,42.5,200
2010-08-12,42.5,42.5,42.5,42.5,42.5,0
2010-08-13,42.5,42.5,42.5,42.5,42.5,0
2010-08-16,42.5,42.5,42.5,42.5,42.5,0
2010-08-17,42.5,42.5,42.5,42.5,42.5,0
2010-08-18,42.5,42.5,42.5,42.5,42.5,0
2010-08-19,42.5,42.5,42.5,42.5,42.5,0
2010-08-20,42.5,42.5,42.5,42.5,42.5,0
2010-08-23,42.5,42.5,42.5,42.5,42.5,0
2010-08-24,42.5,42.5,42.5,42.5,42.5,0
2010-08-25,30.0,40.0,30.0,40.0,40.0,0
2010-08-26,40.0,40.0,40.0,40.0,40.0,0
2010-08-27,40.0,40.0,40.0,40.0,40.0,0
2010-08-30,40.0,40.0,40.0,40.0,40.0,0
2010-08-31,34.0,40.0,30.0,40.0,40.0,200
2010-09-01,40.0,40.0,40.0,40.0,40.0,0
2010-09-02,40.0,40.0,40.0,40.0,40.0,0
2010-09-03,40.0,40.0,40.0,40.0,40.0,0
2010-09-07,40.0,40.0,40.0,40.0,40.0,0
2010-09-08,40.0,40.0,40.0,40.0,40.0,0
2010-09-09,40.0,40.0,40.0,40.0,40.0,0
2010-09-10,40.0,40.0,40.0,40.0,40.0,0
2010-09-13,40.0,40.0,40.0,40.0,40.0,0
2010-09-14,40.0,40.0,40.0,40.0,40.0,0
2010-09-15,40.0,40.0,40.0,40.0,40.0,0
2010-09-16,40.0,40.0,40.0,40.0,40.0,0
2010-09-17,40.0,40.0,40.0,40.0,40.0,0
2010-09-20,40.0,40.0,40.0,40.0,40.0,0
2010-09-21,39.799999,39.799999,39.799999,39.799999,39.799999,0
2010-09-22,39.799999,39.799999,39.799999,39.799999,39.799999,0
2010-09-23,39.799999,39.799999,39.799999,39.799999,39.799999,0
2010-09-24,35.0,40.0,35.0,40.0,40.0,200
2010-09-27,40.0,40.0,40.0,40.0,40.0,0
2010-09-28,40.0,40.0,40.0,40.0,40.0,0
2010-09-29,40.0,40.0,40.0,40.0,40.0,0
2010-09-30,40.0,40.0,40.0,40.0,40.0,0
2010-10-01,40.0,40.0,40.0,40.0,40.0,0
2010-10-04,40.0,40.0,40.0,40.0,40.0,0
2010-10-05,40.0,40.0,40.0,40.0,40.0,0
2010-10-06,40.0,40.0,40.0,40.0,40.0,0
2010-10-07,40.0,40.0,40.0,40.0,40.0,0
2010-10-08,40.0,40.0,40.0,40.0,40.0,0
2010-10-11,40.0,40.0,40.0,40.0,40.0,0
2010-10-12,37.5,37.5,37.5,37.5,37.5,0
2010-10-13,37.5,37.5,37.5,37.5,37.5,0
2010-10-14,37.5,37.5,37.5,37.5,37.5,0
2010-10-15,37.5,37.5,37.5,37.5,37.5,0
2010-10-18,30.0,30.0,30.0,30.0,30.0,0
2010-10-19,37.0,37.5,37.0,37.5,37.5,100
2010-10-20,37.5,37.5,37.5,37.5,37.5,0
2010-10-21,37.5,37.5,37.5,37.5,37.5,0
2010-10-22,30.1,30.1,30.1,30.1,30.1,0
2010-10-25,30.1,30.1,30.1,30.1,30.1,0
2010-10-26,30.1,30.1,30.1,30.1,30.1,0
2010-10-27,37.5,37.5,37.5,37.5,37.5,0
2010-10-28,37.5,37.5,37.5,37.5,37.5,0
