Date,Open,High,Low,Close,Adj Close,Volume
2014-05-14,10.375,10.375,10.11,10.26,9.826344,18400
2014-05-15,10.125,10.125,10.125,10.125,9.697049,200
2014-05-16,10.125,10.125,10.125,10.125,9.697049,0
2014-05-19,10.125,10.125,10.125,10.125,9.697049,0
2014-05-20,10.125,10.175,10.1,10.1,9.673107,3600
2014-05-21,10.1,10.1,10.1,10.1,9.673107,0
2014-05-22,10.125,10.25,10.125,10.25,9.816768,6200
2014-05-23,10.25,10.25,10.25,10.25,9.816768,0
2014-05-27,10.25,10.25,10.25,10.25,9.816768,0
2014-05-28,10.26,10.26,10.0,10.0,9.577334,2600
2014-05-29,9.875,10.0,9.875,10.0,9.577334,6400
2014-05-30,10.0,10.0,10.0,10.0,9.577334,0
2014-06-02,10.125,10.125,10.125,10.125,9.697049,200
2014-06-03,9.905,9.905,9.875,9.875,9.457616,2200
2014-06-04,9.875,9.875,9.875,9.875,9.457616,0
2014-06-05,10.0,10.0,10.0,10.0,9.577334,1000
2014-06-06,10.0,10.0,9.925,9.925,9.505505,4600
2014-06-09,10.0,10.0,10.0,10.0,9.577334,2000
2014-06-10,10.0,10.0,10.0,10.0,9.577334,7000
2014-06-11,10.0,10.0,10.0,10.0,9.577334,400
2014-06-12,10.0,10.0,10.0,10.0,9.577334,600
2014-06-13,9.975,9.975,9.9,9.9,9.481561,400
2014-06-16,9.9,9.9,9.9,9.9,9.481561,0
2014-06-17,9.93,10.0,9.925,10.0,9.577334,17800
2014-06-18,10.0,10.0,10.0,10.0,9.601336,1000
2014-06-19,9.925,10.0,9.925,10.0,9.601336,1200
2014-06-20,9.95,10.0,9.95,10.0,9.601336,4200
2014-06-23,10.0,10.0,10.0,10.0,9.601336,2000
2014-06-24,10.0,10.0,9.95,10.0,9.601336,7600
2014-06-25,10.0,10.0,10.0,10.0,9.601336,0
2014-06-26,10.0,10.0,10.0,10.0,9.601336,0
2014-06-27,10.0,10.0,10.0,10.0,9.601336,0
2014-06-30,9.925,9.925,9.7,9.89,9.495725,15000
2014-07-01,9.925,10.055,9.925,10.055,9.654146,3200
2014-07-02,10.055,10.055,10.055,10.055,9.654146,0
2014-07-03,11.5,11.5,11.0,11.0,10.56147,400
2014-07-07,11.49,12.405,11.16,12.12,11.636819,11200
2014-07-08,11.445,11.445,11.445,11.445,10.988729,600
2014-07-09,11.79,12.1,11.75,11.895,11.420793,3200
2014-07-10,12.08,12.4,12.005,12.4,11.905655,1400
2014-07-11,12.425,12.425,12.425,12.425,11.929661,3800
2014-07-14,10.75,11.275,10.415,11.175,10.729493,15600
2014-07-15,11.175,11.175,11.175,11.175,10.729493,1000
2014-07-16,11.59,11.59,10.935,10.95,10.513463,10000
2014-07-17,10.95,10.95,10.95,10.95,10.513463,0
2014-07-18,11.24,11.4,11.24,11.305,10.854312,8200
2014-07-21,11.275,12.12,11.275,11.275,10.825509,14800
2014-07-22,11.275,11.275,11.275,11.275,10.825509,0
