Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.7,3.02,2.7,2.7,2.7,0
2010-01-06,2.718,2.933,2.718,2.718,2.718,0
2010-01-07,2.642,2.91,2.642,2.642,2.642,0
2010-01-08,2.642,2.91,2.642,2.642,2.642,0
2010-01-14,2.619,2.91,2.619,2.619,2.619,0
2010-01-15,2.619,2.91,2.619,2.619,2.619,0
2010-01-19,2.619,2.91,2.619,2.619,2.619,0
2010-01-29,2.62,2.83,2.62,2.83,2.83,0
2010-02-01,2.62,2.81,2.62,2.81,2.81,0
2010-02-05,2.53,2.81,2.53,2.81,2.81,0
2010-02-19,2.53,2.81,2.53,2.81,2.81,0
2010-02-26,2.53,2.75,2.53,2.75,2.75,0
2010-03-03,2.48,2.75,2.48,2.75,2.75,0
2010-03-05,2.75,2.75,2.75,2.75,2.75,0
2010-03-08,2.739,2.739,2.739,2.739,2.739,0
2010-03-09,2.749,2.749,2.749,2.749,2.749,0
2010-03-10,2.758,2.758,2.758,2.758,2.758,0
2010-03-11,2.839,2.839,2.839,2.839,2.839,0
2010-03-12,2.836,2.836,2.836,2.836,2.836,0
2010-03-15,2.836,2.836,2.836,2.836,2.836,0
2010-03-16,2.809,2.809,2.809,2.809,2.809,0
2010-03-17,2.809,2.809,2.809,2.809,2.809,0
2010-03-18,2.761,2.761,2.761,2.761,2.761,0
2010-03-19,2.837,2.837,2.837,2.837,2.837,0
2010-03-22,2.837,2.837,2.837,2.837,2.837,0
2010-03-23,2.837,2.837,2.837,2.837,2.837,0
2010-03-24,2.729,2.729,2.729,2.729,2.729,0
2010-03-25,2.809,2.809,2.809,2.809,2.809,0
2010-03-26,2.809,2.809,2.809,2.809,2.809,0
2010-03-29,2.809,2.809,2.809,2.809,2.809,0
2010-03-30,2.836,2.836,2.836,2.836,2.836,0
2010-03-31,2.836,2.836,2.836,2.836,2.836,0
2010-04-01,2.836,2.836,2.836,2.836,2.836,0
2010-04-06,2.836,2.836,2.83,2.83,2.83,500
2010-04-07,2.836,2.836,2.836,2.836,2.836,0
2010-04-08,3.005,3.005,3.005,3.005,3.005,0
2010-04-09,2.918,2.918,2.918,2.918,2.918,0
2010-04-12,2.933,2.933,2.933,2.933,2.933,0
2010-04-13,3.01,3.01,3.01,3.01,3.01,0
2010-04-14,3.01,3.01,3.01,3.01,3.01,0
2010-04-15,2.75,2.75,2.75,2.75,2.75,0
2010-04-16,2.75,2.75,2.75,2.75,2.75,0
2010-04-19,2.75,2.75,2.75,2.75,2.75,0
2010-04-20,2.75,2.75,2.75,2.75,2.75,0
2010-04-21,2.75,2.75,2.75,2.75,2.75,0
2010-04-22,2.65,2.65,2.65,2.65,2.65,0
2010-04-23,2.75,2.75,2.75,2.75,2.75,0
2010-04-26,2.75,2.75,2.75,2.75,2.75,0
2010-04-27,2.75,2.75,2.75,2.75,2.75,0
2010-04-28,2.75,2.75,2.75,2.75,2.75,0
2010-04-29,2.75,2.75,2.75,2.75,2.75,0
2010-04-30,3.065,3.065,3.065,3.065,3.065,0
2010-05-03,2.75,2.75,2.75,2.75,2.75,0
2010-05-04,2.75,2.75,2.75,2.75,2.75,0
2010-05-05,2.75,2.75,2.75,2.75,2.75,0
2010-05-06,2.75,2.75,2.75,2.75,2.75,0
2010-05-07,3.25,3.25,3.25,3.25,3.25,0
2010-05-10,2.61,2.61,2.61,2.61,2.61,0
2010-05-11,2.75,2.75,2.75,2.75,2.75,0
2010-05-12,2.61,2.61,2.61,2.61,2.61,0
2010-05-13,2.97,2.97,2.97,2.97,2.97,0
2010-05-14,2.61,2.61,2.61,2.61,2.61,0
2010-05-17,2.61,2.61,2.61,2.61,2.61,0
2010-05-18,2.61,2.61,2.61,2.61,2.61,0
2010-05-19,2.61,2.61,2.61,2.61,2.61,0
2010-05-20,2.61,2.61,2.61,2.61,2.61,0
2010-05-21,2.61,2.61,2.61,2.61,2.61,0
2010-05-24,2.61,2.61,2.61,2.61,2.61,0
2010-05-25,2.61,2.61,2.61,2.61,2.61,0
2010-05-26,2.61,2.61,2.61,2.61,2.61,0
2010-05-27,2.61,2.61,2.61,2.61,2.61,0
2010-05-28,2.61,2.61,2.61,2.61,2.61,0
2010-06-01,2.61,2.61,2.61,2.61,2.61,0
2010-06-02,2.61,2.61,2.61,2.61,2.61,0
2010-06-03,2.61,2.61,2.61,2.61,2.61,0
2010-06-04,2.61,2.61,2.61,2.61,2.61,0
2010-06-07,2.61,2.61,2.61,2.61,2.61,0
2010-06-08,2.61,2.61,2.61,2.61,2.61,0
2010-06-09,2.61,2.61,2.61,2.61,2.61,0
2010-06-10,2.61,2.61,2.61,2.61,2.61,0
2010-06-11,2.61,2.61,2.61,2.61,2.61,0
2010-06-14,2.61,2.61,2.61,2.61,2.61,0
2010-06-15,2.61,2.61,2.61,2.61,2.61,0
2010-06-16,2.61,2.61,2.61,2.61,2.61,0
2010-06-17,2.61,2.61,2.61,2.61,2.61,0
2010-06-18,2.61,2.61,2.61,2.61,2.61,0
2010-06-21,2.61,2.61,2.61,2.61,2.61,0
2010-06-22,2.61,2.61,2.61,2.61,2.61,0
2010-06-23,2.61,2.61,2.61,2.61,2.61,0
2010-06-24,2.61,2.61,2.61,2.61,2.61,0
2010-06-25,2.61,2.61,2.61,2.61,2.61,0
2010-06-28,2.61,2.61,2.61,2.61,2.61,0
2010-06-29,2.61,2.61,2.61,2.61,2.61,0
2010-06-30,2.61,2.61,2.61,2.61,2.61,0
2010-07-01,2.61,2.61,2.61,2.61,2.61,0
2010-07-02,2.61,2.61,2.61,2.61,2.61,0
2010-07-06,2.61,2.61,2.61,2.61,2.61,0
2010-07-07,2.61,2.61,2.61,2.61,2.61,0
2010-07-08,2.61,2.61,2.61,2.61,2.61,0
2010-07-09,2.61,2.61,2.61,2.61,2.61,0
2010-07-12,2.61,2.61,2.61,2.61,2.61,0
2010-07-13,2.61,2.61,2.61,2.61,2.61,0
2010-07-14,2.61,2.61,2.61,2.61,2.61,0
2010-07-15,2.61,2.61,2.61,2.61,2.61,0
2010-07-16,2.61,2.61,2.61,2.61,2.61,0
2010-07-19,2.61,2.61,2.61,2.61,2.61,0
2010-07-20,2.61,2.61,2.61,2.61,2.61,0
2010-07-21,2.61,2.61,2.61,2.61,2.61,0
2010-07-22,2.61,2.61,2.61,2.61,2.61,0
2010-07-23,2.61,2.61,2.61,2.61,2.61,0
2010-07-26,2.61,2.61,2.61,2.61,2.61,0
2010-07-27,2.61,2.61,2.61,2.61,2.61,0
2010-07-28,2.61,2.61,2.61,2.61,2.61,0
2010-07-29,2.61,2.61,2.61,2.61,2.61,0
2010-07-30,2.61,2.61,2.61,2.61,2.61,0
2010-08-02,2.61,2.61,2.61,2.61,2.61,0
2010-08-03,2.61,2.61,2.61,2.61,2.61,0
2010-08-04,2.61,2.61,2.61,2.61,2.61,0
2010-08-05,2.61,2.61,2.61,2.61,2.61,0
2010-08-06,2.61,2.61,2.61,2.61,2.61,0
2010-08-09,2.61,2.61,2.61,2.61,2.61,0
2010-08-10,2.61,2.61,2.61,2.61,2.61,0
2010-08-11,2.61,2.61,2.61,2.61,2.61,0
2010-08-12,2.61,2.61,2.61,2.61,2.61,0
2010-08-13,2.55,2.55,2.55,2.55,2.55,0
2010-08-16,2.66,2.66,2.66,2.66,2.66,0
2010-08-17,2.66,2.66,2.66,2.66,2.66,0
2010-08-18,2.651,2.651,2.651,2.651,2.651,0
2010-08-19,2.651,2.651,2.651,2.651,2.651,0
2010-08-20,2.651,2.651,2.651,2.651,2.651,0
2010-08-23,2.651,2.651,2.651,2.651,2.651,0
2010-08-24,2.651,2.651,2.651,2.651,2.651,0
2010-08-25,2.651,2.651,2.651,2.651,2.651,0
2010-08-26,2.651,2.651,2.651,2.651,2.651,0
2010-08-27,2.7,2.89,2.7,2.89,2.89,2033
2010-08-30,2.651,2.651,2.651,2.651,2.651,0
2010-08-31,2.651,2.651,2.651,2.651,2.651,0
2010-09-01,2.651,2.651,2.651,2.651,2.651,0
2010-09-02,2.651,2.651,2.651,2.651,2.651,0
2010-09-03,2.671,2.671,2.671,2.671,2.671,0
2010-09-07,2.671,2.671,2.671,2.671,2.671,0
2010-09-08,2.671,2.671,2.671,2.671,2.671,0
2010-09-09,2.671,2.671,2.671,2.671,2.671,0
2010-09-10,2.671,2.671,2.671,2.671,2.671,0
2010-09-13,2.671,2.671,2.671,2.671,2.671,0
