Date,Open,High,Low,Close,Adj Close,Volume
2018-12-13,10.0,10.03,10.0,10.01,10.01,1753700
2018-12-14,10.0,10.01,10.0,10.0,10.0,223600
2018-12-17,10.03,10.03,10.0,10.0,10.0,130400
2018-12-18,10.0,10.03,10.0,10.03,10.03,4600
2018-12-19,10.04,10.04,10.04,10.04,10.04,3100
2018-12-20,10.01,10.01,10.0,10.0,10.0,126300
2018-12-21,10.04,10.04,10.0,10.0,10.0,73000
2018-12-24,10.02,10.02,10.001,10.001,10.001,1000
2018-12-26,10.01,10.01,10.0,10.0,10.0,100000
2018-12-27,10.0,10.0,10.0,10.0,10.0,0
2018-12-28,10.0,10.0,10.0,10.0,10.0,0
2018-12-31,10.01,10.01,10.0,10.0,10.0,198600
2019-01-02,10.0,10.03,10.0,10.022,10.022,6500
2019-01-03,10.02,10.031,10.02,10.031,10.031,36400
2019-01-04,10.016,10.036,10.016,10.03,10.03,4200
2019-01-07,10.03,10.03,10.03,10.03,10.03,0
2019-01-08,10.05,10.07,10.05,10.07,10.07,1100
2019-01-09,10.07,10.07,10.07,10.07,10.07,0
2019-01-10,10.07,10.07,10.07,10.07,10.07,0
2019-01-11,10.06,10.06,10.06,10.06,10.06,1000
2019-01-14,10.07,10.07,10.07,10.07,10.07,23200
2019-01-15,10.01,10.07,10.01,10.06,10.06,10000
2019-01-16,10.031,10.05,10.031,10.05,10.05,300
2019-01-17,10.01,10.093,10.01,10.09,10.09,26500
2019-01-18,10.09,10.095,10.09,10.09,10.09,198000
2019-01-22,10.113,10.113,10.08,10.101,10.101,20200
2019-01-23,10.1,10.1,10.07,10.09,10.09,10600
2019-01-24,10.08,10.11,10.08,10.09,10.09,82600
2019-01-25,10.09,10.09,10.09,10.09,10.09,0
2019-01-28,10.08,10.09,10.05,10.06,10.06,128300
2019-01-29,10.06,10.08,10.001,10.06,10.06,19500
2019-01-30,10.08,10.11,10.061,10.1,10.1,170600
2019-01-31,10.05,10.16,10.05,10.12,10.12,58700
2019-02-01,10.14,10.15,10.12,10.15,10.15,70900
2019-02-04,10.15,10.15,10.15,10.15,10.15,500
2019-02-05,10.18,10.18,10.15,10.18,10.18,112600
2019-02-06,10.18,10.18,10.18,10.18,10.18,0
2019-02-07,10.18,10.18,10.18,10.18,10.18,0
2019-02-08,10.14,10.17,10.14,10.17,10.17,3100
2019-02-11,10.17,10.17,10.17,10.17,10.17,1300
2019-02-12,10.15,10.17,10.1,10.14,10.14,33300
2019-02-13,10.13,10.13,10.13,10.13,10.13,2000
2019-02-14,10.15,10.2,10.15,10.17,10.17,204600
2019-02-15,10.22,10.22,10.22,10.22,10.22,400
2019-02-19,10.14,10.22,10.14,10.15,10.15,46600
2019-02-20,10.15,10.15,10.14,10.14,10.14,88100
2019-02-21,10.15,10.17,10.15,10.17,10.17,300300
2019-02-22,10.17,10.17,10.17,10.17,10.17,1600
2019-02-25,10.18,10.18,10.17,10.17,10.17,10000
2019-02-26,10.17,10.17,10.17,10.17,10.17,1800
2019-02-27,10.16,10.16,10.16,10.16,10.16,3000
2019-02-28,10.15,10.19,10.15,10.19,10.19,1000
2019-03-01,10.17,10.19,10.15,10.15,10.15,26200
2019-03-04,10.15,10.15,10.15,10.15,10.15,0
2019-03-05,10.15,10.15,10.15,10.15,10.15,200
2019-03-06,10.15,10.15,10.15,10.15,10.15,0
2019-03-07,10.17,10.18,10.17,10.18,10.18,150300
2019-03-08,10.18,10.18,10.18,10.18,10.18,0
2019-03-11,10.18,10.18,10.18,10.18,10.18,0
2019-03-12,10.18,10.18,10.17,10.17,10.17,1200
2019-03-13,10.17,10.17,10.17,10.17,10.17,0
2019-03-14,10.17,10.17,10.17,10.17,10.17,0
2019-03-15,10.17,10.17,10.17,10.17,10.17,0
2019-03-18,10.22,10.22,10.22,10.22,10.22,10000
2019-03-19,10.18,10.183,10.18,10.181,10.181,5100
2019-03-20,10.17,10.17,10.17,10.17,10.17,100
2019-03-21,10.16,10.2,10.16,10.2,10.2,4200
2019-03-22,10.2,10.2,10.2,10.2,10.2,0
2019-03-25,10.2,10.2,10.2,10.2,10.2,1900
2019-03-26,10.2,10.2,10.2,10.2,10.2,0
2019-03-27,10.2,10.2,10.2,10.2,10.2,0
2019-03-28,10.2,10.2,10.16,10.16,10.16,5100
2019-03-29,10.2,10.2,10.2,10.2,10.2,103200
2019-04-01,10.2,10.2,10.2,10.2,10.2,0
2019-04-02,10.2,10.2,10.2,10.2,10.2,0
2019-04-03,10.2,10.219,10.2,10.2,10.2,36700
2019-04-04,10.15,10.23,10.15,10.21,10.21,102300
2019-04-05,10.23,10.23,10.23,10.23,10.23,6900
2019-04-08,10.23,10.23,10.23,10.23,10.23,0
2019-04-09,10.22,10.22,10.22,10.22,10.22,4100
2019-04-10,10.22,10.22,10.22,10.22,10.22,0
2019-04-11,10.22,10.22,10.22,10.22,10.22,110000
2019-04-12,10.25,10.25,10.25,10.25,10.25,10000
2019-04-15,10.25,10.25,10.25,10.25,10.25,0
2019-04-16,10.2,10.2,10.2,10.2,10.2,2000
2019-04-17,10.24,10.255,10.24,10.24,10.24,16200
2019-04-18,10.24,10.24,10.24,10.24,10.24,0
2019-04-22,10.24,10.24,10.24,10.24,10.24,3300
2019-04-23,10.246,10.261,10.246,10.261,10.261,1100
2019-04-24,10.25,10.27,10.25,10.25,10.25,4500
2019-04-25,10.27,10.35,10.27,10.35,10.35,33600
2019-04-26,10.35,10.35,10.35,10.35,10.35,0
