Date,Open,High,Low,Close,Adj Close,Volume
2014-09-12,52.5,55.0,52.0,52.099998,52.099998,200
2014-09-15,46.5,47.0,43.0,43.5,43.5,300
2014-09-16,50.200001,52.0,40.799999,42.0,42.0,900
2014-09-17,42.599998,48.0,40.5,44.5,44.5,1600
2014-09-18,48.5,48.5,41.0,41.900002,41.900002,1000
2014-09-19,48.5,48.5,42.099998,43.099998,43.099998,200
2014-09-22,42.099998,44.150002,41.700001,41.700001,41.700001,800
2014-09-23,41.700001,42.5,41.700001,41.799999,41.799999,700
2014-09-24,42.0,42.0,37.0,41.0,41.0,800
2014-09-25,39.0,40.0,39.0,39.0,39.0,400
2014-09-26,40.0,40.0,38.099998,39.900002,39.900002,400
2014-09-29,38.0,38.0,33.0,33.099998,33.099998,1900
2014-09-30,35.0,38.599998,35.0,38.5,38.5,1100
2014-10-01,36.400002,36.5,35.0,35.0,35.0,300
2014-10-02,36.0,36.5,33.099998,33.099998,33.099998,1000
2014-10-03,33.5,34.700001,33.200001,34.599998,34.599998,100
2014-10-06,35.900002,38.970001,35.5,38.5,38.5,2300
2014-10-07,37.799999,39.0,37.599998,39.0,39.0,700
2014-10-08,38.700001,38.700001,36.599998,36.799999,36.799999,200
2014-10-09,37.400002,37.400002,35.799999,35.799999,35.799999,1100
2014-10-10,35.5,35.5,34.0,34.299999,34.299999,1400
2014-10-13,34.5,34.599998,33.599998,33.599998,33.599998,1000
2014-10-14,33.66,34.299999,33.200001,33.200001,33.200001,700
2014-10-15,33.099998,33.099998,30.0,30.1,30.1,500
2014-10-16,31.5,32.0,31.0,31.0,31.0,200
2014-10-17,30.6,32.200001,30.6,31.700001,31.700001,700
2014-10-20,32.299999,32.299999,31.0,31.0,31.0,300
2014-10-21,30.09,31.200001,30.0,30.799999,30.799999,500
2014-10-22,30.6,30.9,30.6,30.9,30.9,100
2014-10-23,31.0,34.200001,30.5,34.200001,34.200001,900
2014-10-24,33.799999,34.0,31.0,34.0,34.0,700
2014-10-27,34.0,34.0,33.450001,34.0,34.0,200
2014-10-28,34.299999,34.299999,29.1,29.1,29.1,1200
2014-10-29,29.0,30.799999,29.0,30.799999,30.799999,100
2014-10-30,30.700001,32.099998,29.51,31.799999,31.799999,800
2014-10-31,32.200001,32.599998,32.200001,32.599998,32.599998,100
2014-11-03,33.630001,33.630001,33.0,33.0,33.0,300
2014-11-04,32.0,32.099998,31.9,31.9,31.9,1000
2014-11-05,31.9,35.299999,30.299999,33.299999,33.299999,5600
2014-11-06,33.299999,33.299999,31.6,31.799999,31.799999,4900
2014-11-07,31.200001,33.0,30.299999,33.0,33.0,300
2014-11-10,32.529999,32.799999,31.200001,31.200001,31.200001,400
2014-11-11,30.6,30.6,30.0,30.0,30.0,500
