Date,Open,High,Low,Close,Adj Close,Volume
2017-06-14,17.780001,18.4,17.610001,18.110001,13.487425,3368100
2017-06-15,18.25,18.27,18.1,18.25,13.591689,531000
2017-06-16,18.200001,18.327999,18.200001,18.280001,13.614034,182800
2017-06-19,18.280001,18.33,18.16,18.299999,13.628926,201200
2017-06-20,18.16,18.41,17.799999,18.35,13.666163,343600
2017-06-21,18.299999,18.389999,18.16,18.313999,13.639354,187200
2017-06-22,18.299999,18.370001,18.209999,18.35,13.666163,348600
2017-06-23,18.35,18.4,18.25,18.27,13.606584,222300
2017-06-26,18.389999,18.5,18.35,18.48,13.76298,385600
2017-06-27,18.5,18.5,18.4,18.49,13.770428,176900
2017-06-28,18.200001,18.299999,18.113001,18.190001,13.823627,153500
2017-06-29,18.139999,18.34,17.92,18.030001,13.702032,159700
2017-06-30,18.01,18.190001,18.01,18.01,13.686834,110300
2017-07-03,18.139999,18.35,18.058001,18.32,13.922422,69200
2017-07-05,18.129999,18.299999,18.1,18.209999,13.838825,109500
2017-07-06,18.200001,18.299999,18.09,18.09,13.747632,25900
2017-07-07,18.09,18.24,18.049999,18.120001,13.77043,30200
2017-07-10,18.200001,18.25,18.01,18.08,13.74003,84300
2017-07-11,18.110001,18.23,18.08,18.18,13.816028,99300
2017-07-12,18.23,18.298,18.15,18.18,13.816028,96000
2017-07-13,18.200001,18.25,18.18,18.209999,13.838825,89400
2017-07-14,18.219999,18.25,18.17,18.219999,13.846424,47500
2017-07-17,18.25,18.41,18.18,18.18,13.816028,85500
2017-07-18,18.07,18.34,18.07,18.18,13.816028,120900
2017-07-19,18.25,18.319,18.1,18.120001,13.77043,103300
2017-07-20,18.15,18.32,18.0,18.0,13.679236,231900
2017-07-21,17.950001,18.319,17.950001,18.200001,13.831227,90600
2017-07-24,18.200001,18.41,18.200001,18.379999,13.968019,137000
2017-07-25,18.209999,18.5,18.209999,18.43,14.006017,82000
2017-07-26,18.42,18.5,18.379999,18.43,14.006017,44400
2017-07-27,18.389999,18.5,18.379999,18.469999,14.036414,79400
2017-07-28,18.49,18.549999,18.469999,18.5,14.059215,70300
2017-07-31,18.51,18.549999,18.469999,18.48,14.044013,49200
2017-08-01,18.5,18.65,18.450001,18.58,14.120009,72700
2017-08-02,18.58,18.6,18.48,18.49,14.051614,70100
2017-08-03,18.450001,18.639999,18.450001,18.6,14.135209,133100
2017-08-04,18.6,18.6,18.52,18.549999,14.09721,84300
2017-08-07,18.51,18.6,18.35,18.59,14.127607,147000
2017-08-08,18.59,18.59,18.450001,18.530001,14.082012,38100
2017-08-09,18.450001,18.530001,18.35,18.35,13.945222,165900
2017-08-10,18.389999,18.540001,18.35,18.389999,13.975618,68900
2017-08-11,18.540001,18.540001,18.35,18.360001,13.95282,86400
2017-08-14,18.379999,18.499001,18.35,18.41,13.990818,58200
2017-08-15,18.469999,18.48,18.1,18.360001,13.95282,129900
2017-08-16,18.43,18.43,18.211,18.4,13.983218,36600
2017-08-17,18.4,18.43,18.200001,18.290001,13.899622,54800
