Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.53,14.55,14.43,14.45,5.841208,9600
2010-01-05,14.54,14.61,14.5,14.6,5.901844,20900
2010-01-06,14.71,14.83,14.61,14.64,5.918013,13100
2010-01-07,14.77,14.88,14.62,14.79,5.978649,24200
2010-01-08,14.87,14.95,14.8,14.9,6.023113,14200
2010-01-11,14.84,14.97,14.72,14.75,5.962478,27400
2010-01-12,14.8,15.0,14.8,14.91,6.027155,30200
2010-01-13,15.0,15.0,14.76,14.93,6.035241,23200
2010-01-14,14.93,15.27,14.93,15.17,6.132257,23300
2010-01-15,15.19,15.19,14.93,15.03,6.075665,34100
2010-01-19,15.09,15.2,15.02,15.09,6.099918,22200
2010-01-20,15.07,15.13,14.94,15.04,6.079706,19500
2010-01-21,15.11,15.15,14.55,14.61,5.905886,36400
2010-01-22,14.76,14.76,14.47,14.57,5.889714,38600
2010-01-25,14.82,14.82,14.16,14.29,5.776532,22800
2010-01-26,14.37,14.55,14.28,14.28,5.772484,20000
2010-01-27,14.29,14.34,14.17,14.33,5.7927,20100
2010-01-28,14.34,14.63,13.8,13.85,5.598665,51400
2010-01-29,13.78,14.06,13.61,13.77,5.566325,39700
2010-02-01,13.74,13.81,13.4,13.74,5.554199,44900
2010-02-02,13.33,14.1,13.33,14.1,5.699724,26700
2010-02-03,14.02,14.12,13.95,14.05,5.679511,12300
2010-02-04,14.01,14.01,13.33,13.33,5.388463,39300
2010-02-05,13.25,13.31,12.45,12.8,5.213328,61400
2010-02-08,12.94,13.0,12.64,12.9,5.254055,27200
2010-02-09,12.99,13.41,12.99,13.1,5.335516,21200
2010-02-10,13.12,13.37,13.11,13.37,5.445486,24200
2010-02-11,13.44,13.79,13.37,13.62,5.547309,32200
2010-02-12,13.65,14.02,13.43,13.62,5.547309,21200
2010-02-16,13.85,13.96,13.59,13.85,5.640985,27400
2010-02-17,13.88,14.02,13.88,14.02,5.710224,24400
2010-02-18,14.02,14.28,14.02,14.11,5.746877,23800
2010-02-19,14.18,14.27,14.05,14.17,5.771317,16900
2010-02-22,14.37,14.37,14.11,14.23,5.795753,13900
2010-02-23,14.23,14.34,14.18,14.22,5.791683,19900
2010-02-24,14.16,14.57,14.09,14.27,5.812045,44000
2010-02-25,14.32,14.33,14.1,14.15,5.76317,14800
2010-02-26,14.17,14.37,14.05,14.11,5.746877,14300
2010-03-01,14.25,14.59,14.08,14.3,5.824267,33800
2010-03-02,14.27,14.29,14.11,14.29,5.820193,44600
2010-03-03,14.22,14.32,14.16,14.2,5.783535,15600
2010-03-04,14.25,14.46,14.12,14.23,5.795753,29700
2010-03-05,14.35,14.75,14.24,14.47,5.893505,41900
2010-03-08,14.59,14.98,14.5,14.74,6.003473,55200
2010-03-09,14.64,14.64,14.46,14.6,5.987072,34700
2010-03-10,14.56,14.66,14.14,14.14,5.798437,108000
2010-03-11,14.15,14.15,13.92,14.14,5.798437,44600
2010-03-12,14.14,14.36,14.14,14.33,5.87635,24500
2010-03-15,14.39,14.4,14.22,14.24,5.839445,26700
2010-03-16,14.34,14.56,14.22,14.56,5.970666,56900
2010-03-17,14.57,14.67,14.57,14.65,6.007572,29600
2010-03-18,14.73,14.75,14.62,14.64,6.003474,45200
2010-03-19,14.71,14.72,14.36,14.71,6.032177,37400
2010-03-22,14.66,14.8,14.34,14.74,6.044481,46800
2010-03-23,14.75,14.75,14.55,14.6,5.987072,35700
2010-03-24,14.6,14.85,14.5,14.7,6.028076,51700
2010-03-25,14.85,15.07,14.82,14.93,6.122394,45200
2010-03-26,14.9,14.97,14.85,14.95,6.130597,38200
2010-03-29,14.99,15.03,14.71,14.72,6.036278,21700
2010-03-30,14.81,15.0,14.77,14.84,6.085485,17500
2010-03-31,14.83,14.92,14.72,14.79,6.064985,36200
2010-04-01,14.98,15.01,14.83,14.96,6.134695,23000
2010-04-05,15.08,15.18,14.96,15.08,6.183905,38000
2010-04-06,15.12,15.14,14.96,15.14,6.208513,27900
2010-04-07,14.99,15.15,14.86,15.07,6.179802,31800
2010-04-08,14.96,15.15,14.95,15.15,6.21261,38200
2010-04-09,15.15,15.15,14.9,15.03,6.204353,22100
2010-04-12,15.14,15.14,14.9,14.99,6.187843,22300
2010-04-13,15.05,15.06,14.91,14.98,6.183714,55500
2010-04-14,15.06,15.08,14.92,14.96,6.175456,22400
2010-04-15,15.03,15.03,14.75,14.95,6.171327,43000
2010-04-16,14.85,14.95,14.72,14.84,6.12592,26200
2010-04-19,14.88,14.89,14.63,14.89,6.146564,42600
2010-04-20,14.9,15.12,14.85,15.07,6.220865,79700
2010-04-21,15.09,15.09,14.89,14.92,6.158945,63800
2010-04-22,14.94,15.01,14.83,15.01,6.196097,23900
2010-04-23,14.94,15.12,14.88,15.12,6.241504,58900
2010-04-26,15.12,15.12,15.01,15.02,6.200226,57500
2010-04-27,14.93,15.01,14.8,14.8,6.109413,28400
2010-04-28,14.73,14.83,14.66,14.68,6.059875,42900
2010-04-29,14.8,14.99,14.73,14.88,6.142437,62300
2010-04-30,14.82,14.94,14.66,14.67,6.055749,30900
2010-05-03,14.73,14.91,14.66,14.82,6.117665,50400
2010-05-04,14.82,14.85,14.51,14.64,6.043359,57400
2010-05-05,14.39,14.44,13.95,14.2,5.861732,60800
2010-05-06,14.0,14.09,12.75,13.2,5.448934,103300
2010-05-07,13.06,13.49,13.02,13.26,5.473703,45800
2010-05-10,13.73,14.26,13.66,13.89,5.777334,51100
2010-05-11,13.6,13.85,13.54,13.85,5.760694,22400
2010-05-12,13.74,13.9,13.73,13.83,5.752378,38600
2010-05-13,13.94,14.09,13.81,13.94,5.798131,28300
2010-05-14,13.76,13.81,13.55,13.55,5.635917,47900
2010-05-17,13.48,13.67,13.28,13.45,5.594325,36500
2010-05-18,13.67,13.94,13.46,13.46,5.598482,29600
2010-05-19,13.56,13.56,13.07,13.15,5.469542,25500
2010-05-20,13.0,13.0,12.4,12.75,5.303169,55700
2010-05-21,12.46,12.89,12.41,12.87,5.353081,94800
2010-05-24,12.92,12.92,12.58,12.58,5.232463,27800
2010-05-25,12.12,12.49,12.08,12.49,5.195024,68200
2010-05-26,12.61,12.74,12.58,12.67,5.269893,37900
2010-05-27,12.9,13.11,12.88,13.11,5.452908,10400
2010-05-28,13.29,13.29,13.06,13.25,5.511135,15500
2010-06-01,13.07,13.27,12.94,13.0,5.40715,29300
2010-06-02,12.93,13.38,12.93,13.26,5.515297,21100
2010-06-03,13.41,13.41,13.1,13.23,5.502816,10000
2010-06-04,13.09,13.18,12.92,12.96,5.390513,14000
2010-06-07,13.11,13.11,12.91,12.97,5.394671,13600
2010-06-08,12.79,12.88,12.7,12.85,5.386291,15600
2010-06-09,12.9,12.96,12.75,12.76,5.348565,37700
2010-06-10,12.88,13.01,12.88,13.0,5.449164,15300
2010-06-11,12.98,13.08,12.91,13.03,5.461742,9700
2010-06-14,13.14,13.14,13.02,13.04,5.465933,32800
2010-06-15,13.15,13.24,13.09,13.24,5.549767,18200
2010-06-16,13.29,13.44,13.2,13.39,5.61264,38200
2010-06-17,13.48,13.48,13.34,13.4,5.616831,16700
2010-06-18,13.52,13.52,13.21,13.21,5.537192,28300
2010-06-21,13.32,13.39,13.26,13.29,5.570722,28200
2010-06-22,13.2,13.35,13.12,13.16,5.516232,22100
2010-06-23,13.2,13.2,13.04,13.2,5.533,13000
2010-06-24,13.13,13.17,13.05,13.12,5.499462,15300
2010-06-25,13.2,13.22,13.08,13.22,5.541381,15600
2010-06-28,13.25,13.25,13.15,13.22,5.541381,13300
2010-06-29,13.17,13.19,12.88,13.11,5.495275,23800
2010-06-30,13.17,13.18,12.98,13.14,5.50785,20000
2010-07-01,13.06,13.06,12.76,12.89,5.403059,16200
2010-07-02,13.0,13.0,12.73,12.8,5.365331,21000
2010-07-06,12.99,13.0,12.87,12.92,5.415632,26900
2010-07-07,12.86,13.09,12.86,13.09,5.48689,22500
2010-07-08,12.97,13.1,12.97,13.1,5.533356,6800
2010-07-09,13.02,13.04,13.0,13.04,5.508011,6000
2010-07-12,12.98,13.09,12.98,13.09,5.529129,8600
2010-07-13,13.09,13.25,13.07,13.25,5.596714,18600
2010-07-14,13.16,13.2,12.99,13.2,5.575594,20400
2010-07-15,13.24,13.27,13.15,13.2,5.575594,18700
2010-07-16,13.24,13.38,13.19,13.38,5.651624,49500
2010-07-19,13.4,13.42,13.33,13.4,5.660072,31400
2010-07-20,13.36,13.43,13.16,13.38,5.651624,18900
2010-07-21,13.48,13.49,13.36,13.44,5.676966,23200
2010-07-22,13.55,13.55,13.47,13.52,5.710757,17300
2010-07-23,13.5,13.55,13.42,13.55,5.723431,5800
2010-07-26,13.63,13.7,13.56,13.7,5.786789,20800
2010-07-27,13.79,13.81,13.65,13.73,5.79946,16900
2010-07-28,13.81,13.82,13.68,13.75,5.807911,22700
2010-07-29,13.74,13.8,13.63,13.71,5.791017,14500
2010-07-30,13.56,13.65,13.55,13.6,5.744549,8800
2010-08-02,13.67,13.74,13.67,13.72,5.795237,22200
2010-08-03,13.84,13.85,13.71,13.85,5.850147,32300
2010-08-04,13.83,14.0,13.75,14.0,5.913509,22000
2010-08-05,13.94,14.1,13.89,13.91,5.875492,45600
2010-08-06,13.76,13.95,13.65,13.86,5.896762,4200
2010-08-09,13.94,13.94,13.79,13.9,5.913782,3000
2010-08-10,13.73,13.83,13.69,13.83,5.884,20500
2010-08-11,13.74,13.74,13.43,13.45,5.72233,16900
2010-08-12,13.54,13.66,13.5,13.54,5.760621,14200
2010-08-13,13.58,13.67,13.58,13.67,5.815931,5800
2010-08-16,13.78,13.78,13.59,13.75,5.849966,27900
2010-08-17,13.7,13.88,13.65,13.74,5.845711,21400
2010-08-18,13.79,13.79,13.62,13.77,5.858477,16700
2010-08-19,13.82,13.82,13.56,13.62,5.794656,104700
2010-08-20,13.68,13.68,13.52,13.67,5.815931,5400
2010-08-23,13.78,13.86,13.65,13.77,5.858477,32600
2010-08-24,13.64,13.64,13.48,13.54,5.760621,12800
2010-08-25,13.56,13.59,13.37,13.52,5.752111,19600
2010-08-26,13.63,13.63,13.28,13.35,5.679785,117900
2010-08-27,13.47,13.5,13.27,13.36,5.684039,64200
2010-08-30,13.43,13.43,13.23,13.27,5.645749,14000
2010-08-31,13.34,13.38,13.25,13.32,5.66702,5400
2010-09-01,13.36,13.69,13.35,13.54,5.760621,46400
2010-09-02,13.65,13.68,13.52,13.68,5.820183,23400
2010-09-03,13.69,14.0,13.69,13.93,5.926548,138200
2010-09-07,13.95,14.02,13.8,13.94,5.930801,54300
2010-09-08,13.91,13.97,13.75,13.89,5.952227,8800
2010-09-09,14.0,14.21,13.93,14.1,6.042218,12000
2010-09-10,14.17,14.3,14.12,14.19,6.080785,77400
2010-09-13,14.31,14.31,14.08,14.23,6.097926,78200
2010-09-14,14.29,14.29,14.12,14.27,6.11507,64000
2010-09-15,14.28,14.29,14.09,14.18,6.076504,159000
2010-09-16,14.25,14.28,14.17,14.25,6.106497,112800
2010-09-17,14.32,14.38,14.11,14.29,6.123638,45600
2010-09-20,14.3,14.34,14.21,14.34,6.145065,55000
2010-09-21,14.41,14.48,14.34,14.47,6.200773,38900
2010-09-22,14.42,14.48,14.31,14.39,6.166492,95400
2010-09-23,14.35,14.46,14.27,14.45,6.192205,95700
2010-09-24,14.48,14.65,14.39,14.63,6.269337,36100
2010-09-27,14.63,14.69,14.54,14.57,6.243627,34400
2010-09-28,14.64,14.78,14.44,14.55,6.235054,70700
2010-09-29,14.48,14.6,14.4,14.6,6.256479,49000
2010-09-30,14.57,14.75,14.41,14.53,6.226482,66100
2010-10-01,14.67,14.73,14.39,14.72,6.307903,45200
2010-10-04,14.64,14.71,14.5,14.71,6.303618,139100
2010-10-05,14.83,14.88,14.58,14.6,6.256479,162900
2010-10-06,14.69,14.82,14.62,14.63,6.269337,122800
2010-10-07,14.65,14.65,14.51,14.65,6.321114,134200
