Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.58,12.856667,12.493333,12.856667,11.761618,132900
2010-01-05,12.876667,12.893333,12.466666,12.53,11.462771,126000
2010-01-06,12.476666,12.476666,12.173333,12.333333,11.282857,126000
2010-01-07,12.306666,12.373333,12.203333,12.276667,11.231018,123600
2010-01-08,12.25,12.346666,12.206667,12.32,11.270658,68400
2010-01-11,12.363334,12.4,12.263333,12.393333,11.337748,90600
2010-01-12,12.36,12.496667,12.36,12.44,11.380437,157800
2010-01-13,12.54,12.58,12.376667,12.376667,11.322499,83700
2010-01-14,12.37,12.473333,12.303333,12.37,11.316401,81300
2010-01-15,12.593333,12.68,12.333333,12.476666,11.413981,103800
2010-01-19,12.503333,12.586667,12.47,12.58,11.508514,54600
2010-01-20,12.45,12.506667,12.266666,12.47,11.407883,115200
2010-01-21,12.466666,12.466666,12.283334,12.333333,11.282857,72300
2010-01-22,12.336667,12.466666,12.24,12.35,11.298103,78900
2010-01-25,12.483334,12.566667,12.333333,12.376667,11.322499,96300
2010-01-26,12.346666,12.49,12.3,12.316667,11.26761,97200
2010-01-27,12.266666,12.5,12.266666,12.48,11.417031,56700
2010-01-28,12.466666,12.466666,12.223333,12.223333,11.182227,81300
2010-01-29,12.223333,12.423333,11.983334,12.1,11.069397,113100
2010-02-01,12.116667,12.223333,11.936666,11.966666,10.947419,43800
2010-02-02,11.94,12.023334,11.85,11.95,10.932174,79800
2010-02-03,11.936666,12.0,11.8,11.963333,10.944372,86100
2010-02-04,11.9,11.9,11.616667,11.616667,10.627232,115800
2010-02-05,11.623333,11.653334,11.316667,11.556666,10.572342,50400
2010-02-08,11.503333,11.663333,11.37,11.393333,10.42292,48000
2010-02-09,11.416667,11.5,11.36,11.43,10.456463,60000
2010-02-10,11.356667,11.94,11.31,11.353333,10.386329,41700
2010-02-11,11.35,11.626667,11.293333,11.62,10.630281,33600
2010-02-12,11.466666,11.68,11.466666,11.603333,10.615033,35100
2010-02-16,11.67,11.706667,11.51,11.69,10.694319,40200
2010-02-17,11.74,11.766666,11.666667,11.746667,10.746159,44400
2010-02-18,11.7,11.856667,11.623333,11.85,10.840691,34200
2010-02-19,11.853333,12.026667,11.796667,11.953333,10.935224,77100
2010-02-22,12.123333,12.123333,11.836667,11.983334,10.962668,36000
2010-02-23,11.926666,11.983334,11.876667,11.9,10.88643,39000
2010-02-24,11.91,12.03,11.88,11.97,10.950472,33000
2010-02-25,11.203333,11.756667,11.203333,11.68,10.68517,124800
2010-02-26,11.713333,11.97,11.58,11.86,10.849839,126900
2010-03-01,11.963333,11.993333,11.873333,11.976666,10.95657,59400
2010-03-02,12.003333,12.1,11.716666,12.036667,11.011459,61800
2010-03-03,12.0,12.0,11.54,11.936666,10.919976,116700
2010-03-04,11.956667,12.223333,11.866667,12.223333,11.182227,52800
2010-03-05,12.27,12.813334,12.266666,12.716666,11.63354,96000
2010-03-08,12.88,12.88,12.656667,12.72,11.63659,37200
2010-03-09,12.713333,12.846666,12.33,12.733334,11.648788,49200
2010-03-10,12.733334,12.886666,12.666667,12.84,11.74637,54000
2010-03-11,12.753333,12.83,12.38,12.46,11.398736,46500
2010-03-12,12.463333,12.463333,12.133333,12.266666,11.221868,72900
2010-03-15,12.273334,12.293333,12.156667,12.28,11.234066,35700
2010-03-16,12.286667,12.316667,11.99,12.303333,11.255413,40500
2010-03-17,12.29,12.52,12.27,12.403334,11.346895,57300
2010-03-18,12.396667,12.843333,12.223333,12.316667,11.26761,210900
2010-03-19,12.406667,12.523334,12.206667,12.313334,11.264562,124500
2010-03-22,12.25,12.416667,12.2,12.38,11.325549,78000
2010-03-23,12.366667,12.453333,12.2,12.43,11.37129,32700
2010-03-24,12.333333,12.37,12.166667,12.183333,11.145634,40500
2010-03-25,12.313334,12.566667,12.223333,12.353333,11.301153,40200
2010-03-26,12.416667,12.583333,12.236667,12.58,11.508514,102900
2010-03-29,12.58,12.793333,12.52,12.77,11.682331,94500
2010-03-30,12.776667,12.79,12.516666,12.773334,11.685382,67800
2010-03-31,12.686666,12.77,12.5,12.5,11.435328,95400
