Date,Open,High,Low,Close,Adj Close,Volume
2015-01-15,25.15,25.5,24.139999,25.200001,18.024023,2556400
2015-01-16,25.110001,29.4,25.110001,25.52,18.252901,1012000
2015-01-20,25.5,25.6,25.25,25.299999,18.095545,686600
2015-01-21,25.48,25.6,25.299999,25.48,18.224293,608600
2015-01-22,25.790001,25.889999,25.639999,25.780001,18.438864,870800
2015-01-23,25.75,25.9,25.75,25.790001,18.446012,569700
2015-01-26,25.82,25.84,25.76,25.780001,18.438864,336200
2015-01-27,25.799999,25.959999,25.77,25.85,18.488932,506000
2015-01-28,25.84,26.1,25.84,26.1,18.66774,350300
2015-01-29,26.058001,26.18,26.058001,26.17,18.717804,240100
2015-01-30,26.200001,26.6,26.17,26.540001,18.982445,402500
2015-02-02,26.530001,26.59,26.370001,26.5,18.953836,250700
2015-02-03,26.459999,26.48,26.32,26.379999,18.868004,273400
2015-02-04,26.35,26.379999,26.219999,26.299999,18.810789,229900
2015-02-05,26.35,26.35,26.17,26.23,18.760719,194200
2015-02-06,26.25,26.26,26.040001,26.120001,18.682045,143800
2015-02-09,26.16,26.49,26.129999,26.459999,18.925226,313300
2015-02-10,26.4,26.5,26.360001,26.48,18.939531,222700
2015-02-11,26.48,26.790001,26.43,26.700001,19.09688,189600
2015-02-12,26.66,26.790001,26.66,26.74,19.125486,107200
2015-02-13,26.75,26.84,26.530001,26.68,19.082579,126400
2015-02-17,26.719999,26.719999,26.360001,26.41,18.889463,216600
2015-02-18,26.559999,26.559999,26.25,26.379999,18.868004,130200
2015-02-19,26.42,26.639999,26.4,26.620001,19.039661,166700
2015-02-20,26.540001,26.719999,26.540001,26.636999,19.051825,106700
2015-02-23,26.690001,26.780001,26.67,26.780001,19.154097,103900
2015-02-24,26.780001,26.969999,26.74,26.91,19.24708,97600
2015-02-25,26.98,27.07,26.940001,27.049999,19.347214,531100
2015-02-26,27.0,27.129999,27.0,27.049999,19.347214,130500
2015-02-27,27.1,27.280001,27.07,27.17,19.433044,115500
2015-03-02,27.110001,27.280001,27.059999,27.280001,19.511724,82400
2015-03-03,27.25,27.280001,27.059999,27.09,19.375828,143500
2015-03-04,27.17,27.17,27.049999,27.1,19.38298,66200
