Date,Open,High,Low,Close,Adj Close,Volume
2014-03-06,25.370001,25.68,25.26,25.5,17.563913,2229900
2014-03-07,25.51,25.75,25.4,25.620001,17.646566,581100
2014-03-10,25.6,25.65,25.5,25.51,17.570799,139600
2014-03-11,25.6,25.700001,25.51,25.690001,17.694778,154100
2014-03-12,25.690001,25.690001,25.690001,25.690001,17.694778,0
2014-03-13,26.290001,26.299999,25.950001,26.1,17.977182,162000
2014-03-14,26.139999,26.190001,25.940001,26.08,17.963402,461000
2014-03-17,26.08,26.25,26.01,26.23,18.066725,164200
2014-03-18,26.290001,26.290001,26.165001,26.24,18.073608,85200
2014-03-19,26.200001,26.290001,26.120001,26.25,18.080498,357800
2014-03-20,26.25,26.290001,26.120001,26.209999,18.052944,67000
2014-03-21,26.25,26.25,26.049999,26.049999,17.942739,188000
2014-03-24,26.09,26.184999,26.0,26.1,17.977182,128100
2014-03-25,26.1,26.24,26.0,26.17,18.025396,511800
2014-03-26,26.25,26.280001,26.129999,26.25,18.080498,221400
2014-03-27,26.360001,26.360001,26.200001,26.23,18.066725,72200
2014-03-28,26.26,26.32,26.177,26.27,18.094278,268200
2014-03-31,26.34,26.809999,26.299999,26.77,18.438662,228900
2014-04-01,26.700001,26.950001,26.549999,26.84,18.486876,133500
2014-04-02,26.860001,26.860001,26.629999,26.700001,18.390448,120300
2014-04-03,26.6,26.780001,26.586,26.780001,18.445553,177600
2014-04-04,26.9,26.9,26.73,26.84,18.486876,117600
2014-04-07,26.76,27.09,26.742001,27.07,18.6453,185100
2014-04-08,27.08,27.389999,26.950001,27.299999,18.80372,41800
2014-04-09,27.4,27.870001,27.4,27.771,19.128134,139600
2014-04-10,27.67,27.9,27.559999,27.67,19.058561,47900
2014-04-11,27.67,27.75,27.530001,27.73,19.099892,37700
2014-04-14,27.73,27.9,27.5,27.790001,19.14122,73000
2014-04-15,27.950001,27.950001,27.68,27.74,19.106777,82900
2014-04-16,27.719999,27.74,27.610001,27.610001,19.017237,116200
2014-04-17,27.620001,27.75,27.35,27.6,19.010351,1546400
2014-04-21,27.6,27.6,27.360001,27.440001,18.900143,48200
2014-04-22,27.440001,27.59,27.379999,27.450001,18.907032,54100
2014-04-23,27.5,27.5,27.389999,27.4,18.872599,28800
2014-04-24,27.35,27.43,27.17,27.379999,18.858816,98300
2014-04-25,27.309999,27.5,27.219999,27.5,18.941471,73000
2014-04-28,27.450001,27.690001,27.299999,27.610001,19.017237,122800
2014-04-29,27.6,27.6,27.41,27.469999,18.920811,32600
2014-04-30,27.25,27.65,27.25,27.5,18.941471,71700
2014-05-01,27.57,27.67,27.375,27.6,19.010351,26600
2014-05-02,27.700001,27.700001,27.450001,27.5,18.941471,20500
2014-05-05,27.59,27.59,27.43,27.48,18.927696,16100
2014-05-06,27.43,27.466999,27.35,27.43,18.893259,12800
2014-05-07,27.406,27.450001,27.299999,27.41,18.879488,95000
2014-05-08,27.450001,27.549999,27.35,27.35,18.838154,37800
2014-05-09,27.319,27.35,27.15,27.23,18.755499,40400
2014-05-12,27.299999,27.299999,27.16,27.23,18.755499,33000
2014-05-13,27.379999,27.5,27.17,27.200001,18.734838,81800
2014-05-14,27.209999,27.440001,27.209999,27.309999,18.810602,46300
2014-05-15,27.4,27.4,27.17,27.200001,18.734838,79500
2014-05-16,27.17,27.25,27.0,27.209999,18.74173,145500
2014-05-19,27.27,27.299999,27.110001,27.24,18.762392,168800
2014-05-20,27.35,27.35,27.263,27.299999,18.80372,134400
2014-05-21,27.299999,27.379999,27.281,27.299999,18.80372,40600
2014-05-22,27.360001,27.370001,27.25,27.32,18.817493,22900
2014-05-23,27.35,27.540001,27.27,27.540001,18.969025,17600
2014-05-27,27.530001,27.66,27.370001,27.540001,18.969025,52700
2014-05-28,27.6,27.700001,27.299999,27.360001,18.845043,182400
2014-05-29,27.41,27.43,27.27,27.318001,18.816118,58700
2014-05-30,27.42,27.42,27.202999,27.299999,18.80372,132100
2014-06-02,27.370001,27.450001,27.24,27.43,18.893259,71000
2014-06-03,27.459999,27.51,27.190001,27.190001,18.727951,37100
2014-06-04,27.34,27.34,26.5,27.299999,18.80372,43600
2014-06-05,27.200001,27.530001,27.200001,27.219999,18.748615,86700
2014-06-06,27.42,27.67,27.379,27.43,18.893259,6400
2014-06-09,27.700001,27.700001,27.25,27.299999,18.80372,140000
2014-06-10,27.370001,27.575001,27.049999,27.290001,18.796831,53400
2014-06-11,27.35,27.450001,27.219,27.25,18.769281,49000
2014-06-12,26.93,27.059999,26.691,26.889999,18.800039,28400
2014-06-13,27.120001,27.120001,26.851999,26.98,18.862963,40700
2014-06-16,26.82,27.040001,26.75,26.809999,18.744106,41800
2014-06-17,26.799999,27.120001,26.76,26.959999,18.848982,734100
2014-06-18,27.110001,27.620001,27.110001,27.4,19.156603,73800
2014-06-19,27.59,27.59,27.261,27.290001,19.0797,46700
2014-06-20,27.43,27.43,27.219999,27.27,19.065716,22300
2014-06-23,27.389999,27.389999,27.190001,27.299999,19.086693,10000
2014-06-24,27.370001,27.43,26.950001,27.299999,19.086693,20100
2014-06-25,27.370001,27.370001,27.25,27.26,19.058729,12100
2014-06-26,27.41,27.41,27.299999,27.309999,19.093681,12300
2014-06-27,27.450001,27.450001,27.02,27.26,19.058729,9600
2014-06-30,27.4,27.450001,27.110001,27.16,18.988808,17100
2014-07-01,27.365,27.41,27.280001,27.34,19.114653,8800
2014-07-02,27.450001,27.450001,27.18,27.18,19.002796,12400
2014-07-03,27.440001,27.440001,27.0,27.110001,18.953856,13800
2014-07-07,27.35,27.35,26.9,27.02,18.890934,48400
2014-07-08,27.15,27.16,26.98,27.120001,18.960846,32600
2014-07-09,27.440001,27.440001,27.219999,27.299999,19.086693,19300
2014-07-10,27.1,27.280001,27.1,27.25,19.051737,3900
