Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.65,11.7,11.53,11.61,4.665468,227700
2010-01-05,11.65,11.78,11.64,11.74,4.717709,158600
2010-01-06,11.78,11.8,11.72,11.76,4.725745,267400
2010-01-07,11.77,11.94,11.76,11.94,4.798077,196700
2010-01-08,11.9,12.14,11.9,12.12,4.870413,237800
2010-01-11,12.14,12.21,12.05,12.09,4.858358,161900
2010-01-12,11.99,12.08,11.97,12.05,4.842283,126700
2010-01-13,12.06,12.12,11.99,12.05,4.842283,139800
2010-01-14,12.06,12.15,12.04,12.11,4.866393,144900
2010-01-15,12.17,12.18,12.01,12.1,4.862374,152800
2010-01-19,12.14,12.19,12.03,12.19,4.89854,130000
2010-01-20,12.17,12.21,12.07,12.08,4.854338,169200
2010-01-21,12.05,12.13,11.87,11.88,4.773968,173800
2010-01-22,11.82,11.92,11.63,11.75,4.721728,190100
2010-01-25,11.73,11.76,11.63,11.68,4.693595,155700
2010-01-26,11.62,11.72,11.46,11.69,4.697615,226600
2010-01-27,11.74,11.77,11.58,11.76,4.725745,152400
2010-01-28,11.77,11.8,11.47,11.53,4.633319,176200
2010-01-29,11.57,11.58,11.37,11.53,4.633319,331700
2010-02-01,11.65,11.65,11.48,11.54,4.637339,155900
2010-02-02,11.54,11.76,11.54,11.73,4.713692,184600
2010-02-03,11.73,11.79,11.66,11.72,4.709671,131700
2010-02-04,11.69,11.69,11.54,11.55,4.641358,293300
2010-02-05,11.48,11.48,10.68,11.18,4.52598,667400
2010-02-08,11.18,11.22,11.08,11.14,4.509788,162700
2010-02-09,11.19,11.31,11.16,11.24,4.550269,218900
2010-02-10,11.29,11.34,11.16,11.2,4.534081,143200
2010-02-11,11.24,11.33,11.18,11.27,4.562417,159600
2010-02-12,11.28,11.34,11.18,11.27,4.562417,117000
2010-02-16,11.35,11.46,11.29,11.46,4.639333,191300
2010-02-17,11.48,11.61,11.42,11.5,4.655525,244700
2010-02-18,11.47,11.6,11.41,11.49,4.65148,195000
2010-02-19,11.52,11.64,11.46,11.56,4.679816,139900
2010-02-22,11.61,11.7,11.59,11.7,4.73649,132600
2010-02-23,11.73,11.74,11.59,11.64,4.712203,220100
2010-02-24,11.72,11.77,11.68,11.75,4.756735,152000
2010-02-25,11.68,11.76,11.64,11.76,4.76078,129700
2010-02-26,11.72,11.8,11.7,11.79,4.772927,142200
2010-03-01,11.86,11.96,11.82,11.95,4.837697,239800
2010-03-02,11.93,12.07,11.92,12.05,4.878183,198100
2010-03-03,12.08,12.09,12.02,12.02,4.866037,178700
2010-03-04,12.03,12.1,12.01,12.1,4.898423,267500
2010-03-05,12.08,12.19,12.04,12.19,4.934858,210000
2010-03-08,12.17,12.33,12.17,12.33,4.991534,256900
2010-03-09,12.23,12.24,12.12,12.22,4.981343,179200
2010-03-10,12.2,12.22,12.08,12.14,4.948734,230500
2010-03-11,12.11,12.18,12.05,12.17,4.960963,213200
2010-03-12,12.18,12.18,12.06,12.11,4.936502,203000
2010-03-15,12.16,12.17,11.94,12.01,4.895738,286500
2010-03-16,12.06,12.15,12.01,12.14,4.948734,225300
2010-03-17,12.1,12.31,12.1,12.22,4.981343,343100
2010-03-18,12.24,12.39,12.22,12.33,5.026183,259900
2010-03-19,12.17,12.35,12.08,12.17,4.960963,217800
2010-03-22,12.08,12.23,12.02,12.17,4.960963,169400
2010-03-23,12.2,12.36,12.2,12.27,5.001724,223300
2010-03-24,12.27,12.35,12.25,12.29,5.009878,169900
2010-03-25,12.36,12.39,12.27,12.3,5.013953,165100
2010-03-26,12.3,12.35,12.02,12.15,4.952809,202500
2010-03-29,12.21,12.27,12.15,12.25,4.993571,124700
2010-03-30,12.29,12.33,12.24,12.26,4.99765,159900
2010-03-31,12.26,12.35,12.26,12.28,5.005801,153000
2010-04-01,12.38,12.4,12.23,12.32,5.022106,151600
