Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.65,4.65,4.61,4.65,3.954906,2000
2010-01-05,4.65,4.65,4.65,4.65,3.954906,0
2010-01-06,4.64,4.65,4.62,4.65,3.954906,1500
2010-01-07,4.65,4.65,4.65,4.65,3.954906,0
2010-01-08,4.4,4.65,4.4,4.65,3.954906,1900
2010-01-11,4.4,4.65,4.35,4.65,3.954906,5700
2010-01-12,4.38,4.65,4.35,4.61,3.920885,9000
2010-01-13,4.51,4.56,4.3,4.44,3.776296,8000
2010-01-14,4.5,4.61,4.5,4.59,3.903876,1100
2010-01-15,4.6,4.6,4.59,4.59,3.903876,300
2010-01-19,4.44,4.44,4.3,4.4,3.742277,3800
2010-01-20,4.5,4.5,4.5,4.5,3.827329,1700
2010-01-21,4.4,4.65,4.4,4.65,3.954906,1600
2010-01-22,4.31,4.5,4.31,4.5,3.827329,3200
2010-01-25,4.45,4.45,4.45,4.45,3.784801,300
2010-01-26,4.28,4.4,4.28,4.31,3.665729,4400
2010-01-27,4.3,4.33,4.3,4.3,3.657225,1600
2010-01-28,4.4,4.4,4.37,4.4,3.742277,3300
2010-01-29,4.36,4.5,4.36,4.47,3.801811,5600
2010-02-01,4.3,4.5,4.1,4.3,3.657225,6400
2010-02-02,4.25,4.25,4.1,4.25,3.6147,3100
2010-02-03,4.15,4.15,4.15,4.15,3.529646,300
2010-02-04,4.21,4.21,4.07,4.11,3.495625,6700
2010-02-05,4.22,4.22,4.15,4.2,3.572172,3400
2010-02-08,4.19,4.19,4.15,4.17,3.546658,10300
2010-02-09,4.3,4.3,4.15,4.15,3.529646,3400
2010-02-10,4.17,4.17,4.15,4.15,3.529646,3400
2010-02-11,4.1,4.28,4.1,4.28,3.640215,2500
2010-02-12,4.15,4.25,4.15,4.25,3.6147,800
2010-02-16,4.1,4.16,4.1,4.15,3.529646,1800
2010-02-17,4.19,4.2,4.17,4.2,3.572172,2600
2010-02-18,4.15,4.28,4.05,4.2,3.572172,7700
2010-02-19,4.12,4.15,4.12,4.15,3.529646,200
2010-02-22,4.11,4.2,4.1,4.19,3.563667,5100
2010-02-23,4.19,4.19,4.19,4.19,3.563667,0
2010-02-24,4.07,4.19,4.06,4.14,3.521142,1100
2010-02-25,4.14,4.2,4.14,4.2,3.572172,4600
2010-02-26,4.3,4.3,4.2,4.2,3.572172,3100
2010-03-01,4.3,4.3,4.25,4.25,3.6147,700
2010-03-02,4.15,4.3,4.15,4.3,3.657225,1400
2010-03-03,4.4,4.4,4.35,4.35,3.69975,200
2010-03-04,4.3,4.3,4.27,4.27,3.631709,700
2010-03-05,4.25,4.35,4.15,4.35,3.69975,3200
2010-03-08,4.39,4.45,4.39,4.45,3.784801,5900
2010-03-09,4.23,4.49,4.2,4.29,3.64872,4300
2010-03-10,4.25,4.26,4.17,4.19,3.563667,3300
2010-03-11,4.16,4.33,4.15,4.33,3.682739,3000
2010-03-12,4.33,4.33,4.33,4.33,3.682739,0
2010-03-15,4.17,4.18,4.17,4.18,3.555162,200
2010-03-16,4.18,4.29,4.18,4.29,3.64872,300
2010-03-17,4.39,5.3,4.17,5.03,4.278103,35400
2010-03-18,5.2,5.4,4.21,4.44,3.776296,29800
2010-03-19,4.46,4.51,4.22,4.44,3.776296,20600
2010-03-22,4.32,4.52,4.23,4.38,3.725266,9600
2010-03-23,4.39,4.7,4.31,4.35,3.69975,9600
2010-03-24,4.4,4.55,4.3,4.55,3.869853,6400
2010-03-25,4.43,5.5,4.43,5.3,4.507741,56000
2010-03-26,5.39,5.5,5.3,5.34,4.541763,43100
2010-03-29,5.4,5.64,5.1,5.55,4.720371,26900
2010-03-30,5.15,5.18,4.7,4.89,4.159029,23200
2010-03-31,4.95,4.99,4.38,4.48,3.810318,39500
2010-04-01,4.55,4.89,4.36,4.45,3.784801,25700
2010-04-05,4.47,4.76,4.47,4.74,4.031452,7500
2010-04-06,4.72,4.74,4.41,4.5,3.827329,15800
2010-04-07,4.72,4.8,4.43,4.49,3.818822,900
2010-04-08,4.49,4.59,4.49,4.54,3.861348,5600
2010-04-09,4.66,4.89,4.64,4.74,4.031452,18800
2010-04-12,4.82,5.2,4.82,4.96,4.218565,8700
2010-04-13,5.05,5.05,4.92,4.92,4.184544,800
2010-04-14,4.99,5.07,4.88,4.89,4.159029,3900
2010-04-15,4.88,4.97,4.88,4.9,4.167535,1200
