Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.23,23.6,22.23,22.459999,19.779488,21300
2010-01-05,22.25,22.379999,21.83,21.83,19.224676,8300
2010-01-06,21.879999,22.17,21.84,21.940001,19.321554,13600
2010-01-07,22.0,22.15,21.959999,22.15,19.506493,3100
2010-01-08,22.129999,22.6,21.83,21.879999,19.268709,3700
2010-01-11,21.860001,21.92,21.35,21.5,18.934063,5300
2010-01-12,21.1,21.27,20.15,20.41,17.974146,13100
2010-01-13,20.68,20.870001,19.799999,20.620001,18.159084,23800
2010-01-14,20.540001,22.110001,20.540001,21.860001,19.251099,11700
2010-01-15,22.02,22.49,20.75,21.309999,18.766737,16600
2010-01-19,21.43,22.01,20.98,22.0,19.374392,2600
2010-01-20,21.709999,21.99,21.25,21.75,19.154221,3500
2010-01-21,22.639999,22.690001,20.809999,21.02,18.511343,3000
2010-01-22,21.860001,23.049999,21.0,22.030001,19.400814,16300
2010-01-25,22.24,23.290001,22.24,22.629999,19.929203,6100
2010-01-26,22.57,22.57,20.969999,21.129999,18.608225,10200
2010-01-27,21.01,21.23,20.540001,21.07,18.55538,6400
2010-01-28,20.49,21.700001,20.379999,21.0,18.59967,27800
2010-01-29,20.98,21.290001,20.85,21.07,18.661669,13200
2010-02-01,20.379999,20.92,20.25,20.4,18.068249,6600
2010-02-02,20.41,20.42,20.030001,20.049999,17.758245,5500
2010-02-03,20.01,20.370001,19.74,19.74,17.483683,5200
2010-02-04,19.76,19.809999,19.51,19.549999,17.315399,3600
2010-02-05,19.26,20.0,18.700001,19.379999,17.164837,30700
2010-02-08,19.42,19.530001,18.65,18.950001,16.783978,9100
2010-02-09,19.049999,19.459999,18.959999,19.08,16.899122,4800
2010-02-10,18.98,19.389999,18.65,19.030001,16.854839,22600
2010-02-11,18.950001,19.940001,18.950001,19.110001,16.925694,5200
2010-02-12,19.0,19.450001,18.809999,19.450001,17.226835,3600
2010-02-16,19.559999,21.6,19.559999,21.35,18.909655,2700
2010-02-17,21.43,21.43,19.549999,20.450001,18.112532,7100
2010-02-18,20.209999,20.959999,19.83,20.469999,18.130247,3700
2010-02-19,20.469999,20.469999,19.950001,20.08,17.784822,5000
2010-02-22,20.200001,20.9,20.139999,20.33,18.006248,5600
2010-02-23,20.370001,20.370001,19.17,19.360001,17.147118,8200
2010-02-24,19.360001,19.4,19.0,19.200001,17.005415,9100
2010-02-25,19.049999,19.200001,18.799999,19.049999,16.872549,7000
2010-02-26,19.1,19.15,19.1,19.1,16.91684,4500
2010-03-01,19.200001,19.6,18.9,19.18,16.98769,17400
2010-03-02,19.25,20.620001,19.25,20.27,17.95311,26600
2010-03-03,20.299999,21.35,20.18,20.879999,18.493382,24300
2010-03-04,20.59,20.700001,20.25,20.26,17.944248,4200
2010-03-05,20.24,20.450001,19.82,20.4,18.068249,6000
2010-03-08,20.0,20.709999,20.0,20.709999,18.342813,1200
2010-03-09,20.74,20.74,20.209999,20.41,18.077101,4100
2010-03-10,20.26,20.549999,20.18,20.360001,18.032818,1200
2010-03-11,20.32,20.33,20.18,20.33,18.006248,1800
2010-03-12,20.139999,20.139999,20.139999,20.139999,17.837963,400
2010-03-15,20.209999,20.719999,19.379999,19.76,17.501404,19000
2010-03-16,19.870001,20.610001,19.49,20.190001,17.882257,12200
2010-03-17,20.24,20.299999,20.01,20.27,17.95311,4900
2010-03-18,20.780001,20.780001,19.629999,19.73,17.474827,800
2010-03-19,20.01,20.01,19.25,19.719999,17.465967,8200
2010-03-22,19.59,19.68,19.59,19.68,17.430534,1200
2010-03-23,19.700001,20.120001,19.51,20.01,17.722824,7500
2010-03-24,19.719999,20.17,19.559999,19.75,17.492542,3000
2010-03-25,19.860001,20.9,19.450001,19.709999,17.457121,30000
2010-03-26,19.809999,20.040001,19.48,19.82,17.554541,6500
2010-03-29,19.9,19.9,19.5,19.59,17.350834,2500
2010-03-30,19.6,19.6,19.15,19.280001,17.076263,2600
2010-03-31,19.07,19.360001,19.059999,19.200001,17.005415,5600
2010-04-01,19.309999,19.33,19.0,19.33,17.12055,9700
2010-04-05,19.17,19.4,18.85,19.4,17.182549,8200
2010-04-06,19.34,19.860001,19.34,19.68,17.430534,2700
2010-04-07,20.18,20.469999,19.559999,19.719999,17.465967,4900
2010-04-08,19.450001,19.549999,19.200001,19.5,17.271118,4600
2010-04-09,19.5,19.65,19.35,19.379999,17.164837,2400
2010-04-12,19.57,19.709999,19.51,19.65,17.403971,1600
2010-04-13,20.559999,20.559999,19.1,19.129999,16.943411,3800
2010-04-14,19.459999,20.68,19.459999,20.6,18.245386,15700
2010-04-15,20.639999,20.969999,20.639999,20.77,18.395956,13500
2010-04-16,20.76,20.76,20.27,20.27,17.95311,5300
2010-04-19,20.23,20.360001,20.02,20.200001,17.8911,6500
2010-04-20,20.34,20.5,20.25,20.5,18.156816,7100
2010-04-21,20.200001,20.690001,20.200001,20.389999,18.059393,4400
2010-04-22,20.209999,20.73,20.01,20.299999,17.979673,4000
2010-04-23,20.370001,20.67,20.370001,20.48,18.139103,1200
2010-04-26,20.41,20.41,20.41,20.41,18.077101,400
2010-04-27,20.440001,20.459999,19.84,19.84,17.572258,9600
2010-04-28,20.209999,20.450001,19.67,19.9,17.625397,1800
2010-04-29,19.92,20.709999,19.540001,19.92,17.750147,43600
2010-04-30,19.809999,20.030001,19.35,19.35,17.242235,8500
2010-05-03,19.139999,19.52,18.91,19.360001,17.251144,6400
2010-05-04,19.16,19.16,18.58,18.67,16.636312,12300
2010-05-05,18.51,18.73,17.110001,18.1,16.128391,24400
2010-05-06,18.09,18.09,17.25,17.620001,15.700684,16500
2010-05-07,17.030001,18.59,16.77,16.780001,14.952176,13200
2010-05-10,17.5,18.25,17.5,17.969999,16.012552,12300
2010-05-11,17.860001,17.91,16.950001,17.870001,15.923447,5900
2010-05-12,18.52,19.190001,17.860001,19.0,16.930361,11800
2010-05-13,18.969999,18.969999,18.059999,18.57,16.547197,5800
2010-05-14,18.41,18.41,17.610001,18.139999,16.164036,12100
2010-05-17,18.25,19.379999,18.25,19.34,17.233328,6900
2010-05-18,19.66,19.99,19.620001,19.879999,17.714504,6900
2010-05-19,19.91,20.27,19.549999,20.1,17.910545,7600
2010-05-20,19.780001,20.120001,19.780001,20.030001,17.848166,7200
2010-05-21,19.67,20.5,19.65,20.299999,18.088749,6600
2010-05-24,20.33,21.07,20.290001,20.469999,18.240236,4300
2010-05-25,19.75,20.48,19.75,20.43,18.204601,4200
2010-05-26,20.59,20.879999,20.200001,20.200001,17.99964,5800
2010-05-27,20.57,21.01,20.200001,20.58,18.338247,5800
2010-05-28,21.030001,21.040001,20.0,20.280001,18.07093,6500
2010-06-01,20.59,20.59,19.639999,19.959999,17.785786,5700
2010-06-02,19.25,21.01,19.24,21.01,18.721422,6800
2010-06-03,20.91,21.98,20.91,21.860001,19.478825,8000
2010-06-04,21.26,21.969999,20.5,20.5,18.26697,6500
2010-06-07,21.049999,21.049999,20.280001,20.469999,18.240236,8800
2010-06-08,19.99,20.34,19.59,19.709999,17.563034,9000
2010-06-09,19.92,20.049999,19.139999,19.6,17.465006,4500
2010-06-10,20.440001,21.65,20.26,21.389999,19.060019,9400
2010-06-11,21.040001,21.629999,20.9,21.08,18.783791,10700
2010-06-14,21.290001,21.629999,21.08,21.200001,18.890717,8300
2010-06-15,21.27,22.32,21.27,22.32,19.88872,8100
2010-06-16,22.07,22.139999,21.719999,21.879999,19.496647,5100
2010-06-17,22.0,22.32,22.0,22.139999,19.728323,3700
2010-06-18,22.26,22.280001,21.99,22.190001,19.772884,18200
2010-06-21,22.32,22.35,22.0,22.01,19.612488,5800
2010-06-22,22.0,22.0,21.76,21.76,19.389713,15500
2010-06-23,22.110001,22.24,21.85,22.24,19.817434,20900
2010-06-24,22.110001,22.25,21.860001,21.870001,19.487736,13800
2010-06-25,22.02,22.879999,21.780001,22.879999,20.387716,91400
2010-06-28,23.219999,23.219999,22.360001,22.41,19.968912,5100
2010-06-29,22.09,22.34,21.84,21.870001,19.487736,11700
2010-06-30,22.23,22.299999,21.790001,22.040001,19.639217,14000
2010-07-01,22.09,22.299999,21.879999,21.879999,19.496647,11800
2010-07-02,21.879999,21.879999,21.309999,21.35,19.024376,11800
2010-07-06,21.59,21.76,20.879999,21.049999,18.757053,20400
2010-07-07,21.4,21.440001,21.120001,21.379999,19.051111,7700
2010-07-08,21.49,21.49,20.65,21.17,18.863993,13800
2010-07-09,21.33,21.57,20.65,21.190001,18.881811,5000
2010-07-12,21.15,21.389999,20.98,21.24,18.926359,6000
2010-07-13,21.66,22.0,21.42,21.77,19.39863,10600
2010-07-14,21.77,21.809999,21.549999,21.75,19.380804,3100
2010-07-15,21.809999,21.9,21.280001,21.49,19.14913,3800
2010-07-16,21.299999,21.700001,20.610001,21.030001,18.739239,11500
2010-07-19,21.120001,21.120001,20.51,21.120001,18.819437,4100
2010-07-20,20.870001,21.52,20.4,21.040001,18.748146,10200
2010-07-21,21.209999,21.209999,20.370001,20.450001,18.222418,6600
2010-07-22,20.75,20.969999,20.450001,20.77,18.507561,14300
2010-07-23,20.76,20.98,20.360001,20.98,18.694681,11500
2010-07-26,21.0,21.540001,20.6,21.5,19.158045,9700
2010-07-27,21.85,21.879999,21.450001,21.700001,19.336256,3800
2010-07-28,21.700001,21.84,21.030001,21.58,19.229322,5200
2010-07-29,21.690001,21.709999,21.33,21.57,19.327894,9500
2010-07-30,21.17,21.75,21.17,21.48,19.247246,2300
2010-08-02,21.790001,21.790001,21.1,21.32,19.103878,6400
2010-08-03,21.15,21.15,20.85,21.139999,18.942591,12000
2010-08-04,21.17,21.540001,21.01,21.48,19.247246,4300
2010-08-05,21.82,21.82,21.32,21.389999,19.166597,5600
2010-08-06,21.5,21.52,21.200001,21.34,19.121798,3000
2010-08-09,21.5,21.629999,21.33,21.52,19.283089,2400
2010-08-10,21.34,21.34,20.860001,20.860001,18.69169,5100
2010-08-11,20.65,20.74,19.91,19.91,17.840446,6600
2010-08-12,19.9,20.74,19.9,20.0,17.921089,7100
2010-08-13,19.93,20.299999,19.67,19.68,17.634342,8400
2010-08-16,19.65,19.940001,19.4,19.83,17.768757,4200
2010-08-17,20.08,20.799999,20.08,20.6,18.458719,4600
2010-08-18,21.459999,21.5,19.75,20.889999,18.718576,20600
2010-08-19,20.85,21.110001,20.15,20.51,18.378077,12000
2010-08-20,20.5,20.700001,20.41,20.41,18.288467,14100
2010-08-23,20.5,20.75,20.25,20.25,18.145105,3300
2010-08-24,20.25,20.549999,20.15,20.32,18.207823,6800
2010-08-25,20.280001,20.639999,20.15,20.639999,18.494566,2100
2010-08-26,20.639999,20.639999,20.450001,20.52,18.387037,2000
2010-08-27,21.02,21.41,20.9,21.370001,19.148682,4400
2010-08-30,21.33,21.33,20.83,20.83,18.664814,3100
2010-08-31,21.17,21.860001,21.0,21.0,18.817144,4400
2010-09-01,21.33,21.35,20.889999,21.309999,19.094917,5300
2010-09-02,21.299999,21.860001,21.200001,21.559999,19.318932,6500
2010-09-03,21.889999,22.120001,21.879999,22.120001,19.820726,4100
2010-09-07,21.690001,22.24,21.540001,21.92,19.641512,2400
2010-09-08,22.120001,22.120001,21.52,21.719999,19.462294,4400
2010-09-09,21.780001,21.780001,21.5,21.530001,19.292051,4800
2010-09-10,21.530001,21.530001,20.530001,20.82,18.655855,6800
2010-09-13,21.59,22.32,21.5,22.16,19.856569,6400
2010-09-14,22.190001,22.370001,22.120001,22.18,19.874489,2800
2010-09-15,22.139999,22.280001,22.01,22.24,19.928249,11200
2010-09-16,22.0,22.440001,22.0,22.27,19.955128,10700
2010-09-17,22.5,22.5,22.290001,22.440001,20.10746,12800
2010-09-20,22.5,23.0,22.5,23.0,20.609253,7600
2010-09-21,23.01,23.01,21.889999,22.860001,20.483801,3000
2010-09-22,22.950001,23.190001,22.92,23.07,20.671974,2000
2010-09-23,23.48,23.48,22.809999,23.1,20.698856,36100
2010-09-24,23.49,23.870001,23.25,23.58,21.128958,17100
2010-09-27,23.65,24.0,23.15,23.610001,21.155842,4500
2010-09-28,23.65,24.0,23.530001,23.959999,21.469461,2500
2010-09-29,23.85,23.889999,23.219999,23.219999,20.806385,17000
2010-09-30,23.5,23.889999,23.5,23.889999,21.406738,2400
2010-10-01,23.950001,24.15,23.120001,23.77,21.299213,3600
2010-10-04,23.9,23.9,22.950001,23.66,21.200642,2200
2010-10-05,23.9,24.110001,23.799999,23.889999,21.406738,18300
2010-10-06,23.950001,24.469999,23.66,23.700001,21.236483,4700
2010-10-07,23.65,23.879999,23.65,23.780001,21.308174,1900
2010-10-08,23.790001,23.98,23.74,23.9,21.415697,15100
2010-10-11,23.950001,23.959999,23.719999,23.959999,21.469461,700
2010-10-12,23.98,24.25,23.530001,23.530001,21.084166,7600
2010-10-13,23.9,23.9,22.83,23.42,20.985588,22500
2010-10-14,23.77,23.77,23.16,23.16,20.752617,5500
2010-10-15,23.690001,23.690001,22.540001,23.440001,21.003513,6800
2010-10-18,23.440001,24.18,23.440001,24.18,21.666597,2900
2010-10-19,24.0,24.0,23.459999,23.459999,21.021441,4400
2010-10-20,23.65,24.24,23.65,24.110001,21.603867,3200
