Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.19,14.55,13.9,14.55,12.043243,64400
2010-01-05,14.45,14.57,13.93,13.95,11.546616,64100
2010-01-06,13.97,14.0,13.36,13.44,11.124482,124400
2010-01-07,13.39,13.68,13.35,13.65,11.298299,58000
2010-01-08,13.56,14.05,13.43,13.71,11.347961,64700
2010-01-11,13.75,14.11,13.44,13.51,11.18242,32300
2010-01-12,13.4,13.6,12.88,13.08,10.826502,48300
2010-01-13,13.1,13.56,13.08,13.48,11.157585,45000
2010-01-14,13.47,13.89,13.31,13.81,11.430732,32000
2010-01-15,13.88,14.05,13.26,13.35,11.04998,139400
2010-01-19,13.42,13.54,12.94,13.38,11.074816,81500
2010-01-20,13.22,13.46,12.93,13.17,10.900994,94300
2010-01-21,13.23,13.33,12.63,12.89,10.669235,86200
2010-01-22,12.84,13.18,12.6,12.74,10.545079,104700
2010-01-25,12.86,12.92,12.44,12.48,10.329872,91400
2010-01-26,12.47,12.92,12.18,12.4,10.263657,62200
2010-01-27,12.29,12.92,12.29,12.81,10.603017,54400
2010-01-28,13.09,13.27,12.0,12.41,10.271935,176400
2010-01-29,12.5,13.49,12.5,12.95,10.718899,168000
2010-02-01,12.95,13.49,12.94,13.49,11.165864,84500
2010-02-02,13.49,13.57,13.11,13.15,10.884441,62000
2010-02-03,13.13,13.31,12.66,12.72,10.528526,79700
2010-02-04,12.65,12.86,12.13,12.14,10.04845,91400
2010-02-05,12.21,12.4,11.97,12.34,10.213994,69000
2010-02-08,12.29,12.32,11.85,12.01,9.940848,54200
2010-02-09,12.14,12.57,12.03,12.15,10.056728,40400
2010-02-10,12.05,12.4,11.91,12.38,10.247103,42200
2010-02-11,12.3,12.83,11.91,12.8,10.594741,61800
2010-02-12,12.68,12.89,12.37,12.75,10.553354,57100
2010-02-16,12.86,13.02,12.65,13.01,10.768561,27100
2010-02-17,13.1,13.21,12.91,13.16,10.89272,31400
2010-02-18,13.02,13.53,12.89,13.53,11.198972,37300
2010-02-19,13.53,13.85,12.89,13.59,11.248635,71100
2010-02-22,13.64,13.72,13.29,13.57,11.232081,33300
2010-02-23,13.59,13.59,13.0,13.01,10.768561,43600
2010-02-24,13.14,13.67,13.04,13.43,11.116201,38600
2010-02-25,13.19,13.71,12.99,13.71,11.347961,45800
2010-02-26,13.68,13.81,13.25,13.39,11.083092,87400
2010-03-01,13.52,14.0,13.52,13.98,11.571442,71100
2010-03-02,13.96,14.45,13.77,14.45,11.960467,73700
2010-03-03,14.45,14.89,14.14,14.22,11.770095,83500
2010-03-04,14.21,14.4,13.99,14.29,11.828035,28900
2010-03-05,14.36,14.66,14.23,14.53,12.077399,74700
2010-03-08,14.57,14.71,14.06,14.2,11.803096,36100
2010-03-09,14.18,14.28,13.89,14.03,11.661792,128800
2010-03-10,14.1,14.35,13.89,14.25,11.844657,55000
2010-03-11,14.11,14.45,14.05,14.35,11.927778,60700
2010-03-12,14.44,14.44,13.82,13.99,11.628545,37500
2010-03-15,14.01,14.15,13.63,13.8,11.470616,37200
2010-03-16,13.81,14.0,13.67,13.72,11.404123,28800
2010-03-17,13.71,13.93,13.64,13.78,11.453995,47300
2010-03-18,13.72,13.93,13.5,13.83,11.495553,56200
2010-03-19,13.93,13.93,13.33,13.5,11.221254,106100
2010-03-22,13.31,13.92,13.26,13.79,11.462304,62600
2010-03-23,13.86,14.0,13.59,13.94,11.586983,41700
2010-03-24,13.83,13.97,13.51,13.52,11.237879,45200
2010-03-25,13.66,13.95,13.52,13.57,11.279441,37600
2010-03-26,13.67,14.05,13.39,13.4,11.138132,39200
2010-03-29,13.48,13.78,13.4,13.53,11.24619,32200
2010-03-30,13.5,13.81,13.5,13.72,11.404123,62800
2010-03-31,13.6,14.0,13.5,13.77,11.445683,159700
2010-04-01,13.89,13.91,13.74,13.91,11.562054,33600
2010-04-05,13.91,14.27,13.91,14.27,11.861285,69300
2010-04-06,14.13,14.43,14.05,14.33,11.911157,46500
2010-04-07,14.36,14.49,14.04,14.38,11.952714,240900
2010-04-08,14.35,14.99,14.22,14.75,12.26026,66700
2010-04-09,14.81,14.9,14.54,14.7,12.2187,76600
2010-04-12,14.63,14.89,14.62,14.87,12.360005,55700
2010-04-13,14.78,15.39,14.78,15.38,12.783921,39100
2010-04-14,15.45,16.32,15.45,16.200001,13.465508,81700
2010-04-15,16.129999,16.209999,15.38,16.129999,13.407322,67200
2010-04-16,16.110001,16.200001,15.81,15.95,13.257708,76800
2010-04-19,15.92,16.16,15.51,16.08,13.365766,89200
2010-04-20,16.200001,16.360001,16.040001,16.17,13.44057,57400
2010-04-21,16.200001,16.85,16.059999,16.58,13.781364,159300
2010-04-22,16.26,16.99,16.139999,16.4,13.631749,156100
2010-04-23,16.450001,16.85,15.99,16.030001,13.324203,245600
2010-04-26,16.17,17.1,16.17,16.98,14.11385,212200
