Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.85,2.85,2.78,2.78,2.78,30800
2010-01-05,2.77,2.9,2.61,2.86,2.86,55800
2010-01-06,2.99,3.13,2.81,2.81,2.81,144300
2010-01-07,2.85,2.92,2.83,2.87,2.87,86500
2010-01-08,2.98,2.98,2.84,2.88,2.88,21200
2010-01-11,2.99,3.22,2.88,3.13,3.13,120000
2010-01-12,3.19,3.2,2.98,3.01,3.01,77300
2010-01-13,3.03,3.19,3.01,3.04,3.04,22900
2010-01-14,3.0,3.15,2.97,3.0,3.0,27000
2010-01-15,3.0,3.05,2.9,3.02,3.02,26400
2010-01-19,3.09,3.09,2.94,2.95,2.95,28400
2010-01-20,2.94,2.95,2.61,2.8,2.8,65200
2010-01-21,2.85,2.85,2.68,2.7,2.7,38400
2010-01-22,2.63,2.77,2.63,2.68,2.68,34800
2010-01-25,2.65,2.8,2.65,2.79,2.79,15700
2010-01-26,2.79,2.96,2.68,2.91,2.91,32400
2010-01-27,2.8,2.82,2.69,2.7,2.7,33200
2010-01-28,2.7,2.75,2.6,2.73,2.73,49200
2010-01-29,2.55,2.63,2.55,2.56,2.56,20100
2010-02-01,2.55,2.59,2.5,2.51,2.51,27500
2010-02-02,2.51,2.59,2.51,2.57,2.57,9800
2010-02-03,2.78,2.78,2.54,2.58,2.58,2800
2010-02-04,2.65,2.69,2.51,2.64,2.64,12700
2010-02-05,2.64,2.64,2.5,2.56,2.56,25200
2010-02-08,2.56,2.59,2.56,2.58,2.58,8000
2010-02-09,2.62,2.64,2.57,2.64,2.64,15100
2010-02-10,2.61,2.73,2.58,2.58,2.58,9600
2010-02-11,2.6,2.69,2.51,2.55,2.55,28000
2010-02-12,2.6,2.66,2.57,2.58,2.58,10000
2010-02-16,2.68,2.75,2.62,2.69,2.69,16000
2010-02-17,2.74,2.75,2.5,2.59,2.59,24600
2010-02-18,2.61,2.69,2.54,2.55,2.55,18400
2010-02-19,2.68,2.68,2.55,2.65,2.65,7000
2010-02-22,2.64,2.67,2.64,2.67,2.67,10300
2010-02-23,2.81,2.81,2.67,2.75,2.75,21300
2010-02-24,2.75,2.87,2.75,2.87,2.87,12900
2010-02-25,2.8,2.86,2.74,2.81,2.81,8100
2010-02-26,2.85,2.9,2.8,2.8,2.8,59700
2010-03-01,2.84,2.85,2.77,2.82,2.82,13800
2010-03-02,2.85,2.89,2.79,2.85,2.85,13200
2010-03-03,2.8,2.9,2.7,2.78,2.78,14500
2010-03-04,2.61,2.84,2.61,2.82,2.82,18900
2010-03-05,2.8,2.82,2.71,2.74,2.74,6900
2010-03-08,2.75,2.8,2.75,2.8,2.8,14100
2010-03-09,2.79,2.8,2.73,2.77,2.77,16100
2010-03-10,2.82,2.84,2.77,2.78,2.78,9400
2010-03-11,2.8,2.8,2.77,2.79,2.79,28500
2010-03-12,2.77,2.77,2.74,2.75,2.75,4300
2010-03-15,2.79,2.89,2.74,2.76,2.76,89100
2010-03-16,2.74,2.77,2.73,2.75,2.75,83300
2010-03-17,2.75,2.76,2.72,2.76,2.76,16100
2010-03-18,2.79,2.99,2.75,2.98,2.98,71100
2010-03-19,2.66,3.0,2.6,2.66,2.66,124800
2010-03-22,2.61,2.79,2.55,2.74,2.74,39100
2010-03-23,2.81,2.95,2.81,2.95,2.95,33600
2010-03-24,2.93,2.93,2.7,2.72,2.72,56600
2010-03-25,2.71,2.72,2.52,2.7,2.7,70500
2010-03-26,2.7,2.81,2.7,2.81,2.81,15400
2010-03-29,2.85,2.85,2.7,2.75,2.75,18800
2010-03-30,2.74,2.75,2.64,2.7,2.7,19000
2010-03-31,2.7,2.85,2.7,2.85,2.85,8400
2010-04-01,2.84,2.85,2.64,2.7,2.7,37900
2010-04-05,2.75,2.75,2.61,2.66,2.66,12600
2010-04-06,2.63,2.85,2.63,2.78,2.78,17700
2010-04-07,2.75,2.75,2.56,2.56,2.56,17500
2010-04-08,2.64,2.72,2.62,2.7,2.7,11700
2010-04-09,2.66,2.77,2.63,2.69,2.69,23000
2010-04-12,2.66,2.78,2.65,2.75,2.75,25800
2010-04-13,2.77,2.79,2.66,2.76,2.76,14200
2010-04-14,2.78,2.85,2.69,2.82,2.82,28900
2010-04-15,2.77,3.01,2.77,2.94,2.94,44600
2010-04-16,2.97,2.97,2.91,2.94,2.94,32500
2010-04-19,2.91,3.05,2.91,3.05,3.05,38700
2010-04-20,3.05,3.06,2.92,2.99,2.99,16700
2010-04-21,3.03,3.04,2.91,3.0,3.0,15200
2010-04-22,2.92,3.06,2.92,3.06,3.06,21700
2010-04-23,3.08,3.15,2.91,3.0,3.0,48500
2010-04-26,3.15,3.25,2.96,3.06,3.06,52800
2010-04-27,3.0,3.25,2.83,3.22,3.22,46800
2010-04-28,3.22,3.28,3.07,3.19,3.19,43200
2010-04-29,3.17,3.5,3.16,3.47,3.47,89200
2010-04-30,3.3,3.43,3.02,3.38,3.38,75600
2010-05-03,3.32,3.73,3.32,3.6,3.6,142800
2010-05-04,3.67,3.72,3.58,3.69,3.69,88900
2010-05-05,3.69,3.93,3.51,3.8,3.8,184500
2010-05-06,3.8,3.81,3.5,3.65,3.65,199300
2010-05-07,3.62,3.8,3.62,3.66,3.66,47000
2010-05-10,3.8,3.8,3.66,3.72,3.72,82000
2010-05-11,3.72,3.8,3.5,3.8,3.8,43600
2010-05-12,3.74,3.8,3.61,3.72,3.72,42200
2010-05-13,3.7,3.75,3.58,3.72,3.72,26700
2010-05-14,3.66,3.66,3.51,3.63,3.63,31600
2010-05-17,3.59,3.76,3.52,3.72,3.72,52700
2010-05-18,3.7,3.76,3.66,3.72,3.72,54500
2010-05-19,3.74,3.74,3.39,3.53,3.53,25000
2010-05-20,3.53,3.56,3.07,3.25,3.25,50900
2010-05-21,3.28,3.28,2.89,3.0,3.0,237000
2010-05-24,2.94,3.2,2.76,3.12,3.12,67500
2010-05-25,3.02,3.03,2.88,3.01,3.01,29600
2010-05-26,3.0,3.16,2.9,2.92,2.92,65300
2010-05-27,2.94,3.15,2.94,3.09,3.09,19100
2010-05-28,3.03,3.23,3.0,3.23,3.23,13600
2010-06-01,3.21,3.26,3.17,3.24,3.24,7300
2010-06-02,3.17,3.41,3.16,3.41,3.41,9000
2010-06-03,3.32,3.4,3.1,3.38,3.38,19600
2010-06-04,3.32,3.41,3.24,3.32,3.32,17800
2010-06-07,3.31,3.54,3.06,3.5,3.5,48600
2010-06-08,3.47,3.49,3.28,3.42,3.42,18300
2010-06-09,3.25,3.42,3.25,3.3,3.3,18500
2010-06-10,3.37,3.48,3.25,3.4,3.4,33500
2010-06-11,3.44,3.5,3.34,3.47,3.47,34500
2010-06-14,3.4,3.49,3.2,3.44,3.44,20200
2010-06-15,3.5,3.5,3.34,3.5,3.5,12600
2010-06-16,3.49,3.49,3.31,3.42,3.42,12600
2010-06-17,3.44,3.44,3.29,3.29,3.29,29300
2010-06-18,3.42,3.53,3.38,3.5,3.5,31100
