Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.26,10.46,10.07,10.18,9.416154,57200
2010-01-05,10.27,10.5,10.1,10.12,9.36065,97600
2010-01-06,10.13,10.5,10.04,10.48,9.693644,177800
2010-01-07,10.45,10.82,10.2,10.55,9.758388,232900
2010-01-08,10.52,11.25,10.52,10.86,10.045127,122100
2010-01-11,10.98,11.11,10.82,11.0,10.174622,56200
2010-01-12,10.84,11.01,10.8,10.97,10.146874,102900
2010-01-13,11.0,11.25,10.97,11.23,10.387363,49000
2010-01-14,11.12,11.49,11.12,11.44,10.581605,61300
2010-01-15,11.49,11.5,10.85,11.01,10.183875,58700
2010-01-19,11.06,11.5,11.0,11.36,10.507611,72300
2010-01-20,11.25,11.56,11.1,11.32,10.470612,108700
2010-01-21,11.41,11.46,10.92,11.39,10.535359,92800
2010-01-22,11.39,11.75,11.27,11.64,10.766601,87100
2010-01-25,11.73,11.73,11.19,11.37,10.516862,73000
2010-01-26,11.29,11.34,11.05,11.26,10.415114,59700
2010-01-27,11.19,11.55,11.19,11.39,10.535359,46500
2010-01-28,11.53,11.74,10.08,10.86,10.045127,196800
2010-01-29,11.14,11.2,10.85,11.06,10.23012,148800
2010-02-01,11.01,11.04,10.63,10.76,9.952635,85400
2010-02-02,10.75,10.95,10.5,10.92,10.100624,82700
2010-02-03,10.9,11.11,10.9,10.98,10.156123,68700
2010-02-04,10.9,10.97,10.37,10.53,9.739889,92300
2010-02-05,10.6,11.03,10.39,11.0,10.174622,108700
2010-02-08,10.96,10.96,10.3,10.34,9.564145,80900
2010-02-09,10.27,10.44,10.06,10.11,9.351402,83000
2010-02-10,10.05,10.15,9.85,10.08,9.323657,40000
2010-02-11,10.03,10.5,9.88,10.49,9.702891,138100
2010-02-12,10.35,10.7,9.99,10.69,9.887884,117300
2010-02-16,10.8,10.84,10.42,10.62,9.823135,31200
2010-02-17,10.64,10.64,10.3,10.35,9.573397,56900
