Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.42,6.64,6.41,6.64,4.312113,12400
2010-01-05,6.64,6.72,6.64,6.7,4.351078,8800
2010-01-06,6.7,6.71,6.64,6.68,4.338089,4900
2010-01-07,6.79,6.79,6.66,6.74,4.377054,9500
2010-01-08,6.7,6.72,6.7,6.71,4.357573,3000
2010-01-11,6.75,6.75,6.71,6.71,4.357573,4900
2010-01-12,6.71,6.73,6.61,6.66,4.325101,6500
2010-01-13,6.63,6.69,6.63,6.69,4.344584,1300
2010-01-14,6.79,6.79,6.66,6.69,4.344584,14000
2010-01-15,6.78,6.78,6.68,6.69,4.344584,5500
2010-01-19,6.61,6.67,6.61,6.67,4.331595,10800
2010-01-20,6.61,6.63,6.53,6.55,4.253665,5900
2010-01-21,6.55,6.55,6.22,6.43,4.175736,18100
2010-01-22,6.36,6.39,6.22,6.25,4.058841,11400
2010-01-25,6.39,6.39,6.21,6.34,4.117289,3200
2010-01-26,6.2,6.32,6.16,6.27,4.07183,17800
2010-01-27,6.18,6.2,6.15,6.2,4.026371,12500
2010-01-28,6.3,6.3,6.1,6.11,3.967923,26000
2010-01-29,6.12,6.23,6.12,6.14,3.987406,7200
2010-02-01,6.2,6.26,6.17,6.2,4.026371,2900
2010-02-02,6.3,6.32,6.29,6.3,4.091312,3000
2010-02-03,6.29,6.29,6.26,6.26,4.065335,400
2010-02-04,6.14,6.16,6.01,6.04,3.922465,15100
2010-02-05,6.03,6.12,5.95,6.02,3.909476,17400
2010-02-08,5.95,6.42,5.95,6.42,4.169241,4400
2010-02-09,6.2,6.2,6.09,6.15,3.993899,3700
2010-02-10,6.07,6.3,5.99,5.99,3.889993,3000
2010-02-11,6.15,6.26,6.15,6.2,4.026371,3300
2010-02-12,6.27,6.27,6.16,6.18,4.013382,4100
2010-02-16,6.2,6.29,6.2,6.28,4.078324,8400
2010-02-17,6.24,6.33,6.14,6.2,4.026371,6300
2010-02-18,6.2,6.25,6.15,6.25,4.058841,2600
2010-02-19,6.33,6.33,6.33,6.33,4.110795,100
2010-02-22,6.29,6.3,6.24,6.24,4.052348,3100
2010-02-23,6.22,6.22,6.13,6.13,3.980911,11000
2010-02-24,6.16,6.26,6.16,6.22,4.039359,8800
2010-02-25,6.11,6.19,6.11,6.19,4.019876,2700
2010-02-26,6.18,6.24,6.13,6.24,4.052348,3300
2010-03-01,6.29,6.3,6.13,6.3,4.091312,13200
2010-03-02,6.24,6.29,6.24,6.29,4.084817,2200
2010-03-03,6.24,6.31,6.24,6.3,4.091312,4500
2010-03-04,6.29,6.32,6.27,6.27,4.07183,1100
2010-03-05,6.34,6.43,6.33,6.4,4.156254,1900
2010-03-08,6.4,6.5,6.35,6.38,4.143265,7300
2010-03-09,6.4,6.42,6.36,6.41,4.162748,4200
2010-03-10,6.41,6.41,6.41,6.41,4.162748,1800
2010-03-11,6.51,6.51,6.41,6.41,4.162748,1900
2010-03-12,6.37,6.46,6.37,6.38,4.143265,7200
2010-03-15,6.44,6.44,6.37,6.38,4.143265,4500
2010-03-16,6.4,6.46,6.4,6.45,4.188724,1300
2010-03-17,6.39,6.56,6.39,6.49,4.214701,3100
2010-03-18,6.5,6.5,6.41,6.47,4.201713,7900
2010-03-19,6.44,6.48,6.3,6.38,4.143265,10700
2010-03-22,6.3,6.41,6.3,6.4,4.156254,46200
2010-03-23,6.36,6.59,6.36,6.58,4.273148,14700
2010-03-24,6.42,6.51,6.42,6.5,4.221195,12300
2010-03-25,6.47,6.54,6.45,6.5,4.221195,4300
2010-03-26,6.41,6.53,6.41,6.52,4.234183,3400
2010-03-29,6.52,6.6,6.52,6.58,4.273148,3500
2010-03-30,6.46,6.61,6.46,6.61,4.292631,7400
2010-03-31,6.57,6.57,6.4,6.55,4.253665,22100
2010-04-01,6.55,6.71,6.54,6.65,4.318607,15200
2010-04-05,6.6,6.75,6.6,6.72,4.364066,8900
2010-04-06,6.61,6.79,6.61,6.78,4.403031,7400
2010-04-07,6.84,6.85,6.67,6.75,4.383549,13400
2010-04-08,6.75,6.75,6.7,6.75,4.383549,3400
2010-04-09,6.66,6.76,6.66,6.75,4.383549,8300
2010-04-12,6.75,6.75,6.7,6.74,4.377054,2300
2010-04-13,6.73,6.73,6.66,6.72,4.364066,15000
2010-04-14,6.67,6.75,6.67,6.73,4.370561,7600
2010-04-15,6.76,6.79,6.76,6.79,4.409526,5000
2010-04-16,6.8,6.89,6.67,6.67,4.331595,11800
2010-04-19,6.64,6.8,6.64,6.7,4.351078,5500
2010-04-20,6.73,6.82,6.73,6.8,4.416019,4200
2010-04-21,6.76,6.77,6.67,6.77,4.396537,2600
2010-04-22,6.7,6.85,6.69,6.8,4.416019,3100
2010-04-23,6.75,6.8,6.75,6.8,4.416019,2200
2010-04-26,6.83,6.9,6.78,6.79,4.409526,9400
2010-04-27,6.79,6.88,6.71,6.88,4.467973,8300
2010-04-28,6.64,6.82,6.64,6.79,4.409526,7700
2010-04-29,6.89,6.89,6.62,6.79,4.409526,12500
2010-04-30,6.82,6.82,6.75,6.82,4.429008,4700
2010-05-03,6.88,6.88,6.77,6.77,4.396537,500
2010-05-04,6.76,6.79,6.64,6.65,4.318607,14700
2010-05-05,6.6,6.69,6.5,6.69,4.344584,4500
2010-05-06,6.6,6.62,5.99,6.22,4.039359,44400
2010-05-07,6.08,6.33,6.07,6.26,4.065335,7800
2010-05-10,6.37,6.37,6.25,6.3,4.091312,12500
2010-05-11,6.34,6.38,6.26,6.35,4.123783,9600
2010-05-12,6.39,6.5,6.35,6.5,4.221195,10400
2010-05-13,6.49,6.5,6.33,6.45,4.188724,3800
2010-05-14,6.32,6.35,6.26,6.28,4.078324,5700
2010-05-17,6.32,6.49,6.25,6.25,4.058841,7600
2010-05-18,6.32,6.37,6.25,6.25,4.058841,4300
2010-05-19,6.25,6.27,6.1,6.27,4.07183,5000
2010-05-20,6.13,6.17,6.01,6.07,3.941947,12900
2010-05-21,6.0,6.1,5.65,5.98,3.883499,16200
2010-05-24,6.07,6.07,6.02,6.02,3.909476,5200
2010-05-25,5.81,6.0,5.8,5.98,3.883499,5700
2010-05-26,5.92,6.12,5.91,5.95,3.864016,13700
2010-05-27,6.14,6.14,5.97,6.12,3.974417,8100
2010-05-28,6.04,6.04,5.92,6.02,3.909476,21600
2010-06-01,6.02,6.11,6.01,6.01,3.902982,3400
2010-06-02,5.99,6.09,5.99,6.09,3.954935,1300
2010-06-03,6.12,6.12,5.78,6.09,3.954935,22500
2010-06-04,5.84,6.0,5.84,5.88,3.818558,8000
2010-06-07,5.85,5.92,5.81,5.85,3.799076,21100
2010-06-08,5.8,5.96,5.63,5.85,3.799076,23900
2010-06-09,5.85,6.03,5.71,5.71,3.708158,24100
2010-06-10,5.9,6.14,5.9,6.14,3.987406,15100
2010-06-11,6.14,6.14,6.03,6.1,3.96143,14600
2010-06-14,6.11,6.17,6.11,6.14,3.987406,1400
2010-06-15,6.12,6.2,6.11,6.2,4.026371,7000
2010-06-16,6.1,6.2,6.1,6.18,4.013382,5200
2010-06-17,6.15,6.15,6.15,6.15,3.993899,300
2010-06-18,6.15,6.22,6.05,6.17,4.006888,9100
2010-06-21,6.15,6.31,6.15,6.3,4.091312,3100
2010-06-22,6.18,6.25,6.18,6.25,4.058841,900
2010-06-23,6.11,6.14,6.05,6.1,3.96143,26400
2010-06-24,6.05,6.05,5.88,5.93,3.851028,12700
2010-06-25,5.91,6.0,5.9,5.97,3.877005,14700
2010-06-28,5.99,6.02,5.96,5.96,3.870511,7000
2010-06-29,5.88,5.89,5.7,5.7,3.701664,12100
2010-06-30,5.78,6.01,5.67,5.67,3.682181,14600
2010-07-01,5.8,5.81,5.62,5.62,3.64971,7600
2010-07-02,5.7,5.7,5.62,5.65,3.669193,4200
2010-07-06,5.69,5.79,5.65,5.75,3.734134,12200
2010-07-07,5.76,5.9,5.76,5.9,3.831546,10500
2010-07-08,5.96,6.0,5.92,6.0,3.896488,8500
2010-07-09,6.0,6.0,6.0,6.0,3.896488,0
2010-07-12,6.0,6.0,5.96,5.96,3.870511,1600
2010-07-13,6.1,6.1,5.97,6.04,3.922465,2000
2010-07-14,5.99,6.0,5.95,6.0,3.896488,9400
2010-07-15,5.97,5.97,5.95,5.95,3.864016,3100
2010-07-16,5.97,6.1,5.75,5.76,3.740628,8900
2010-07-19,5.82,5.82,5.72,5.77,3.747123,7100
2010-07-20,5.8,5.87,5.8,5.87,3.812064,2200
2010-07-21,5.95,5.95,5.84,5.84,3.792582,3800
2010-07-22,5.95,6.13,5.89,6.08,3.948441,15000
2010-07-23,6.02,6.13,6.02,6.12,3.974417,5300
2010-07-26,6.09,6.19,6.05,6.18,4.013382,13700
2010-07-27,6.1,6.16,6.1,6.14,3.987406,2800
2010-07-28,6.28,6.28,6.16,6.17,4.006888,4300
