Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.56,10.72,10.51,10.58,7.808573,2143200
2010-01-05,10.53,10.87,10.52,10.82,7.985702,3043200
2010-01-06,10.69,11.01,10.69,10.97,8.096412,3186600
2010-01-07,11.0,11.05,10.8,10.88,8.029984,2106600
2010-01-08,10.96,11.7,10.88,11.61,8.568766,6847900
2010-01-11,11.76,11.76,11.39,11.55,8.524482,2965000
2010-01-12,11.63,11.65,11.03,11.09,8.184975,3337000
2010-01-13,11.14,11.48,10.84,11.44,8.443295,3064300
2010-01-14,11.5,11.5,11.17,11.25,8.303064,2015600
2010-01-15,11.3,11.3,10.96,11.04,8.148077,2753600
2010-01-19,11.02,11.22,11.0,11.13,8.214499,3228300
2010-01-20,11.09,11.11,10.91,11.05,8.155454,2444100
2010-01-21,11.42,11.59,11.16,11.45,8.450677,4914700
2010-01-22,11.42,11.44,10.57,10.7,7.897137,4886000
2010-01-25,10.8,11.0,10.7,10.84,8.000465,2222200
2010-01-26,10.91,11.03,10.74,10.86,8.015224,2661100
2010-01-27,10.74,11.07,10.62,11.06,8.162835,2966100
2010-01-28,11.26,11.39,10.47,10.75,7.934038,4951300
2010-01-29,10.86,10.96,9.96,10.05,7.417405,6702500
2010-02-01,10.18,10.89,10.15,10.85,8.007843,5996300
2010-02-02,10.9,11.37,10.83,11.27,8.317828,4935100
2010-02-03,11.13,11.42,11.07,11.37,8.391631,3999800
2010-02-04,11.16,11.22,10.59,10.6,7.823337,4261800
2010-02-05,10.58,10.96,10.45,10.84,8.000465,5032500
2010-02-08,10.99,10.99,10.68,10.7,7.897137,2213500
2010-02-09,10.94,10.97,10.67,10.89,8.037366,3048200
2010-02-10,10.92,11.0,10.73,10.79,7.963563,2170900
2010-02-11,10.85,11.32,10.7,11.3,8.339967,3693900
2010-02-12,11.24,11.7,11.08,11.53,8.509721,4974300
2010-02-16,11.71,11.96,11.6,11.83,8.731133,3339100
2010-02-17,11.94,11.95,11.5,11.8,8.70899,2799600
2010-02-18,11.75,12.02,11.64,11.91,8.790178,5451500
2010-02-19,11.78,12.46,11.78,12.3,9.078019,8113900
2010-02-22,12.33,12.45,12.09,12.15,8.967311,3690800
2010-02-23,12.09,12.09,11.71,11.87,8.760654,3506500
2010-02-24,11.92,12.03,11.76,11.94,8.812318,3261000
2010-02-25,11.73,11.93,11.52,11.93,8.804936,2610500
2010-02-26,11.78,11.91,11.65,11.83,8.731133,3918400
2010-03-01,11.84,12.18,11.8,11.96,8.82708,4997700
2010-03-02,12.01,12.3,11.98,12.11,8.937789,4145400
2010-03-03,12.12,12.39,11.86,11.98,8.841844,2814900
2010-03-04,12.12,12.12,11.76,11.98,8.841844,2177900
2010-03-05,12.04,12.2,11.92,12.12,8.94517,2952700
2010-03-08,12.1,12.17,11.85,12.13,8.95255,2749600
2010-03-09,11.99,12.4,11.98,12.27,9.055879,4495400
2010-03-10,12.25,12.46,12.23,12.37,9.129682,2958700
2010-03-11,12.36,12.38,12.17,12.37,9.129682,1935500
2010-03-12,12.46,12.53,12.32,12.43,9.173964,3318600
2010-03-15,12.38,12.4,12.23,12.35,9.114919,1865400
2010-03-16,12.35,12.47,12.2,12.3,9.078019,3250200
2010-03-17,12.38,12.55,12.33,12.35,9.114919,3208800
2010-03-18,12.31,12.4,11.86,12.07,8.908266,6171900
2010-03-19,12.0,12.01,11.62,11.81,8.716373,6609000
2010-03-22,11.62,11.97,11.55,11.88,8.768038,2949900
2010-03-23,11.96,12.1,11.82,11.93,8.804936,4262500
2010-03-24,11.93,11.93,11.56,11.78,8.694234,5629400
2010-03-25,11.87,11.97,11.58,11.78,8.694234,4632600
2010-03-26,11.84,11.93,11.42,11.47,8.465438,3854300
2010-03-29,11.49,11.69,11.49,11.54,8.517098,2862100
2010-03-30,11.56,11.68,11.44,11.63,8.583524,1962600
2010-03-31,11.48,11.64,11.41,11.53,8.509721,2744500
2010-04-01,11.63,11.77,11.39,11.47,8.465438,1726200
2010-04-05,11.57,11.8,11.49,11.8,8.70899,2066600
2010-04-06,11.7,11.8,11.58,11.8,8.70899,3059600
2010-04-07,11.76,12.0,11.65,11.92,8.797559,3223000
2010-04-08,11.88,11.88,11.53,11.58,8.546621,3172600
2010-04-09,11.66,11.72,11.52,11.56,8.531862,3096000
2010-04-12,11.75,12.05,11.68,12.01,8.863984,4170900
2010-04-13,12.01,12.25,11.97,12.21,9.011592,3576900
2010-04-14,12.44,13.0,12.41,12.96,9.565131,6764500
2010-04-15,12.85,13.1,12.82,13.04,9.624176,3345700
2010-04-16,12.88,12.88,12.58,12.72,9.388,4540700
2010-04-19,12.57,12.81,12.45,12.7,9.37324,3787700
2010-04-20,12.81,13.1,12.81,13.08,9.653695,2672600
2010-04-21,13.2,13.49,12.83,13.11,9.675838,4491500
2010-04-22,12.8,13.33,12.41,13.19,9.734883,7965300
2010-04-23,13.2,13.29,12.85,13.2,9.742265,4977100
2010-04-26,13.14,13.89,13.14,13.62,10.052243,5475400
2010-04-27,13.58,13.75,13.31,13.32,9.830831,4735900
