Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.4,2.44,2.35,2.44,1.111655,2800
2010-01-05,2.43,2.49,2.43,2.48,1.129879,6700
2010-01-06,2.99,2.99,2.86,2.99,1.362233,2300
2010-01-07,2.82,4.3,2.76,4.0,1.822385,17000
2010-01-08,4.55,4.6,3.82,3.9,1.776825,29700
2010-01-11,3.81,3.95,3.15,3.92,1.785937,2400
2010-01-12,3.95,4.33,3.75,4.3,1.959063,35100
2010-01-13,4.27,4.3,4.27,4.3,1.959063,27100
2010-01-14,4.3,4.3,4.1,4.3,1.959063,9000
2010-01-15,4.49,4.49,4.02,4.3,1.959063,4600
2010-01-19,4.36,4.44,4.05,4.17,1.899836,5300
2010-01-20,4.19,4.49,4.06,4.1,1.867945,11000
2010-01-21,4.1,4.1,4.04,4.04,1.840609,4700
2010-01-22,4.01,4.01,3.9,3.99,1.817829,8200
2010-01-25,3.9,4.0,3.9,3.9,1.776825,5300
2010-01-26,4.0,4.0,3.99,4.0,1.822385,10900
2010-01-27,4.01,4.03,4.0,4.03,1.836053,8200
2010-01-28,4.1,4.1,4.1,4.1,1.867945,500
2010-01-29,4.1,4.1,3.92,3.92,1.785937,44400
2010-02-01,3.91,3.91,3.9,3.9,1.776825,1900
2010-02-02,3.9,3.9,3.9,3.9,1.776825,0
2010-02-03,3.9,3.9,3.7,3.74,1.70393,1600
2010-02-04,3.74,3.74,3.74,3.74,1.70393,0
2010-02-05,3.9,3.9,3.5,3.5,1.594587,6000
2010-02-08,3.5,3.5,3.5,3.5,1.594587,0
2010-02-09,3.72,3.75,3.72,3.75,1.708486,300
2010-02-10,4.02,4.04,4.01,4.04,1.840609,800
2010-02-11,3.71,3.74,3.5,3.5,1.594587,6600
2010-02-12,3.6,3.7,3.6,3.7,1.685706,1400
2010-02-16,3.7,3.7,3.7,3.7,1.685706,0
2010-02-17,3.7,3.7,3.7,3.7,1.685706,0
2010-02-18,3.94,3.94,3.94,3.94,1.79505,300
2010-02-19,3.94,3.94,3.94,3.94,1.79505,0
2010-02-22,3.94,3.94,3.94,3.94,1.79505,0
2010-02-23,3.94,3.94,3.94,3.94,1.79505,0
2010-02-24,4.03,4.03,3.6,3.6,1.640146,2700
2010-02-25,3.72,3.73,3.69,3.72,1.694818,13300
2010-02-26,3.72,3.72,3.72,3.72,1.694818,0
2010-03-01,3.72,3.72,3.72,3.72,1.694818,0
2010-03-02,3.72,3.72,3.72,3.72,1.694818,0
2010-03-03,3.72,3.72,3.72,3.72,1.694818,0
2010-03-04,3.99,4.07,3.99,4.05,1.845165,1800
2010-03-05,3.76,4.02,3.5,4.0,1.822385,9900
2010-03-08,3.7,3.71,3.7,3.7,1.685706,1000
2010-03-09,3.7,3.7,3.7,3.7,1.685706,0
2010-03-10,4.03,4.03,4.03,4.03,1.836053,400
2010-03-11,4.03,4.03,4.03,4.03,1.836053,0
2010-03-12,4.03,4.03,4.03,4.03,1.836053,0
2010-03-15,4.03,4.03,4.03,4.03,1.836053,0
2010-03-16,4.03,4.03,4.03,4.03,1.836053,0
2010-03-17,4.03,4.03,4.03,4.03,1.836053,0
2010-03-18,4.0,4.0,3.99,4.0,1.822385,1900
2010-03-19,4.01,4.01,4.0,4.01,1.826941,1900
2010-03-22,3.9,3.9,3.9,3.9,1.776825,1000
2010-03-23,3.76,4.25,3.76,4.25,1.936284,20400
2010-03-24,4.25,4.25,4.25,4.25,1.936284,1000
2010-03-25,4.25,4.25,4.25,4.25,1.936284,0
2010-03-26,4.05,4.05,4.05,4.05,1.845165,100
2010-03-29,4.05,4.05,4.05,4.05,1.845165,0
2010-03-30,4.05,4.05,4.05,4.05,1.845165,0
2010-03-31,4.25,4.25,4.0,4.0,1.822385,6000
2010-04-01,4.0,4.0,4.0,4.0,1.822385,0
2010-04-05,4.0,4.0,4.0,4.0,1.822385,0
2010-04-06,4.0,4.0,4.0,4.0,1.822385,0
2010-04-07,4.0,4.0,4.0,4.0,1.822385,0
2010-04-08,4.0,4.0,4.0,4.0,1.822385,0
2010-04-09,4.01,4.01,3.81,4.0,1.822385,10900
2010-04-12,3.95,3.97,3.95,3.95,1.799605,1300
2010-04-13,3.8,4.0,3.8,4.0,1.822385,1100
2010-04-14,3.8,3.81,3.8,3.81,1.735821,500
2010-04-15,3.81,3.81,3.81,3.81,1.735821,0
2010-04-16,3.81,3.81,3.81,3.81,1.735821,0
2010-04-19,4.3,4.3,4.2,4.2,1.913504,2500
2010-04-20,3.8,3.91,3.78,3.78,1.722154,3400
2010-04-21,3.9,3.9,3.9,3.9,1.776825,600
2010-04-22,3.9,3.9,3.9,3.9,1.776825,3700
2010-04-23,4.09,4.25,4.06,4.25,1.936284,17700
2010-04-26,4.2,4.2,4.2,4.2,1.913504,5000
2010-04-27,4.24,4.24,4.24,4.24,1.931728,600
2010-04-28,4.24,4.24,4.24,4.24,1.931728,0
2010-04-29,4.24,4.24,4.24,4.24,1.931728,0
2010-04-30,4.24,4.5,4.24,4.25,1.936284,1400
2010-05-03,4.25,4.25,4.25,4.25,1.936284,0
2010-05-04,4.0,4.04,4.0,4.0,1.822385,800
2010-05-05,4.0,4.0,4.0,4.0,1.822385,0
2010-05-06,4.35,4.38,3.9,3.9,1.776825,3500
2010-05-07,3.9,3.9,3.9,3.9,1.776825,0
2010-05-10,3.9,3.9,3.9,3.9,1.776825,0
