Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.28,9.51,9.1,9.46,6.065657,155500
2010-01-05,9.42,9.46,9.16,9.26,5.937419,138500
2010-01-06,9.21,9.26,9.07,9.2,5.898947,211800
2010-01-07,9.16,9.27,9.02,9.26,5.937419,113400
2010-01-08,9.26,9.56,9.25,9.56,6.129776,122000
2010-01-11,9.51,9.51,9.31,9.35,5.995125,80700
2010-01-12,8.97,8.99,8.66,8.75,5.610411,365300
2010-01-13,8.81,8.95,8.7,8.85,5.674531,114200
2010-01-14,8.8,8.91,8.71,8.85,5.674531,70300
2010-01-15,8.89,8.92,8.35,8.43,5.405231,294900
2010-01-19,8.43,8.7,8.36,8.42,5.398818,173000
2010-01-20,8.32,8.35,8.2,8.28,5.309052,280900
2010-01-21,8.3,8.4,8.12,8.33,5.341111,249000
2010-01-22,8.3,8.4,8.15,8.17,5.238522,165800
2010-01-25,8.25,8.25,8.07,8.11,5.200049,114400
2010-01-26,8.11,8.13,8.0,8.07,5.174402,146500
2010-01-27,8.03,8.19,7.95,8.16,5.23211,96700
2010-01-28,8.16,8.16,7.84,7.98,5.116695,155800
2010-01-29,7.99,8.05,7.78,7.81,5.007694,209500
2010-02-01,7.83,7.93,7.65,7.73,4.956399,195700
2010-02-02,7.76,7.78,7.56,7.72,4.949986,200400
2010-02-03,7.7,7.8,7.53,7.68,4.924338,149700
2010-02-04,7.6,7.63,7.42,7.42,4.757629,192700
2010-02-05,7.46,7.52,7.25,7.38,4.731982,140000
2010-02-08,7.38,7.44,7.24,7.24,4.642216,141600
2010-02-09,7.34,7.42,7.28,7.37,4.725569,174900
2010-02-10,7.35,7.42,7.23,7.27,4.661451,166600
2010-02-11,7.27,7.42,7.2,7.41,4.751216,275600
2010-02-12,7.32,7.41,7.25,7.41,4.751216,271700
2010-02-16,7.45,7.61,7.41,7.51,4.815337,141300
2010-02-17,7.69,7.9,7.45,7.54,4.834572,163300
2010-02-18,7.51,7.59,7.26,7.32,4.69351,145300
2010-02-19,7.32,7.49,7.29,7.44,4.770452,330400
