Date,Open,High,Low,Close,Adj Close,Volume
2018-05-15,19.940001,20.0,19.9,19.9,19.80695,19300
2018-05-16,20.1,20.1,19.91,19.968,19.874634,94400
2018-05-17,20.15,20.15,19.93,19.993,19.899517,1331400
2018-05-18,19.85,20.030001,19.799999,20.0,19.906481,17000
2018-05-21,20.158001,20.16,20.063,20.099001,20.005022,11600
2018-05-22,20.110001,20.15,20.040001,20.058001,19.964212,24800
2018-05-23,20.5,20.5,19.93,20.027,19.933357,25700
2018-05-24,20.1,20.139999,19.969999,20.117001,20.022936,11900
2018-05-25,20.059999,20.110001,20.059999,20.08,19.986111,1100
2018-05-29,20.0,20.040001,19.82,19.916,19.822878,11700
2018-05-30,20.139999,20.177999,20.125999,20.16,20.065737,3000
2018-05-31,20.134001,20.134001,20.014999,20.07,19.976156,12000
2018-06-01,20.24,20.34,20.209999,20.309999,20.215034,7200
2018-06-04,20.360001,20.43,20.332001,20.43,20.334475,12100
2018-06-05,20.559,20.559,20.474001,20.540001,20.44396,15300
2018-06-06,20.6,21.02,20.548,20.697001,20.600225,7700
2018-06-07,20.57,20.57,20.370001,20.540001,20.44396,18100
2018-06-08,20.48,20.629999,20.48,20.629999,20.533537,6800
2018-06-11,20.73,20.73,20.639999,20.639999,20.543489,5800
2018-06-12,20.780001,20.780001,20.68,20.75,20.652975,43400
2018-06-13,20.815001,20.84,20.75,20.75,20.652975,28100
2018-06-14,20.83,20.84,20.780001,20.790001,20.692791,6100
2018-06-15,20.655001,20.76,20.655001,20.754999,20.657953,5200
2018-06-18,20.75,20.860001,20.73,20.860001,20.762463,3800
2018-06-19,20.540001,20.719,20.5,20.709999,20.613161,7200
2018-06-20,20.870001,20.9,20.860001,20.879999,20.782368,17400
2018-06-21,20.860001,20.860001,20.684999,20.700001,20.60321,10900
2018-06-22,20.66,20.66,20.51,20.51,20.414099,2600
2018-06-25,20.5,20.5,19.93,20.040001,19.946297,134800
2018-06-26,20.049999,20.139999,20.044001,20.120001,20.025923,25000
2018-06-27,20.129999,20.129999,19.785,19.789,19.696468,7700
2018-06-28,19.789,19.789,19.789,19.789,19.696468,0
2018-06-29,20.059999,20.059999,20.0,20.0,19.906481,2700
2018-07-02,19.82,20.030001,19.82,20.023001,19.929379,22800
2018-07-03,20.299999,20.299999,20.0,20.0,19.906481,9600
2018-07-05,20.23,20.23,20.02,20.125,20.030899,16300
