Date,Open,High,Low,Close,Adj Close,Volume
2018-03-05,19.620001,19.863001,19.620001,19.863001,19.284317,47100
2018-03-06,20.4,20.4,19.969999,20.040001,19.45616,26700
2018-03-07,20.0,20.09,19.99,20.086,19.50082,25100
2018-03-08,20.290001,20.309999,20.16,20.200001,19.611498,23300
2018-03-09,20.25,20.440001,20.25,20.440001,19.844507,31200
2018-03-12,20.540001,20.559999,20.440001,20.49,19.893047,14800
2018-03-13,20.620001,20.620001,20.24,20.24,19.650331,33100
2018-03-14,20.33,20.35,20.219999,20.285,19.694021,28900
2018-03-15,20.34,20.4,20.33,20.34,19.747419,30300
2018-03-16,20.25,20.309999,20.219999,20.26,19.66975,35400
2018-03-19,20.15,20.209999,20.0,20.0,19.417326,21900
2018-03-20,20.280001,20.35,20.280001,20.309999,19.718292,21000
2018-03-21,20.35,20.450001,20.35,20.43,19.834797,24600
2018-03-22,20.08,20.08,19.75,19.799999,19.22315,22100
2018-03-23,19.799999,19.799999,19.379999,19.379999,18.815386,16900
2018-03-26,19.743999,19.812,19.58,19.812,19.234802,27800
2018-03-27,19.959999,19.969999,19.530001,19.530001,18.96102,28500
2018-03-28,19.6,19.6,19.41,19.5,18.93189,23500
2018-03-29,19.5,19.67,19.409,19.639999,19.067814,24800
2018-04-02,19.610001,19.610001,19.200001,19.290001,18.72801,43800
2018-04-03,19.4,19.42,19.25,19.290001,18.72801,22500
2018-04-04,19.139999,19.395,19.139999,19.395,18.82995,41100
2018-04-05,19.76,19.790001,19.67,19.712999,19.138685,22900
2018-04-06,19.667,19.709999,19.474001,19.474001,18.906649,26200
2018-04-09,19.73,19.790001,19.729,19.766001,19.190142,21800
2018-04-10,19.794001,19.879999,19.780001,19.879999,19.300819,29300
2018-04-11,19.92,19.959999,19.9,19.9,19.320238,26600
2018-04-12,19.962,19.99,19.9,19.9,19.320238,20400
2018-04-13,19.860001,19.860001,19.728001,19.728001,19.15325,22000
2018-04-16,19.790001,19.790001,19.65,19.73,19.155191,190600
2018-04-17,19.76,19.950001,19.76,19.9,19.320238,28500
2018-04-18,19.950001,20.138,19.889999,20.120001,19.533829,30100
2018-04-19,20.18,20.190001,19.969999,20.01,19.427034,32300
2018-04-20,19.92,19.92,19.879999,19.889,19.309559,20800
2018-04-23,19.85,19.85,19.77,19.790001,19.213444,31000
2018-04-24,19.91,19.91,19.52,19.67,19.096939,78200
2018-04-25,19.469999,19.51,19.379999,19.459999,18.893055,26000
2018-04-26,19.610001,19.67,19.610001,19.66,19.087229,28700
2018-04-27,19.700001,19.780001,19.700001,19.780001,19.203735,32000
2018-04-30,19.84,19.84,19.709999,19.719999,19.145481,29200
2018-05-01,19.610001,19.709999,19.610001,19.709999,19.135773,30700
2018-05-02,19.75,19.75,19.690001,19.700001,19.126066,24300
2018-05-03,19.34,19.549999,19.34,19.549999,18.980434,23000
2018-05-04,19.450001,19.74,19.440001,19.74,19.164898,25700
2018-05-07,19.870001,19.950001,19.809999,19.84,19.261986,28200
2018-05-08,19.73,19.799999,19.73,19.799999,19.22315,63000
2018-05-09,19.940001,19.940001,19.82,19.847,19.268782,34000
2018-05-10,20.01,20.07,20.01,20.049999,19.465866,25600
2018-05-11,20.120001,20.120001,20.0,20.0,19.417326,30100
2018-05-14,20.18,20.190001,20.1,20.1,19.514412,30000
2018-05-15,20.190001,20.219999,20.110001,20.146999,19.560041,26300
2018-05-16,20.34,20.409,20.299999,20.409,19.814409,20600
