Date,Open,High,Low,Close,Adj Close,Volume
2013-02-22,15.0,17.0,15.0,17.0,17.0,4000
2013-02-25,17.0,17.1,17.0,17.1,17.1,700
2013-02-26,17.200001,17.4,15.0,17.4,17.4,13000
2013-02-27,18.5,34.0,18.5,34.0,34.0,700
2013-02-28,32.5,32.5,20.1,22.0,22.0,400
2013-03-01,22.0,22.0,20.5,21.0,21.0,300
2013-03-04,21.0,21.0,21.0,21.0,21.0,0
2013-03-05,21.0,21.0,21.0,21.0,21.0,0
2013-03-06,22.5,30.0,22.5,24.5,24.5,1000
2013-03-07,25.0,25.0,24.5,24.5,24.5,400
2013-03-08,24.5,24.5,24.5,24.5,24.5,0
2013-03-11,22.5,22.5,22.5,22.5,22.5,200
2013-03-12,21.0,21.0,18.0,18.0,18.0,1400
2013-03-13,22.5,22.5,22.5,22.5,22.5,0
2013-03-14,20.0,20.0,18.5,18.5,18.5,300
2013-03-15,18.6,22.4,15.0,19.9,19.9,7700
2013-03-18,16.799999,19.9,16.0,19.9,19.9,2700
2013-03-19,16.700001,16.700001,15.0,15.9,15.9,9400
2013-03-20,15.2,16.0,15.0,15.0,15.0,300
2013-03-21,15.0,15.0,12.5,14.0,14.0,3400
2013-03-22,13.2,14.9,13.0,14.0,14.0,5600
2013-03-25,14.7,14.7,14.5,14.6,14.6,5800
2013-03-26,14.7,15.5,14.5,15.5,15.5,7100
2013-03-27,15.0,15.6,15.0,15.6,15.6,400
2013-03-28,15.7,15.7,14.7,15.4,15.4,1300
2013-04-01,15.6,16.5,15.6,16.5,16.5,4000
2013-04-02,16.5,17.0,15.7,17.0,17.0,800
2013-04-03,17.0,17.5,16.700001,17.5,17.5,1600
2013-04-04,17.5,17.5,17.5,17.5,17.5,4500
2013-04-05,18.0,18.0,18.0,18.0,18.0,300
2013-04-08,18.0,18.0,18.0,18.0,18.0,0
2013-04-09,18.0,19.0,17.5,18.5,18.5,11400
2013-04-10,19.0,19.0,18.700001,18.700001,18.700001,700
2013-04-11,18.6,18.6,18.6,18.6,18.6,1600
2013-04-12,18.5,18.5,18.5,18.5,18.5,2300
2013-04-15,18.4,18.6,18.4,18.5,18.5,2600
2013-04-16,18.5,18.5,18.5,18.5,18.5,0
2013-04-17,18.5,19.0,18.5,19.0,19.0,100
2013-04-18,19.0,19.0,19.0,19.0,19.0,0
2013-04-19,19.0,19.0,19.0,19.0,19.0,200
2013-04-22,19.0,19.0,19.0,19.0,19.0,0
2013-04-23,19.0,19.0,19.0,19.0,19.0,0
2013-04-24,19.0,21.1,19.0,19.200001,19.200001,5700
2013-04-25,20.4,20.5,20.0,20.5,20.5,100
2013-04-26,20.5,20.5,20.5,20.5,20.5,0
2013-04-29,20.5,20.5,20.5,20.5,20.5,0
2013-04-30,20.5,20.5,19.200001,20.5,20.5,1600
2013-05-01,20.5,20.5,20.5,20.5,20.5,0
2013-05-02,19.5,19.5,19.4,19.4,19.4,100
2013-05-03,19.0,19.799999,19.0,19.5,19.5,500
2013-05-06,19.5,19.5,19.5,19.5,19.5,300
2013-05-07,19.700001,20.9,19.700001,20.9,20.9,5400
2013-05-08,20.5,20.5,19.5,19.6,19.6,3000
2013-05-09,22.4,22.4,22.4,22.4,22.4,1100
2013-05-10,22.0,22.0,22.0,22.0,22.0,0
2013-05-13,22.4,22.4,22.4,22.4,22.4,1000
2013-05-14,22.5,22.5,22.5,22.5,22.5,700
2013-05-15,23.0,23.0,20.200001,22.4,22.4,2000
2013-05-16,22.4,22.4,22.4,22.4,22.4,1100
2013-05-17,20.0,24.799999,20.0,24.5,24.5,1300
2013-05-20,21.0,21.0,21.0,21.0,21.0,500
2013-05-21,21.0,21.0,21.0,21.0,21.0,0
2013-05-22,21.0,21.0,19.4,20.0,20.0,2000
2013-05-23,20.0,22.5,20.0,20.0,20.0,800
2013-05-24,21.0,21.5,20.0,21.5,21.5,7600
2013-05-28,21.9,21.9,21.9,21.9,21.9,100
2013-05-29,22.5,22.5,21.0,21.0,21.0,800
2013-05-30,22.5,22.5,22.5,22.5,22.5,500
2013-05-31,24.0,24.0,22.5,23.0,23.0,800
2013-06-03,23.5,23.5,23.299999,23.299999,23.299999,1000
2013-06-04,23.9,23.9,15.5,19.5,19.5,700
2013-06-05,20.0,21.0,20.0,21.0,21.0,0
2013-06-06,21.0,21.0,21.0,21.0,21.0,0
2013-06-07,20.0,22.0,20.0,20.0,20.0,200
2013-06-10,20.0,20.0,20.0,20.0,20.0,500
2013-06-11,20.0,20.0,20.0,20.0,20.0,0
2013-06-12,20.0,20.0,20.0,20.0,20.0,0
2013-06-13,20.0,20.0,20.0,20.0,20.0,0
2013-06-14,20.0,22.0,20.0,22.0,22.0,0
2013-06-17,22.0,22.0,22.0,22.0,22.0,0
2013-06-18,20.0,20.0,20.0,20.0,20.0,0
2013-06-19,20.0,20.0,20.0,20.0,20.0,0
2013-06-20,22.0,22.0,22.0,22.0,22.0,0
2013-06-21,18.6,21.0,16.1,21.0,21.0,200
2013-06-24,21.0,21.0,21.0,21.0,21.0,0
