Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.14,2.21,2.11,2.2,2.2,45694
2010-01-05,2.22,2.22,2.13,2.15,2.15,61759
2010-01-06,2.15,2.15,2.09,2.11,2.11,189943
2010-01-07,2.12,2.12,2.0,2.1,2.1,686188
2010-01-08,2.12,2.39,2.12,2.38,2.38,670494
2010-01-11,2.44,2.56,2.4,2.43,2.43,560511
2010-01-12,2.48,2.48,2.35,2.39,2.39,134275
2010-01-13,2.37,2.49,2.33,2.44,2.44,131792
2010-01-14,2.5,2.5,2.37,2.43,2.43,193542
2010-01-15,2.44,2.44,2.36,2.41,2.41,96366
2010-01-19,2.45,2.65,2.45,2.57,2.57,389796
2010-01-20,2.59,2.67,2.57,2.62,2.62,268432
2010-01-21,2.6,2.64,2.57,2.62,2.62,61464
2010-01-22,2.57,2.58,2.5,2.5,2.5,138179
2010-01-25,2.45,2.48,2.37,2.39,2.39,56672
2010-01-26,2.38,2.44,2.32,2.38,2.38,80581
2010-01-27,2.36,2.44,2.35,2.37,2.37,36223
2010-01-28,2.43,2.45,2.39,2.43,2.43,34843
2010-01-29,2.43,2.43,2.37,2.42,2.42,13603
2010-02-01,2.37,2.42,2.33,2.39,2.39,41390
2010-02-02,2.4,2.4,2.31,2.31,2.31,53678
2010-02-03,2.29,2.29,2.21,2.22,2.22,100980
2010-02-04,2.22,2.22,2.12,2.12,2.12,92728
2010-02-05,2.13,2.13,2.0,2.12,2.12,176342
2010-02-08,2.15,2.16,2.07,2.1,2.1,43411
2010-02-09,2.11,2.17,2.1,2.16,2.16,33166
2010-02-10,2.2,2.2,2.16,2.16,2.16,50639
2010-02-11,2.16,2.16,2.1,2.14,2.14,19860
2010-02-12,2.11,2.18,2.08,2.18,2.18,48500
2010-02-16,2.19,2.27,2.17,2.25,2.25,71358
2010-02-17,2.28,2.32,2.25,2.27,2.27,47458
2010-02-18,2.26,2.28,2.16,2.21,2.21,86937
2010-02-19,2.14,2.19,2.14,2.16,2.16,45820
2010-02-22,2.19,2.19,2.14,2.14,2.14,60932
2010-02-23,2.15,2.17,2.1,2.11,2.11,76885
2010-02-24,2.11,2.11,2.05,2.09,2.09,59204
2010-02-25,2.06,2.25,2.06,2.16,2.16,148204
2010-02-26,2.16,2.22,2.16,2.22,2.22,32783
2010-03-01,2.24,2.24,2.1,2.1,2.1,109749
2010-03-02,2.11,2.15,2.11,2.14,2.14,26103
2010-03-03,2.14,2.17,2.07,2.07,2.07,174362
2010-03-04,2.09,2.15,2.08,2.09,2.09,108796
2010-03-05,2.14,2.14,2.09,2.1,2.1,61472
2010-03-08,2.14,2.16,2.09,2.16,2.16,83719
2010-03-09,2.16,2.16,2.12,2.16,2.16,27686
2010-03-10,2.16,2.41,2.13,2.38,2.38,388655
2010-03-11,2.38,2.46,2.33,2.36,2.36,314278
2010-03-12,2.4,2.51,2.38,2.46,2.46,332673
2010-03-15,2.55,2.62,2.5,2.56,2.56,289533
2010-03-16,2.56,2.59,2.51,2.54,2.54,101037
2010-03-17,2.59,2.76,2.56,2.68,2.68,425012
2010-03-18,2.44,2.52,2.35,2.38,2.38,927795
2010-03-19,2.37,2.37,2.24,2.27,2.27,265386
2010-03-22,2.27,2.27,2.17,2.23,2.23,129801
2010-03-23,2.23,2.3,2.23,2.28,2.28,59556
2010-03-24,2.29,2.37,2.28,2.3,2.3,106729
2010-03-25,2.36,2.39,2.3,2.34,2.34,63553
2010-03-26,2.35,2.37,2.33,2.36,2.36,52042
2010-03-29,2.36,2.38,2.32,2.34,2.34,16530
2010-03-30,2.32,2.35,2.25,2.3,2.3,26857
2010-03-31,2.31,2.31,2.25,2.27,2.27,30774
2010-04-01,2.27,2.28,2.23,2.27,2.27,22398
2010-04-06,2.27,2.27,2.19,2.25,2.25,110592
2010-04-07,2.22,2.25,2.21,2.24,2.24,21803
2010-04-08,2.24,2.24,2.17,2.21,2.21,28180
2010-04-09,2.21,2.27,2.21,2.26,2.26,33235
2010-04-12,2.26,2.27,2.23,2.27,2.27,34149
2010-04-13,2.3,2.3,2.25,2.26,2.26,23114
2010-04-14,2.26,2.36,2.26,2.32,2.32,81423
2010-04-15,2.34,2.47,2.34,2.42,2.42,137290
2010-04-16,2.45,2.47,2.4,2.41,2.41,69076
2010-04-19,2.36,2.36,2.26,2.28,2.28,74637
2010-04-20,2.28,2.37,2.28,2.36,2.36,77975
2010-04-21,2.35,2.35,2.25,2.32,2.32,36686
2010-04-22,2.32,2.32,2.26,2.27,2.27,25707
2010-04-23,2.26,2.32,2.26,2.32,2.32,44158
2010-04-26,2.32,2.49,2.32,2.48,2.48,184550
2010-04-27,2.5,2.5,2.4,2.43,2.43,45507
2010-04-28,2.37,2.38,2.31,2.38,2.38,37323
2010-04-29,2.38,2.4,2.37,2.39,2.39,13287
2010-04-30,2.41,2.41,2.39,2.39,2.39,10908
2010-05-04,2.36,2.36,2.29,2.32,2.32,30604
2010-05-05,2.28,2.28,2.07,2.19,2.19,146416
2010-05-06,2.19,2.27,2.12,2.25,2.25,55475
2010-05-07,2.2,2.2,2.15,2.19,2.19,54791
2010-05-10,2.21,2.3,2.17,2.28,2.28,44939
2010-05-11,2.31,2.31,2.25,2.29,2.29,14387
2010-05-12,2.2,2.25,2.1,2.2,2.2,114237
2010-05-13,2.2,2.22,2.18,2.22,2.22,18364
2010-05-14,2.2,2.2,2.12,2.17,2.17,37666
2010-05-17,2.18,2.18,2.1,2.15,2.15,23196
2010-05-18,2.12,2.18,2.12,2.15,2.15,11353
2010-05-19,2.12,2.12,2.07,2.12,2.12,36456
2010-05-20,2.1,2.1,2.02,2.07,2.07,25257
2010-05-21,1.99,2.05,1.97,2.04,2.04,67384
2010-05-24,2.05,2.07,2.02,2.05,2.05,9869
2010-05-25,2.01,2.01,1.9,1.96,1.96,44834
2010-05-26,1.97,2.05,1.97,2.05,2.05,26572
2010-05-27,2.05,2.05,2.0,2.04,2.04,18887
2010-05-28,2.05,2.07,2.03,2.07,2.07,13065
2010-06-01,2.08,2.08,2.0,2.03,2.03,20822
2010-06-02,1.97,2.02,1.97,2.02,2.02,31656
