Date,Open,High,Low,Close,Adj Close,Volume
2016-03-10,24.799999,24.93,24.799999,24.879999,19.908131,1138000
2016-03-11,24.9,24.950001,24.879999,24.879999,19.908131,894300
2016-03-14,24.98,24.98,24.870001,24.889999,19.916136,832600
2016-03-15,24.85,24.950001,24.82,24.83,19.868124,813600
2016-03-16,24.860001,24.9,24.83,24.9,19.924137,605900
2016-03-17,24.9,24.98,24.9,24.940001,19.956146,479600
2016-03-18,24.969999,25.030001,24.940001,24.98,19.988153,687700
2016-03-21,24.99,25.01,24.969999,24.99,19.996153,709800
2016-03-22,25.0,25.024,24.98,25.0,20.004152,798000
2016-03-23,25.01,25.02,24.959999,24.99,19.996153,434400
2016-03-24,24.99,25.049999,24.950001,25.01,20.012156,518300
2016-03-28,25.09,25.09,25.0,25.040001,20.036158,435200
2016-03-29,25.040001,25.08,25.0,25.040001,20.036158,482000
2016-03-30,25.059999,25.07,24.99,25.01,20.012156,834600
2016-03-31,25.030001,25.25,25.0,25.200001,20.16419,1439700
2016-04-01,25.190001,25.23,25.1,25.15,20.12418,477000
2016-04-04,25.18,25.18,24.969999,25.030001,20.028158,502100
2016-04-05,25.040001,25.049999,24.959999,25.030001,20.028158,434800
2016-04-06,25.07,25.18,25.049999,25.129999,20.108177,340100
2016-04-07,25.16,25.200001,25.040001,25.09,20.076166,326800
2016-04-08,25.15,25.24,25.1,25.200001,20.16419,256600
2016-04-11,25.24,25.27,25.181,25.219999,20.180193,268900
2016-04-12,25.219999,25.290001,25.190001,25.25,20.204193,372300
2016-04-13,25.17,25.200001,25.08,25.190001,20.364267,357200
2016-04-14,25.200001,25.35,25.16,25.280001,20.437023,415600
2016-04-15,25.389999,25.389999,25.290001,25.389999,20.525948,231500
2016-04-18,25.450001,25.530001,25.25,25.290001,20.445107,547500
2016-04-19,25.370001,25.450001,25.24,25.290001,20.445107,416000
2016-04-20,25.370001,25.41,25.291,25.389999,20.525948,315300
2016-04-21,25.389999,25.65,25.35,25.459999,20.582537,375800
2016-04-22,25.59,25.59,25.5,25.58,20.679552,162500
2016-04-25,25.68,25.73,25.5,25.5,20.61488,316800
2016-04-26,25.59,25.639999,25.427999,25.5,20.61488,319800
2016-04-27,25.549999,25.620001,25.5,25.6,20.695715,295900
2016-04-28,25.65,25.889999,25.610001,25.780001,20.841238,240600
2016-04-29,25.85,25.889999,25.700001,25.700001,20.776562,213600
2016-05-02,25.82,25.889999,25.75,25.879999,20.922077,232200
2016-05-03,25.950001,25.950001,25.794001,25.889999,20.930161,231400
