Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.590686,3.647876,3.586601,3.635621,3.458601,48400
2010-01-05,3.615196,3.615196,3.574346,3.574346,3.40031,856000
2010-01-06,3.574346,3.643791,3.574346,3.615196,3.439171,149800
2010-01-07,3.586601,3.639706,3.574346,3.615196,3.439171,32800
2010-01-08,3.619281,3.647876,3.615196,3.635621,3.458601,10200
2010-01-11,3.660131,3.660131,3.594771,3.598856,3.423627,28600
2010-01-12,3.594771,3.615196,3.578431,3.602941,3.427513,30300
2010-01-13,3.586601,3.635621,3.586601,3.615196,3.439171,13200
2010-01-14,3.598856,3.660131,3.594771,3.631536,3.454715,19500
2010-01-15,3.647876,3.651961,3.611111,3.615196,3.439171,90300
2010-01-19,3.615196,3.660131,3.611111,3.627451,3.450829,62600
2010-01-20,3.619281,3.71732,3.619281,3.696895,3.516892,71700
2010-01-21,3.71732,3.71732,3.668301,3.672386,3.493577,188900
2010-01-22,3.676471,3.778595,3.656046,3.778595,3.594614,121900
2010-01-25,3.786765,3.835784,3.713235,3.794935,3.610158,99100
2010-01-26,3.77451,3.811275,3.762255,3.794935,3.610158,30100
2010-01-27,3.76634,3.811275,3.74183,3.78268,3.5985,122400
2010-01-28,3.79902,3.941993,3.77451,3.856209,3.668449,200700
2010-01-29,3.909314,3.937908,3.864379,3.888889,3.699538,55800
2010-02-01,3.888889,3.888889,3.78268,3.835784,3.649019,50100
2010-02-02,3.835784,3.892974,3.78268,3.811275,3.625703,66500
2010-02-03,3.803105,3.835784,3.786765,3.794935,3.610158,63400
2010-02-04,3.794935,3.848039,3.794935,3.803105,3.61793,51800
2010-02-05,3.807189,3.876634,3.78268,3.872549,3.683994,38400
2010-02-08,3.848039,3.860294,3.807189,3.835784,3.649019,43500
2010-02-09,3.864379,3.864379,3.807189,3.827614,3.641246,17800
2010-02-10,3.803105,3.888889,3.803105,3.868464,3.680107,48700
2010-02-11,3.868464,3.970588,3.860294,3.946079,3.753942,71700
2010-02-12,3.909314,4.031863,3.872549,4.023693,3.827777,86100
2010-02-16,4.023693,4.048203,3.954248,4.035948,3.839436,90800
2010-02-17,4.035948,4.068627,4.019608,4.068627,3.870524,25900
2010-02-18,4.052288,4.084967,3.941993,4.084967,3.886069,22700
