Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.86,8.0,7.75,8.0,6.959302,27700
2010-01-05,7.96,7.96,7.51,7.62,6.628736,24300
2010-01-06,7.61,7.74,7.53,7.65,6.654833,29500
2010-01-07,7.66,7.88,7.66,7.72,6.715727,13500
2010-01-08,7.7,7.91,7.7,7.91,6.881011,17300
2010-01-11,7.96,8.17,7.77,8.09,7.037594,41800
2010-01-12,7.97,8.19,7.92,8.05,7.002796,21100
2010-01-13,8.05,8.1,7.9,8.0,6.959302,13100
2010-01-14,7.98,9.28,7.81,9.22,8.020597,157000
2010-01-15,9.28,9.28,8.75,9.23,8.029298,67400
2010-01-19,9.25,9.74,9.02,9.72,8.455552,38100
2010-01-20,9.65,9.65,9.09,9.29,8.081491,17300
2010-01-21,9.34,9.6,9.21,9.31,8.09889,56800
2010-01-22,9.35,9.54,9.16,9.25,8.046692,21200
2010-01-25,9.35,9.35,9.04,9.16,7.968402,33600
2010-01-26,9.14,9.33,8.76,8.76,7.620438,61000
2010-01-27,8.8,9.12,8.8,9.0,7.829217,44800
2010-01-28,9.03,9.23,8.95,9.11,7.924906,26300
2010-01-29,9.15,9.34,9.0,9.34,8.124985,39200
2010-02-01,9.35,9.39,9.0,9.31,8.09889,27400
2010-02-02,9.38,9.38,9.07,9.11,7.924906,26400
2010-02-03,9.06,9.08,8.85,9.0,7.829217,43100
2010-02-04,8.93,9.19,8.43,8.71,7.57694,45700
2010-02-05,8.72,8.82,8.52,8.71,7.57694,14500
2010-02-08,8.7,8.7,8.41,8.41,7.315966,15700
2010-02-09,8.59,8.78,8.38,8.64,7.516047,14600
2010-02-10,8.57,8.57,8.34,8.54,7.429055,14100
2010-02-11,8.5,8.51,8.41,8.49,7.385559,9500
2010-02-12,8.4,8.55,8.3,8.36,7.272468,16700
2010-02-16,8.45,8.89,8.0,8.85,7.698729,38900
2010-02-17,8.91,9.22,8.53,9.1,7.916208,20300
2010-02-18,9.06,9.18,9.01,9.13,7.942303,14400
2010-02-19,9.12,9.25,9.08,9.19,7.994498,21000
2010-02-22,9.19,9.25,9.15,9.25,8.046692,10600
2010-02-23,9.23,9.4,8.96,9.34,8.124985,26200
2010-02-24,9.3,9.34,9.07,9.23,8.029298,11100
2010-02-25,9.07,9.07,8.62,8.89,7.733523,17100
2010-02-26,8.92,9.13,8.57,8.57,7.455153,33700
2010-03-01,8.77,9.05,8.63,9.01,7.837913,13900
2010-03-02,9.0,9.39,8.95,9.33,8.116284,22300
2010-03-03,9.23,9.33,9.06,9.31,8.09889,14500
2010-03-04,9.3,9.3,9.2,9.22,8.020597,7400
2010-03-05,9.26,9.3,9.18,9.21,8.011896,33000
2010-03-08,9.16,9.21,8.91,9.14,7.951003,13900
2010-03-09,9.11,9.25,8.95,9.1,7.916208,33600
2010-03-10,9.08,9.4,9.08,9.4,8.17718,58100
2010-03-11,9.29,9.41,9.2,9.41,8.232298,10900
2010-03-12,9.42,9.43,9.27,9.28,8.118565,8400
2010-03-15,9.28,9.45,9.21,9.37,8.197301,16200
2010-03-16,9.39,9.97,9.39,9.87,8.634724,27500
2010-03-17,9.85,10.39,9.85,10.26,8.975913,30200
2010-03-18,10.27,10.27,9.99,10.07,8.80969,30300
2010-03-19,10.74,10.85,10.04,10.74,9.395837,77500
2010-03-22,10.64,11.0,10.64,10.98,9.605803,40800
2010-03-23,11.0,11.0,10.7,10.94,9.570809,39800
2010-03-24,10.93,11.38,10.9,11.12,9.728282,43700
2010-03-25,11.19,12.28,11.19,11.37,9.94699,56700
2010-03-26,11.46,11.89,11.25,11.3,9.885752,31800
2010-03-29,11.29,11.47,11.03,11.32,9.90325,14300
2010-03-30,11.31,11.61,11.02,11.13,9.737032,21700
2010-03-31,11.03,11.39,10.71,11.06,9.67579,52700
2010-04-01,11.12,11.88,11.12,11.25,9.842011,16700
2010-04-05,11.34,11.79,11.17,11.39,9.964492,13200
2010-04-06,11.34,11.36,11.02,11.22,9.815766,21200
2010-04-07,11.17,11.31,10.83,10.93,9.562058,16800
2010-04-08,10.91,11.11,10.88,10.92,9.553313,14900
2010-04-09,10.93,11.46,10.88,11.0,9.623302,65400
2010-04-12,10.97,11.14,10.89,10.95,9.57956,12600
2010-04-13,11.0,11.06,10.72,10.79,9.439582,8000
2010-04-14,10.87,11.04,10.71,11.0,9.623302,16100
2010-04-15,10.86,11.19,10.86,11.07,9.684539,12200
2010-04-16,11.07,11.07,10.85,11.0,9.623302,23400
2010-04-19,10.95,11.15,10.95,11.01,9.63205,29900
2010-04-20,11.05,11.05,10.82,10.9,9.535813,19300
2010-04-21,11.17,11.17,10.81,10.94,9.570809,20100
2010-04-22,10.81,10.98,10.74,10.81,9.45708,13700
2010-04-23,10.73,10.85,10.63,10.69,9.352098,29000
2010-04-26,10.7,10.86,10.56,10.71,9.369593,34800
2010-04-27,10.61,10.83,10.29,10.47,9.159632,48900
2010-04-28,10.58,10.69,10.4,10.63,9.299609,5400
2010-04-29,10.63,10.94,10.45,10.88,9.518317,15100
2010-04-30,10.85,10.85,10.51,10.51,9.194624,27800
2010-05-03,10.55,10.95,10.53,10.92,9.553313,24600
2010-05-04,10.73,10.96,10.55,10.83,9.474579,45800
2010-05-05,10.81,11.01,10.61,10.71,9.369593,31400
2010-05-06,10.65,10.79,10.25,10.27,8.984661,23500
2010-05-07,10.29,10.5,9.87,10.01,8.7572,27600
2010-05-10,10.2,10.48,10.04,10.25,8.967165,35800
