Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.35,5.45,5.2,5.4,5.293492,790500
2010-01-05,5.38,5.38,5.28,5.28,5.175859,1468700
2010-01-06,5.25,5.39,5.03,5.19,5.087635,2180300
2010-01-07,5.2,5.3,5.03,5.23,5.126845,802300
2010-01-08,5.2,5.28,5.16,5.23,5.126845,540800
2010-01-11,5.27,5.28,5.11,5.14,5.03862,865400
2010-01-12,5.11,5.16,4.84,4.86,4.764143,995200
2010-01-13,4.88,5.0,4.77,4.97,4.871973,796400
2010-01-14,4.93,5.05,4.86,5.02,4.920987,468700
2010-01-15,5.05,5.11,4.8,4.86,4.764143,724000
2010-01-19,4.87,4.94,4.79,4.94,4.842565,726700
2010-01-20,4.88,4.92,4.66,4.76,4.666115,923400
2010-01-21,4.76,4.84,4.62,4.72,4.626904,1162300
2010-01-22,4.54,4.55,4.13,4.16,4.077949,3197100
2010-01-25,4.21,4.25,4.09,4.11,4.028935,1716800
2010-01-26,4.09,4.23,4.02,4.11,4.028935,1119000
2010-01-27,4.1,4.22,4.01,4.16,4.077949,786600
2010-01-28,4.16,4.19,3.76,3.84,3.764261,2647600
2010-01-29,3.91,3.99,3.61,3.64,3.568206,3123400
2010-02-01,3.69,3.95,3.69,3.91,3.83288,1893000
2010-02-02,3.91,4.19,3.88,4.15,4.068146,2817000
2010-02-03,4.11,4.16,3.94,4.11,4.028935,1767700
2010-02-04,4.5,4.5,4.04,4.12,4.038738,5220800
2010-02-05,4.12,4.3,4.0,4.26,4.175978,2692800
2010-02-08,4.25,4.47,4.15,4.32,4.234794,1787700
2010-02-09,4.41,4.59,4.38,4.56,4.470059,1517100
2010-02-10,4.56,4.75,4.44,4.75,4.656312,3369000
2010-02-11,4.79,4.83,4.5,4.82,4.724932,2671200
2010-02-12,4.74,4.94,4.67,4.86,4.764143,1347500
2010-02-16,5.25,5.25,4.97,4.97,4.871973,3993600
2010-02-17,5.09,5.2,4.98,5.04,4.940592,1738700
2010-02-18,5.06,5.09,4.92,5.03,4.930789,1494900
2010-02-19,5.0,5.2,5.0,5.18,5.077831,1161900
2010-02-22,5.2,5.2,5.07,5.18,5.077831,846900
2010-02-23,5.17,5.17,4.67,4.69,4.597496,3925400
2010-02-24,4.73,4.75,4.52,4.59,4.499468,2185800
2010-02-25,4.5,4.51,4.3,4.51,4.421047,3317100
2010-02-26,4.51,4.51,4.36,4.47,4.381835,1105600
2010-03-01,4.5,4.8,4.43,4.76,4.666115,2534900
2010-03-02,4.86,4.92,4.75,4.78,4.685721,1018200
2010-03-03,4.81,4.82,4.71,4.74,4.646509,1170200
2010-03-04,4.77,4.89,4.69,4.85,4.75434,1065200
2010-03-05,4.89,5.25,4.86,5.15,5.048422,2834600
2010-03-08,5.25,5.27,5.01,5.03,4.930789,1655900
2010-03-09,5.03,5.09,4.96,5.0,4.901382,1122000
2010-03-10,4.99,5.11,4.99,5.03,4.930789,879200
2010-03-11,5.23,5.27,5.1,5.24,5.136647,2699200
2010-03-12,5.29,5.33,5.2,5.29,5.185662,1221500
2010-03-15,5.25,5.27,4.96,5.0,4.901382,1793000
