Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,24.360001,24.41,24.35,24.41,23.406096,1200
2010-01-05,24.41,24.41,24.41,24.41,23.406096,0
2010-01-06,24.67,24.67,24.67,24.67,23.655409,200
2010-01-07,24.51,24.65,24.51,24.65,23.636221,1200
2010-01-08,24.73,24.83,24.73,24.83,23.808825,700
2010-01-11,24.83,24.83,24.83,24.83,23.808825,0
2010-01-12,24.83,24.83,24.83,24.83,23.808825,0
2010-01-13,24.43,24.67,24.34,24.67,23.655409,3500
2010-01-14,24.49,24.690001,24.49,24.639999,23.626633,6300
2010-01-15,24.68,24.68,24.299999,24.299999,23.300615,400
2010-01-19,24.57,24.629999,24.57,24.629999,23.617046,700
2010-01-20,24.52,24.52,24.52,24.52,23.511568,1000
2010-01-21,24.42,24.42,23.91,23.92,22.936249,1300
2010-01-22,23.860001,23.860001,23.66,23.66,22.686935,400
2010-01-25,23.559999,23.559999,23.370001,23.41,22.447218,2000
2010-01-26,23.26,23.58,23.26,23.58,22.610228,1400
2010-01-27,23.370001,23.370001,23.129999,23.24,22.284212,1400
2010-01-28,23.09,23.26,23.08,23.26,22.303392,900
2010-01-29,23.219999,23.440001,22.82,22.85,21.910254,1400
2010-02-01,22.969999,23.16,22.969999,23.15,22.197914,1700
2010-02-02,23.209999,23.42,23.209999,23.42,22.45681,1500
2010-02-03,23.42,23.42,23.42,23.42,22.45681,0
2010-02-04,22.92,22.93,22.639999,22.639999,21.708893,2200
2010-02-05,22.65,22.65,22.51,22.51,21.584238,800
2010-02-08,22.67,22.799999,22.67,22.799999,21.862309,1600
2010-02-09,22.799999,23.0,22.780001,23.0,22.054083,2000
2010-02-10,22.870001,22.93,22.629999,22.93,21.986956,1000
2010-02-11,22.93,22.93,22.93,22.93,21.986956,0
2010-02-12,23.17,23.35,23.17,23.35,22.389696,3600
2010-02-16,23.59,23.59,23.57,23.57,22.600637,800
2010-02-17,23.9,23.9,23.9,23.9,22.917072,300
2010-02-18,23.940001,24.16,23.940001,24.16,23.166374,1500
2010-02-19,24.08,24.24,24.08,24.190001,23.195143,1200
2010-02-22,24.190001,24.190001,24.190001,24.190001,23.195143,0
2010-02-23,23.860001,23.879999,23.83,23.83,22.849947,1300
2010-02-24,23.93,23.93,23.93,23.93,22.945837,100
2010-02-25,23.77,23.77,23.77,23.77,22.792412,1000
2010-02-26,24.129999,24.200001,24.129999,24.139999,23.147203,2300
2010-03-01,24.139999,24.139999,24.139999,24.139999,23.147203,0
2010-03-02,24.74,24.93,24.74,24.860001,23.837589,1900
2010-03-03,25.08,25.08,25.08,25.08,24.048538,500
2010-03-04,24.959999,25.01,24.870001,25.01,23.981422,1600
2010-03-05,25.01,25.01,25.01,25.01,23.981422,0
2010-03-08,25.440001,25.51,25.440001,25.51,24.460854,700
2010-03-09,25.389999,25.389999,25.389999,25.389999,24.345785,200
2010-03-10,25.610001,25.719999,25.6,25.610001,24.556744,7300
2010-03-11,25.549999,25.65,25.549999,25.620001,24.566336,7700
2010-03-12,25.76,25.82,25.76,25.82,24.758106,3500
2010-03-15,25.690001,25.690001,25.690001,25.690001,24.633448,1800
2010-03-16,25.59,25.969999,25.59,25.969999,24.901941,9300
2010-03-17,26.0,26.26,26.0,26.26,25.18001,15200
2010-03-18,26.15,26.15,26.049999,26.049999,24.978645,1800
2010-03-19,25.799999,25.809999,25.77,25.799999,24.738922,1500
2010-03-22,25.73,26.16,25.57,26.16,25.08412,800
2010-03-23,26.15,26.24,26.15,26.24,25.160831,4500
2010-03-24,26.360001,26.360001,26.190001,26.209999,25.132067,7700
2010-03-25,26.379999,26.49,26.07,26.07,24.99782,2600
2010-03-26,26.219999,26.219999,26.219999,26.219999,25.141651,300
2010-03-29,26.25,26.25,26.25,26.25,25.17042,200
2010-03-30,26.450001,26.450001,26.190001,26.190001,25.112894,1200
2010-03-31,26.24,26.379999,26.18,26.18,25.103298,4100
2010-04-01,26.440001,26.450001,26.440001,26.450001,25.3622,600
2010-04-05,26.549999,26.799999,26.469999,26.790001,25.68821,1400
2010-04-06,26.83,26.969999,26.83,26.969999,25.860811,2700
2010-04-07,26.82,26.860001,26.75,26.75,25.649855,1600
2010-04-08,26.610001,26.780001,26.5,26.77,25.669035,900
2010-04-09,26.780001,26.91,26.780001,26.91,25.803282,300
2010-04-12,27.0,27.0,26.969999,26.969999,25.860811,500
2010-04-13,26.940001,27.110001,26.940001,27.110001,25.995052,1300
2010-04-14,27.18,27.51,27.18,27.51,26.378601,6600
2010-04-15,27.51,27.51,27.51,27.51,26.378601,0
2010-04-16,27.52,27.52,27.1,27.1,25.985464,1700
2010-04-19,27.030001,27.200001,26.82,27.01,25.899168,2100
2010-04-20,27.120001,27.4,27.120001,27.4,26.273121,32700
2010-04-21,27.34,27.379999,27.34,27.360001,26.23477,1600
2010-04-22,27.290001,27.290001,27.219999,27.23,26.110119,10100
2010-04-23,27.889999,28.040001,27.889999,27.969999,26.819675,5300
2010-04-26,28.190001,28.24,28.15,28.15,26.992275,1400
2010-04-27,27.99,28.059999,27.34,27.34,26.215595,16800
2010-04-28,27.360001,27.42,27.32,27.42,26.292301,15100
2010-04-29,27.629999,27.82,27.629999,27.799999,26.656668,3000
2010-04-30,27.549999,27.559999,27.1,27.1,25.985464,1000
2010-05-03,27.190001,27.620001,27.190001,27.620001,26.484074,1200
2010-05-04,27.139999,27.139999,26.76,26.84,25.736153,8300
2010-05-05,26.66,26.709999,26.48,26.549999,25.458082,900
2010-05-06,26.4,26.4,23.860001,25.5,24.451269,31300
2010-05-07,25.450001,25.77,24.780001,25.27,24.23073,3400
2010-05-10,26.290001,26.290001,26.120001,26.120001,25.045769,800
2010-05-11,26.26,26.84,26.26,26.58,25.486853,28100
2010-05-12,26.879999,26.950001,26.84,26.950001,25.841627,5700
2010-05-13,27.17,27.23,26.879999,26.879999,25.774508,4000
2010-05-14,26.459999,26.459999,25.950001,25.959999,24.892351,1400
2010-05-17,26.299999,26.41,25.91,26.219999,25.141651,4800
2010-05-18,26.450001,26.559999,25.73,25.73,24.671804,5900
2010-05-19,25.639999,25.77,25.110001,25.52,24.470446,4900
2010-05-20,24.959999,24.959999,24.469999,24.51,23.50198,23700
2010-05-21,24.120001,24.9,23.200001,24.77,23.751289,14000
2010-05-24,24.85,25.0,24.790001,24.809999,23.78964,2400
2010-05-25,23.9,24.25,23.82,24.15,23.156788,14700
2010-05-26,25.110001,25.190001,24.629999,24.82,23.799231,13400
2010-05-27,25.360001,25.629999,25.360001,25.610001,24.556744,15500
2010-05-28,25.389999,25.540001,25.389999,25.540001,24.489618,300
2010-06-01,25.07,25.290001,24.99,24.99,23.962246,5500
2010-06-02,24.74,25.33,24.74,25.32,24.278669,1600
2010-06-03,25.48,25.67,25.42,25.67,24.614271,2600
2010-06-04,25.25,25.25,24.49,24.58,23.569101,3900
2010-06-07,24.379999,24.450001,23.969999,23.969999,22.984186,4800
2010-06-08,23.879999,23.879999,23.879999,23.879999,22.897896,100
2010-06-09,24.4,24.790001,24.200001,24.200001,23.204735,3800
2010-06-10,24.85,24.99,24.68,24.98,23.952646,2000
