Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.05,12.05,11.77,11.8,8.663471,13000
2010-01-05,11.68,11.8,11.32,11.35,8.33308,15400
2010-01-06,11.3,11.45,11.22,11.27,8.274347,26500
2010-01-07,11.19,11.56,11.0,11.29,8.289032,32700
2010-01-08,11.27,11.75,10.98,11.32,8.31106,40200
2010-01-11,11.4,11.51,11.08,11.13,8.171558,13500
2010-01-12,10.98,11.11,10.91,10.93,8.024719,8700
2010-01-13,11.01,11.25,10.97,11.18,8.208269,10100
2010-01-14,11.14,11.4,11.12,11.33,8.318399,7500
2010-01-15,11.39,11.49,11.21,11.49,8.435871,33600
2010-01-19,11.5,11.92,11.5,11.89,8.729548,21700
2010-01-20,11.74,11.9,11.65,11.83,8.685494,16100
2010-01-21,11.17,11.89,11.17,11.7,8.59005,23600
2010-01-22,11.65,11.65,11.27,11.41,8.377133,16400
2010-01-25,11.56,11.74,11.34,11.35,8.33308,16100
2010-01-26,11.3,12.13,11.3,11.72,8.604733,21700
2010-01-27,11.6,11.96,11.54,11.74,8.619417,10200
2010-01-28,12.0,12.97,12.0,12.55,9.214114,52400
2010-01-29,12.6,12.77,12.51,12.6,9.25082,13000
2010-02-01,12.68,12.71,12.55,12.64,9.28019,14800
2010-02-02,12.63,13.0,12.61,12.65,9.287532,16500
2010-02-03,12.59,12.85,12.58,12.65,9.287532,14500
2010-02-04,12.5,12.73,12.39,12.59,9.243481,28100
2010-02-05,12.67,12.95,12.51,12.85,9.434371,14000
2010-02-08,12.86,12.88,12.6,12.62,9.265508,21100
2010-02-09,12.85,12.85,12.22,12.4,9.103982,21500
2010-02-10,12.44,12.5,12.09,12.43,9.126009,20400
2010-02-11,12.33,12.66,11.85,12.65,9.287532,19200
2010-02-12,12.44,12.73,12.24,12.69,9.316898,20300
2010-02-16,12.83,13.12,12.74,13.0,9.5445,10700
2010-02-17,13.09,13.16,12.45,13.1,9.617918,28800
2010-02-18,13.0,13.0,12.4,13.0,9.5445,16700
2010-02-19,12.99,13.19,12.37,12.42,9.11867,24000
2010-02-22,12.45,12.96,12.4,12.92,9.485766,31900
2010-02-23,12.84,13.2,12.84,12.9,9.471082,7100
2010-02-24,12.99,13.0,12.78,13.0,9.5445,6000
2010-02-25,12.73,13.04,12.43,13.04,9.57387,8200
2010-02-26,13.23,13.75,13.07,13.24,9.720705,30100
2010-03-01,13.27,13.59,12.91,13.56,9.95565,28000
2010-03-02,13.53,13.91,13.31,13.9,10.205271,21900
2010-03-03,13.95,14.13,13.64,14.11,10.359453,36500
2010-03-04,14.13,14.66,14.13,14.66,10.76326,14200
2010-03-05,14.75,14.77,14.41,14.65,10.755918,23700
