Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,9.82,9.875,9.82,9.86,9.86,542100
2019-11-01,9.87,9.87,9.87,9.87,9.87,204508
2019-11-04,9.89,9.89,9.89,9.89,9.89,1000
2019-11-05,9.89,9.89,9.89,9.89,9.89,100
2019-11-06,9.89,9.89,9.89,9.89,9.89,0
2019-11-07,9.88,9.88,9.88,9.88,9.88,1300
2019-11-08,9.88,9.88,9.88,9.88,9.88,0
2019-11-11,9.88,9.88,9.88,9.88,9.88,0
2019-11-12,9.84,9.84,9.84,9.84,9.84,50000
2019-11-13,9.84,9.84,9.84,9.84,9.84,0
2019-11-14,9.84,9.84,9.84,9.84,9.84,500
2019-11-15,9.84,9.84,9.84,9.84,9.84,0
2019-11-18,9.84,9.84,9.84,9.84,9.84,0
2019-11-19,9.84,9.84,9.84,9.84,9.84,100
2019-11-20,9.84,9.84,9.84,9.84,9.84,0
2019-11-21,9.84,9.84,9.84,9.84,9.84,0
2019-11-22,9.87,9.88,9.87,9.88,9.88,15600
2019-11-25,9.89,9.91,9.87,9.91,9.91,26900
2019-11-26,9.91,9.91,9.91,9.91,9.91,0
2019-11-27,9.91,9.91,9.91,9.91,9.91,0
2019-11-29,9.9,9.92,9.9,9.92,9.92,200
2019-12-02,9.915,9.93,9.915,9.93,9.93,11500
2019-12-03,9.93,9.93,9.93,9.93,9.93,0
2019-12-04,9.93,9.93,9.93,9.93,9.93,0
2019-12-05,9.9,9.92,9.9,9.92,9.92,16000
2019-12-06,9.93,9.93,9.93,9.93,9.93,600
2019-12-09,9.93,9.93,9.93,9.93,9.93,0
2019-12-10,9.93,9.93,9.93,9.93,9.93,0
2019-12-11,9.93,9.93,9.93,9.93,9.93,0
2019-12-12,9.93,9.93,9.93,9.93,9.93,4700
2019-12-13,9.934,9.942,9.93,9.94,9.94,57400
2019-12-16,9.95,9.96,9.945,9.945,9.945,158500
2019-12-17,9.945,9.945,9.945,9.945,9.945,0
2019-12-18,9.93,9.93,9.93,9.93,9.93,3100
2019-12-19,9.9,9.94,9.85,9.94,9.94,522900
2019-12-20,9.9,9.91,9.895,9.9,9.9,46500
2019-12-23,9.9,9.94,9.9,9.94,9.94,432100
2019-12-24,9.94,9.94,9.94,9.94,9.94,2000
2019-12-26,9.93,9.94,9.92,9.92,9.92,6400
2019-12-27,9.94,9.95,9.94,9.94,9.94,10900
2019-12-30,9.95,9.97,9.945,9.97,9.97,33800
