Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.19,10.19,9.73,9.8,7.696125,6000
2010-01-05,9.95,10.2,9.75,10.05,7.892453,1300
2010-01-06,9.61,9.78,9.6,9.6,7.539061,3900
2010-01-07,9.5,9.95,9.33,9.43,7.405556,4100
2010-01-08,9.43,9.72,9.43,9.72,7.633297,23900
2010-01-11,9.74,10.08,9.6,9.6,7.539061,2000
2010-01-12,9.97,10.0,9.97,10.0,7.853188,3300
2010-01-13,10.19,12.1,10.19,11.75,9.227495,25000
2010-01-14,11.79,11.9,11.3,11.7,9.188231,17800
2010-01-15,11.75,11.75,11.17,11.3,8.874102,5300
2010-01-19,11.3,11.44,10.81,10.88,8.544269,5600
2010-01-20,11.05,11.31,10.9,11.18,8.779864,1600
2010-01-21,11.23,11.51,11.0,11.13,8.740598,4700
2010-01-22,11.13,11.55,11.01,11.09,8.709185,1500
2010-01-25,11.5,11.5,11.41,11.41,8.960486,2200
2010-01-26,11.43,11.5,11.43,11.5,9.031164,1500
2010-01-27,11.71,11.8,11.25,11.38,8.936931,2300
2010-01-28,11.27,11.45,11.27,11.42,8.968339,1200
2010-01-29,11.6,11.75,11.6,11.67,9.164671,1000
2010-02-01,11.61,11.61,11.26,11.26,8.842691,4500
2010-02-02,11.33,11.42,11.25,11.42,8.968339,1700
2010-02-03,11.2,11.2,11.2,11.2,8.795573,600
2010-02-04,11.2,11.65,11.2,11.61,9.117549,5100
2010-02-05,11.62,11.75,11.3,11.31,8.881954,8600
2010-02-08,11.4,11.52,11.3,11.52,9.046874,700
2010-02-09,11.35,11.52,11.2,11.27,8.850545,12800
2010-02-10,11.56,11.58,11.4,11.4,8.952633,400
2010-02-11,11.33,11.33,11.3,11.3,8.874102,1000
2010-02-12,11.3,11.33,11.28,11.3,8.874102,800
2010-02-16,11.3,11.4,11.26,11.27,8.850545,7500
2010-02-17,11.35,11.8,11.35,11.8,9.266762,7000
2010-02-18,11.8,11.8,11.41,11.41,8.960486,800
2010-02-19,11.66,11.99,11.5,11.65,9.148963,14500
2010-02-22,11.77,12.0,11.77,11.8,9.266762,2400
2010-02-23,11.38,11.86,11.37,11.51,9.039019,1900
2010-02-24,11.64,11.82,11.6,11.8,9.266762,1500
2010-02-25,11.95,11.99,11.95,11.99,9.415974,200
2010-02-26,12.0,12.0,11.78,11.83,9.290322,2600
2010-03-01,12.0,12.05,11.81,12.03,9.447388,5400
2010-03-02,12.01,12.9,12.01,12.74,10.004961,20900
2010-03-03,12.87,13.5,12.87,13.27,10.421182,9900
2010-03-04,13.46,13.5,12.78,12.99,10.201289,11600
2010-03-05,13.06,13.51,13.06,13.41,10.531125,7000
2010-03-08,14.96,16.309999,14.69,15.4,12.093911,56500
2010-03-09,15.99,15.99,15.5,15.65,12.290241,17300
2010-03-10,15.79,16.0,15.41,15.63,12.274533,22000
2010-03-11,15.64,15.84,15.47,15.6,12.250976,11000
2010-03-12,15.74,15.92,15.53,15.91,12.494422,7700
2010-03-15,16.01,16.27,15.85,15.98,12.549395,43800
2010-03-16,15.98,16.5,15.98,16.15,12.682899,25500
2010-03-17,16.42,16.42,15.8,16.389999,12.871375,29300
2010-03-18,16.42,16.42,16.01,16.25,12.80048,11600
2010-03-19,16.049999,16.32,15.86,16.32,12.855618,13300
2010-03-22,15.99,16.299999,15.6,16.200001,12.761095,39800
2010-03-23,16.15,16.15,15.7,16.049999,12.642937,9700
2010-03-24,16.0,16.0,15.66,15.84,12.477511,4400
2010-03-25,15.6,15.74,15.34,15.37,12.107283,24600
2010-03-26,15.42,15.42,14.1,14.2,11.185651,62800
2010-03-29,13.61,13.72,13.21,13.35,10.516084,62500
2010-03-30,13.26,13.37,12.82,12.92,10.177366,19700
2010-03-31,12.83,13.59,12.8,13.59,10.705138,26600
2010-04-01,13.36,13.65,13.24,13.6,10.713017,23300
2010-04-05,13.6,13.87,13.31,13.87,10.925702,18100
2010-04-06,13.75,13.94,13.75,13.94,10.980844,12700
2010-04-07,13.99,14.63,13.96,14.63,11.52437,30800
2010-04-08,14.63,15.12,14.27,14.95,11.776439,27100
2010-04-09,15.05,15.29,14.9,15.08,11.878844,18300
2010-04-12,15.15,15.45,15.15,15.45,12.170302,15800
2010-04-13,15.38,15.45,15.0,15.45,12.170302,20700
2010-04-14,15.44,15.48,15.2,15.36,12.099409,37400
2010-04-15,15.43,15.44,15.2,15.41,12.138794,7000
2010-04-16,15.4,15.4,14.64,15.3,12.052143,23300
2010-04-19,15.34,15.34,15.01,15.17,11.94974,6800
2010-04-20,15.26,15.49,15.09,15.43,12.154551,18900
