Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.06,4.09,4.03,4.07,3.546679,5200
2010-01-05,4.1,4.16,4.07,4.16,3.625107,6600
2010-01-06,4.17,4.2,4.14,4.16,3.625107,2800
2010-01-07,4.13,4.2,4.02,4.2,3.659963,12200
2010-01-08,4.2,4.28,4.2,4.2,3.659963,4000
2010-01-11,4.22,4.25,4.0,4.08,3.555392,34200
2010-01-12,4.02,4.07,4.0,4.03,3.511822,49100
2010-01-13,4.06,4.08,3.99,4.01,3.494394,41300
2010-01-14,4.01,4.09,3.98,4.0,3.485679,38900
2010-01-15,4.02,4.02,4.0,4.01,3.494394,17600
2010-01-19,4.01,4.1,4.0,4.05,3.529251,5500
2010-01-20,4.04,4.04,4.0,4.01,3.494394,7200
2010-01-21,4.01,4.02,4.0,4.0,3.485679,20500
2010-01-22,4.0,4.01,3.95,3.96,3.450823,18800
2010-01-25,4.09,4.28,3.96,4.02,3.503108,7700
2010-01-26,4.05,4.05,3.97,4.03,3.511822,14800
2010-01-27,4.03,4.03,4.0,4.01,3.494394,14300
2010-01-28,4.01,4.06,4.0,4.06,3.591706,12900
2010-01-29,4.05,4.05,4.03,4.03,3.565167,3200
2010-02-01,4.02,4.19,4.0,4.0,3.538627,7100
2010-02-02,4.0,4.04,4.0,4.01,3.547474,2400
2010-02-03,4.0,4.07,4.0,4.07,3.600553,17300
2010-02-04,4.05,4.07,4.0,4.04,3.574012,3700
2010-02-05,4.01,4.07,4.0,4.07,3.600553,14600
2010-02-08,4.03,4.07,4.0,4.01,3.547474,8100
2010-02-09,4.02,4.02,4.0,4.01,3.547474,6000
2010-02-10,4.02,4.07,4.0,4.0,3.538627,8800
2010-02-11,4.01,4.01,4.0,4.0,3.538627,400
2010-02-12,4.0,4.08,4.0,4.0,3.538627,2400
2010-02-16,4.0,4.04,4.0,4.03,3.565167,4600
2010-02-17,4.01,4.06,4.0,4.06,3.591706,4900
2010-02-18,4.07,4.07,4.03,4.03,3.565167,2200
2010-02-19,4.03,4.04,4.03,4.03,3.565167,1900
2010-02-22,4.06,4.13,4.06,4.13,3.653632,17200
2010-02-23,4.11,4.16,4.11,4.16,3.680172,6500
2010-02-24,4.18,4.19,4.08,4.14,3.662479,23900
2010-02-25,4.09,4.1,4.08,4.1,3.627092,4900
2010-02-26,4.08,4.1,4.08,4.1,3.627092,6000
2010-03-01,4.12,4.27,4.12,4.27,3.777485,22900
2010-03-02,4.27,4.38,4.27,4.35,3.848257,14900
2010-03-03,4.37,4.38,4.3,4.36,3.857102,11600
2010-03-04,4.35,4.42,4.28,4.29,3.795177,97500
2010-03-05,4.26,4.28,4.26,4.26,3.768638,6800
2010-03-08,4.35,4.35,4.3,4.3,3.804024,1200
2010-03-09,4.28,4.3,4.26,4.26,3.768638,2700
2010-03-10,4.32,4.7,4.3,4.38,3.874795,48800
2010-03-11,4.34,4.53,4.34,4.53,4.007495,21500
2010-03-12,4.46,4.55,4.46,4.55,4.025187,7700
