Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.0,17.0,17.0,17.0,11.131892,500
2010-01-05,16.25,16.25,16.25,16.25,10.640782,400
2010-01-06,16.25,16.25,16.25,16.25,10.640782,0
2010-01-07,16.75,16.75,16.75,16.75,10.968189,300
2010-01-08,16.25,16.25,16.25,16.25,10.640782,1000
2010-01-11,16.25,16.5,16.0,16.0,10.477075,800
2010-01-12,16.5,16.5,16.0,16.0,10.477075,900
2010-01-13,16.0,16.0,16.0,16.0,10.477075,0
2010-01-14,16.0,16.0,16.0,16.0,10.477075,0
2010-01-15,16.5,16.5,16.5,16.5,10.804484,500
2010-01-19,16.5,16.5,16.5,16.5,10.804484,0
2010-01-20,16.5,16.5,16.5,16.5,10.804484,0
2010-01-21,16.5,16.5,16.5,16.5,10.804484,0
2010-01-22,16.25,16.5,16.0,16.4,10.739002,4800
2010-01-25,16.0,16.0,16.0,16.0,10.477075,700
2010-01-26,16.0,17.0,16.0,17.0,11.131892,21400
2010-01-27,17.0,17.0,17.0,17.0,11.131892,0
2010-01-28,17.0,17.0,17.0,17.0,11.131892,0
2010-01-29,16.25,16.25,16.25,16.25,10.640782,200
2010-02-01,16.25,16.25,16.25,16.25,10.640782,200
2010-02-02,16.25,16.25,16.25,16.25,10.640782,0
2010-02-03,16.25,16.25,16.25,16.25,10.82057,600
2010-02-04,16.5,16.5,16.35,16.35,10.887156,800
2010-02-05,16.35,16.35,16.0,16.0,10.654098,2000
2010-02-08,16.15,16.15,16.0,16.0,10.654098,1300
2010-02-09,16.35,16.35,16.35,16.35,10.887156,2000
2010-02-10,16.35,16.35,16.35,16.35,10.887156,0
2010-02-11,16.35,16.35,16.35,16.35,10.887156,200
2010-02-12,16.35,16.35,16.35,16.35,10.887156,0
2010-02-16,16.35,16.5,16.35,16.5,10.987037,500
2010-02-17,16.5,16.5,16.5,16.5,10.987037,0
2010-02-18,16.0,16.1,15.8,15.8,10.520919,2500
2010-02-19,16.0,16.0,15.8,15.8,10.520919,600
2010-02-22,16.0,16.0,15.6,15.6,10.387744,1200
2010-02-23,15.6,15.6,15.6,15.6,10.387744,0
2010-02-24,15.6,15.6,15.6,15.6,10.387744,0
2010-02-25,16.0,16.0,15.6,15.6,10.387744,500
2010-02-26,16.0,16.0,16.0,16.0,10.654098,200
2010-03-01,16.049999,16.049999,16.049999,16.049999,10.687389,400
2010-03-02,16.049999,16.049999,16.049999,16.049999,10.687389,0
2010-03-03,16.049999,16.049999,16.049999,16.049999,10.687389,0
2010-03-04,15.85,15.85,15.2,15.4,10.254569,4500
2010-03-05,15.4,15.5,15.4,15.5,10.321155,1100
2010-03-08,15.4,15.5,15.3,15.3,10.187979,1200
2010-03-09,15.4,15.5,15.4,15.5,10.321155,500
2010-03-10,15.5,16.0,15.5,16.0,10.654098,1500
2010-03-11,15.85,15.85,15.85,15.85,10.554213,500
2010-03-12,15.85,15.85,15.85,15.85,10.554213,600
2010-03-15,15.85,15.85,15.65,15.75,10.487627,700
2010-03-16,15.75,16.5,15.75,16.5,10.987037,2800
2010-03-17,16.0,16.0,16.0,16.0,10.654098,1100
2010-03-18,16.0,16.5,16.0,16.5,10.987037,1100
2010-03-19,16.5,17.0,16.5,17.0,11.319978,2100
2010-03-22,17.1,17.25,17.1,17.25,11.486449,600
2010-03-23,16.299999,16.299999,16.299999,16.299999,10.853862,400
2010-03-24,16.75,16.75,16.75,16.75,11.153506,200
2010-03-25,17.75,18.0,17.75,18.0,11.985859,700
2010-03-26,18.0,18.0,18.0,18.0,11.985859,0
2010-03-29,18.0,18.0,18.0,18.0,11.985859,0
2010-03-30,18.0,18.0,17.5,17.5,11.652919,1400
2010-03-31,17.5,18.75,16.75,16.75,11.153506,5000
2010-04-01,17.450001,17.450001,16.75,16.75,11.153506,1000
2010-04-05,16.9,16.9,16.9,16.9,11.25339,300
2010-04-06,17.5,19.25,17.5,19.25,12.818212,1700
2010-04-07,18.0,19.25,18.0,18.0,11.985859,1800
2010-04-08,17.75,18.0,17.5,17.5,11.652919,1300
2010-04-09,17.65,17.74,17.65,17.74,11.812732,300
2010-04-12,17.299999,17.299999,17.25,17.25,11.486449,400
2010-04-13,17.26,17.26,17.26,17.26,11.49311,200
2010-04-14,17.309999,17.75,17.15,17.35,11.553038,4700
2010-04-15,17.0,17.75,17.0,17.75,11.819386,3300
2010-04-16,17.75,17.75,17.75,17.75,11.819386,300
2010-04-19,17.75,17.75,17.75,17.75,11.819386,0
2010-04-20,17.74,17.74,17.25,17.25,11.486449,600
2010-04-21,17.700001,17.700001,17.700001,17.700001,11.786096,1900
2010-04-22,17.700001,18.5,17.700001,18.5,12.318801,3100
2010-04-23,18.5,18.5,18.5,18.5,12.318801,0
2010-04-26,18.25,18.25,18.0,18.0,11.985859,600
2010-04-27,18.5,18.5,17.52,17.52,11.666239,2900
2010-04-28,17.52,17.52,17.52,17.52,11.666239,0
2010-04-29,18.5,18.5,18.5,18.5,12.318801,500
2010-04-30,18.5,18.5,18.5,18.5,12.318801,0
2010-05-03,18.5,18.5,18.5,18.5,12.318801,0
2010-05-04,17.77,18.0,17.77,17.85,11.885979,2100
2010-05-05,17.85,17.85,17.85,17.85,12.068525,0
2010-05-06,17.85,17.85,17.85,17.85,12.068525,2000
2010-05-07,17.799999,17.799999,17.799999,17.799999,12.03472,200
2010-05-10,17.799999,17.799999,17.6,17.6,11.899496,2800
2010-05-11,17.879999,18.25,17.879999,18.0,12.169943,7300
2010-05-12,18.25,19.0,18.25,19.0,12.846049,400
2010-05-13,19.0,19.0,19.0,19.0,12.846049,0
2010-05-14,17.52,17.52,17.52,17.52,11.845411,1600
2010-05-17,17.52,17.52,17.52,17.52,11.845411,0
2010-05-18,17.52,17.549999,17.52,17.549999,11.865694,700
2010-05-19,17.549999,17.549999,17.549999,17.549999,11.865694,700
2010-05-20,17.549999,17.549999,17.549999,17.549999,11.865694,0
2010-05-21,18.200001,19.25,17.799999,18.5,12.507997,2600
2010-05-24,18.5,18.5,18.5,18.5,12.507997,0
2010-05-25,18.5,18.5,17.799999,17.799999,12.03472,1200
2010-05-26,17.799999,17.799999,17.799999,17.799999,12.03472,1600
2010-05-27,18.0,18.0,18.0,18.0,12.169943,400
2010-05-28,18.0,18.0,18.0,18.0,12.169943,200
2010-06-01,18.25,18.25,18.25,18.25,12.338973,600
2010-06-02,18.25,18.5,18.25,18.5,12.507997,1200
2010-06-03,18.700001,18.700001,18.700001,18.700001,12.643216,200
2010-06-04,18.700001,18.700001,18.700001,18.700001,12.643216,0
2010-06-07,18.700001,18.700001,18.700001,18.700001,12.643216,0
2010-06-08,18.200001,18.200001,18.200001,18.200001,12.305163,600
2010-06-09,18.5,18.5,18.200001,18.200001,12.305163,700
2010-06-10,18.0,18.049999,18.0,18.049999,12.203743,700
2010-06-11,18.049999,18.049999,18.049999,18.049999,12.203743,0
2010-06-14,18.700001,18.700001,18.700001,18.700001,12.643216,200
2010-06-15,18.700001,18.700001,18.700001,18.700001,12.643216,0
2010-06-16,18.049999,18.700001,17.799999,18.5,12.507997,6800
2010-06-17,17.799999,18.0,17.75,18.0,12.169943,1200
2010-06-18,18.0,18.0,18.0,18.0,12.169943,300
2010-06-21,18.0,18.25,18.0,18.0,12.169943,1900
2010-06-22,17.75,18.0,17.75,18.0,12.169943,2800
2010-06-23,17.75,17.75,17.75,17.75,12.000914,800
2010-06-24,18.0,18.0,17.75,17.75,12.000914,1900
2010-06-25,17.75,17.75,17.75,17.75,12.000914,0
2010-06-28,17.75,17.75,17.48,17.48,11.818364,5300
2010-06-29,17.5,17.5,17.0,17.0,11.493834,2300
2010-06-30,17.700001,17.700001,17.700001,17.700001,11.967113,300
2010-07-01,17.700001,17.700001,17.700001,17.700001,11.967113,0
2010-07-02,17.700001,17.700001,17.700001,17.700001,11.967113,0
2010-07-06,17.700001,17.700001,17.700001,17.700001,11.967113,0
2010-07-07,17.700001,17.700001,17.700001,17.700001,11.967113,0
2010-07-08,17.700001,17.75,17.700001,17.75,12.000914,300
2010-07-09,17.5,17.75,17.25,17.75,12.000914,1700
2010-07-12,17.5,17.5,17.25,17.25,11.662863,1500
2010-07-13,17.5,17.5,17.5,17.5,11.831889,300
2010-07-14,17.299999,17.299999,16.67,17.0,11.493834,5200
2010-07-15,16.67,16.950001,16.5,16.950001,11.460027,4700
2010-07-16,16.5,16.5,16.5,16.5,11.155779,1000
2010-07-19,16.5,16.5,16.5,16.5,11.155779,0
2010-07-20,16.6,16.950001,16.5,16.950001,11.460027,3300
2010-07-21,16.950001,16.950001,16.950001,16.950001,11.460027,0
2010-07-22,16.6,17.0,16.5,16.5,11.155779,3800
2010-07-23,17.0,17.0,16.52,16.52,11.169303,1300
2010-07-26,16.52,16.52,16.52,16.52,11.169303,0
2010-07-27,16.530001,17.700001,16.530001,16.549999,11.189587,2800
2010-07-28,16.549999,16.549999,16.549999,16.549999,11.189587,0
2010-07-29,17.0,17.0,17.0,17.0,11.493834,100
2010-07-30,16.75,16.75,16.75,16.75,11.324807,400
2010-08-02,16.75,16.75,16.75,16.75,11.324807,0
2010-08-03,16.75,16.75,16.75,16.75,11.324807,2100
2010-08-04,16.76,17.0,16.75,17.0,11.682142,900
