Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,35.5,37.0,34.700001,37.0,37.0,11300
2010-01-05,37.400002,37.400002,35.099998,36.099998,36.099998,7000
2010-01-06,36.700001,37.799999,36.0,37.299999,37.299999,8900
2010-01-07,37.799999,38.5,36.700001,38.5,38.5,15000
2010-01-08,38.5,38.799999,36.099998,36.599998,36.599998,13000
2010-01-11,36.599998,37.5,35.900002,36.099998,36.099998,11900
2010-01-12,36.299999,36.799999,35.0,35.599998,35.599998,6100
2010-01-13,35.099998,35.900002,34.900002,35.400002,35.400002,16200
2010-01-14,35.400002,35.5,34.900002,34.900002,34.900002,5300
2010-01-15,35.200001,35.200001,34.099998,35.0,35.0,9100
2010-01-19,34.799999,35.0,33.0,33.200001,33.200001,14200
2010-01-20,33.200001,33.200001,32.0,32.0,32.0,22200
2010-01-21,32.0,32.799999,31.9,32.200001,32.200001,20800
2010-01-22,32.400002,32.400002,31.6,31.700001,31.700001,12400
2010-01-25,32.0,32.0,31.0,31.9,31.9,14300
2010-01-26,31.9,33.0,31.9,32.0,32.0,10700
2010-01-27,32.200001,32.799999,31.799999,32.0,32.0,9500
2010-01-28,31.9,33.299999,31.5,32.0,32.0,10200
2010-01-29,32.0,32.599998,31.6,31.6,31.6,17900
2010-02-01,31.6,32.200001,31.6,31.799999,31.799999,10400
2010-02-02,32.0,32.299999,32.0,32.0,32.0,10700
2010-02-03,32.299999,32.900002,32.0,32.0,32.0,14300
2010-02-04,32.099998,32.299999,31.9,32.0,32.0,10100
2010-02-05,31.799999,32.099998,31.5,32.0,32.0,6300
2010-02-08,32.299999,32.5,32.0,32.0,32.0,4200
2010-02-09,32.599998,32.599998,31.5,31.799999,31.799999,15000
2010-02-10,32.200001,32.200001,31.6,32.200001,32.200001,6700
2010-02-11,32.799999,33.5,32.400002,33.200001,33.200001,6100
2010-02-12,32.5,35.299999,32.5,34.799999,34.799999,10200
2010-02-16,34.200001,34.799999,32.0,32.900002,32.900002,14700
2010-02-17,32.5,33.700001,32.5,33.200001,33.200001,8200
2010-02-18,32.599998,33.0,28.200001,30.0,30.0,44400
2010-02-19,29.5,31.0,29.5,30.700001,30.700001,25600
2010-02-22,31.200001,31.200001,29.700001,30.0,30.0,11200
2010-02-23,30.4,31.0,29.6,30.1,30.1,12500
2010-02-24,29.799999,30.299999,29.5,30.1,30.1,38100
2010-02-25,30.0,30.0,29.5,29.799999,29.799999,10800
2010-02-26,29.700001,30.5,27.5,30.5,30.5,11300
2010-03-01,31.1,31.6,30.299999,30.4,30.4,7200
2010-03-02,31.9,31.9,30.700001,31.200001,31.200001,8800
2010-03-03,31.6,31.6,30.5,31.1,31.1,5200
2010-03-04,30.799999,31.0,30.4,30.6,30.6,6700
2010-03-05,30.9,31.0,30.200001,30.9,30.9,8800
2010-03-08,30.700001,31.0,30.5,30.700001,30.700001,3800
2010-03-09,31.1,31.9,30.799999,31.0,31.0,10900
2010-03-10,32.099998,32.099998,30.6,31.1,31.1,6300
2010-03-11,31.1,31.299999,30.700001,31.0,31.0,5400
2010-03-12,31.6,31.799999,30.200001,31.799999,31.799999,7800
2010-03-15,32.0,32.0,31.0,31.299999,31.299999,5200
2010-03-16,31.5,31.6,30.5,31.299999,31.299999,8300
2010-03-17,31.4,31.4,30.0,30.1,30.1,14000
2010-03-18,29.5,30.9,29.5,30.200001,30.200001,6600
2010-03-19,29.799999,30.4,29.700001,29.799999,29.799999,59300
2010-03-22,29.6,30.5,29.6,30.200001,30.200001,7600
2010-03-23,30.1,30.5,29.799999,30.0,30.0,29700
2010-03-24,30.1,31.0,30.1,31.0,31.0,7300
2010-03-25,30.700001,31.200001,30.6,31.1,31.1,9300
2010-03-26,30.799999,31.200001,30.0,31.1,31.1,13600
2010-03-29,31.200001,31.200001,30.5,30.700001,30.700001,5100
2010-03-30,30.4,30.700001,30.200001,30.5,30.5,5000
2010-03-31,30.299999,30.5,30.0,30.5,30.5,5600
2010-04-01,31.0,31.0,29.799999,30.4,30.4,36900
2010-04-05,31.0,31.0,29.200001,30.0,30.0,24300
2010-04-06,30.200001,30.200001,29.0,29.4,29.4,16200
2010-04-07,29.700001,29.700001,28.5,29.5,29.5,19000
2010-04-08,29.700001,29.700001,28.6,28.6,28.6,14100
2010-04-09,28.5,29.200001,28.1,28.799999,28.799999,12400
2010-04-12,29.200001,30.5,29.200001,30.1,30.1,20100
2010-04-13,29.799999,30.4,29.799999,30.299999,30.299999,9900
2010-04-14,30.5,30.9,30.0,30.700001,30.700001,7900
2010-04-15,31.0,31.0,29.9,30.200001,30.200001,9500
2010-04-16,30.1,30.5,29.799999,30.5,30.5,5800
2010-04-19,30.0,30.9,29.700001,30.200001,30.200001,2500
2010-04-20,30.6,31.0,29.9,31.0,31.0,7500
2010-04-21,30.5,30.9,30.1,30.1,30.1,4000
2010-04-22,29.5,30.5,29.5,30.1,30.1,9500
2010-04-23,30.200001,30.5,29.9,30.0,30.0,2700
2010-04-26,30.0,30.1,29.4,30.1,30.1,9300
2010-04-27,29.6,30.0,29.5,29.5,29.5,5900
2010-04-28,29.9,30.0,29.4,29.799999,29.799999,6600
2010-04-29,29.5,30.0,29.5,29.700001,29.700001,4500
2010-04-30,29.9,30.0,28.700001,29.6,29.6,8600
2010-05-03,29.4,30.799999,29.200001,29.700001,29.700001,14600
2010-05-04,31.799999,32.900002,31.1,31.799999,31.799999,42900
2010-05-05,31.9,32.599998,30.5,31.0,31.0,34700
2010-05-06,31.1,31.700001,30.1,30.9,30.9,24000
2010-05-07,30.5,31.0,30.0,30.799999,30.799999,20200
2010-05-10,32.099998,32.099998,31.200001,31.700001,31.700001,11600
2010-05-11,31.700001,32.0,31.0,31.700001,31.700001,34200
2010-05-12,31.9,32.799999,31.5,32.700001,32.700001,32000
2010-05-13,32.599998,33.0,32.0,33.0,33.0,17400
2010-05-14,32.0,33.0,31.6,32.299999,32.299999,19300
2010-05-17,34.599998,37.0,33.0,35.099998,35.099998,92900
2010-05-18,35.700001,36.299999,34.0,35.200001,35.200001,35900
2010-05-19,34.900002,35.900002,34.900002,35.299999,35.299999,32300
2010-05-20,34.0,34.400002,33.0,33.599998,33.599998,20700
2010-05-21,34.099998,34.099998,32.0,33.700001,33.700001,12000
2010-05-24,33.299999,35.700001,33.200001,34.900002,34.900002,17300
2010-05-25,33.900002,34.200001,32.900002,33.700001,33.700001,15600
2010-05-26,34.299999,35.400002,33.700001,34.900002,34.900002,16000
2010-05-27,35.700001,35.700001,34.400002,35.099998,35.099998,18500
2010-05-28,35.299999,36.400002,34.5,35.5,35.5,15400
2010-06-01,35.200001,36.200001,34.900002,35.400002,35.400002,14000
2010-06-02,35.900002,36.400002,34.299999,36.400002,36.400002,12300
2010-06-03,36.099998,36.700001,35.099998,35.700001,35.700001,19000
2010-06-04,34.700001,35.799999,34.099998,34.200001,34.200001,11400
2010-06-07,34.200001,35.0,33.599998,33.700001,33.700001,12500
2010-06-08,33.400002,34.299999,32.900002,33.5,33.5,12800
2010-06-09,32.799999,33.700001,32.799999,33.400002,33.400002,12900
2010-06-10,34.900002,34.900002,33.299999,34.200001,34.200001,17700
2010-06-11,32.799999,34.0,32.799999,33.900002,33.900002,6200
2010-06-14,34.5,36.400002,34.400002,35.599998,35.599998,27300
2010-06-15,37.299999,38.0,36.599998,37.700001,37.700001,48100
2010-06-16,37.599998,37.700001,34.5,35.099998,35.099998,44600
2010-06-17,35.900002,35.900002,34.5,34.799999,34.799999,6700
2010-06-18,34.599998,34.599998,33.0,33.400002,33.400002,45400
2010-06-21,33.299999,34.299999,31.700001,32.200001,32.200001,37100
2010-06-22,32.200001,32.900002,31.1,31.6,31.6,25500
2010-06-23,31.200001,31.799999,30.299999,31.0,31.0,29600
2010-06-24,30.5,31.200001,30.0,30.299999,30.299999,26400
2010-06-25,30.799999,32.599998,30.200001,31.299999,31.299999,251300
2010-06-28,31.0,31.5,30.299999,30.6,30.6,20400
2010-06-29,30.700001,30.700001,29.4,30.200001,30.200001,23500
2010-06-30,30.299999,30.5,29.6,30.200001,30.200001,20300
2010-07-01,29.9,30.700001,29.299999,30.5,30.5,16500
2010-07-02,30.5,31.1,29.1,29.5,29.5,10300
2010-07-06,30.4,30.4,28.1,28.4,28.4,18800
2010-07-07,28.4,29.299999,27.200001,29.200001,29.200001,19400
2010-07-08,29.4,30.700001,27.4,30.299999,30.299999,13600
2010-07-09,30.299999,31.5,29.9,31.200001,31.200001,6800
2010-07-12,31.1,31.5,28.200001,30.799999,30.799999,11500
2010-07-13,30.9,31.299999,30.200001,30.9,30.9,14000
2010-07-14,30.9,31.0,30.200001,30.6,30.6,10500
2010-07-15,30.5,30.700001,30.200001,30.5,30.5,8500
2010-07-16,30.5,30.5,28.5,28.6,28.6,13100
2010-07-19,28.5,29.4,28.5,29.0,29.0,6500
2010-07-20,28.6,29.799999,27.9,29.0,29.0,8200
2010-07-21,29.200001,29.5,28.0,28.0,28.0,7200
2010-07-22,28.299999,29.4,28.299999,28.799999,28.799999,9800
2010-07-23,28.6,29.299999,28.5,29.1,29.1,7900
2010-07-26,29.1,29.9,29.1,29.9,29.9,9200
2010-07-27,30.1,30.700001,29.700001,30.700001,30.700001,13500
2010-07-28,30.4,30.700001,29.4,29.6,29.6,7000
2010-07-29,30.700001,36.599998,30.6,36.5,36.5,70700
2010-07-30,36.5,37.5,35.0,36.5,36.5,37400
2010-08-02,36.5,37.299999,35.700001,37.0,37.0,26700
2010-08-03,36.900002,39.5,36.900002,39.200001,39.200001,42500
2010-08-04,39.900002,42.200001,39.200001,41.599998,41.599998,67000
2010-08-05,41.599998,42.5,41.599998,42.400002,42.400002,32400
2010-08-06,41.599998,45.0,41.599998,44.200001,44.200001,28100
2010-08-09,45.0,47.400002,44.799999,46.0,46.0,48200
2010-08-10,46.200001,46.200001,39.0,44.900002,44.900002,21600
2010-08-11,43.400002,44.799999,40.599998,42.099998,42.099998,25800
