Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16.1,16.299999,15.64,16.16,15.195286,39000
2010-01-05,16.200001,16.379999,15.3,15.34,14.424239,44900
2010-01-06,15.3,15.52,14.32,14.5,13.634384,52300
2010-01-07,14.52,15.08,14.06,14.98,14.085729,38400
2010-01-08,14.88,15.3,14.78,15.0,14.104535,21400
2010-01-11,15.16,15.16,14.7,15.0,14.104535,25800
2010-01-12,14.82,15.46,14.38,14.98,14.085729,39500
2010-01-13,15.1,15.34,14.84,15.22,14.311401,20500
2010-01-14,15.12,15.6,15.1,15.5,14.574686,24000
2010-01-15,15.56,15.6,14.5,14.76,13.878861,57100
2010-01-19,14.8,15.52,14.76,15.42,14.499463,33600
2010-01-20,15.24,15.24,14.72,15.02,14.123343,26500
2010-01-21,15.1,15.16,14.28,14.56,13.690802,47300
2010-01-22,14.52,14.8,13.7,13.92,13.089008,41500
2010-01-25,14.12,14.76,14.12,14.34,13.483935,26100
2010-01-26,14.24,14.5,13.82,14.12,13.277068,31500
2010-01-27,14.02,15.0,13.82,14.88,13.991698,22300
2010-01-28,14.92,14.92,13.94,14.2,13.352293,48700
2010-01-29,14.32,14.32,14.06,14.18,13.333488,24000
2010-02-01,14.22,14.34,14.06,14.2,13.352293,20300
2010-02-02,14.18,14.62,13.96,14.06,13.220652,54100
2010-02-03,14.02,14.2,13.8,13.96,13.12662,47700
2010-02-04,13.92,14.0,13.52,13.52,12.71289,46300
2010-02-05,13.54,14.06,13.3,14.06,13.220652,33000
2010-02-08,14.0,14.0,13.42,13.58,12.769306,33900
2010-02-09,13.82,13.88,13.42,13.68,12.863338,31900
2010-02-10,13.58,13.76,13.5,13.7,12.882141,30200
2010-02-11,13.62,14.34,13.62,14.3,13.446323,24800
2010-02-12,14.08,14.74,13.96,14.68,13.803638,31700
2010-02-16,14.86,15.14,14.64,15.1,14.198566,18700
2010-02-17,15.4,15.7,14.26,14.42,13.55916,70200
2010-02-18,14.42,14.98,14.02,14.72,13.84125,34000
2010-02-19,14.72,16.18,14.4,16.040001,15.082451,93500
2010-02-22,16.08,17.34,15.76,17.0,15.985141,118300
2010-02-23,16.940001,16.940001,16.139999,16.5,15.51499,43200
2010-02-24,16.620001,16.700001,16.360001,16.6,15.60902,78500
2010-02-25,16.280001,16.719999,16.26,16.719999,15.721853,30700
