Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,3.0,3.4,2.8,3.0,3.0,48017
2012-02-07,3.2,4.6,3.0,4.6,4.6,76312
2012-02-08,4.6,4.6,3.2,3.4,3.4,74231
2012-02-09,3.4,3.6,3.2,3.2,3.2,7724
2012-02-10,3.2,3.8,3.2,3.8,3.8,9671
2012-02-13,3.8,3.8,3.2,3.6,3.6,5503
2012-02-14,3.6,3.8,3.4,3.6,3.6,10989
2012-02-15,3.4,3.6,3.4,3.6,3.6,6206
2012-02-16,3.4,3.6,3.4,3.4,3.4,3447
2012-02-17,3.4,3.4,2.8,3.0,3.0,19691
2012-02-21,3.4,3.6,3.2,3.4,3.4,32790
2012-02-22,3.4,4.4,3.4,4.2,4.2,52701
2012-02-23,4.4,4.4,3.8,3.8,3.8,8631
2012-02-24,3.8,4.2,3.8,4.2,4.2,1652
2012-02-27,4.0,4.0,3.8,3.8,3.8,2794
2012-02-28,3.6,4.2,3.6,4.2,4.2,12227
2012-02-29,3.8,5.6,3.8,5.6,5.6,33902
2012-03-01,5.4,5.6,4.6,5.2,5.2,6877
2012-03-02,5.2,5.6,4.4,5.4,5.4,16310
2012-03-05,4.8,5.2,4.8,5.2,5.2,1536
2012-03-06,4.6,4.8,4.4,4.8,4.8,2378
2012-03-07,4.4,5.6,4.4,5.6,5.6,9360
2012-03-08,5.6,5.8,5.2,5.6,5.6,7813
2012-03-09,5.6,5.6,5.2,5.6,5.6,2089
2012-03-12,5.8,6.6,5.4,6.6,6.6,18664
2012-03-13,6.6,6.8,5.4,5.8,5.8,11521
2012-03-14,5.8,6.0,5.2,5.8,5.8,5337
2012-03-15,5.8,6.0,5.2,5.6,5.6,3470
2012-03-16,5.4,6.0,5.0,6.0,6.0,14654
2012-03-19,6.0,6.2,5.6,6.2,6.2,5262
2012-03-20,6.0,6.2,5.6,6.0,6.0,3776
2012-03-21,6.0,6.8,5.8,6.8,6.8,18552
2012-03-22,6.4,7.2,6.4,6.8,6.8,2971
2012-03-23,6.6,7.2,6.6,7.2,7.2,6206
2012-03-26,7.2,7.2,6.6,7.2,7.2,7339
2012-03-27,7.2,7.4,6.8,7.2,7.2,8268
2012-03-28,7.0,7.6,5.6,7.6,7.6,5743
2012-03-29,6.6,6.6,5.0,5.2,5.2,56418
2012-03-30,5.0,5.0,3.2,3.8,3.8,80382
2012-04-02,3.8,4.0,3.4,3.8,3.8,25030
2012-04-03,3.8,4.0,3.6,4.0,4.0,4530
2012-04-04,3.8,4.0,3.6,4.0,4.0,12448
2012-04-05,3.6,3.8,3.6,3.8,3.8,1358
2012-04-09,3.8,3.8,3.8,3.8,3.8,0
2012-04-10,3.6,3.8,3.6,3.8,3.8,8148
2012-04-11,3.6,3.6,3.2,3.6,3.6,4409
2012-04-12,3.6,3.8,3.4,3.8,3.8,1272
2012-04-13,3.4,4.0,3.4,4.0,4.0,4235
2012-04-16,3.8,3.8,3.6,3.8,3.8,610
2012-04-17,3.6,4.2,3.6,4.2,4.2,16326
2012-04-18,4.4,4.4,4.0,4.4,4.4,11780
2012-04-19,4.2,4.4,4.0,4.4,4.4,2639
2012-04-20,4.6,5.0,4.4,5.0,5.0,15527
2012-04-23,4.6,4.8,4.6,4.8,4.8,5804
2012-04-24,4.4,5.0,4.4,4.4,4.4,2240
2012-04-25,4.2,4.4,4.0,4.2,4.2,1351
2012-04-26,4.2,4.2,4.2,4.2,4.2,300
2012-04-27,4.4,4.4,4.4,4.4,4.4,14
2012-04-30,4.0,4.0,3.6,4.0,4.0,6868
2012-05-01,4.4,4.4,4.4,4.4,4.4,0
2012-05-02,4.0,4.0,3.6,3.8,3.8,3014
2012-05-03,3.8,3.8,3.8,3.8,3.8,0
2012-05-04,3.8,3.8,3.6,3.6,3.6,44
2012-05-07,3.6,3.6,2.8,3.2,3.2,23067
2012-05-08,3.2,3.2,2.6,3.0,3.0,15448
2012-05-09,2.8,3.0,2.6,3.0,3.0,4104
2012-05-10,3.0,3.0,3.0,3.0,3.0,0
2012-05-11,2.8,2.8,2.6,2.6,2.6,8150
2012-05-14,2.6,2.8,2.4,2.8,2.8,1246
2012-05-15,2.4,2.8,2.4,2.8,2.8,6298
2012-05-16,2.6,2.6,2.2,2.4,2.4,10864
2012-05-17,2.4,2.4,2.2,2.4,2.4,7432
2012-05-18,2.2,2.4,2.2,2.4,2.4,706
2012-05-21,2.4,2.4,2.4,2.4,2.4,125
2012-05-22,2.2,2.4,2.0,2.4,2.4,2176
2012-05-23,2.2,2.2,2.2,2.2,2.2,6850
2012-05-24,2.0,2.2,2.0,2.2,2.2,251
2012-05-25,2.0,2.2,2.0,2.2,2.2,1671
2012-05-29,2.2,2.4,2.2,2.4,2.4,1344
2012-05-30,2.2,2.4,2.2,2.4,2.4,656
2012-05-31,2.2,2.4,2.2,2.4,2.4,559
2012-06-01,2.2,2.4,2.0,2.4,2.4,2481
2012-06-04,2.2,2.4,2.2,2.4,2.4,573
2012-06-05,2.4,2.4,2.4,2.4,2.4,0
2012-06-06,2.2,2.4,2.2,2.4,2.4,479
2012-06-07,2.4,2.4,2.4,2.4,2.4,0
2012-06-08,2.4,2.4,2.2,2.4,2.4,376
2012-06-11,2.2,2.4,2.0,2.4,2.4,1752
2012-06-12,2.4,2.4,2.4,2.4,2.4,0
2012-06-13,2.0,2.2,2.0,2.2,2.2,463
2012-06-14,2.2,2.2,2.2,2.2,2.2,0
2012-06-15,2.0,2.4,2.0,2.2,2.2,8210
2012-06-18,2.2,2.2,2.2,2.2,2.2,11
2012-06-19,2.0,2.2,2.0,2.2,2.2,125
2012-06-20,2.0,2.0,1.8,1.8,1.8,10622
2012-06-21,2.0,2.0,1.8,1.8,1.8,2228
2012-06-22,1.6,1.8,1.6,1.8,1.8,15
2012-06-25,1.8,1.8,1.8,1.8,1.8,0
2012-06-26,1.8,2.0,1.6,1.8,1.8,6734
2012-06-27,1.4,1.6,1.4,1.6,1.6,977
2012-06-28,1.6,1.8,1.6,1.8,1.8,3974
2012-06-29,1.6,1.6,1.6,1.6,1.6,250
2012-07-02,1.6,1.8,1.6,1.8,1.8,1511
2012-07-03,1.6,1.6,1.4,1.6,1.6,350
2012-07-05,1.6,1.8,1.4,1.8,1.8,1869
2012-07-06,1.6,1.6,1.6,1.6,1.6,6930
2012-07-09,1.4,1.4,1.4,1.4,1.4,2028
2012-07-10,1.4,1.4,1.4,1.4,1.4,772
2012-07-11,1.4,1.4,1.4,1.4,1.4,1696
2012-07-12,1.4,1.4,1.4,1.4,1.4,254
2012-07-13,1.4,1.4,1.4,1.4,1.4,0
2012-07-16,1.4,1.4,1.4,1.4,1.4,35
2012-07-17,1.6,1.6,1.6,1.6,1.6,1250
2012-07-18,1.6,1.6,1.6,1.6,1.6,1650
2012-07-19,1.6,1.6,1.6,1.6,1.6,0
2012-07-20,1.4,1.4,1.4,1.4,1.4,339
2012-07-23,1.6,1.6,1.4,1.6,1.6,12350
2012-07-24,1.6,1.8,1.4,1.8,1.8,11197
2012-07-25,1.6,1.6,1.6,1.6,1.6,225
2012-07-26,1.4,1.6,1.4,1.4,1.4,7791
2012-07-27,1.4,1.4,1.4,1.4,1.4,0
2012-07-30,1.4,1.6,1.4,1.6,1.6,5950
2012-07-31,1.4,1.4,1.4,1.4,1.4,6663
2012-08-01,1.4,1.4,1.4,1.4,1.4,528
2012-08-02,1.4,1.6,1.4,1.4,1.4,4822
2012-08-03,1.4,1.4,1.4,1.4,1.4,2750
2012-08-06,1.6,1.6,1.6,1.6,1.6,2000
2012-08-07,1.4,1.4,1.4,1.4,1.4,1450
2012-08-08,1.4,1.4,1.4,1.4,1.4,0
2012-08-09,1.4,1.4,1.4,1.4,1.4,0
2012-08-10,1.4,1.4,1.4,1.4,1.4,4000
2012-08-13,1.4,1.4,1.4,1.4,1.4,0
2012-08-14,1.4,1.4,1.4,1.4,1.4,1950
2012-08-15,1.4,1.4,1.4,1.4,1.4,0
2012-08-16,1.4,1.4,1.2,1.2,1.2,2600
2012-08-17,1.4,1.4,1.4,1.4,1.4,300
2012-08-20,1.4,1.4,1.4,1.4,1.4,1867
2012-08-21,1.4,1.4,1.4,1.4,1.4,0
2012-08-22,1.6,1.6,1.2,1.6,1.6,16
2012-08-23,1.6,1.6,1.6,1.6,1.6,0
2012-08-24,1.6,1.6,1.6,1.6,1.6,0
2012-08-27,1.6,1.6,1.6,1.6,1.6,0
2012-08-28,1.6,1.6,1.6,1.6,1.6,0
2012-08-29,1.6,1.6,1.6,1.6,1.6,0
2012-08-30,1.6,1.6,1.6,1.6,1.6,0
2012-08-31,1.6,1.6,1.4,1.4,1.4,75
2012-09-04,1.2,1.4,1.2,1.4,1.4,1050
2012-09-05,1.2,1.2,1.2,1.2,1.2,1527
2012-09-06,1.0,1.4,1.0,1.4,1.4,12767
2012-09-07,1.2,1.2,1.2,1.2,1.2,400
2012-09-10,1.4,1.4,1.4,1.4,1.4,9579
2012-09-11,1.4,1.4,1.4,1.4,1.4,172
2012-09-12,1.4,1.4,1.4,1.4,1.4,328
2012-09-13,1.4,1.6,1.4,1.6,1.6,1650
2012-09-14,1.6,1.6,1.6,1.6,1.6,0
2012-09-17,1.6,1.6,1.6,1.6,1.6,0
2012-09-18,1.4,1.4,1.4,1.4,1.4,1742
2012-09-19,1.4,1.6,1.4,1.6,1.6,555
2012-09-20,1.6,1.6,1.6,1.6,1.6,305
