Date,Open,High,Low,Close,Adj Close,Volume
2010-11-11,8.5,8.98,7.73,8.0,8.0,1722702
2010-11-12,8.01,8.01,7.12,7.42,7.42,1977217
2010-11-15,8.0,8.0,7.0,7.19,7.19,162360
2010-11-16,7.02,7.32,6.82,6.95,6.95,132416
2010-11-17,7.0,7.25,6.9,6.94,6.94,83459
2010-11-18,7.07,7.38,6.97,7.25,7.25,101008
2010-11-19,7.4,7.53,7.25,7.25,7.25,159499
2010-11-22,7.28,8.45,7.277,7.84,7.84,126118
2010-11-23,7.95,8.0,7.82,7.91,7.91,34553
2010-11-24,7.91,8.27,7.89,7.95,7.95,202230
2010-11-26,7.95,8.0,7.7,7.76,7.76,15612
2010-11-29,7.77,7.77,7.371,7.7,7.7,29622
2010-11-30,7.68,7.75,7.4,7.75,7.75,43209
2010-12-01,7.79,8.18,7.5001,7.85,7.85,343044
2010-12-02,7.88,7.97,7.68,7.86,7.86,31582
2010-12-03,7.77,7.86,7.0,7.07,7.07,205787
2010-12-06,7.11,7.5028,7.11,7.4,7.4,55816
2010-12-07,7.29,7.5099,7.0401,7.09,7.09,71197
2010-12-08,7.04,7.3,7.01,7.15,7.15,41610
2010-12-09,7.45,7.56,7.1,7.25,7.25,46690
2010-12-10,7.21,7.57,7.01,7.57,7.57,49049
2010-12-13,7.66,7.72,7.3,7.38,7.38,65387
2010-12-14,7.33,7.4,6.85,6.95,6.95,173145
2010-12-15,6.95,7.04,6.72,6.97,6.97,94434
2010-12-16,7.04,7.06,6.8,6.85,6.85,115047
2010-12-17,6.88,6.88,6.66,6.86,6.86,559588
2010-12-20,7.31,7.31,6.6,6.89,6.89,56108
2010-12-21,7.09,7.52,7.0,7.47,7.47,271914
2010-12-22,7.54,7.72,7.43,7.5,7.5,67778
2010-12-23,7.47,7.57,7.41,7.43,7.43,71430
2010-12-27,7.38,7.5,7.35,7.44,7.44,28859
2010-12-28,7.51,7.5897,7.3601,7.46,7.46,55544
2010-12-29,7.5,7.52,7.43,7.5,7.5,40718
2010-12-30,7.52,7.54,7.4495,7.5,7.5,38059
2010-12-31,7.48,7.52,7.45,7.47,7.47,46299
2011-01-03,7.52,8.0,7.5,7.89,7.89,240556
2011-01-04,7.95,8.25,7.6901,7.89,7.89,70650
2011-01-05,8.0,8.22,7.84,8.04,8.04,148674
2011-01-06,7.99,8.055,7.89,7.99,7.99,31494
2011-01-07,8.0,8.03,7.69,7.95,7.95,57504
2011-01-10,7.96,8.27,7.6,7.6,7.6,67158
2011-01-11,7.6,8.06,7.48,8.0,8.0,125134
2011-01-12,8.0,8.17,7.821,7.91,7.91,82859
2011-01-13,7.8,8.04,7.65,7.78,7.78,270835
2011-01-14,8.0,8.0,7.76,7.93,7.93,78774
2011-01-18,8.0,8.06,7.9,8.0,8.0,257272
2011-01-19,7.97,8.03,7.9,7.92,7.92,44792
2011-01-20,7.85,7.97,7.72,7.9,7.9,107707
2011-01-21,7.92,8.06,7.85,7.87,7.87,129859
2011-01-24,7.9,8.1,7.76,7.95,7.95,191092
