Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.98,9.135,8.96,9.135,7.393208,1461600
2010-01-05,9.135,9.38,8.985,9.365,7.625261,1936600
2010-01-06,9.335,9.495,9.3,9.375,7.633403,2536000
2010-01-07,9.34,9.4,9.305,9.37,7.629332,1842600
2010-01-08,9.33,9.435,9.33,9.385,7.641546,1113000
2010-01-11,9.395,9.46,9.285,9.295,7.568264,1277600
2010-01-12,9.27,9.285,8.89,9.045,7.364708,2489600
2010-01-13,9.105,9.24,9.015,9.215,7.503126,1349800
2010-01-14,9.215,9.215,9.08,9.155,7.454272,973200
2010-01-15,9.225,9.355,9.105,9.14,7.442062,1656200
2010-01-19,9.185,9.23,9.105,9.225,7.51127,1493400
2010-01-20,9.15,9.215,9.005,9.085,7.397278,1538400
2010-01-21,9.12,9.185,8.995,9.0,7.328069,2083000
2010-01-22,9.02,9.03,8.755,8.79,7.157079,1426600
2010-01-25,8.885,8.98,8.695,8.735,7.112295,1331400
2010-01-26,8.735,8.835,8.65,8.715,7.096013,1461400
2010-01-27,8.365,8.74,8.27,8.725,7.104155,2642800
2010-01-28,9.875,10.0,9.035,9.39,7.645618,9619000
2010-01-29,9.5,9.85,9.495,9.585,7.804391,8051200
2010-02-01,9.555,9.935,9.555,9.905,8.064947,6689400
2010-02-02,9.895,10.07,9.79,10.005,8.146368,4080000
2010-02-03,9.93,10.04,9.805,10.01,8.150439,3566000
2010-02-04,9.905,9.905,9.625,9.735,7.926525,3514400
2010-02-05,9.695,9.7,9.23,9.465,7.706683,3228600
2010-02-08,9.5,9.5,9.24,9.29,7.564192,2126800
2010-02-09,9.375,9.46,9.225,9.33,7.596763,1938200
2010-02-10,9.285,9.395,9.2,9.265,7.54384,1748400
2010-02-11,9.24,9.465,9.14,9.395,7.649688,2108000
2010-02-12,9.265,9.42,9.145,9.415,7.665973,2743400
2010-02-16,9.495,9.665,9.385,9.605,7.820675,3437200
2010-02-17,9.59,9.875,9.59,9.83,8.00388,4448400
2010-02-18,9.85,9.89,9.695,9.71,7.906171,2803800
2010-02-19,9.69,9.775,9.57,9.735,7.926525,1565400
2010-02-22,9.79,9.815,9.575,9.755,7.942812,2317600
2010-02-23,9.705,9.8,9.63,9.675,7.877673,2373600
2010-02-24,9.675,9.815,9.575,9.76,7.946881,1992600
2010-02-25,9.585,9.755,9.45,9.745,7.934671,2066000
