Date,Open,High,Low,Close,Adj Close,Volume
2019-10-25,4.9,4.9,4.2,4.5,4.5,658200
2019-10-28,4.39,4.41,4.12,4.3,4.3,116600
2019-10-29,4.39,4.39,3.91,4.23,4.23,136100
2019-10-30,4.22,4.49,4.22,4.41,4.41,44200
2019-10-31,4.49,4.7,4.41,4.7,4.7,48200
2019-11-01,4.68,4.95,4.611,4.86,4.86,79100
2019-11-04,4.97,5.239,4.75,4.873,4.873,36100
2019-11-05,4.81,4.95,4.66,4.84,4.84,53600
2019-11-06,4.91,4.91,4.7,4.74,4.74,12600
2019-11-07,4.74,4.753,4.413,4.7,4.7,9100
2019-11-08,4.49,4.5,4.066,4.49,4.49,13300
2019-11-11,4.21,4.65,4.17,4.63,4.63,37200
2019-11-12,4.549,4.71,4.51,4.57,4.57,16200
2019-11-13,4.33,5.032,4.3,4.86,4.86,46900
2019-11-14,4.6,5.0,4.6,5.0,5.0,37900
2019-11-15,5.029,5.24,4.86,5.19,5.19,49400
2019-11-18,5.15,5.15,4.801,4.95,4.95,13900
2019-11-19,4.9,4.94,4.66,4.79,4.79,45800
2019-11-20,4.8,4.8,4.575,4.6,4.6,14800
2019-11-21,4.59,4.75,4.53,4.75,4.75,12000
2019-11-22,4.75,4.815,4.65,4.74,4.74,21300
2019-11-25,4.8,4.92,4.75,4.897,4.897,9300
2019-11-26,4.85,4.85,4.75,4.82,4.82,18600
2019-11-27,4.799,5.1,4.74,4.98,4.98,43000
2019-11-29,4.81,4.91,4.81,4.9,4.9,2400
2019-12-02,4.813,4.824,4.8,4.824,4.824,3900
2019-12-03,4.9,4.9,4.744,4.744,4.744,8300
2019-12-04,4.866,5.05,4.7,5.05,5.05,58500
2019-12-05,4.989,5.0,4.81,4.81,4.81,8200
2019-12-06,4.884,4.884,4.74,4.8,4.8,9300
2019-12-09,4.7,4.88,4.7,4.72,4.72,7400
2019-12-10,4.73,4.9,4.71,4.71,4.71,5700
2019-12-11,4.746,4.78,4.66,4.76,4.76,8900
2019-12-12,4.792,4.792,4.69,4.724,4.724,34200
2019-12-13,4.7,4.72,4.57,4.717,4.717,12500
2019-12-16,4.71,4.71,4.4,4.4,4.4,15100
2019-12-17,4.583,4.583,4.4,4.502,4.502,4300
2019-12-18,4.56,4.56,4.32,4.32,4.32,2900
2019-12-19,4.463,4.6,4.3,4.3,4.3,4100
2019-12-20,4.31,4.5,4.27,4.5,4.5,3500
2019-12-23,4.48,4.67,4.02,4.5,4.5,37000
2019-12-24,4.37,4.496,4.37,4.496,4.496,600
2019-12-26,4.667,4.667,4.17,4.566,4.566,46700
2019-12-27,4.56,4.56,4.18,4.18,4.18,25900
2019-12-30,4.33,4.55,4.12,4.37,4.37,15200
