Date,Open,High,Low,Close,Adj Close,Volume
2013-05-03,15.0,15.06,14.87,15.0,7.580737,317800
2013-05-06,14.98,15.17,14.95,15.12,7.641381,29700
2013-05-07,15.06,15.2,15.0,15.0,7.580737,26200
2013-05-08,14.55,15.1,14.55,15.1,7.631276,26300
2013-05-09,15.01,15.1,15.0,15.01,7.585789,7000
2013-05-10,15.25,15.25,15.06,15.09,7.626221,9000
2013-05-13,15.03,15.1,14.96,15.1,7.631276,9700
2013-05-14,15.1,15.1,14.97,15.06,7.611059,33700
2013-05-15,15.15,15.16,15.0,15.1,7.631276,43300
2013-05-16,15.1,15.1,15.0,15.06,7.611059,36200
2013-05-17,15.05,15.09,15.02,15.02,7.590842,6500
2013-05-20,15.0,15.1,15.0,15.09,7.626221,34900
2013-05-21,15.19,15.19,15.02,15.02,7.590842,8300
2013-05-22,15.03,15.1,15.0,15.1,7.631276,16100
2013-05-23,15.05,15.1,14.96,15.1,7.631276,20200
2013-05-24,15.04,15.24,15.04,15.24,7.702028,11300
2013-05-28,15.25,15.25,14.82,14.91,7.53525,43200
2013-05-29,14.94,15.06,14.88,14.95,7.555465,9000
2013-05-30,15.03,15.2,15.02,15.02,7.590842,5300
2013-05-31,15.0,15.24,15.0,15.06,7.611059,18000
2013-06-03,15.06,15.1,15.0,15.07,7.616112,38200
2013-06-04,15.25,15.25,14.83,15.12,7.641381,9400
2013-06-05,15.0,15.2,15.0,15.15,7.656545,34100
2013-06-06,15.07,15.08,15.0,15.05,7.606003,19700
2013-06-07,15.17,15.2,15.07,15.07,7.616112,32100
2013-06-10,15.17,15.2,14.85,14.86,7.509983,16600
2013-06-11,14.91,15.04,14.91,15.0,7.580737,19500
2013-06-12,15.0,15.1,14.82,14.83,7.494822,62400
2013-06-13,14.94,15.0,14.8,14.98,7.570627,6200
2013-06-14,14.8,14.99,14.8,14.93,7.545358,8500
2013-06-17,14.95,15.64,14.95,15.64,7.904181,52100
2013-06-18,15.21,15.6,15.11,15.11,7.680525,49200
2013-06-19,15.21,15.49,14.95,14.95,7.599195,65500
2013-06-20,14.92,15.2,14.82,15.0,7.624612,23900
2013-06-21,15.09,15.19,15.0,15.14,7.695773,13000
2013-06-24,15.03,15.19,14.95,15.18,7.716106,2500
2013-06-25,15.09,15.2,14.73,15.19,7.72119,25200
2013-06-26,15.13,15.2,15.06,15.06,7.65511,3100
2013-06-27,15.1,15.2,14.96,15.2,7.726272,42300
2013-06-28,15.15,15.34,15.0,15.09,7.67036,62000
2013-07-01,15.09,15.19,14.9,14.93,7.589029,23100
2013-07-02,15.18,15.2,14.96,14.96,7.60428,10800
2013-07-03,14.85,15.41,14.85,15.09,7.67036,7400
2013-07-05,15.11,15.2,14.88,15.2,7.726272,11600
2013-07-08,15.19,15.2,14.83,15.05,7.650025,9600
2013-07-09,15.01,15.4,14.75,15.17,7.7691,15900
2013-07-10,15.19,15.19,14.96,15.15,7.758856,16400
2013-07-11,15.1,15.19,15.1,15.14,7.753734,12100
2013-07-12,15.0,15.1,15.0,15.09,7.728127,20600
2013-07-15,15.08,15.1,15.02,15.05,7.707638,15000
2013-07-16,15.05,15.19,15.01,15.19,7.77934,19500
2013-07-17,15.17,15.2,15.01,15.05,7.707638,22500
2013-07-18,15.15,15.2,15.02,15.15,7.758856,23200
2013-07-19,15.19,15.19,14.85,14.85,7.605217,42700
2013-07-22,14.91,15.24,14.64,14.75,7.554004,45300
2013-07-23,14.76,15.05,14.76,14.81,7.584728,20000
2013-07-24,14.87,15.19,14.87,14.87,7.615458,48100
2013-07-25,15.03,15.03,14.9,14.99,7.676912,10500
2013-07-26,14.95,15.2,14.94,15.14,7.753734,23200
2013-07-29,15.24,15.25,15.0,15.0,7.682036,23800
2013-07-30,15.03,15.6,14.99,15.55,7.963712,18700
2013-07-31,15.56,15.56,14.9,15.29,7.830554,18300
2013-08-01,15.34,15.34,15.31,15.31,7.840798,1300
2013-08-02,15.41,15.5,15.06,15.5,7.938102,2300
2013-08-05,15.5,15.64,15.1,15.35,7.861281,27900
2013-08-06,15.32,15.32,15.0,15.01,7.687157,29100
2013-08-07,15.06,15.38,15.04,15.08,7.723005,9100
2013-08-08,15.29,15.33,15.11,15.3,7.835675,7600
2013-08-09,15.29,15.44,15.0,15.17,7.7691,12700
2013-08-12,15.01,15.1,14.76,15.0,7.682036,37700
2013-08-13,14.86,15.16,14.65,14.73,7.543757,48700
2013-08-14,14.82,15.06,14.82,14.9,7.630819,8400
2013-08-15,14.85,14.95,14.8,14.8,7.579606,24900
2013-08-16,14.88,14.9,14.85,14.89,7.625697,3000
2013-08-19,15.05,15.51,15.05,15.3,7.835675,4500
2013-08-20,15.23,15.3,15.0,15.2,7.78446,10300
2013-08-21,15.21,15.21,14.8,14.86,7.667082,10000
2013-08-22,15.12,15.2,14.78,15.2,7.842508,11900
