Date,Open,High,Low,Close,Adj Close,Volume
2016-12-27,7.0,7.02,5.8,5.85,5.85,12500
2016-12-28,6.02,6.2,5.67,5.68,5.68,17800
2016-12-29,5.5,5.65,5.19,5.4,5.4,17600
2016-12-30,5.29,5.29,4.9,4.95,4.95,10500
2017-01-03,5.0,5.0,4.677,4.677,4.677,23000
2017-01-04,4.75,5.93,4.55,5.93,5.93,24600
2017-01-05,5.9,5.9,4.95,5.0,5.0,38900
2017-01-06,5.3,5.3,5.03,5.12,5.12,30600
2017-01-09,5.26,5.462,4.68,4.68,4.68,14100
2017-01-10,4.96,4.97,4.19,4.21,4.21,19900
2017-01-11,4.16,4.9,4.16,4.25,4.25,26100
2017-01-12,4.4,4.4,4.051,4.27,4.27,17700
2017-01-13,4.474,4.474,3.941,4.15,4.15,36700
2017-01-17,4.33,4.5,4.2,4.36,4.36,115300
2017-01-18,4.45,4.455,4.03,4.2,4.2,51600
2017-01-19,4.09,4.166,4.02,4.05,4.05,29000
2017-01-20,4.22,4.22,4.05,4.06,4.06,34800
2017-01-23,4.05,4.28,4.05,4.09,4.09,26600
2017-01-24,4.03,4.25,4.03,4.177,4.177,37700
2017-01-25,4.12,4.2,4.02,4.03,4.03,31900
2017-01-26,4.13,4.15,4.05,4.05,4.05,19100
2017-01-27,4.05,4.055,3.9,3.96,3.96,5600
2017-01-30,3.74,3.89,3.01,3.8,3.8,4700
2017-01-31,3.9,3.9,3.53,3.7,3.7,17500
2017-02-01,3.97,3.997,3.7,3.96,3.96,11100
2017-02-02,3.89,3.94,3.7,3.7,3.7,12600
2017-02-03,3.84,3.95,3.8,3.95,3.95,10800
2017-02-06,4.02,4.04,3.8,4.025,4.025,12600
2017-02-07,4.01,4.07,4.01,4.04,4.04,10400
2017-02-08,4.05,4.085,4.01,4.07,4.07,12700
2017-02-09,4.07,4.09,4.03,4.09,4.09,14700
2017-02-10,4.09,4.09,3.99,4.02,4.02,10700
2017-02-13,4.08,4.1,4.02,4.07,4.07,37700
2017-02-14,4.1,4.14,4.02,4.06,4.06,38200
2017-02-15,4.1,4.1,4.02,4.034,4.034,25500
2017-02-16,4.1,4.1,4.0,4.06,4.06,30300
2017-02-17,4.1,4.43,4.01,4.2,4.2,38500
2017-02-21,4.46,4.46,3.92,4.14,4.14,28100
2017-02-22,4.03,4.14,3.98,4.04,4.04,38700
2017-02-23,3.98,4.09,3.92,4.04,4.04,31500
2017-02-24,3.97,4.09,3.77,4.02,4.02,37200
2017-02-27,4.08,4.08,3.8,3.96,3.96,26200
2017-02-28,3.98,4.06,3.75,3.78,3.78,40100
2017-03-01,3.99,4.0,3.8,3.82,3.82,20700
2017-03-02,3.89,3.89,3.08,3.3,3.3,50400
2017-03-03,3.45,3.57,3.27,3.46,3.46,43500
2017-03-06,3.5,3.65,3.32,3.35,3.35,60400
2017-03-07,3.4,3.9,3.4,3.69,3.69,23500
2017-03-08,3.88,3.93,3.43,3.93,3.93,50300
2017-03-09,3.71,3.99,3.61,3.99,3.99,38500
2017-03-10,3.97,4.08,3.6,4.07,4.07,63400
2017-03-13,4.08,4.4,3.85,3.99,3.99,76000
2017-03-14,4.17,4.17,3.84,3.99,3.99,39000
2017-03-15,3.95,4.0,3.8,3.9,3.9,29200
2017-03-16,3.93,3.99,3.56,3.89,3.89,42700
2017-03-17,3.99,4.001,3.67,3.67,3.67,51600
2017-03-20,3.74,3.74,3.49,3.52,3.52,39400
2017-03-21,3.68,3.68,3.25,3.45,3.45,14700
2017-03-22,3.36,3.56,3.29,3.41,3.41,46700
2017-03-23,3.62,3.62,3.3,3.36,3.36,29000
2017-03-24,3.53,3.53,3.31,3.35,3.35,32000
2017-03-27,3.41,3.41,3.283,3.36,3.36,29200
2017-03-28,3.6,3.6,3.28,3.45,3.45,41600
2017-03-29,3.4,3.44,3.29,3.44,3.44,38000
2017-03-30,3.42,3.42,3.27,3.36,3.36,24300
2017-03-31,3.39,3.4,3.15,3.26,3.26,24700
2017-04-03,3.37,3.394,2.62,3.19,3.19,37300
2017-04-04,3.22,3.22,3.15,3.18,3.18,12700
2017-04-05,3.49,3.49,2.88,3.31,3.31,17400
2017-04-06,3.34,3.34,3.25,3.32,3.32,10900
2017-04-07,3.36,3.4,2.93,3.35,3.35,11100
2017-04-10,3.42,3.42,3.266,3.35,3.35,9900
2017-04-11,3.35,3.48,3.19,3.4,3.4,14200
2017-04-12,3.47,3.67,3.23,3.47,3.47,17600
2017-04-13,3.421,3.54,3.421,3.54,3.54,12100
2017-04-17,3.44,3.6,3.42,3.56,3.56,29000
2017-04-18,3.45,3.67,3.42,3.66,3.66,33100
2017-04-19,3.49,3.67,3.45,3.67,3.67,17300
2017-04-20,3.46,3.74,3.41,3.74,3.74,26800
2017-04-21,3.52,3.75,3.52,3.75,3.75,22500
2017-04-24,3.74,3.95,3.68,3.94,3.94,33500
2017-04-25,3.7,4.06,3.7,4.06,4.06,26400
2017-04-26,3.78,4.108,3.78,4.08,4.08,49600
2017-04-27,3.88,4.15,3.52,4.06,4.06,34300
2017-04-28,3.87,4.06,3.8,4.05,4.05,33000
2017-05-01,3.87,4.184,3.57,4.06,4.06,45500
2017-05-02,4.2,4.24,3.69,3.78,3.78,44000
2017-05-03,3.97,4.2,3.82,4.026,4.026,21800
2017-05-04,4.02,4.051,3.98,4.043,4.043,43500
2017-05-05,4.05,4.07,3.98,4.04,4.04,38300
2017-05-08,4.06,4.07,4.0,4.02,4.02,48700
2017-05-09,4.01,4.05,4.0,4.03,4.03,51500
2017-05-10,4.15,4.15,4.02,4.12,4.12,47800
2017-05-11,4.106,4.24,4.106,4.24,4.24,20400
2017-05-12,4.23,4.263,4.08,4.23,4.23,28700
2017-05-15,4.129,4.25,4.11,4.19,4.19,32200
2017-05-16,4.2,4.21,4.008,4.03,4.03,29700
2017-05-17,4.181,4.2,3.88,3.93,3.93,24500
2017-05-18,3.9,3.9,3.745,3.745,3.745,23400
2017-05-19,3.74,3.905,3.56,3.709,3.709,38200
2017-05-22,3.73,3.93,3.719,3.9,3.9,30700
2017-05-23,3.729,3.95,3.69,3.95,3.95,33400
2017-05-24,4.13,4.13,3.859,4.01,4.01,39300
2017-05-25,4.01,4.25,3.88,4.24,4.24,45900
2017-05-26,4.224,4.224,3.97,3.99,3.99,61700
2017-05-30,3.973,3.973,3.87,3.92,3.92,54600
2017-05-31,4.062,4.062,3.68,3.8,3.8,53800
2017-06-01,3.8,3.9,3.65,3.8,3.8,66600
2017-06-02,3.8,3.88,3.68,3.68,3.68,52400
2017-06-05,3.84,3.862,3.69,3.7,3.7,38600
2017-06-06,3.8,3.8,3.65,3.7,3.7,29700
2017-06-07,3.75,3.79,3.61,3.61,3.61,49200
2017-06-08,3.74,3.76,3.61,3.62,3.62,47100
2017-06-09,3.68,3.71,3.48,3.49,3.49,35000
2017-06-12,3.67,3.67,3.2,3.4,3.4,109300
2017-06-13,3.51,3.54,3.33,3.5,3.5,63700
2017-06-14,3.55,3.55,3.32,3.53,3.53,65400
2017-06-15,3.5,3.5,3.31,3.45,3.45,35900
2017-06-16,3.5,3.56,3.25,3.31,3.31,37900
2017-06-19,3.46,3.46,3.3,3.31,3.31,30200
2017-06-20,3.4,3.4,3.26,3.26,3.26,34100
2017-06-21,3.26,3.38,3.26,3.27,3.27,41900
2017-06-22,3.35,3.35,3.05,3.19,3.19,16500
2017-06-23,3.25,3.25,3.02,3.09,3.09,28500
2017-06-26,3.14,3.196,2.7,2.81,2.81,53200
2017-06-27,3.0,3.0,2.74,2.92,2.92,33400
2017-06-28,2.85,2.85,2.624,2.66,2.66,13300
2017-06-29,2.66,2.66,2.52,2.53,2.53,4400
2017-06-30,2.67,2.889,2.55,2.66,2.66,22400
2017-07-03,2.71,2.85,2.65,2.73,2.73,20100
2017-07-05,2.78,2.78,2.6,2.7,2.7,32200
2017-07-06,2.7,2.73,2.53,2.54,2.54,36000
2017-07-07,2.55,2.7,2.5,2.7,2.7,33100
2017-07-10,2.71,3.17,2.65,3.05,3.05,65600
2017-07-11,3.05,3.1,2.898,3.03,3.03,56000
2017-07-12,3.0,3.04,2.9,3.03,3.03,26100
2017-07-13,3.08,3.1,2.85,3.03,3.03,32600
2017-07-14,3.01,3.05,2.87,2.896,2.896,7400
2017-07-17,3.0,3.0,2.76,2.92,2.92,35200
2017-07-18,3.03,3.03,2.77,2.92,2.92,14200
2017-07-19,2.903,2.95,2.9,2.9,2.9,7500
2017-07-20,2.93,2.95,2.853,2.853,2.853,51000
2017-07-21,2.85,3.28,2.85,3.22,3.22,109400
2017-07-24,3.3,4.05,3.3,3.9,3.9,257200
2017-07-25,3.9,3.9,3.58,3.61,3.61,52700
2017-07-26,3.595,3.6,3.23,3.29,3.29,121500
2017-07-27,3.42,3.45,3.24,3.415,3.415,135500
2017-07-28,3.4,3.53,3.36,3.4,3.4,92700
2017-07-31,3.465,3.53,3.292,3.53,3.53,70000
2017-08-01,3.59,3.59,3.34,3.49,3.49,50600
2017-08-02,3.33,3.5,3.33,3.49,3.49,26900
2017-08-03,3.4,3.5,3.3,3.31,3.31,45400
2017-08-04,3.37,3.39,3.3,3.34,3.34,23400
2017-08-07,3.351,3.42,3.3,3.36,3.36,66800
2017-08-08,3.313,3.35,3.28,3.322,3.322,63900
2017-08-09,3.35,3.5,3.311,3.32,3.32,71800
2017-08-10,3.3,3.4,3.29,3.4,3.4,87700
2017-08-11,3.37,3.37,3.17,3.259,3.259,29700
2017-08-14,3.29,3.38,2.91,3.14,3.14,46400
2017-08-15,3.156,3.21,3.098,3.2,3.2,4000
2017-08-16,3.13,3.196,3.05,3.17,3.17,27700
2017-08-17,3.13,3.287,3.031,3.18,3.18,33500
2017-08-18,3.15,3.39,3.14,3.24,3.24,11200
2017-08-21,3.3,3.34,3.13,3.33,3.33,49500
2017-08-22,3.3,3.33,3.24,3.3,3.3,12800
2017-08-23,3.28,3.29,3.27,3.27,3.27,1500
2017-08-24,3.263,3.35,3.26,3.26,3.26,18000
2017-08-25,3.15,3.25,3.07,3.12,3.12,34400
2017-08-28,3.08,3.08,2.94,3.0,3.0,8800
2017-08-29,3.232,3.24,2.6,2.96,2.96,65100
2017-08-30,2.92,2.98,2.8,2.96,2.96,32700
2017-08-31,3.0,3.2,2.79,3.07,3.07,72200
2017-09-01,3.2,3.2,3.15,3.18,3.18,17400
2017-09-05,3.152,3.197,2.88,2.97,2.97,61900
2017-09-06,3.005,3.01,2.951,2.99,2.99,41300
2017-09-07,3.0,3.03,2.98,3.0,3.0,29200
2017-09-08,2.99,3.0,2.98,2.99,2.99,28700
2017-09-11,3.0,3.1,2.95,3.08,3.08,91100
2017-09-12,3.08,3.35,3.02,3.04,3.04,89200
2017-09-13,3.05,3.35,3.05,3.3,3.3,91900
2017-09-14,3.3,3.35,3.26,3.3,3.3,25800
2017-09-15,3.22,3.26,3.0,3.0,3.0,82000
2017-09-18,3.0,3.15,2.9,2.9,2.9,108200
2017-09-19,2.99,3.07,2.965,3.01,3.01,54000
2017-09-20,3.0,3.05,3.0,3.05,3.05,3600
2017-09-21,3.06,3.16,3.0,3.03,3.03,25000
2017-09-22,3.03,3.03,2.97,2.98,2.98,11000
2017-09-25,3.0,3.05,2.921,3.01,3.01,17800
2017-09-26,3.01,3.01,2.99,2.99,2.99,2200
2017-09-27,2.999,3.05,2.96,3.01,3.01,65300
2017-09-28,3.0,3.0,2.97,2.97,2.97,3500
2017-09-29,2.99,2.99,2.88,2.88,2.88,15100
2017-10-02,2.9,2.92,2.85,2.92,2.92,3900
2017-10-03,2.84,3.028,2.83,2.87,2.87,23300
2017-10-04,2.926,2.933,2.88,2.9,2.9,21900
2017-10-05,2.92,2.99,2.92,2.94,2.94,10500
2017-10-06,2.83,2.9,2.83,2.868,2.868,5500
2017-10-09,2.82,2.85,2.66,2.71,2.71,34000
2017-10-10,2.75,3.05,2.75,2.91,2.91,84500
2017-10-11,2.97,3.05,2.97,3.04,3.04,149300
2017-10-12,3.05,3.05,2.91,2.91,2.91,110800
2017-10-13,2.99,3.08,2.99,3.08,3.08,253700
2017-10-16,3.05,3.55,3.0,3.47,3.47,440600
2017-10-17,3.4,3.4,3.02,3.07,3.07,73000
2017-10-18,3.07,3.65,3.07,3.48,3.48,342100
2017-10-19,3.36,3.75,3.25,3.57,3.57,204300
2017-10-20,3.4,3.61,3.07,3.24,3.24,391400
2017-10-23,3.21,3.265,3.11,3.12,3.12,179700
2017-10-24,3.19,3.25,3.11,3.14,3.14,224700
2017-10-25,3.12,3.184,3.05,3.05,3.05,49800
2017-10-26,3.14,3.14,2.85,2.975,2.975,370600
2017-10-27,3.118,3.118,2.9,2.9,2.9,18400
2017-10-30,2.9,2.99,2.78,2.81,2.81,90400
2017-10-31,2.801,3.04,2.78,2.93,2.93,58300
2017-11-01,2.99,3.0,2.95,2.97,2.97,164400
2017-11-02,2.99,3.1,2.95,3.03,3.03,307500
2017-11-03,3.07,3.2,3.0,3.19,3.19,395100
2017-11-06,3.2,3.4,3.15,3.32,3.32,139400
2017-11-07,3.29,3.32,3.09,3.09,3.09,89900
2017-11-08,3.06,3.17,3.05,3.14,3.14,71200
2017-11-09,3.09,3.13,3.02,3.06,3.06,124900
2017-11-10,3.07,3.197,3.06,3.09,3.09,164000
