Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.32,11.85,11.1,11.78,9.533029,154500
2010-01-05,11.72,11.89,11.34,11.51,9.31453,276300
2010-01-06,11.45,11.49,11.0,11.05,8.942272,195600
2010-01-07,11.03,11.39,10.98,11.28,9.128402,128300
2010-01-08,11.25,11.59,11.24,11.52,9.322625,96500
2010-01-11,11.66,11.71,11.4,11.43,9.249786,119100
2010-01-12,11.29,11.56,10.98,10.99,8.893719,227300
2010-01-13,11.07,11.25,10.98,10.98,8.885621,221200
2010-01-14,10.95,11.36,10.92,11.31,9.152677,143700
2010-01-15,11.3,11.37,10.77,11.0,8.901809,212000
2010-01-19,11.01,11.09,10.58,10.63,8.602385,278200
2010-01-20,10.54,10.58,9.89,9.96,8.060184,588000
2010-01-21,9.99,10.1,8.09,9.5,7.687928,1912800
2010-01-22,9.45,9.45,8.74,8.8,7.121448,392800
2010-01-25,8.94,9.09,8.6,8.84,7.153818,291600
2010-01-26,8.93,9.0,8.35,8.73,7.0648,1345000
2010-01-27,8.98,9.0,8.52,8.83,7.145725,709600
2010-01-28,8.91,9.26,8.72,9.19,7.437055,521600
2010-01-29,9.24,9.89,9.0,9.16,7.412778,1130100
2010-02-01,9.16,9.39,9.1,9.18,7.428964,598700
2010-02-02,9.16,9.19,8.88,9.1,7.364225,366900
2010-02-03,9.07,9.2,8.74,8.79,7.113356,299900
2010-02-04,8.71,9.05,8.4,8.67,7.016245,488600
2010-02-05,8.68,8.85,8.43,8.75,7.080985,230800
2010-02-08,8.76,8.76,8.31,8.33,6.741097,200200
2010-02-09,8.48,8.64,8.31,8.38,6.78156,218800
2010-02-10,8.35,8.46,8.14,8.39,6.789652,363800
2010-02-11,8.35,8.42,8.24,8.35,6.757282,195300
2010-02-12,8.27,8.54,8.22,8.51,6.886763,226000
2010-02-16,8.6,8.69,8.42,8.63,6.983875,153600
2010-02-17,8.63,8.77,8.55,8.72,7.056707,172500
2010-02-18,8.72,8.72,8.49,8.71,7.048615,133800
2010-02-19,8.7,8.79,8.57,8.73,7.0648,225000
2010-02-22,8.8,9.1,8.65,8.94,7.234743,188500
2010-02-23,8.89,8.89,8.56,8.74,7.072892,191100
